TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1870473.0,490.764528,1.0,0.94,-0.35,-10.1,11.06,-17.19,33.38,-4.38,41.63,0.88,0.42694836923794677,-0.03648042592095349,-0.33398529905940855,-144.65224571956077,-35.05938432236355,-2.1086036789736795,0.0351,-0.9528,-0.3012,-0.0184
1870508.0,490.810375,1.0,1.56,-0.41,-11.04,11.38,-16.37,31.25,-0.19,14.88,-0.94,0.7525766045611387,-0.2820113845169218,-1.3215752867773158,-144.5768347492103,-35.03535067049245,-2.899475820391489,0.0369,-0.9526,-0.301,-0.0253
1870542.0,490.828127,1.0,0.76,-0.89,-9.6,10.25,-17.19,30.87,6.69,-2.25,-1.56,-0.10801000881513151,-0.32137653107086367,0.14151932508035792,-144.5768347492103,-35.02333444123644,-2.750461504037132,0.0383,-0.9526,-0.3009,-0.024
1870579.0,490.86205,1.0,0.82,-0.59,-9.66,10.69,-16.37,32.5,-0.12,-0.31,0.31,0.11591972356244018,-0.10058799002072567,0.09518540015962706,-144.5768347492103,-35.01131860953798,-2.738999060214957,0.0386,-0.9526,-0.3008,-0.0239
1870614.0,490.919894,1.0,1.05,-0.37,-10.1,10.69,-16.37,32.5,1.44,-0.56,-0.44,0.4124368820372911,-0.013105600167066106,-0.34613897946665695,-144.5768347492103,-34.999303175225506,-2.7848490011177396,0.0385,-0.9526,-0.3007,-0.0243
1870651.0,490.942834,1.0,0.79,-0.53,-9.66,10.0,-16.37,33.0,2.44,-8.0,-1.0,0.15772763170898196,-0.04273023055947192,0.10129600740437184,-144.5768347492103,-35.03535067049245,-2.544141615361497,0.0387,-0.9526,-0.301,-0.0222
1870686.0,490.988709,1.0,0.78,-0.82,-9.71,10.0,-16.37,31.25,4.0,-6.0,-0.75,0.013905119268239119,-0.2712081711764007,0.034692531020445116,-144.5768347492103,-35.03535067049245,-2.360753104216733,0.0391,-0.9526,-0.301,-0.0206
1870718.0,491.013642,1.0,0.64,-0.54,-9.74,10.0,-16.37,31.25,-5.88,1.88,1.25,0.0736599648388851,0.011055233720360387,0.031004139424476662,-144.65224571956077,-34.999303175225506,-2.2346770389286066,0.0379,-0.9528,-0.3007,-0.0195
1870753.0,491.052321,1.0,0.75,-0.44,-9.95,10.69,-15.69,31.69,-1.44,-1.25,0.0,0.20940130222704378,0.039745249568384426,-0.17899827188311868,-144.65224571956077,-34.999303175225506,-2.269061145645111,0.0374,-0.9528,-0.3007,-0.0198
1870790.0,491.109222,1.0,0.84,-0.54,-9.78,10.69,-16.0,31.69,0.12,1.19,-0.31,0.22189884053832892,-0.10764263124772916,-0.021105286356382535,-144.65224571956077,-35.01131860953798,-2.303445456683929,0.0373,-0.9528,-0.3008,-0.0201
1870825.0,491.120003,1.0,1.01,-0.49,-10.09,10.69,-16.0,31.69,-3.0,6.56,0.44,0.3508549889182081,-0.13155965326586655,-0.33868847805896607,-144.65224571956077,-34.999303175225506,-2.4982938949536853,0.0371,-0.9528,-0.3007,-0.0218
1870860.0,491.161148,1.0,0.72,-0.61,-9.77,10.38,-16.0,31.25,-5.44,-0.44,0.56,0.032479229557970224,-0.10955510530640349,-0.008152228193321065,-144.65224571956077,-34.999303175225506,-2.5670656278548973,0.0359,-0.9528,-0.3007,-0.0224
1870895.0,491.175298,1.0,0.72,-0.42,-9.74,10.38,-16.0,30.87,-3.19,2.75,0.44,0.12039657247665214,0.03175690443992078,0.03184073514187702,-144.690009668053,-34.975273498072475,-2.6702249688891855,0.035,-0.9529,-0.3005,-0.0233
