TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
620349.0,577.359937,1.0,0.72,1.91,-9.62,6.19,-30.69,27.0,-1.25,0.44,0.81,-0.0008528480036026354,0.013225990396242629,-0.027511090089401335,-157.44996317553054,-19.05256341690962,-6.04177399090254,-0.0895,-0.9807,-0.1655,-0.0527
620386.0,577.395938,1.0,0.74,1.73,-9.71,6.19,-30.25,25.25,-0.63,0.19,0.94,-0.050471709475330584,-0.17273053437049435,-0.08234472995302689,-157.508647592303,-19.04094412601985,-6.04177399090254,-0.0894,-0.9808,-0.1654,-0.0527
620419.0,577.462338,1.0,0.67,1.88,-9.44,6.56,-30.25,25.69,-1.5,-3.0,0.37,-0.03177671031071522,0.020961949454390255,0.15805161280629854,-157.508647592303,-19.006087438353557,-6.01882390838285,-0.09,-0.9808,-0.1651,-0.0525
620453.0,577.482287,1.0,0.71,1.76,-9.57,6.56,-30.25,25.69,0.19,-0.88,0.12,-0.0397255333522587,-0.12610037119687628,0.05118381029979169,-157.508647592303,-18.9944689370341,-5.96144975723111,-0.09,-0.9808,-0.165,-0.052
620488.0,577.506513,1.0,0.66,1.82,-9.55,6.19,-30.69,25.25,-1.19,1.75,0.06,-0.07019278756946812,-0.05550296319271694,0.06280617973840563,-157.508647592303,-18.98285063278348,-5.984399237389445,-0.0903,-0.9808,-0.1649,-0.0522
620525.0,577.533626,1.0,0.86,1.83,-9.92,6.19,-29.87,24.87,-2.75,-0.69,1.31,0.054099574277658935,-0.1791650629067059,-0.31559644613519744,-157.44996317553054,-18.959614614971,-6.076199569788739,-0.0908,-0.9807,-0.1647,-0.053
620558.0,577.568894,1.0,0.6,1.73,-9.38,6.19,-29.87,24.87,1.0,-2.69,0.25,-0.1331785848531608,-0.10520968365399841,0.2511021670915188,-157.508647592303,-18.947996901150272,-5.9729244673372195,-0.091,-0.9808,-0.1646,-0.0521
620593.0,577.599942,1.0,0.72,1.87,-9.77,6.19,-30.25,26.06,-0.19,-0.63,0.12,-0.024409195769727,-0.08053357005640316,-0.1663695294733003,-157.508647592303,-18.947996901150272,-5.949975106955118,-0.0911,-0.9808,-0.1646,-0.0519
620627.0,577.638604,1.0,0.71,1.87,-9.67,6.56,-30.69,24.87,-0.12,-1.06,0.81,-0.020322259933127806,-0.05697831042801002,-0.06787482289107416,-157.508647592303,-18.92476206303288,-5.949975106955118,-0.0909,-0.9808,-0.1644,-0.0519
620662.0,577.703868,1.0,0.86,1.71,-10.03,6.56,-30.69,24.87,-0.69,-2.0,0.56,0.038193270950770686,-0.3218012009538276,-0.399210339095319,-157.56748354792904,-18.901528010085144,-5.858180044713635,-0.0912,-0.9809,-0.1642,-0.0511
