TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
726753.0,684.3516,1.0,-4.87,0.38,-8.65,15.06,-26.75,23.5,-1.69,5.06,-0.56,0.15591734420746617,-0.09083663585129899,-0.1256829831093853,-149.59279181341398,-0.7448503787209418,30.246943306188317,-0.0261,-0.965,-0.0065,0.2609
726790.0,684.391771,1.0,-4.94,0.34,-8.45,15.06,-25.25,24.37,-0.44,-1.12,-0.37,-0.014305266194941879,-0.11999893760182741,0.013433183532924886,-149.63651807466178,-0.7448503787209418,30.19946487135094,-0.0261,-0.9651,-0.0065,0.2605
726824.0,684.41196,1.0,-4.88,0.38,-8.37,15.06,-25.25,24.37,-0.19,-0.37,0.06,0.0045149037701404104,-0.07578094315491611,0.11077784406175972,-149.59279181341398,-0.7448503787209418,30.235073199393444,-0.0261,-0.965,-0.0065,0.2608
726857.0,684.455987,1.0,-4.99,0.41,-8.52,14.38,-26.06,24.0,-0.12,2.44,-0.56,-0.026266629557323284,-0.0576901278553124,-0.07538328841386566,-149.63651807466178,-0.7448503787209418,30.163859528562902,-0.0263,-0.9651,-0.0065,0.2602
726892.0,684.500744,1.0,-4.75,0.38,-8.66,15.5,-26.5,24.0,-0.56,-2.0,0.19,0.24217724615155012,-0.08956294185406366,-0.07443438689260873,-149.72415559222358,-0.7792286067117273,30.116390374671145,-0.0261,-0.9653,-0.0068,0.2598
726929.0,684.530797,1.0,-5.04,0.32,-8.23,14.75,-26.75,24.75,1.06,-3.13,0.37,-0.2018347842026893,-0.12117963972245291,0.1535946176455294,-149.59279181341398,-0.7792286067117273,30.258813745298948,-0.0258,-0.965,-0.0068,0.261
726962.0,684.568945,1.0,-4.93,0.3,-8.5,14.75,-26.75,24.75,0.75,-0.69,1.0,0.03474927086128554,-0.1528222570721441,-0.02291447895419374,-149.54912686270868,-0.7563097804494618,30.294427058078597,-0.0256,-0.9649,-0.0066,0.2613
726999.0,684.591303,1.0,-4.87,0.32,-8.55,15.06,-26.06,24.75,1.5,-5.56,0.63,0.13230866029875799,-0.13094318176716563,-0.03647695750484914,-149.46197984083236,-0.7333909844413455,30.413159765182684,-0.0253,-0.9647,-0.0064,0.2623
727033.0,684.634881,1.0,-5.08,0.25,-8.26,14.75,-26.75,24.75,1.88,-4.75,0.63,-0.1707776678447548,-0.17806560351174652,0.10945310455585755,-149.288410054367,-0.7104722177704716,30.567562314513644,-0.0248,-0.9643,-0.0062,0.2636
727066.0,684.665231,1.0,-4.85,0.2,-8.68,14.75,-26.75,24.75,1.5,-5.88,1.56,0.2641036129202412,-0.24075811490999827,-0.13202117937541225,-149.1588584140195,-0.6417160846123932,30.710138215163173,-0.0242,-0.964,-0.0056,0.2648
