TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
4818919.0,1761.098539,1.0,-2.55,-3.94,-8.4,30.56,8.5,24.0,-2.81,-4.75,0.81,0.20330307152120053,0.12165271976673275,0.1874001084084842,-96.90394078060577,-75.23686238255408,28.210041571444723,0.0892,-0.7484,-0.6104,0.2437
4818954.0,1761.123471,1.0,-2.43,-4.43,-8.76,32.06,7.75,23.56,1.5,-3.13,0.5,-0.017723620202664492,-0.1821514807797754,-0.30442841485450245,-96.83485491073408,-75.23686238255408,28.34002932498839,0.0892,-0.748,-0.6104,0.2448
4818989.0,1761.162655,1.0,-2.53,-4.31,-8.35,31.0,7.75,22.25,0.81,-5.06,-0.44,-0.118620969728092,-0.014006770175594707,0.07601626545166695,-96.81759077760199,-75.2223961597465,28.44641063157099,0.0883,-0.7479,-0.6103,0.2457
4819023.0,1761.187132,1.0,-2.44,-4.35,-8.72,32.06,7.38,22.75,1.0,-3.5,1.69,0.052661098913530324,-0.18521192997782443,-0.23712535340447083,-96.76581595045094,-75.20793134376436,28.576466242295997,0.0883,-0.7476,-0.6102,0.2468
4819058.0,1761.240724,1.0,-2.64,-4.08,-8.34,32.06,7.38,22.75,-0.75,-7.19,3.31,0.08614892333022683,0.09925495882825108,0.1550010830450823,-96.76581595045094,-75.15008613528077,28.742045975943412,0.0871,-0.7476,-0.6098,0.2482
4819095.0,1761.268435,1.0,-2.55,-4.13,-8.67,32.5,7.38,21.5,2.0,-2.19,1.31,0.21952944447514722,-0.08617245554695352,-0.1267623608613686,-96.78307129934221,-75.07781120147469,28.884020255235583,0.0862,-0.7477,-0.6093,0.2494
4819130.0,1761.309874,1.0,-2.56,-4.31,-8.44,31.75,7.38,22.25,1.5,-3.5,-0.94,-0.0439970455441312,-0.08974342941137581,-0.009322207420966677,-96.76581595045094,-75.09226338481456,28.94318956430816,0.0859,-0.7476,-0.6094,0.2499
4819163.0,1761.337628,1.0,-2.61,-4.43,-8.42,31.75,7.38,22.25,1.12,-5.94,1.06,-0.14512692046859965,-0.09449694006144771,-0.05759900868151924,-96.66234520218386,-75.09226338481456,29.132584441928433,0.0853,-0.747,-0.6094,0.2515
4819197.0,1761.377653,1.0,-2.69,-4.33,-8.4,31.75,7.38,24.5,2.19,-3.31,0.5,-0.06966246875182991,-0.013431270902360959,-0.01882539518619808,-96.62787827738678,-75.09226338481456,29.262840587223423,0.0846,-0.7468,-0.6094,0.2526
4819234.0,1761.395922,1.0,-2.65,-4.15,-8.5,31.75,7.38,22.25,-0.31,-0.5,1.5,0.14139858218197432,-0.03470660926757929,-0.015457813103564533,-96.66234520218386,-75.03446305152276,29.298371692491795,0.0844,-0.747,-0.609,0.2529
4819269.0,1761.439213,1.0,-2.64,-4.2,-8.55,31.75,7.38,22.25,0.12,-0.19,-0.88,0.1205154111271538,-0.06532311125387269,-0.07734256003448259,-96.66234520218386,-75.04891103546537,29.286527670932475,0.0843,-0.747,-0.6091,0.2528
4819302.0,1761.514612,1.0,-2.68,-4.39,-8.43,32.88,8.06,23.06,0.44,-2.13,-1.06,-0.09787207828719091,-0.05863239176996504,-0.06788205468122932,-96.59342299000927,-75.07781120147469,29.357596603435574,0.0842,-0.7466,-0.6093,0.2534
4819337.0,1761.517603,1.0,-2.55,-4.26,-8.42,31.37,7.0,23.06,1.19,-1.5,-0.12,0.02927618879683247,-0.15533566377345698,0.03313918063065735,-96.57619970569806,-75.07781120147469,29.393135398012305,0.084,-0.7465,-0.6093,0.2537
4819374.0,1761.559915,1.0,-2.59,-4.43,-8.58,32.06,7.75,21.06,1.12,-4.13,0.25,-0.034123759274134136,-0.2043090045799576,-0.18867357653821237,-96.54176184653713,-75.07781120147469,29.51161894955961,0.0837,-0.7463,-0.6093,0.2547
4819406.0,1761.607172,1.0,-2.82,-4.15,-8.18,32.06,7.75,21.06,0.37,-2.38,0.88,-0.00929007672258697,0.1342273211417091,0.21138050296482724,-96.52454726797548,-75.04891103546537,29.61828173729524,0.0829,-0.7462,-0.6091,0.2556
4819443.0,1761.624113,1.0,-2.77,-4.23,-8.38,32.5,7.75,21.87,0.81,-0.19,-0.25,0.030886651297056478,0.03109193196205129,0.019501318870313256,-96.52454726797548,-75.03446305152276,29.641988140572543,0.0832,-0.7462,-0.609,0.2558
