TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1410965.0,417.190309,1.0,-4.3,-1.0,-8.74,19.06,-13.19,36.38,-4.75,0.44,1.19,0.002580121567219429,0.3677782484062687,0.021848903249392038,-151.53218134606593,-8.636919564056372,26.32339770363258,0.0541,-0.9693,-0.0753,0.2277,1
1410965.0,417.190309,1.0,-4.3,-1.0,-8.74,19.06,-13.19,36.38,-4.75,0.44,1.19,0.002580121567219429,0.3677782484062687,0.021848903249392038,-151.53218134606593,-8.636919564056372,26.32339770363258,0.0541,-0.9693,-0.0753,0.2277,1
1410998.0,417.232489,1.0,-4.01,-1.38,-8.96,19.06,-13.19,36.38,9.13,2.06,-0.44,0.30684905551067554,-0.01012916958895993,-0.10152041925781852,-151.57882322936237,-8.579461739762628,26.27632678993584,0.0557,-0.9694,-0.0748,0.2273,1
1410998.0,417.232489,1.0,-4.01,-1.38,-8.96,19.06,-13.19,36.38,9.13,2.06,-0.44,0.30684905551067554,-0.01012916958895993,-0.10152041925781852,-151.57882322936237,-8.579461739762628,26.27632678993584,0.0557,-0.9694,-0.0748,0.2273,1
1411035.0,417.264427,1.0,-4.39,-1.18,-8.72,19.06,-12.75,34.69,-6.69,-3.88,-0.12,-0.10287461047058466,0.2347550529918414,-0.023772517858288822,-151.48561418277666,-8.579461739762628,26.33516613823805,0.0558,-0.9692,-0.0748,0.2278,1
1411035.0,417.264427,1.0,-4.39,-1.18,-8.72,19.06,-12.75,34.69,-6.69,-3.88,-0.12,-0.10287461047058466,0.2347550529918414,-0.023772517858288822,-151.48561418277666,-8.579461739762628,26.33516613823805,0.0558,-0.9692,-0.0748,0.2278,1
1411072.0,417.303224,1.0,-4.13,-1.3,-8.72,19.06,-12.75,36.0,6.75,1.12,-1.88,0.11469711384814385,0.07733794925721343,0.07185860964757929,-151.43912137388483,-8.659903302137069,26.346934855604975,0.0559,-0.9691,-0.0755,0.2279,1
1411072.0,417.303224,1.0,-4.13,-1.3,-8.72,19.06,-12.75,36.0,6.75,1.12,-1.88,0.11469711384814385,0.07733794925721343,0.07185860964757929,-151.43912137388483,-8.659903302137069,26.346934855604975,0.0559,-0.9691,-0.0755,0.2279,1
1411106.0,417.343536,1.0,-4.19,-1.59,-8.73,19.06,-12.75,36.0,2.13,-0.75,0.5,0.0354469462460254,-0.17088015705832085,-0.004906629094364234,-151.43912137388483,-8.636919564056372,26.358703855877888,0.0573,-0.9691,-0.0753,0.228,1
1411106.0,417.343536,1.0,-4.19,-1.59,-8.73,19.06,-12.75,36.0,2.13,-0.75,0.5,0.0354469462460254,-0.17088015705832085,-0.004906629094364234,-151.43912137388483,-8.636919564056372,26.358703855877888,0.0573,-0.9691,-0.0753,0.228,1
1411139.0,417.372658,1.0,-4.31,-1.19,-8.75,19.06,-12.38,33.38,-2.31,-1.56,0.5,-0.00849513716852579,0.2139955729094463,-0.01724096679211584,-151.43912137388483,-8.659903302137069,26.405782688920826,0.0557,-0.9691,-0.0755,0.2284,1
1411139.0,417.372658,1.0,-4.31,-1.19,-8.75,19.06,-12.38,33.38,-2.31,-1.56,0.5,-0.00849513716852579,0.2139955729094463,-0.01724096679211584,-151.43912137388483,-8.659903302137069,26.405782688920826,0.0557,-0.9691,-0.0755,0.2284,1
