TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
471592.0,459.784946,1.0,-1.0,1.93,-9.5,9.69,-25.37,32.06,-0.31,0.06,-1.0,-0.07231613817779481,0.094569576319916,0.06187052730828846,-158.77799072087697,-17.253853117357277,3.6216961826700933,-0.1021,-0.9829,-0.15,0.0316,1
471592.0,459.784946,1.0,-1.0,1.93,-9.5,9.69,-25.37,32.06,-0.31,0.06,-1.0,-0.07231613817779481,0.094569576319916,0.06187052730828846,-158.77799072087697,-17.253853117357277,3.6216961826700933,-0.1021,-0.9829,-0.15,0.0316,1
471627.0,459.798018,1.0,-0.93,1.86,-9.68,9.69,-25.37,32.06,0.19,1.63,-0.56,-0.02607931401260416,-0.023991254995121197,-0.09414008408239916,-158.77799072087697,-17.26544349477142,3.5873017007906127,-0.1019,-0.9829,-0.1501,0.0313,1
471627.0,459.798018,1.0,-0.93,1.86,-9.68,9.69,-25.37,32.06,0.19,1.63,-0.56,-0.02607931401260416,-0.023991254995121197,-0.09414008408239916,-158.77799072087697,-17.26544349477142,3.5873017007906127,-0.1019,-0.9829,-0.1501,0.0313,1
471660.0,459.849282,1.0,-0.91,2.0,-9.73,9.25,-25.0,32.0,-0.88,0.19,0.25,0.03303347388054051,0.09118628782083854,-0.16789730053032947,-158.77799072087697,-17.277034050168417,3.564372225995784,-0.1019,-0.9829,-0.1502,0.0311,1
471660.0,459.849282,1.0,-0.91,2.0,-9.73,9.25,-25.0,32.0,-0.88,0.19,0.25,0.03303347388054051,0.09118628782083854,-0.16789730053032947,-158.77799072087697,-17.277034050168417,3.564372225995784,-0.1019,-0.9829,-0.1502,0.0311,1
471697.0,459.86469,1.0,-0.95,1.92,-9.61,8.88,-25.37,32.88,-0.12,-0.37,0.25,-0.03503451823767478,0.06557659510995663,-0.03893135879774334,-158.840311807755,-17.277034050168417,3.541442893959926,-0.1013,-0.983,-0.1502,0.0309,1
471697.0,459.86469,1.0,-0.95,1.92,-9.61,8.88,-25.37,32.88,-0.12,-0.37,0.25,-0.03503451823767478,0.06557659510995663,-0.03893135879774334,-158.840311807755,-17.277034050168417,3.541442893959926,-0.1013,-0.983,-0.1502,0.0309,1
471732.0,459.907254,1.0,-0.78,2.04,-9.74,8.88,-25.37,32.88,-0.12,1.37,1.19,0.1575393020285218,0.09281397642765189,-0.17353872236873258,-158.840311807755,-17.26544349477142,3.495584654482353,-0.1018,-0.983,-0.1501,0.0305,1
471732.0,459.907254,1.0,-0.78,2.04,-9.74,8.88,-25.37,32.88,-0.12,1.37,1.19,0.1575393020285218,0.09281397642765189,-0.17353872236873258,-158.840311807755,-17.26544349477142,3.495584654482353,-0.1018,-0.983,-0.1501,0.0305,1
471767.0,459.924115,1.0,-0.88,1.81,-9.66,8.88,-25.37,31.69,1.12,-0.44,-0.5,-0.0010556978518411197,-0.07373555016767495,-0.06050065022033202,-158.840311807755,-17.26544349477142,3.541442893959926,-0.1016,-0.983,-0.1501,0.0309,1
471767.0,459.924115,1.0,-0.88,1.81,-9.66,8.88,-25.37,31.69,1.12,-0.44,-0.5,-0.0010556978518411197,-0.07373555016767495,-0.06050065022033202,-158.840311807755,-17.26544349477142,3.541442893959926,-0.1016,-0.983,-0.1501,0.0309,1
