TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1348063.0,291.287342,1.0,-5.49,2.36,-8.03,21.25,-25.25,24.69,-1.31,-1.5,8.06,0.305644554966253,0.4260675115758839,-0.18913150429465198,-142.31146828862353,-6.443440527613203,34.387038954542724,-0.1177,-0.9464,-0.0562,0.2956,1
1348063.0,291.287342,1.0,-5.49,2.36,-8.03,21.25,-25.25,24.69,-1.31,-1.5,8.06,0.305644554966253,0.4260675115758839,-0.18913150429465198,-142.31146828862353,-6.443440527613203,34.387038954542724,-0.1177,-0.9464,-0.0562,0.2956,1
1348100.0,291.330019,1.0,-5.62,2.66,-7.55,21.69,-25.69,23.5,2.94,2.13,-3.75,-0.006345022544159029,0.8506750476730391,0.06299505414136775,-142.31146828862353,-6.443440527613203,34.41103013134,-0.1173,-0.9464,-0.0562,0.2958,1
1348100.0,291.330019,1.0,-5.62,2.66,-7.55,21.69,-25.69,23.5,2.94,2.13,-3.75,-0.006345022544159029,0.8506750476730391,0.06299505414136775,-142.31146828862353,-6.443440527613203,34.41103013134,-0.1173,-0.9464,-0.0562,0.2958,1
1348136.0,291.367472,1.0,-5.79,2.16,-7.54,22.06,-26.37,24.37,4.19,1.56,-13.13,-0.23180991081843816,0.4412335893614616,0.07048663423494084,-142.34696199162144,-6.78778903124712,34.387038954542724,-0.1148,-0.9465,-0.0592,0.2956,1
1348136.0,291.367472,1.0,-5.79,2.16,-7.54,22.06,-26.37,24.37,4.19,1.56,-13.13,-0.23180991081843816,0.4412335893614616,0.07048663423494084,-142.34696199162144,-6.78778903124712,34.387038954542724,-0.1148,-0.9465,-0.0592,0.2956,1
1348169.0,291.46198,1.0,-5.92,1.79,-7.75,22.06,-26.37,24.37,3.5,-0.88,-12.88,-0.277481423626754,0.08933054512809299,-0.1043552019585352,-142.34696199162144,-7.109236280779952,34.41103013134,-0.1129,-0.9465,-0.062,0.2958,1
1348169.0,291.46198,1.0,-5.92,1.79,-7.75,22.06,-26.37,24.37,3.5,-0.88,-12.88,-0.277481423626754,0.08933054512809299,-0.1043552019585352,-142.34696199162144,-7.109236280779952,34.41103013134,-0.1129,-0.9465,-0.062,0.2958,1
1348206.0,291.468119,1.0,-5.93,1.48,-7.67,21.69,-25.69,24.37,4.06,-6.31,-11.63,-0.3344373993701897,-0.11790183168530591,0.005708678678471912,-142.16981440543415,-7.47667331573405,34.66303165808797,-0.1099,-0.946,-0.0652,0.2979,1
1348206.0,291.468119,1.0,-5.93,1.48,-7.67,21.69,-25.69,24.37,4.06,-6.31,-11.63,-0.3344373993701897,-0.11790183168530591,0.005708678678471912,-142.16981440543415,-7.47667331573405,34.66303165808797,-0.1099,-0.946,-0.0652,0.2979,1
1348241.0,291.47528,1.0,-6.05,1.26,-7.01,22.37,-26.0,23.87,2.94,1.37,-8.81,-0.8129387926099199,-0.12313431397532773,0.49782792305644286,-142.06390845011202,-7.729330710703709,34.77108519878443,-0.1085,-0.9457,-0.0674,0.2988,1
1348241.0,291.47528,1.0,-6.05,1.26,-7.01,22.37,-26.0,23.87,2.94,1.37,-8.81,-0.8129387926099199,-0.12313431397532773,0.49782792305644286,-142.06390845011202,-7.729330710703709,34.77108519878443,-0.1085,-0.9457,-0.0674,0.2988,1
1348276.0,291.518003,1.0,-5.81,1.18,-7.48,22.37,-26.0,23.87,-2.06,19.19,-0.69,-0.45648521880567516,-0.29520108401594564,0.2775693746191994,-142.56060519917665,-7.9245916846795215,34.255115225601216,-0.1076,-0.9471,-0.0691,0.2945,1
1348276.0,291.518003,1.0,-5.81,1.18,-7.48,22.37,-26.0,23.87,-2.06,19.19,-0.69,-0.45648521880567516,-0.29520108401594564,0.2775693746191994,-142.56060519917665,-7.9245916846795215,34.255115225601216,-0.1076,-0.9471,-0.0691,0.2945,1
1348311.0,291.537917,1.0,-5.06,1.53,-8.89,23.19,-25.69,23.87,1.31,21.75,2.38,0.8476920147484193,-0.33452419262269295,-0.4960735143277475,-143.2814024718206,-7.9935127959191385,33.4525819599508,-0.1075,-0.9491,-0.0697,0.2878,1
1348311.0,291.537917,1.0,-5.06,1.53,-8.89,23.19,-25.69,23.87,1.31,21.75,2.38,0.8476920147484193,-0.33452419262269295,-0.4960735143277475,-143.2814024718206,-7.9935127959191385,33.4525819599508,-0.1075,-0.9491,-0.0697,0.2878,1
1348347.0,291.583163,1.0,-4.85,1.79,-9.03,22.06,-26.37,25.19,-2.63,2.25,1.25,1.1121227656517663,-0.1413275284558873,-0.537948082275582,-143.42720670361226,-7.936078336486531,33.2731430190265,-0.108,-0.9495,-0.0692,0.2863,1
1348347.0,291.583163,1.0,-4.85,1.79,-9.03,22.06,-26.37,25.19,-2.63,2.25,1.25,1.1121227656517663,-0.1413275284558873,-0.537948082275582,-143.42720670361226,-7.936078336486531,33.2731430190265,-0.108,-0.9495,-0.0692,0.2863,1
1348382.0,291.639901,1.0,-5.14,1.93,-8.11,22.06,-26.37,25.19,0.0,-7.81,-1.06,0.4408681438697033,0.23110614251787162,0.025605821047969712,-143.2814024718206,-7.936078336486531,33.44061674182814,-0.1083,-0.9491,-0.0692,0.2877,1
1348382.0,291.639901,1.0,-5.14,1.93,-8.11,22.06,-26.37,25.19,0.0,-7.81,-1.06,0.4408681438697033,0.23110614251787162,0.025605821047969712,-143.2814024718206,-7.936078336486531,33.44061674182814,-0.1083,-0.9491,-0.0692,0.2877,1
1348417.0,291.65676,1.0,-5.21,1.27,-8.58,20.87,-26.75,24.25,-0.56,-3.69,-1.5,0.5291784496265781,-0.4926816803820878,-0.2854575564158939,-143.20870960086748,-7.878645873813734,33.57225481905068,-0.1068,-0.9489,-0.0687,0.2888,1
1348417.0,291.65676,1.0,-5.21,1.27,-8.58,20.87,-26.75,24.25,-0.56,-3.69,-1.5,0.5291784496265781,-0.4926816803820878,-0.2854575564158939,-143.20870960086748,-7.878645873813734,33.57225481905068,-0.1068,-0.9489,-0.0687,0.2888,1
1348452.0,291.73095,1.0,-5.41,1.69,-8.1,21.25,-25.25,23.87,-5.56,-9.44,-1.25,0.23046869323679342,0.01762632857717894,-0.07670841169279008,-142.91931394004666,-7.936078336486531,33.81171384093137,-0.1081,-0.9481,-0.0692,0.2908,1
1348452.0,291.73095,1.0,-5.41,1.69,-8.1,21.25,-25.25,23.87,-5.56,-9.44,-1.25,0.23046869323679342,0.01762632857717894,-0.07670841169279008,-142.91931394004666,-7.936078336486531,33.81171384093137,-0.1081,-0.9481,-0.0692,0.2908,1
1348487.0,291.776935,1.0,-5.55,1.9,-7.86,22.37,-25.69,25.19,-1.75,-8.5,-4.63,0.09233855181223616,0.26400376604888653,0.002881561110733344,-142.5249164652642,-8.050949266749551,34.183176562470926,-0.1094,-0.947,-0.0702,0.2939,1
1348487.0,291.776935,1.0,-5.55,1.9,-7.86,22.37,-25.69,25.19,-1.75,-8.5,-4.63,0.09233855181223616,0.26400376604888653,0.002881561110733344,-142.5249164652642,-8.050949266749551,34.183176562470926,-0.1094,-0.947,-0.0702,0.2939,1
1348521.0,291.783689,1.0,-5.85,1.6,-7.61,22.37,-25.69,25.19,-1.44,-9.19,-4.56,-0.29624278897537915,0.05988346512661921,0.0802295803088704,-142.24057734218397,-8.165828301178744,34.471014881449136,-0.1093,-0.9462,-0.0712,0.2963,1
1348521.0,291.783689,1.0,-5.85,1.6,-7.61,22.37,-25.69,25.19,-1.44,-9.19,-4.56,-0.29624278897537915,0.05988346512661921,0.0802295803088704,-142.24057734218397,-8.165828301178744,34.471014881449136,-0.1093,-0.9462,-0.0712,0.2963,1
1348558.0,291.825249,1.0,-5.81,1.87,-8.13,22.75,-25.69,25.19,0.56,-15.44,-7.56,0.15406948158805012,0.1865844317117037,-0.3565851564197331,-141.78287468010964,-8.326672787534774,34.90319398604888,-0.1094,-0.9449,-0.0726,0.2999,1
1348558.0,291.825249,1.0,-5.81,1.87,-8.13,22.75,-25.69,25.19,0.56,-15.44,-7.56,0.15406948158805012,0.1865844317117037,-0.3565851564197331,-141.78287468010964,-8.326672787534774,34.90319398604888,-0.1094,-0.9449,-0.0726,0.2999,1
1348593.0,291.835409,1.0,-5.66,1.88,-8.47,23.19,-25.25,24.37,4.75,-35.69,-11.88,0.6168118738772992,0.11599691418664618,-0.5334171094603253,-141.0200903214725,-8.510515201802361,35.72093850046968,-0.1083,-0.9427,-0.0742,0.3067,1
