TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
551823.0,496.619736,1.0,7.41,3.79,-4.78,-31.5,-29.56,9.38,-0.12,2.06,1.56,-0.21261208571890328,-0.06260971185905917,0.21126172619954886,-117.013124056645,12.953497246186647,-50.03562494735927,-0.285,-0.8527,0.1128,-0.4229,0
551823.0,496.619736,1.0,7.41,3.79,-4.78,-31.5,-29.56,9.38,-0.12,2.06,1.56,-0.21261208571890328,-0.06260971185905917,0.21126172619954886,-117.013124056645,12.953497246186647,-50.03562494735927,-0.285,-0.8527,0.1128,-0.4229,0
551858.0,496.622587,1.0,7.58,3.72,-4.63,-30.37,-28.75,9.38,1.44,7.19,1.94,-0.005633118882017063,-0.045471574046245467,0.1770289999852288,-116.90353178561006,12.94196455075679,-50.21272747501066,-0.2849,-0.8522,0.1127,-0.4243,0
551858.0,496.622587,1.0,7.58,3.72,-4.63,-30.37,-28.75,9.38,1.44,7.19,1.94,-0.005633118882017063,-0.045471574046245467,0.1770289999852288,-116.90353178561006,12.94196455075679,-50.21272747501066,-0.2849,-0.8522,0.1127,-0.4243,0
551892.0,496.680751,1.0,8.08,3.88,-5.03,-30.37,-28.75,9.38,-2.63,0.69,2.38,-0.05166960159843609,-0.17624044510452896,-0.46992382388605414,-116.77224597329428,13.011162702254632,-50.30132682508742,-0.2851,-0.8516,0.1133,-0.425,0
551892.0,496.680751,1.0,8.08,3.88,-5.03,-30.37,-28.75,9.38,-2.63,0.69,2.38,-0.05166960159843609,-0.17624044510452896,-0.46992382388605414,-116.77224597329428,13.011162702254632,-50.30132682508742,-0.2851,-0.8516,0.1133,-0.425,0
551925.0,496.691595,1.0,7.96,3.8,-5.09,-31.5,-29.19,9.69,-4.69,-28.06,-3.81,-0.03492433016669766,-0.2520098496135501,-0.37396743347918004,-117.18882847106602,13.17264363329991,-49.69442993487327,-0.286,-0.8535,0.1147,-0.4202,0
551925.0,496.691595,1.0,7.96,3.8,-5.09,-31.5,-29.19,9.69,-4.69,-28.06,-3.81,-0.03492433016669766,-0.2520098496135501,-0.37396743347918004,-117.18882847106602,13.17264363329991,-49.69442993487327,-0.286,-0.8535,0.1147,-0.4202,0
551960.0,496.71043,1.0,8.66,4.17,-6.42,-31.06,-28.75,9.38,-2.06,-64.37,-6.06,-0.21004523743094272,-0.6094517839351505,-1.733945717782115,-119.0385830310132,13.738036026791262,-47.394021008570846,-0.2856,-0.8618,0.1196,-0.4019,0
551960.0,496.71043,1.0,8.66,4.17,-6.42,-31.06,-28.75,9.38,-2.06,-64.37,-6.06,-0.21004523743094272,-0.6094517839351505,-1.733945717782115,-119.0385830310132,13.738036026791262,-47.394021008570846,-0.2856,-0.8618,0.1196,-0.4019,0
551997.0,496.781146,1.0,7.7,4.48,-6.71,-30.37,-28.06,11.0,-0.44,-188.56,-18.12,-0.3459872694120956,-0.1989280611361961,-1.338986834021524,-122.7801400993836,14.661854827129085,-42.81516540771241,-0.2826,-0.8779,0.1276,-0.365,0
551997.0,496.781146,1.0,7.7,4.48,-6.71,-30.37,-28.06,11.0,-0.44,-188.56,-18.12,-0.3459872694120956,-0.1989280611361961,-1.338986834021524,-122.7801400993836,14.661854827129085,-42.81516540771241,-0.2826,-0.8779,0.1276,-0.365,0
552032.0,496.78463,1.0,6.24,5.06,-6.78,-30.37,-28.06,11.0,3.75,-255.13,-36.94,-0.17083387248925552,0.767913120748883,-0.6762277168767934,-129.97078188553854,16.118839093056636,-33.620134512854776,-0.2746,-0.9062,0.1402,-0.2892,0
552032.0,496.78463,1.0,6.24,5.06,-6.78,-30.37,-28.06,11.0,3.75,-255.13,-36.94,-0.17083387248925552,0.767913120748883,-0.6762277168767934,-129.97078188553854,16.118839093056636,-33.620134512854776,-0.2746,-0.9062,0.1402,-0.2892,0
552067.0,496.824839,1.0,4.84,3.59,-6.97,-28.06,-29.56,15.5,63.88,-201.06,-49.94,0.2052147484270347,-0.1955461344759144,0.5971848354901983,-135.54829362030736,16.15356023236983,-27.265777919115557,-0.2604,-0.9257,0.1405,-0.2357,0
552067.0,496.824839,1.0,4.84,3.59,-6.97,-28.06,-29.56,15.5,63.88,-201.06,-49.94,0.2052147484270347,-0.1955461344759144,0.5971848354901983,-135.54829362030736,16.15356023236983,-27.265777919115557,-0.2604,-0.9257,0.1405,-0.2357,0
552105.0,496.888199,1.0,4.01,3.53,-7.83,-22.87,-29.56,21.19,20.75,-172.5,-41.06,0.27387596331822295,-0.2743582810839562,0.335661694109362,-141.46907086921098,15.794846506662763,-20.506574164810864,-0.2416,-0.944,0.1374,-0.178,0
552105.0,496.888199,1.0,4.01,3.53,-7.83,-22.87,-29.56,21.19,20.75,-172.5,-41.06,0.27387596331822295,-0.2743582810839562,0.335661694109362,-141.46907086921098,15.794846506662763,-20.506574164810864,-0.2416,-0.944,0.1374,-0.178,0
552138.0,496.905391,1.0,3.2,4.76,-8.14,-22.87,-29.56,21.19,14.13,-113.69,-38.69,-0.29929966147614845,0.6967945383763978,-0.12220175052629578,-144.1648201843402,15.632898017228824,-16.466118077182383,-0.2358,-0.9515,0.136,-0.1432,0
552138.0,496.905391,1.0,3.2,4.76,-8.14,-22.87,-29.56,21.19,14.13,-113.69,-38.69,-0.29929966147614845,0.6967945383763978,-0.12220175052629578,-144.1648201843402,15.632898017228824,-16.466118077182383,-0.2358,-0.9515,0.136,-0.1432,0
552173.0,496.950427,1.0,2.34,4.63,-7.66,-18.87,-29.56,25.0,44.38,-78.5,-59.19,-0.3246477065486457,0.9630998055017543,0.6112629700118006,-147.60259361783832,14.303764676023915,-12.688278342697656,-0.2238,-0.9603,0.1245,-0.1105,0
552173.0,496.950427,1.0,2.34,4.63,-7.66,-18.87,-29.56,25.0,44.38,-78.5,-59.19,-0.3246477065486457,0.9630998055017543,0.6112629700118006,-147.60259361783832,14.303764676023915,-12.688278342697656,-0.2238,-0.9603,0.1245,-0.1105,0
552208.0,496.968093,1.0,1.85,3.01,-7.89,-14.38,-29.87,27.37,23.56,-44.25,-33.44,-0.1400849192881413,-0.404108530973625,1.172313169033627,-149.94434113378782,13.045763563399612,-11.294085603048902,-0.2113,-0.9658,0.1136,-0.0984,0
552208.0,496.968093,1.0,1.85,3.01,-7.89,-14.38,-29.87,27.37,23.56,-44.25,-33.44,-0.1400849192881413,-0.404108530973625,1.172313169033627,-149.94434113378782,13.045763563399612,-11.294085603048902,-0.2113,-0.9658,0.1136,-0.0984,0
552245.0,497.015565,1.0,1.53,3.78,-7.46,-11.38,-29.56,29.0,7.13,5.63,-19.25,-0.43764452438131873,0.44026330598482954,1.3275264903627964,-150.79583135983617,12.123472436717575,-10.499813733449365,-0.21,-0.9677,0.1056,-0.0915,0
552245.0,497.015565,1.0,1.53,3.78,-7.46,-11.38,-29.56,29.0,7.13,5.63,-19.25,-0.43764452438131873,0.44026330598482954,1.3275264903627964,-150.79583135983617,12.123472436717575,-10.499813733449365,-0.21,-0.9677,0.1056,-0.0915,0
552280.0,497.033121,1.0,1.94,2.84,-8.48,-11.38,-29.56,29.0,26.25,22.44,-24.06,-0.01198885758560339,-0.7104742589584079,0.6833456318090931,-151.30008546167105,11.31711591010567,-10.960197096754332,-0.2062,-0.9688,0.0986,-0.0955,0
552280.0,497.033121,1.0,1.94,2.84,-8.48,-11.38,-29.56,29.0,26.25,22.44,-24.06,-0.01198885758560339,-0.7104742589584079,0.6833456318090931,-151.30008546167105,11.31711591010567,-10.960197096754332,-0.2062,-0.9688,0.0986,-0.0955,0
552316.0,497.075058,1.0,2.37,2.41,-8.56,-11.75,-30.25,27.87,-4.38,34.56,9.94,0.29859405363956526,-1.0237115212383445,0.6654544374701725,-151.3927025567389,10.833574298853826,-12.169567773976446,-0.2022,-0.969,0.0944,-0.106,0
552316.0,497.075058,1.0,2.37,2.41,-8.56,-11.75,-30.25,27.87,-4.38,34.56,9.94,0.29859405363956526,-1.0237115212383445,0.6654544374701725,-151.3927025567389,10.833574298853826,-12.169567773976446,-0.2022,-0.969,0.0944,-0.106,0
552351.0,497.131029,1.0,2.64,2.99,-7.51,-12.5,-29.56,27.5,-25.06,86.37,28.87,0.3331188401580992,-0.15614853767548298,1.3110953110751158,-149.81204156148604,11.31711591010567,-13.98044914927855,-0.2081,-0.9655,0.0986,-0.1217,0
552351.0,497.131029,1.0,2.64,2.99,-7.51,-12.5,-29.56,27.5,-25.06,86.37,28.87,0.3331188401580992,-0.15614853767548298,1.3110953110751158,-149.81204156148604,11.31711591010567,-13.98044914927855,-0.2081,-0.9655,0.0986,-0.1217,0
552386.0,497.150811,1.0,4.44,3.96,-9.97,-12.5,-29.56,27.5,-36.0,106.62,42.63,0.453090515183563,-0.46332150082829937,-1.7854223846912252,-146.1159090950019,12.019765115233206,-18.40218382722317,-0.22,-0.9566,0.1047,-0.1599,0
552386.0,497.150811,1.0,4.44,3.96,-9.97,-12.5,-29.56,27.5,-36.0,106.62,42.63,0.453090515183563,-0.46332150082829937,-1.7854223846912252,-146.1159090950019,12.019765115233206,-18.40218382722317,-0.22,-0.9566,0.1047,-0.1599,0
552421.0,497.193495,1.0,4.29,4.37,-9.64,-14.5,-29.06,26.69,-27.31,36.44,24.25,-0.06866495473423567,-0.2041847314842724,-1.6119398305973025,-143.97904817901195,12.849707716341905,-20.122400879873982,-0.229,-0.951,0.1119,-0.1747,0
552421.0,497.193495,1.0,4.29,4.37,-9.64,-14.5,-29.06,26.69,-27.31,36.44,24.25,-0.06866495473423567,-0.2041847314842724,-1.6119398305973025,-143.97904817901195,12.849707716341905,-20.122400879873982,-0.229,-0.951,0.1119,-0.1747,0
552458.0,497.257955,1.0,3.89,3.28,-7.63,-17.5,-30.19,25.5,-25.75,47.19,31.06,0.2667458573508831,-0.33546556888727674,0.6456615435245041,-142.77543036661098,13.426452603767608,-21.205671619155694,-0.233,-0.9477,0.1169,-0.184,0
552458.0,497.257955,1.0,3.89,3.28,-7.63,-17.5,-30.19,25.5,-25.75,47.19,31.06,0.2667458573508831,-0.33546556888727674,0.6456615435245041,-142.77543036661098,13.426452603767608,-21.205671619155694,-0.233,-0.9477,0.1169,-0.184,0
