TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
578846.0,454.38765,1.0,-6.61,3.79,-6.29,28.0,-21.56,14.19,-4.31,3.88,6.63,0.2059042574105867,-0.20379281368993385,-0.06940042139156866,-116.92543657528313,-33.129652316118374,34.44701981345315,-0.3235,-0.8523,-0.2851,0.2961,0
578846.0,454.38765,1.0,-6.61,3.79,-6.29,28.0,-21.56,14.19,-4.31,3.88,6.63,0.2059042574105867,-0.20379281368993385,-0.06940042139156866,-116.92543657528313,-33.129652316118374,34.44701981345315,-0.3235,-0.8523,-0.2851,0.2961,0
578879.0,454.425303,1.0,-6.61,4.13,-6.15,28.37,-22.0,13.88,-5.88,0.88,3.25,0.35322175113270093,0.07325497098555322,-0.11511234868346065,-116.88163381383895,-33.045974096012706,34.29108977492126,-0.3258,-0.8521,-0.2844,0.2948,0
578879.0,454.425303,1.0,-6.61,4.13,-6.15,28.37,-22.0,13.88,-5.88,0.88,3.25,0.35322175113270093,0.07325497098555322,-0.11511234868346065,-116.88163381383895,-33.045974096012706,34.29108977492126,-0.3258,-0.8521,-0.2844,0.2948,0
578916.0,454.438655,1.0,-6.57,3.86,-6.04,27.56,-22.25,13.75,3.25,1.56,-2.56,0.16569804167890112,-0.008829724614704881,0.0845840572619565,-116.94734819003152,-33.08183396795116,34.279097871531036,-0.3249,-0.8524,-0.2847,0.2947,0
578916.0,454.438655,1.0,-6.57,3.86,-6.04,27.56,-22.25,13.75,3.25,1.56,-2.56,0.16569804167890112,-0.008829724614704881,0.0845840572619565,-116.94734819003152,-33.08183396795116,34.279097871531036,-0.3249,-0.8524,-0.2847,0.2947,0
578951.0,454.491837,1.0,-6.58,3.61,-6.08,27.56,-22.25,13.75,3.44,2.5,-4.44,0.01358891494263581,-0.16091599732342088,0.14907155697422958,-116.99119192350858,-33.20139097173225,34.26710635514728,-0.3235,-0.8526,-0.2857,0.2946,0
578951.0,454.491837,1.0,-6.58,3.61,-6.08,27.56,-22.25,13.75,3.44,2.5,-4.44,0.01358891494263581,-0.16091599732342088,0.14907155697422958,-116.99119192350858,-33.20139097173225,34.26710635514728,-0.3235,-0.8526,-0.2857,0.2946,0
578983.0,454.495051,1.0,-6.63,3.65,-5.76,27.25,-21.56,15.0,-2.0,1.94,4.06,-0.10310932598373834,0.10834564044813999,0.29693761270399577,-117.03506304367225,-33.15356371555689,34.231134126347314,-0.3236,-0.8528,-0.2853,0.2943,0
578983.0,454.495051,1.0,-6.63,3.65,-5.76,27.25,-21.56,15.0,-2.0,1.94,4.06,-0.10310932598373834,0.10834564044813999,0.29693761270399577,-117.03506304367225,-33.15356371555689,34.231134126347314,-0.3236,-0.8528,-0.2853,0.2943,0
579018.0,454.55167,1.0,-6.48,4.11,-6.24,26.87,-21.19,13.75,-3.63,5.69,4.69,0.413192242027264,0.008927734035198753,-0.07511565532159814,-117.166841303543,-33.1057424006888,33.967443729776726,-0.3243,-0.8534,-0.2849,0.2921,0
579018.0,454.55167,1.0,-6.48,4.11,-6.24,26.87,-21.19,13.75,-3.63,5.69,4.69,0.413192242027264,0.008927734035198753,-0.07511565532159814,-117.166841303543,-33.1057424006888,33.967443729776726,-0.3243,-0.8534,-0.2849,0.2921,0
579055.0,454.559235,1.0,-6.51,3.87,-6.13,27.56,-21.87,14.56,-1.81,5.94,-1.0,0.18173827631318162,-0.040671099556210955,0.06502708281707115,-117.23282354978821,-33.15356371555689,33.84764578735518,-0.3241,-0.8537,-0.2853,0.2911,0
579055.0,454.559235,1.0,-6.51,3.87,-6.13,27.56,-21.87,14.56,-1.81,5.94,-1.0,0.18173827631318162,-0.040671099556210955,0.06502708281707115,-117.23282354978821,-33.15356371555689,33.84764578735518,-0.3241,-0.8537,-0.2853,0.2911,0
579090.0,454.622185,1.0,-6.38,3.83,-6.75,27.56,-21.87,14.56,1.5,2.13,-1.63,0.4280400097550522,-0.5337350243237262,-0.21670815352614348,-117.27684633570153,-33.22530683110648,33.763809904650955,-0.3236,-0.8539,-0.2859,0.2904,0
579090.0,454.622185,1.0,-6.38,3.83,-6.75,27.56,-21.87,14.56,1.5,2.13,-1.63,0.4280400097550522,-0.5337350243237262,-0.21670815352614348,-117.27684633570153,-33.22530683110648,33.763809904650955,-0.3236,-0.8539,-0.2859,0.2904,0
579125.0,454.638394,1.0,-6.66,3.71,-5.99,28.75,-22.37,14.69,-8.13,2.94,4.88,-0.07956241412586351,0.0051728986188595005,0.11162843925149879,-117.25483147566798,-33.16551997219127,33.78776111254545,-0.3243,-0.8538,-0.2854,0.2906,0
579125.0,454.638394,1.0,-6.66,3.71,-5.99,28.75,-22.37,14.69,-8.13,2.94,4.88,-0.07956241412586351,0.0051728986188595005,0.11162843925149879,-117.25483147566798,-33.16551997219127,33.78776111254545,-0.3243,-0.8538,-0.2854,0.2906,0
579162.0,454.690996,1.0,-6.28,4.67,-6.83,28.0,-22.25,15.5,-6.75,-4.13,-1.06,1.0750510218146507,-0.15309317980881998,-0.5237433990333269,-117.07896160834984,-33.20139097173225,33.763809904650955,-0.3264,-0.853,-0.2857,0.2904,0
579162.0,454.690996,1.0,-6.28,4.67,-6.83,28.0,-22.25,15.5,-6.75,-4.13,-1.06,1.0750510218146507,-0.15309317980881998,-0.5237433990333269,-117.07896160834984,-33.20139097173225,33.763809904650955,-0.3264,-0.853,-0.2857,0.2904,0
579196.0,454.735472,1.0,-6.71,3.43,-5.51,28.0,-22.25,15.5,11.31,0.06,-4.69,-0.40981571733013933,0.18079452862733403,0.4820339534140814,-117.07896160834984,-33.2133487153414,34.039340850884635,-0.324,-0.853,-0.2858,0.2927,0
579196.0,454.735472,1.0,-6.71,3.43,-5.51,28.0,-22.25,15.5,11.31,0.06,-4.69,-0.40981571733013933,0.18079452862733403,0.4820339534140814,-117.07896160834984,-33.2133487153414,34.039340850884635,-0.324,-0.853,-0.2858,0.2927,0
579229.0,454.750986,1.0,-6.67,3.2,-5.91,27.25,-21.87,14.19,1.81,6.25,1.44,-0.4342366902864673,-0.22539681965702907,0.35056017542147266,-117.29886813726063,-33.23726531919248,33.859623864523655,-0.3226,-0.854,-0.286,0.2912,0
579229.0,454.750986,1.0,-6.67,3.2,-5.91,27.25,-21.87,14.19,1.81,6.25,1.44,-0.4342366902864673,-0.22539681965702907,0.35056017542147266,-117.29886813726063,-33.23726531919248,33.859623864523655,-0.3226,-0.854,-0.286,0.2912,0
579266.0,454.790116,1.0,-6.54,3.89,-6.22,28.75,-21.56,14.19,-6.31,3.44,3.63,0.17332040174154062,-0.06016696914497288,-0.019765418359028786,-117.36497526499907,-33.2133487153414,33.620134512854776,-0.3237,-0.8543,-0.2858,0.2892,0
579266.0,454.790116,1.0,-6.54,3.89,-6.22,28.75,-21.56,14.19,-6.31,3.44,3.63,0.17332040174154062,-0.06016696914497288,-0.019765418359028786,-117.36497526499907,-33.2133487153414,33.620134512854776,-0.3237,-0.8543,-0.2858,0.2892,0
579301.0,454.803425,1.0,-6.45,4.14,-6.03,28.75,-21.56,14.19,-0.88,3.0,-0.06,0.326452826334912,0.20678157291092392,0.06223262730488166,-117.38702490663178,-33.24922417976444,33.50044658873592,-0.3241,-0.8544,-0.2861,0.2882,0
579301.0,454.803425,1.0,-6.45,4.14,-6.03,28.75,-21.56,14.19,-0.88,3.0,-0.06,0.326452826334912,0.20678157291092392,0.06223262730488166,-117.38702490663178,-33.24922417976444,33.50044658873592,-0.3241,-0.8544,-0.2861,0.2882,0
579336.0,454.841393,1.0,-6.48,3.78,-6.32,26.87,-22.0,15.06,7.69,-2.56,-1.75,0.17199155497311835,-0.19343020912398523,0.0008250138391598938,-117.4752933334574,-33.23726531919248,33.59619391104007,-0.3225,-0.8548,-0.286,0.289,0
579336.0,454.841393,1.0,-6.48,3.78,-6.32,26.87,-22.0,15.06,7.69,-2.56,-1.75,0.17199155497311835,-0.19343020912398523,0.0008250138391598938,-117.4752933334574,-33.23726531919248,33.59619391104007,-0.3225,-0.8548,-0.286,0.289,0
579368.0,454.900217,1.0,-6.76,3.42,-5.85,28.0,-21.87,14.19,0.94,1.06,-1.0,-0.3996367109122253,0.01058362519124656,0.24335148504350634,-117.49737794257481,-33.24922417976444,33.6081640231361,-0.322,-0.8549,-0.2861,0.2891,0
579368.0,454.900217,1.0,-6.76,3.42,-5.85,28.0,-21.87,14.19,0.94,1.06,-1.0,-0.3996367109122253,0.01058362519124656,0.24335148504350634,-117.49737794257481,-33.24922417976444,33.6081640231361,-0.322,-0.8549,-0.2861,0.2891,0
