TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3191504.0,2167.556638,1.0,5.55,2.56,-7.82,-20.37,-27.75,27.87,-3.0,-1.06,-0.56,-0.06417857625791401,-0.26105906036962123,-0.11485337788323413,-140.23768007093892,-8.246248510013665,-35.745018073663594,-0.1273,-0.9404,-0.0719,-0.3069,0
3191504.0,2167.556638,1.0,5.55,2.56,-7.82,-20.37,-27.75,27.87,-3.0,-1.06,-0.56,-0.06417857625791401,-0.26105906036962123,-0.11485337788323413,-140.23768007093892,-8.246248510013665,-35.745018073663594,-0.1273,-0.9404,-0.0719,-0.3069,0
3191541.0,2167.594561,1.0,5.41,2.94,-7.55,-19.69,-28.19,27.0,0.37,-1.94,-1.12,0.01251032920313809,0.16522748698037226,0.06566733041222328,-140.23768007093892,-8.269226458088283,-35.69686055762551,-0.1283,-0.9404,-0.0721,-0.3065,0
3191541.0,2167.594561,1.0,5.41,2.94,-7.55,-19.69,-28.19,27.0,0.37,-1.94,-1.12,0.01251032920313809,0.16522748698037226,0.06566733041222328,-140.23768007093892,-8.269226458088283,-35.69686055762551,-0.1283,-0.9404,-0.0721,-0.3065,0
3191578.0,2167.66989,1.0,5.9,2.92,-7.88,-19.25,-28.56,29.06,2.63,-4.5,-0.37,0.22347766042596912,-0.004244923956926661,-0.4588670213638615,-140.33889297208822,-8.29220473923879,-35.624636497255686,-0.1272,-0.9407,-0.0723,-0.3059,0
3191578.0,2167.66989,1.0,5.9,2.92,-7.88,-19.25,-28.56,29.06,2.63,-4.5,-0.37,0.22347766042596912,-0.004244923956926661,-0.4588670213638615,-140.33889297208822,-8.29220473923879,-35.624636497255686,-0.1272,-0.9407,-0.0723,-0.3059,0
3191611.0,2167.677654,1.0,5.41,2.72,-7.82,-19.25,-28.56,29.06,9.44,-11.31,2.44,-0.0636663323425631,-0.027115894055961265,-0.08345168433144146,-140.88293936908892,-8.269226458088283,-35.17957649356332,-0.1244,-0.9423,-0.0721,-0.3022,0
3191611.0,2167.677654,1.0,5.41,2.72,-7.82,-19.25,-28.56,29.06,9.44,-11.31,2.44,-0.0636663323425631,-0.027115894055961265,-0.08345168433144146,-140.88293936908892,-8.269226458088283,-35.17957649356332,-0.1244,-0.9423,-0.0721,-0.3022,0
3191648.0,2167.696266,1.0,5.5,3.16,-8.09,-19.69,-28.19,28.19,23.81,-0.81,6.25,-0.08228274522314721,0.42150474098066537,-0.4646334301838557,-141.26122730722247,-8.2807155569704,-35.02333444123644,-0.1194,-0.9434,-0.0722,-0.3009,0
3191648.0,2167.696266,1.0,5.5,3.16,-8.09,-19.69,-28.19,28.19,23.81,-0.81,6.25,-0.08228274522314721,0.42150474098066537,-0.4646334301838557,-141.26122730722247,-8.2807155569704,-35.02333444123644,-0.1194,-0.9434,-0.0722,-0.3009,0
