TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1684449.0,472.948304,1.0,-0.36,0.7,-9.78,6.75,-22.75,37.75,-0.25,1.31,0.31,0.03711265711625585,0.025662840279429666,-0.004872005749696484,-164.70021747025422,-14.54632631618216,1.7647797695524667,-0.0362,-0.9911,-0.1266,0.0154,0
1684449.0,472.948304,1.0,-0.36,0.7,-9.78,6.75,-22.75,37.75,-0.25,1.31,0.31,0.03711265711625585,0.025662840279429666,-0.004872005749696484,-164.70021747025422,-14.54632631618216,1.7647797695524667,-0.0362,-0.9911,-0.1266,0.0154,0
1684484.0,472.971949,1.0,-0.35,0.61,-9.73,6.75,-22.75,37.75,0.81,0.94,-0.5,0.01824748346561117,-0.05135817330023157,0.05141912793026471,-164.78654130633294,-14.557878496401068,1.7303983035632713,-0.0358,-0.9912,-0.1267,0.0151,0
1684484.0,472.971949,1.0,-0.35,0.61,-9.73,6.75,-22.75,37.75,0.81,0.94,-0.5,0.01824748346561117,-0.05135817330023157,0.05141912793026471,-164.78654130633294,-14.557878496401068,1.7303983035632713,-0.0358,-0.9912,-0.1267,0.0151,0
1684518.0,472.982087,1.0,-0.39,0.54,-9.77,7.19,-22.0,36.19,-0.37,-0.44,-0.75,-0.03859414012056987,-0.10778430023635546,0.014638304900216781,-164.70021747025422,-14.580983303227082,1.7189378496716434,-0.0356,-0.9911,-0.1269,0.015,0
1684518.0,472.982087,1.0,-0.39,0.54,-9.77,7.19,-22.0,36.19,-0.37,-0.44,-0.75,-0.03859414012056987,-0.10778430023635546,0.014638304900216781,-164.70021747025422,-14.580983303227082,1.7189378496716434,-0.0356,-0.9911,-0.1269,0.015,0
1684553.0,473.026611,1.0,-0.43,0.18,-9.95,5.69,-21.56,36.69,1.31,2.56,0.81,-0.17358831532427033,-0.451583924834534,-0.14250770583690908,-164.78654130633294,-14.54632631618216,1.6616358358374437,-0.0353,-0.9912,-0.1266,0.0145,0
1684553.0,473.026611,1.0,-0.43,0.18,-9.95,5.69,-21.56,36.69,1.31,2.56,0.81,-0.17358831532427033,-0.451583924834534,-0.14250770583690908,-164.78654130633294,-14.54632631618216,1.6616358358374437,-0.0353,-0.9912,-0.1266,0.0145,0
1684588.0,473.05212,1.0,-0.19,1.17,-9.73,5.69,-22.37,35.75,-9.19,-0.5,4.75,0.29076929774223487,0.42284370921457687,0.01815898181603437,-164.87335484809628,-14.38461134345722,1.627254827906764,-0.0373,-0.9913,-0.1252,0.0142,0
1684588.0,473.05212,1.0,-0.19,1.17,-9.73,5.69,-22.37,35.75,-9.19,-0.5,4.75,0.29076929774223487,0.42284370921457687,0.01815898181603437,-164.87335484809628,-14.38461134345722,1.627254827906764,-0.0373,-0.9913,-0.1252,0.0142,0
1684623.0,473.098015,1.0,-0.31,0.63,-9.77,5.69,-22.37,35.75,2.25,0.0,1.69,0.04003181110768403,-0.07416965546755244,0.011814814234634596,-164.96066657615677,-14.303764676023915,1.627254827906764,-0.0374,-0.9914,-0.1245,0.0142,0
1684623.0,473.098015,1.0,-0.31,0.63,-9.77,5.69,-22.37,35.75,2.25,0.0,1.69,0.04003181110768403,-0.07416965546755244,0.011814814234634596,-164.96066657615677,-14.303764676023915,1.627254827906764,-0.0374,-0.9914,-0.1245,0.0142,0
1684660.0,473.172395,1.0,-0.31,-0.32,-10.08,6.0,-22.37,38.25,-6.56,2.75,18.44,-0.1975072676882281,-1.004571906448228,-0.23111499844389094,-165.4050127335264,-13.876550175976101,1.5470330404085568,-0.0368,-0.9919,-0.1208,0.0135,0
1684660.0,473.172395,1.0,-0.31,-0.32,-10.08,6.0,-22.37,38.25,-6.56,2.75,18.44,-0.1975072676882281,-1.004571906448228,-0.23111499844389094,-165.4050127335264,-13.876550175976101,1.5470330404085568,-0.0368,-0.9919,-0.1208,0.0135,0
