TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
4218351.0,4181.084627,1.0,4.09,4.6,-7.73,-12.06,-34.56,24.56,-1.88,-1.19,1.12,-0.10865046648852267,0.04718010537960371,-0.07398606827962162,-137.68760819354466,-15.968397992715149,-30.021467926252935,-0.2097,-0.9326,-0.1389,-0.259,0
4218351.0,4181.084627,1.0,4.09,4.6,-7.73,-12.06,-34.56,24.56,-1.88,-1.19,1.12,-0.10865046648852267,0.04718010537960371,-0.07398606827962162,-137.68760819354466,-15.968397992715149,-30.021467926252935,-0.2097,-0.9326,-0.1389,-0.259,0
4218386.0,4181.127216,1.0,4.07,4.6,-7.69,-12.5,-33.75,24.19,-0.19,-0.63,-0.19,-0.10241340790334774,0.0656716690492889,-0.03439662755775963,-137.68760819354466,-15.956826751094518,-30.009604103998097,-0.2098,-0.9326,-0.1388,-0.2589,0
4218386.0,4181.127216,1.0,4.07,4.6,-7.69,-12.5,-33.75,24.19,-0.19,-0.63,-0.19,-0.10241340790334774,0.0656716690492889,-0.03439662755775963,-137.68760819354466,-15.956826751094518,-30.009604103998097,-0.2098,-0.9326,-0.1388,-0.2589,0
4218421.0,4181.197083,1.0,4.29,4.68,-7.96,-11.75,-35.0,25.37,-0.63,-1.75,0.12,-0.051362711853219334,-0.03350444213425119,-0.374918608234605,-137.68760819354466,-15.945255673236543,-29.98587744698569,-0.2099,-0.9326,-0.1387,-0.2587,0
4218421.0,4181.197083,1.0,4.29,4.68,-7.96,-11.75,-35.0,25.37,-0.63,-1.75,0.12,-0.051362711853219334,-0.03350444213425119,-0.374918608234605,-137.68760819354466,-15.945255673236543,-29.98587744698569,-0.2099,-0.9326,-0.1387,-0.2587,0
4218456.0,4181.217833,1.0,4.25,4.6,-7.7,-11.75,-35.0,25.37,1.25,-3.75,0.69,0.06653667911925037,-0.0002852910778536888,-0.1184733135382654,-137.81479293008655,-15.922114008308865,-29.855404317236438,-0.2096,-0.933,-0.1385,-0.2576,0
4218456.0,4181.217833,1.0,4.25,4.6,-7.7,-11.75,-35.0,25.37,1.25,-3.75,0.69,0.06653667911925037,-0.0002852910778536888,-0.1184733135382654,-137.81479293008655,-15.922114008308865,-29.855404317236438,-0.2096,-0.933,-0.1385,-0.2576,0
4218490.0,4181.258231,1.0,4.29,4.24,-7.95,-11.38,-33.75,25.06,2.0,-0.75,2.88,-0.08282892845735276,-0.3999987160738929,-0.16417445917838158,-137.87852272532075,-15.875832638109523,-29.8198276164604,-0.2092,-0.9332,-0.1381,-0.2573,0
4218490.0,4181.258231,1.0,4.29,4.24,-7.95,-11.38,-33.75,25.06,2.0,-0.75,2.88,-0.08282892845735276,-0.3999987160738929,-0.16417445917838158,-137.87852272532075,-15.875832638109523,-29.8198276164604,-0.2092,-0.9332,-0.1381,-0.2573,0
