,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,5448265.0,272.54495499999996,1.0,6.04,4.57,-6.51,-9.88,-30.19,28.56,0.0,0.75,0.5,0.1256748761044384,-0.005005849917532501,-0.17987996625868696,-109.11541872598387,-48.20872972254528,-47.79478761247317,-0.0733,-0.8147,-0.4084,-0.4051
1,5448265.0,272.54495499999996,1.0,6.04,4.57,-6.51,-9.88,-30.19,28.56,0.0,0.75,0.5,0.1256748761044384,-0.005005849917532501,-0.17987996625868696,-109.11541872598387,-48.20872972254528,-47.79478761247317,-0.0733,-0.8147,-0.4084,-0.4051
2,5448300.0,272.54834700000004,1.0,5.96,4.35,-6.55,-9.88,-30.19,28.56,3.31,-2.13,0.44,-0.043164947523847134,-0.08075209810710016,-0.05936317077757281,-109.17472377788086,-48.23383857270471,-47.694537953351535,-0.0727,-0.815,-0.4086,-0.4043
3,5448300.0,272.54834700000004,1.0,5.96,4.35,-6.55,-9.88,-30.19,28.56,3.31,-2.13,0.44,-0.043164947523847134,-0.08075209810710016,-0.05936317077757281,-109.17472377788086,-48.23383857270471,-47.694537953351535,-0.0727,-0.815,-0.4086,-0.4043
4,5448335.0,272.583332,1.0,5.76,4.36,-6.53,-11.38,-30.19,29.0,-0.63,0.0,0.25,-0.08630429392802008,0.05954506731388641,0.06924244183503525,-109.19450172299595,-48.258949886108525,-47.65695432872225,-0.0729,-0.8151,-0.4088,-0.40399999999999997
5,5448335.0,272.583332,1.0,5.76,4.36,-6.53,-11.38,-30.19,29.0,-0.63,0.0,0.25,-0.08630429392802008,0.05954506731388641,0.06924244183503525,-109.19450172299595,-48.258949886108525,-47.65695432872225,-0.0729,-0.8151,-0.4088,-0.40399999999999997
6,5448368.0,272.661411,1.0,5.98,4.67,-6.68,-9.88,-30.5,29.0,-0.63,0.31,0.44,0.06364803257138146,0.13481478740913966,-0.3012416644889733,-109.19450172299595,-48.23383857270471,-47.68200947327645,-0.0731,-0.8151,-0.4086,-0.4042
7,5448368.0,272.661411,1.0,5.98,4.67,-6.68,-9.88,-30.5,29.0,-0.63,0.31,0.44,0.06364803257138146,0.13481478740913966,-0.3012416644889733,-109.19450172299595,-48.23383857270471,-47.68200947327645,-0.0731,-0.8151,-0.4086,-0.4042
8,5448404.0,272.665513,1.0,5.83,4.3,-6.63,-10.19,-29.75,29.5,4.25,-4.31,-1.25,-0.15345486903131236,-0.017829511525287778,-0.012307872996977665,-109.23407202946329,-48.30917991037589,-47.544236088592434,-0.0728,-0.8153,-0.4092,-0.4031
9,5448404.0,272.665513,1.0,5.83,4.3,-6.63,-10.19,-29.75,29.5,4.25,-4.31,-1.25,-0.15345486903131236,-0.017829511525287778,-0.012307872996977665,-109.23407202946329,-48.30917991037589,-47.544236088592434,-0.0728,-0.8153,-0.4092,-0.4031
