TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3826143.0,444.310567,1.0,-1.72,5.75,-7.96,21.69,-26.87,27.37,-1.69,-0.5,-0.69,0.09340825215148474,-0.10010924889534367,-0.16148688894346996,-101.5194456395094,-66.39134200709483,-10.810553401892456,-0.3024,-0.7745,-0.5475,-0.0942,0
3826143.0,444.310567,1.0,-1.72,5.75,-7.96,21.69,-26.87,27.37,-1.69,-0.5,-0.69,0.09340825215148474,-0.10010924889534367,-0.16148688894346996,-101.5194456395094,-66.39134200709483,-10.810553401892456,-0.3024,-0.7745,-0.5475,-0.0942,0
3826178.0,444.359812,1.0,-1.68,5.59,-7.86,22.5,-26.87,27.69,1.75,2.63,0.63,0.027975219683848085,-0.12853680171357063,0.01722735728562519,-101.5194456395094,-66.40503646948389,-10.8450849117299,-0.3022,-0.7745,-0.5476,-0.0945,0
3826178.0,444.359812,1.0,-1.68,5.59,-7.86,22.5,-26.87,27.69,1.75,2.63,0.63,0.027975219683848085,-0.12853680171357063,0.01722735728562519,-101.5194456395094,-66.40503646948389,-10.8450849117299,-0.3022,-0.7745,-0.5476,-0.0945,0
3826212.0,444.362643,1.0,-1.65,5.67,-7.86,22.5,-26.87,27.69,-1.25,-0.25,-0.25,0.09740104107439318,-0.1334663668382654,-0.023085488105499152,-101.55568290678625,-66.37764861539371,-10.879617409371034,-0.3022,-0.7747,-0.5474,-0.0948,0
3826212.0,444.362643,1.0,-1.65,5.67,-7.86,22.5,-26.87,27.69,-1.25,-0.25,-0.25,0.09740104107439318,-0.1334663668382654,-0.023085488105499152,-101.55568290678625,-66.37764861539371,-10.879617409371034,-0.3022,-0.7747,-0.5474,-0.0948,0
3826247.0,444.390073,1.0,-1.73,5.71,-7.85,22.75,-26.87,26.87,-2.13,-1.81,-0.56,0.10061248499092701,-0.04479522124487145,-0.052729824107474954,-101.55568290678625,-66.36395629393388,-10.902639624835572,-0.3021,-0.7747,-0.5473,-0.095,0
3826247.0,444.390073,1.0,-1.73,5.71,-7.85,22.75,-26.87,26.87,-2.13,-1.81,-0.56,0.10061248499092701,-0.04479522124487145,-0.052729824107474954,-101.55568290678625,-66.36395629393388,-10.902639624835572,-0.3021,-0.7747,-0.5473,-0.095,0
3826282.0,444.438939,1.0,-1.81,5.52,-7.82,22.5,-26.5,26.87,-2.25,-0.25,0.56,-0.071085905294474,-0.001988976948707144,0.06530292487537359,-101.5375625187884,-66.37764861539371,-10.937173775974523,-0.3022,-0.7746,-0.5474,-0.0953,0
3826282.0,444.438939,1.0,-1.81,5.52,-7.82,22.5,-26.5,26.87,-2.25,-0.25,0.56,-0.071085905294474,-0.001988976948707144,0.06530292487537359,-101.5375625187884,-66.37764861539371,-10.937173775974523,-0.3022,-0.7746,-0.5474,-0.0953,0
