,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1868431.0,534.7642030000001,1.0,-2.93,2.53,-9.33,6.5,-21.0,33.75,-23.81,-11.81,12.44,0.6554876698326285,0.16027251851489832,-0.2720080770708861,-153.06392657993817,-11.224997424028942,19.12228331882828,-0.1302,-0.9725,-0.0978,0.1661
1,1868431.0,534.7642030000001,1.0,-2.93,2.53,-9.33,6.5,-21.0,33.75,-23.81,-11.81,12.44,0.6554876698326285,0.16027251851489832,-0.2720080770708861,-153.06392657993817,-11.224997424028942,19.12228331882828,-0.1302,-0.9725,-0.0978,0.1661
2,1868466.0,534.767645,1.0,-3.33,2.08,-8.85,6.5,-21.37,33.0,-3.0,-5.56,3.81,0.07776026008627558,-0.1908092253951179,0.1270144086435021,-152.52794284369597,-11.086833319532733,19.43611171140661,-0.136,-0.9714,-0.0966,0.1688
3,1868466.0,534.767645,1.0,-3.33,2.08,-8.85,6.5,-21.37,33.0,-3.0,-5.56,3.81,0.07776026008627558,-0.1908092253951179,0.1270144086435021,-152.52794284369597,-11.086833319532733,19.43611171140661,-0.136,-0.9714,-0.0966,0.1688
4,1868500.0,534.776042,1.0,-3.5,2.31,-8.69,6.19,-22.5,32.69,-9.19,-2.56,2.19,-0.06645881063255317,0.04823983029817347,0.1580513377453574,-152.3835367338065,-10.994732910342313,19.517498563105914,-0.1384,-0.9711,-0.0958,0.1695
5,1868500.0,534.776042,1.0,-3.5,2.31,-8.69,6.19,-22.5,32.69,-9.19,-2.56,2.19,-0.06645881063255317,0.04823983029817347,0.1580513377453574,-152.3835367338065,-10.994732910342313,19.517498563105914,-0.1384,-0.9711,-0.0958,0.1695
6,1868537.0,534.848983,1.0,-3.07,2.38,-9.17,5.38,-22.5,32.56,-8.19,1.81,5.06,0.4706855936376461,-0.13101089075464478,-0.1401832256274229,-152.28767595523584,-10.948685380949463,19.412860145181693,-0.1405,-0.9709,-0.0954,0.1686
7,1868537.0,534.848983,1.0,-3.07,2.38,-9.17,5.38,-22.5,32.56,-8.19,1.81,5.06,0.4706855936376461,-0.13101089075464478,-0.1401832256274229,-152.28767595523584,-10.948685380949463,19.412860145181693,-0.1405,-0.9709,-0.0954,0.1686
8,1868570.0,534.858303,1.0,-3.53,2.58,-8.86,5.38,-22.5,32.56,-13.69,-3.88,-0.5,0.000651577020505084,0.12674532791582238,-0.07266349828007712,-151.95469309277132,-10.960197096754332,19.459364085641027,-0.145,-0.9702,-0.0955,0.16899999999999998
9,1868570.0,534.858303,1.0,-3.53,2.58,-8.86,5.38,-22.5,32.56,-13.69,-3.88,-0.5,0.000651577020505084,0.12674532791582238,-0.07266349828007712,-151.95469309277132,-10.960197096754332,19.459364085641027,-0.145,-0.9702,-0.0955,0.16899999999999998
10,1868607.0,534.929433,1.0,-3.64,2.02,-8.75,6.19,-22.5,31.75,2.81,7.25,2.44,-0.28856523371361403,-0.3401437393638204,0.1271080509993432,-152.09692309623645,-10.937173775974523,19.319861939553064,-0.1446,-0.9705,-0.0953,0.1678
