TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2657968.0,1159.211125,1.0,-5.83,-0.48,-7.87,35.75,-14.25,13.88,-2.31,-0.06,2.0,-0.04775962799848488,0.02521027358937067,0.0008719349998038695,-115.34387175567548,-51.49424218516167,33.42865189900328,-0.1203,-0.845,-0.4344,0.2876
2658004.0,1159.22105,1.0,-5.8,-0.43,-8.04,35.0,-13.88,14.19,-0.94,1.5,1.94,0.056396546844661,-0.051619243429761874,-0.11608424431047126,-115.38674111389929,-51.456078599192516,33.38079627736779,-0.121,-0.8452,-0.4341,0.2872
2658039.0,1159.262941,1.0,-5.76,-0.39,-7.89,35.0,-14.25,15.5,-2.44,-0.5,0.75,0.04063553461922842,0.009255163566896929,0.030144331036595418,-115.40818530642285,-51.443358765022325,33.344908493651104,-0.1214,-0.8453,-0.434,0.2869
2658072.0,1159.268923,1.0,-5.62,-0.42,-8.05,35.0,-14.25,15.5,-1.25,-0.44,1.44,0.127544203912779,-0.17835643929476352,-0.01756607338775673,-115.45109275023192,-51.43063961098535,33.285102998046874,-0.1219,-0.8455,-0.4339,0.2864
2658107.0,1159.272943,1.0,-5.68,-0.31,-8.09,35.75,-14.25,13.88,-2.69,-1.25,-0.25,0.1982989720437951,-0.09868710157825844,-0.080591191235726,-115.42963584973434,-51.443358765022325,33.2731430190265,-0.1224,-0.8454,-0.434,0.2863
2658144.0,1159.307323,1.0,-5.72,-0.56,-7.89,34.56,-14.69,13.5,1.75,-1.5,-0.06,-0.09290627796560491,-0.13674770227660893,0.04669259797018377,-115.38674111389929,-51.456078599192516,33.309024075692264,-0.1227,-0.8452,-0.4341,0.2866
2658179.0,1159.325225,1.0,-5.78,-0.66,-7.78,34.56,-14.69,13.5,1.25,-1.75,0.63,-0.22968348044086895,-0.10707742312142554,0.09541012425446027,-115.36530326577596,-51.443358765022325,33.38079627736779,-0.1224,-0.8451,-0.434,0.2872
2658213.0,1159.386048,1.0,-5.81,-0.59,-7.87,36.06,-13.88,13.38,-0.75,-1.06,2.0,-0.1453461508841447,-0.0914502561332382,0.008098507709094704,-115.38674111389929,-51.39248622701663,33.44061674182814,-0.1223,-0.8452,-0.4336,0.2877
2658248.0,1159.390038,1.0,-5.72,-0.41,-7.83,35.0,-13.88,14.25,-1.25,-1.81,4.13,0.01914031385364323,-0.03998571872583656,0.10131977425891137,-115.42963584973434,-51.303485419526396,33.452581959950805,-0.1229,-0.8454,-0.4329,0.2878
2658283.0,1159.43905,1.0,-5.84,-0.28,-7.72,35.38,-14.25,13.88,-3.88,-2.25,2.69,0.014392393958922778,0.1372998057364565,0.12350270057607382,-115.472556014324,-51.17639894970855,33.476513522752754,-0.1243,-0.8456,-0.4319,0.288
