TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1503361.0,1480.356495,1.0,-4.21,-1.1,-8.87,25.69,-9.19,31.37,0.12,1.5,-4.06,0.2683509135095208,-0.19244167448516913,-0.0676577726562666,-138.23069557304194,-30.40128499182162,27.926560226864755,-0.0099,-0.9343,-0.2622,0.2413,0
1503361.0,1480.356495,1.0,-4.21,-1.1,-8.87,25.69,-9.19,31.37,0.12,1.5,-4.06,0.2683509135095208,-0.19244167448516913,-0.0676577726562666,-138.23069557304194,-30.40128499182162,27.926560226864755,-0.0099,-0.9343,-0.2622,0.2413,0
1503397.0,1480.359866,1.0,-4.79,-0.83,-8.38,25.37,-9.56,31.37,-0.75,-7.75,-4.69,-0.22156185499515613,0.3764288967850047,0.1284987493697276,-138.00625925895054,-30.531925921642934,28.103715514815867,-0.0107,-0.9336,-0.2633,0.2428,0
1503397.0,1480.359866,1.0,-4.79,-0.83,-8.38,25.37,-9.56,31.37,-0.75,-7.75,-4.69,-0.22156185499515613,0.3764288967850047,0.1284987493697276,-138.00625925895054,-30.531925921642934,28.103715514815867,-0.0107,-0.9336,-0.2633,0.2428,0
1503434.0,1480.385228,1.0,-4.52,-0.91,-8.49,25.37,-9.56,31.37,-0.63,3.19,-6.56,-0.0003293086952611893,0.17526379091040567,0.147049465032131,-137.87852272532075,-30.68637218836855,28.139154785319608,-0.0101,-0.9332,-0.2646,0.2431,0
1503434.0,1480.385228,1.0,-4.52,-0.91,-8.49,25.37,-9.56,31.37,-0.63,3.19,-6.56,-0.0003293086952611893,0.17526379091040567,0.147049465032131,-137.87852272532075,-30.68637218836855,28.139154785319608,-0.0101,-0.9332,-0.2646,0.2431,0
1503467.0,1480.432543,1.0,-4.31,-0.97,-8.74,24.56,-9.56,32.19,4.31,3.25,-11.25,0.21933836208082055,0.02707615536233504,0.016054636860406646,-137.7829624670443,-30.94787313807167,27.961985822582495,-0.0087,-0.9329,-0.2668,0.2416,0
1503467.0,1480.432543,1.0,-4.31,-0.97,-8.74,24.56,-9.56,32.19,4.31,3.25,-11.25,0.21933836208082055,0.02707615536233504,0.016054636860406646,-137.7829624670443,-30.94787313807167,27.961985822582495,-0.0087,-0.9329,-0.2668,0.2416,0
1503502.0,1480.504139,1.0,-4.17,-1.53,-8.69,25.37,-9.19,31.0,9.63,-1.56,-11.94,0.04973122687259342,-0.4382395216167104,0.057220635838888256,-137.46590815068691,-31.352336718545892,28.021034543913196,-0.0052,-0.9319,-0.2702,0.2421,0
1503502.0,1480.504139,1.0,-4.17,-1.53,-8.69,25.37,-9.19,31.0,9.63,-1.56,-11.94,0.04973122687259342,-0.4382395216167104,0.057220635838888256,-137.46590815068691,-31.352336718545892,28.021034543913196,-0.0052,-0.9319,-0.2702,0.2421,0
1503539.0,1480.558087,1.0,-3.93,-1.38,-8.75,24.56,-8.88,31.75,3.5,3.75,-9.5,0.3438069915496127,-0.3950381667174319,0.13000070391624696,-137.24530467426428,-31.59044340777591,28.032845198788674,-0.0032,-0.9312,-0.2722,0.2422,0
1503539.0,1480.558087,1.0,-3.93,-1.38,-8.75,24.56,-8.88,31.75,3.5,3.75,-9.5,0.3438069915496127,-0.3950381667174319,0.13000070391624696,-137.24530467426428,-31.59044340777591,28.032845198788674,-0.0032,-0.9312,-0.2722,0.2422,0
1503574.0,1480.577493,1.0,-4.18,-1.57,-8.33,24.56,-8.88,31.75,6.69,-0.63,-8.5,-0.10771934073943125,-0.32230378206944144,0.36150750156757105,-137.02578084639396,-31.86443930344973,28.056467420340038,-0.0009,-0.9305,-0.2745,0.2424,0
1503574.0,1480.577493,1.0,-4.18,-1.57,-8.33,24.56,-8.88,31.75,6.69,-0.63,-8.5,-0.10771934073943125,-0.32230378206944144,0.36150750156757105,-137.02578084639396,-31.86443930344973,28.056467420340038,-0.0009,-0.9305,-0.2745,0.2424,0
1503610.0,1480.618587,1.0,-4.54,-1.71,-8.11,26.06,-8.5,32.56,4.81,-2.44,-7.06,-0.5158429390778666,-0.19116406858171808,0.3723952673204334,-136.8073201749142,-32.0670781843972,28.15096848573949,0.0009,-0.9298,-0.2762,0.2432,0
1503610.0,1480.618587,1.0,-4.54,-1.71,-8.11,26.06,-8.5,32.56,4.81,-2.44,-7.06,-0.5158429390778666,-0.19116406858171808,0.3723952673204334,-136.8073201749142,-32.0670781843972,28.15096848573949,0.0009,-0.9298,-0.2762,0.2432,0
1503645.0,1480.635455,1.0,-4.1,-0.99,-8.74,26.5,-8.19,32.19,-2.75,1.31,-5.56,0.4408419753618314,0.11136028605754844,0.11278816688889393,-136.65191882638644,-32.365263932207384,28.032845198788674,0.0002,-0.9293,-0.2787,0.2422,0
1503645.0,1480.635455,1.0,-4.1,-0.99,-8.74,26.5,-8.19,32.19,-2.75,1.31,-5.56,0.4408419753618314,0.11136028605754844,0.11278816688889393,-136.65191882638644,-32.365263932207384,28.032845198788674,0.0002,-0.9293,-0.2787,0.2422,0
1503680.0,1480.638458,1.0,-3.84,-1.26,-8.97,26.5,-8.19,32.19,2.06,-0.44,-6.69,0.600541051664778,-0.2649733215687841,-0.009827962289843839,-136.5279785234642,-32.53234621871178,28.044656157547973,0.0009,-0.9289,-0.2801,0.2423,0
1503680.0,1480.638458,1.0,-3.84,-1.26,-8.97,26.5,-8.19,32.19,2.06,-0.44,-6.69,0.600541051664778,-0.2649733215687841,-0.009827962289843839,-136.5279785234642,-32.53234621871178,28.044656157547973,0.0009,-0.9289,-0.2801,0.2423,0
1503713.0,1480.676462,1.0,-4.01,-1.26,-8.89,26.06,-8.19,32.56,0.81,-5.19,-6.75,0.4740571314305242,-0.1547559942652723,-0.014303131869576546,-136.21958862710648,-32.771158669290664,28.210041571444723,0.0015,-0.9279,-0.2821,0.2437,0
1503713.0,1480.676462,1.0,-4.01,-1.26,-8.89,26.06,-8.19,32.56,0.81,-5.19,-6.75,0.4740571314305242,-0.1547559942652723,-0.014303131869576546,-136.21958862710648,-32.771158669290664,28.210041571444723,0.0015,-0.9279,-0.2821,0.2437,0
1503750.0,1480.738423,1.0,-4.11,-1.74,-8.51,25.69,-7.75,33.06,3.06,1.81,-5.19,8.023897808223657e-05,-0.4293524462550192,0.20688664508043253,-136.09680960991037,-32.878671967526124,28.292756752714663,0.0029,-0.9275,-0.283,0.2444,0
1503750.0,1480.738423,1.0,-4.11,-1.74,-8.51,25.69,-7.75,33.06,3.06,1.81,-5.19,8.023897808223657e-05,-0.4293524462550192,0.20688664508043253,-136.09680960991037,-32.878671967526124,28.292756752714663,0.0029,-0.9275,-0.283,0.2444,0
