TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1576556.0,1498.034667,1.0,1.16,0.72,-9.81,0.06,-14.38,40.19,1.06,2.69,-0.31,0.004818187820114846,0.04591676624690588,-0.09779185381708189,-154.0662728728033,-24.66681067830264,-7.499640647274436,-0.0207,-0.9745,-0.2136,-0.0654,0
1576556.0,1498.034667,1.0,1.16,0.72,-9.81,0.06,-14.38,40.19,1.06,2.69,-0.31,0.004818187820114846,0.04591676624690588,-0.09779185381708189,-154.0662728728033,-24.66681067830264,-7.499640647274436,-0.0207,-0.9745,-0.2136,-0.0654,0
1576591.0,1498.076281,1.0,1.37,0.72,-9.89,2.0,-14.0,38.75,0.0,1.75,-0.12,0.16810167863065517,-0.0359724361131058,-0.2022384402555737,-154.01525359440276,-24.678540676695548,-7.5915129998336095,-0.0205,-0.9744,-0.2137,-0.0662,0
1576591.0,1498.076281,1.0,1.37,0.72,-9.89,2.0,-14.0,38.75,0.0,1.75,-0.12,0.16810167863065517,-0.0359724361131058,-0.2022384402555737,-154.01525359440276,-24.678540676695548,-7.5915129998336095,-0.0205,-0.9744,-0.2137,-0.0662,0
1576628.0,1498.125568,1.0,1.31,0.54,-9.96,0.75,-14.0,38.0,1.19,0.56,-2.13,0.03043329435261418,-0.173500659107071,-0.252091041297577,-154.01525359440276,-24.713732248446583,-7.5915129998336095,-0.0204,-0.9744,-0.214,-0.0662,0
1576628.0,1498.125568,1.0,1.31,0.54,-9.96,0.75,-14.0,38.0,1.19,0.56,-2.13,0.03043329435261418,-0.173500659107071,-0.252091041297577,-154.01525359440276,-24.713732248446583,-7.5915129998336095,-0.0204,-0.9744,-0.214,-0.0662,0
1576663.0,1498.154519,1.0,0.88,0.65,-9.51,0.75,-14.0,38.0,-0.5,-3.31,0.0,-0.23574858326582154,0.10900055617967747,0.23745246393457187,-154.01525359440276,-24.725463298356363,-7.5111244261256385,-0.0204,-0.9744,-0.2141,-0.0655,0
1576663.0,1498.154519,1.0,0.88,0.65,-9.51,0.75,-14.0,38.0,-0.5,-3.31,0.0,-0.23574858326582154,0.10900055617967747,0.23745246393457187,-154.01525359440276,-24.725463298356363,-7.5111244261256385,-0.0204,-0.9744,-0.2141,-0.0655,0
1576699.0,1498.173528,1.0,1.26,0.85,-10.15,0.75,-14.0,38.5,0.75,0.63,-0.19,0.10554589740087861,0.13099431030687647,-0.4551383701725733,-154.01525359440276,-24.725463298356363,-7.499640647274436,-0.02,-0.9744,-0.2141,-0.0654,0
1576699.0,1498.173528,1.0,1.26,0.85,-10.15,0.75,-14.0,38.5,0.75,0.63,-0.19,0.10554589740087861,0.13099431030687647,-0.4551383701725733,-154.01525359440276,-24.725463298356363,-7.499640647274436,-0.02,-0.9744,-0.2141,-0.0654,0
