TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1747107.0,1020.536246,1.0,-0.17,-2.03,-10.07,15.0,-17.37,34.69,0.69,3.5,1.69,0.20189302647090093,0.02858637247950163,-0.4653080424167886,-148.0992206918234,-29.34575098031873,4.871608567013157,0.0977,-0.9615,-0.2533,0.0425
1747142.0,1020.588303,1.0,-0.28,-2.01,-9.76,15.0,-17.37,34.69,4.69,0.37,2.0,0.08428001145914607,0.062476908584506094,-0.1615541269008034,-148.0992206918234,-29.274683969227155,4.89454770282183,0.0985,-0.9615,-0.2527,0.0427
1747177.0,1020.591319,1.0,-0.24,-1.92,-9.93,15.0,-16.25,36.0,1.12,3.5,0.19,0.18198725603850535,0.16111603651509881,-0.3071931004943522,-148.0992206918234,-29.250997524768877,4.860139072417077,0.0991,-0.9615,-0.2525,0.0424
1747214.0,1020.606469,1.0,-0.15,-2.31,-9.97,15.38,-16.25,36.0,3.94,-1.69,-1.63,0.08046272295633516,-0.18607680848521768,-0.426550925006719,-148.0575479662478,-29.286527670932475,4.837200229263812,0.1002,-0.9614,-0.2528,0.0422
1747249.0,1020.667289,1.0,-0.55,-2.2,-9.5,15.38,-16.25,36.0,1.75,-1.81,1.31,-0.26148124886131274,0.02138219202705456,0.04326583474469459,-148.0159281250563,-29.298371692491795,4.928956774809122,0.1002,-0.9613,-0.2529,0.043
1747283.0,1020.671282,1.0,-0.42,-2.15,-9.66,15.38,-15.88,33.88,0.88,-1.94,2.13,-0.08289070359178641,0.043307913852294114,-0.09818485757616457,-148.0575479662478,-29.19178700040293,5.009246344236124,0.1013,-0.9614,-0.252,0.0437
1747318.0,1020.728127,1.0,-0.39,-2.2,-9.73,15.0,-16.25,35.25,1.31,1.69,1.06,-0.0679992172084225,-0.0012155611781498599,-0.17635428873342818,-148.0992206918234,-29.1444243172648,5.020716482682319,0.1014,-0.9615,-0.2516,0.0438
1747353.0,1020.742507,1.0,-0.43,-2.16,-9.4,14.69,-16.69,36.19,6.44,-2.88,3.0,-0.10569101483725668,0.014928616542209866,0.1526815649060218,-148.0992206918234,-29.0497142065708,5.112479412053579,0.1027,-0.9615,-0.2508,0.0446
1747388.0,1020.783214,1.0,-0.41,-2.33,-9.49,14.69,-16.69,36.19,7.25,-0.44,3.69,-0.12209759839057188,-0.08987444217340623,0.027380356457527455,-148.14094650942238,-28.89585348706327,5.238658808769412,0.1049,-0.9616,-0.2495,0.0457
1747425.0,1020.838269,1.0,-0.87,-2.41,-8.59,15.0,-15.5,36.38,4.5,-8.88,4.81,-0.6463980606228008,-0.0896085518748363,0.8664464310283204,-148.1827256280383,-28.777535311725245,5.468092286497271,0.1058,-0.9617,-0.2485,0.0477
1747460.0,1020.847734,1.0,-1.15,-2.97,-7.79,15.0,-15.88,34.69,21.81,10.13,9.31,-1.240675279697203,-0.5313623140355905,1.4996722739210977,-148.22455825803132,-28.54099280947513,5.525454047712893,0.1091,-0.9618,-0.2465,0.0482
1747494.0,1020.905563,1.0,-1.97,-8.88,3.2,15.0,-15.88,34.69,68.87,493.06,-5.44,-5.900091113480749,-7.570347957596375,10.730801856321225,-148.0159281250563,-27.15966751179376,-2.349291527927613,0.1428,-0.9613,-0.2348,-0.0205
1747529.0,1020.92556,1.0,4.2,-1.67,-4.58,13.5,-16.25,36.5,-91.56,480.44,23.37,1.5032827186308018,-0.9922368413355188,3.629198493224532,-142.6678687639012,-22.98036223475966,-21.695513718287582,0.1653,-0.9474,-0.1992,-0.1882
1747566.0,1020.976425,1.0,14.33,0.75,-14.59,0.0,-14.75,39.38,-33.25,328.19,-28.0,4.5933845812305325,3.086971255124735,-9.894896298677851,-135.7912803367973,-21.25230621784773,-32.962313998592656,0.1649,-0.9265,-0.1844,-0.2837
1747603.0,1021.018312,1.0,14.42,-0.67,-15.59,-12.19,-17.87,34.88,-14.38,62.5,-14.44,1.977520450494791,2.747122974353545,-11.168957934733475,-132.41145409892673,-20.576448759783837,-37.50732560971656,0.1656,-0.915,-0.1786,-0.3215
1747638.0,1021.039256,1.0,9.94,-3.68,-10.93,-12.19,-17.87,34.88,33.06,-110.69,21.87,0.5195168432357287,-0.9138937559238784,-5.38235261546089,-134.14543141113884,-20.82107094211026,-34.96325925488904,0.1699,-0.921,-0.1807,-0.3004
1747675.0,1021.093112,1.0,10.93,-6.07,-15.23,-13.88,-18.56,36.25,-40.63,-304.19,67.37,0.8128294952516804,-2.5769047785400234,-9.711586856181105,-141.39967008106163,-20.599742008899195,-26.629469277048532,0.1553,-0.9438,-0.1788,-0.2303
1747712.0,1021.105083,1.0,4.2,2.06,-6.11,-7.75,-17.5,37.06,-101.94,-436.75,113.5,3.6672357742096615,2.197028668559623,3.408201218780915,-155.05511767406654,-18.297714844671223,-10.98322086133136,0.1107,-0.9764,-0.159,-0.0957
1747746.0,1021.16172,1.0,-1.81,-1.01,-4.69,-7.75,-17.5,37.06,25.06,-241.75,33.63,-2.034226942175472,0.5297726960163891,5.129732036395873,-158.84031180775503,-17.79879531415178,-1.7877008349543104,0.0981,-0.983,-0.1547,-0.0156
1747779.0,1021.16671,1.0,-1.64,-1.87,-6.93,2.69,-20.0,36.88,-32.69,-111.62,25.81,-1.5693867166768607,-0.14399211292276465,2.6144534228106453,-159.79792218460952,-17.32339805412093,3.025568677774776,0.0861,-0.9845,-0.1506,0.0264
1747816.0,1021.220563,1.0,-1.38,0.71,-8.17,9.0,-19.19,35.19,-29.62,-32.44,18.5,-0.36437600144333326,2.175081346562263,1.7883178002586444,-160.80272323312002,-16.686140017359815,4.126187708974658,0.0736,-0.986,-0.1451,0.036
