TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
834351.0,794.310208,1.0,0.31,-0.07,-9.91,8.69,-7.25,35.75,3.94,2.25,-0.94,-0.1548218854425517,-0.12824094988351117,-0.10640626144435039,-125.09665734949911,-54.87748419254249,-1.856464464018338,0.001,-0.8874,-0.4608,-0.0162,0
834351.0,794.310208,1.0,0.31,-0.07,-9.91,8.69,-7.25,35.75,3.94,2.25,-0.94,-0.1548218854425517,-0.12824094988351117,-0.10640626144435039,-125.09665734949911,-54.87748419254249,-1.856464464018338,0.001,-0.8874,-0.4608,-0.0162,0
834385.0,794.312706,1.0,0.35,0.01,-9.85,8.69,-7.25,35.75,2.19,3.75,0.0,-0.060903475296489096,-0.09570716873798515,-0.04891852264490382,-125.09665734949911,-54.87748419254249,-1.8908465277120163,0.002,-0.8874,-0.4608,-0.0165,0
834385.0,794.312706,1.0,0.35,0.01,-9.85,8.69,-7.25,35.75,2.19,3.75,0.0,-0.060903475296489096,-0.09570716873798515,-0.04891852264490382,-125.09665734949911,-54.87748419254249,-1.8908465277120163,0.002,-0.8874,-0.4608,-0.0165,0
834418.0,794.335496,1.0,0.62,0.19,-10.37,8.06,-9.19,36.88,3.81,0.56,0.12,0.2286194088858623,-0.1779623993178,-0.5795650252298241,-125.09665734949911,-54.8516623694969,-1.94815034703792,0.0031,-0.8874,-0.4606,-0.017,0
834418.0,794.335496,1.0,0.62,0.19,-10.37,8.06,-9.19,36.88,3.81,0.56,0.12,0.2286194088858623,-0.1779623993178,-0.5795650252298241,-125.09665734949911,-54.8516623694969,-1.94815034703792,0.0031,-0.8874,-0.4606,-0.017,0
834453.0,794.376115,1.0,0.64,-0.15,-9.96,8.38,-8.06,34.56,5.63,-3.31,0.56,0.0037438809677290963,-0.39649763695114587,-0.16713943066512904,-125.1215196986378,-54.8516623694969,-1.79916139442209,0.0039,-0.8875,-0.4606,-0.0157,0
834453.0,794.376115,1.0,0.64,-0.15,-9.96,8.38,-8.06,34.56,5.63,-3.31,0.56,0.0037438809677290963,-0.39649763695114587,-0.16713943066512904,-125.1215196986378,-54.8516623694969,-1.79916139442209,0.0039,-0.8875,-0.4606,-0.0157,0
834490.0,794.427137,1.0,0.46,-0.27,-9.98,8.38,-8.5,35.38,-1.94,-4.69,1.63,-0.1823192025451728,-0.335268286668879,-0.1803042346171484,-125.14639244127781,-54.81293529494486,-1.6730962049034406,0.0035,-0.8876,-0.4603,-0.0146,0
834490.0,794.427137,1.0,0.46,-0.27,-9.98,8.38,-8.5,35.38,-1.94,-4.69,1.63,-0.1823192025451728,-0.335268286668879,-0.1803042346171484,-125.14639244127781,-54.81293529494486,-1.6730962049034406,0.0035,-0.8876,-0.4603,-0.0146,0
834523.0,794.48432,1.0,0.31,-0.33,-9.65,8.38,-8.5,35.38,-0.44,-5.25,4.94,-0.28987868922704485,-0.2665127187561602,0.15406271387441883,-125.27091255577453,-54.709696245156124,-1.535572847865537,0.0034,-0.8881,-0.4595,-0.0134,0
834523.0,794.48432,1.0,0.31,-0.33,-9.65,8.38,-8.5,35.38,-0.44,-5.25,4.94,-0.28987868922704485,-0.2665127187561602,0.15406271387441883,-125.27091255577453,-54.709696245156124,-1.535572847865537,0.0034,-0.8881,-0.4595,-0.0134,0
834560.0,794.499764,1.0,0.21,0.04,-9.46,8.69,-8.06,35.38,-3.06,-1.81,2.19,-0.04189911353979307,-0.004104864772550568,0.3443285293264413,-125.42068267085124,-54.55492780539656,-1.4553519237055776,0.002,-0.8887,-0.4583,-0.0127,0
834560.0,794.499764,1.0,0.21,0.04,-9.46,8.69,-8.06,35.38,-3.06,-1.81,2.19,-0.04189911353979307,-0.004104864772550568,0.3443285293264413,-125.42068267085124,-54.55492780539656,-1.4553519237055776,0.002,-0.8887,-0.4583,-0.0127,0
834594.0,794.542714,1.0,0.41,-0.01,-9.73,8.69,-7.25,35.75,-5.69,-4.06,5.94,0.021110942482091374,-0.20982082537747093,0.07029392858676076,-125.5457815403515,-54.42603640579737,-1.4438918508267422,0.001,-0.8892,-0.4573,-0.0126,0
834594.0,794.542714,1.0,0.41,-0.01,-9.73,8.69,-7.25,35.75,-5.69,-4.06,5.94,0.021110942482091374,-0.20982082537747093,0.07029392858676076,-125.5457815403515,-54.42603640579737,-1.4438918508267422,0.001,-0.8892,-0.4573,-0.0126,0
