TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1508032.0,1465.836807,1.0,-0.79,4.98,-8.19,32.69,21.87,22.56,-1.12,0.56,0.12,-0.040020100697788386,0.04294670067586237,0.18910592822984817,-46.744081927482135,-122.25585789752888,-26.629469277048536,-0.1508,-0.3967,-0.8757,-0.2303,0
1508032.0,1465.836807,1.0,-0.79,4.98,-8.19,32.69,21.87,22.56,-1.12,0.56,0.12,-0.040020100697788386,0.04294670067586237,0.18910592822984817,-46.744081927482135,-122.25585789752888,-26.629469277048536,-0.1508,-0.3967,-0.8757,-0.2303,0
1508067.0,1465.839646,1.0,-0.75,5.04,-8.32,32.69,21.87,22.56,1.37,-0.5,1.19,-0.08558187498456216,0.015508523188928258,0.050680789901873524,-46.76904999013635,-122.23213029596667,-26.629469277048536,-0.1508,-0.3969,-0.8756,-0.2303,0
1508067.0,1465.839646,1.0,-0.75,5.04,-8.32,32.69,21.87,22.56,1.37,-0.5,1.19,-0.08558187498456216,0.015508523188928258,0.050680789901873524,-46.76904999013635,-122.23213029596667,-26.629469277048536,-0.1508,-0.3969,-0.8756,-0.2303,0
1508102.0,1465.89878,1.0,-0.66,5.17,-8.34,33.0,21.5,22.19,-1.31,0.5,1.44,-0.06598641391775906,-0.11927678169688294,-0.02704304191087381,-46.8189931753183,-122.18470178965725,-26.629469277048536,-0.1506,-0.3973,-0.8754,-0.2303,0
1508102.0,1465.89878,1.0,-0.66,5.17,-8.34,33.0,21.5,22.19,-1.31,0.5,1.44,-0.06598641391775906,-0.11927678169688294,-0.02704304191087381,-46.8189931753183,-122.18470178965725,-26.629469277048536,-0.1506,-0.3973,-0.8754,-0.2303,0
1508136.0,1465.901873,1.0,-0.59,5.23,-8.42,32.69,21.87,23.0,-0.06,-2.56,-0.56,-0.11263334676963566,-0.1844017031013383,-0.1206210117679749,-46.83148044377096,-122.18470178965725,-26.641245110498456,-0.1508,-0.3974,-0.8754,-0.2304,0
1508136.0,1465.901873,1.0,-0.59,5.23,-8.42,32.69,21.87,23.0,-0.06,-2.56,-0.56,-0.11263334676963566,-0.1844017031013383,-0.1206210117679749,-46.83148044377096,-122.18470178965725,-26.641245110498456,-0.1508,-0.3974,-0.8754,-0.2304,0
1508173.0,1465.911064,1.0,-0.83,5.01,-8.15,32.69,21.5,21.37,0.69,-1.5,0.06,0.02215183351008454,0.03319430884282415,0.20405100628311068,-46.856456748886444,-122.18470178965725,-26.54704645350268,-0.1513,-0.3976,-0.8754,-0.2296,0
1508173.0,1465.911064,1.0,-0.83,5.01,-8.15,32.69,21.5,21.37,0.69,-1.5,0.06,0.02215183351008454,0.03319430884282415,0.20405100628311068,-46.856456748886444,-122.18470178965725,-26.54704645350268,-0.1513,-0.3976,-0.8754,-0.2296,0
