TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
477440.0,434.217716,1.0,4.46,1.54,-8.68,-2.38,-28.87,27.56,4.06,-3.88,-1.0,0.025373091251912783,-0.13680052571819568,-0.07192488823178067,-142.91931394004666,-23.42489188862897,-27.997414145218112,-0.0366,-0.9481,-0.203,-0.2419
477472.0,434.227692,1.0,4.23,1.59,-8.58,-2.38,-28.87,27.56,-0.31,-0.19,-0.19,-0.07652591944969966,-0.0011134510768138761,0.10966373911053395,-142.99145809873446,-23.43659483600267,-27.902944676024738,-0.0364,-0.9483,-0.2031,-0.2411
477507.0,434.264805,1.0,4.28,1.59,-8.6,-2.38,-29.56,28.5,0.06,3.56,-0.37,-0.057061564015609356,-0.016517974257047263,0.06996826881259643,-142.9553690729635,-23.43659483600267,-27.973794960271835,-0.0363,-0.9482,-0.2031,-0.2417
477544.0,434.313994,1.0,4.39,1.74,-8.6,-2.06,-30.37,27.25,1.75,4.0,-0.37,0.0613828152019833,0.08637720337795896,-0.003980516370210907,-142.8113509120829,-23.448298031292182,-28.127341390125167,-0.036,-0.9478,-0.2032,-0.243
477579.0,434.343717,1.0,4.46,1.58,-8.65,-2.06,-30.37,27.25,0.75,3.81,-0.63,0.020967761327932877,-0.07571385102464662,-0.05257551551327211,-142.73954322436268,-23.483409106034056,-28.22185710635222,-0.0355,-0.9476,-0.2035,-0.2438
477612.0,434.36067,1.0,4.38,1.72,-8.68,-2.5,-29.69,27.25,3.25,3.5,-1.69,-0.02164394136840775,0.10511962085276971,-0.06622604526228315,-142.5963267640098,-23.553637967860126,-28.34002932498839,-0.0345,-0.9472,-0.2041,-0.2448
477646.0,434.398761,1.0,4.51,1.47,-8.56,-4.0,-29.69,26.5,2.69,6.63,-2.25,0.02677367514038531,-0.1596242959715517,0.02153869483565707,-142.4180463131718,-23.65899809735879,-28.48187662578674,-0.0334,-0.9467,-0.205,-0.246
477681.0,434.432904,1.0,4.5,1.76,-8.66,-4.0,-29.69,26.5,1.25,6.88,-1.88,0.048329405533615866,0.12431308941935298,-0.10926702891667972,-142.240577342184,-23.717540265049095,-28.671075748006672,-0.033,-0.9462,-0.2055,-0.2476
477714.0,434.495695,1.0,4.57,1.48,-8.87,-3.56,-29.56,26.75,5.38,5.13,-3.25,-0.12781869797558532,-0.11940897195562675,-0.27906285918176366,-142.02866969644373,-23.881491803544503,-28.860354735501215,-0.0313,-0.9456,-0.2069,-0.2492
477749.0,434.520641,1.0,4.56,1.65,-8.72,-3.06,-29.56,28.5,0.81,2.13,-1.44,-0.008568569422365169,0.04471199182119445,-0.17094627452451405,-141.92314189948746,-23.975200651636385,-28.931355072204077,-0.0306,-0.9453,-0.2077,-0.2498
477786.0,434.544782,1.0,4.48,1.64,-8.57,-3.5,-29.19,28.06,4.81,-2.13,-2.75,0.011932272420167589,0.0674575608236247,-0.0015204256381391446,-141.92314189948746,-24.080642561887807,-28.860354735501215,-0.0299,-0.9453,-0.2086,-0.2492
477818.0,434.577693,1.0,4.63,1.93,-8.83,-3.5,-29.19,28.06,0.0,3.19,-2.25,0.10769790352437081,0.28699185196806404,-0.34405129786511424,-141.78287468010964,-24.186105170420962,-28.90768703373302,-0.0295,-0.9449,-0.2095,-0.2496
