TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
679184.0,636.310686,1.0,1.46,1.43,-9.47,10.0,-27.19,27.25,-1.88,-0.19,1.19,-0.13862568220506177,-0.0422735469630747,0.1197311984687115,-144.87941908090355,-32.44879621422149,-11.455307417011953,-0.054,-0.9534,-0.2794,-0.0998
679219.0,636.352901,1.0,1.6,1.59,-9.75,10.0,-27.19,27.25,3.19,1.88,-1.5,-0.004087264463109697,0.013113078155455815,-0.20086774125084972,-144.87941908090355,-32.48460118565665,-11.489857897732717,-0.0535,-0.9534,-0.2797,-0.1001
679256.0,636.391414,1.0,1.53,1.28,-9.55,9.25,-27.56,28.19,0.44,0.37,0.12,-0.1719973801124448,-0.18812505040601038,0.053864456031329055,-144.841458151918,-32.53234621871178,-11.466824127666603,-0.0528,-0.9533,-0.2801,-0.0999
679290.0,636.417504,1.0,1.64,1.47,-9.61,10.0,-27.19,28.19,-2.5,2.13,1.69,-0.007722152169019836,-0.09113901340538633,-0.05206361023340733,-144.87941908090355,-32.48460118565665,-11.535926836248434,-0.053,-0.9534,-0.2797,-0.1005
679325.0,636.445731,1.0,1.66,1.71,-9.79,10.0,-27.19,28.19,2.38,-1.44,-1.31,0.09488936529450287,0.08705707890385561,-0.2684290107753853,-144.87941908090355,-32.46073084280037,-11.524409426521864,-0.0532,-0.9534,-0.2795,-0.1004
679360.0,636.470669,1.0,1.63,1.3,-9.77,8.5,-26.75,27.25,-0.56,-2.13,0.69,-0.12820870528208572,-0.2367760019937158,-0.1797056742572405,-144.87941908090355,-32.48460118565665,-11.466824127666603,-0.0529,-0.9534,-0.2797,-0.0999
679395.0,636.521601,1.0,1.6,1.36,-9.57,9.25,-26.75,28.56,0.19,-0.5,0.94,-0.07343722364653493,-0.16751534660848183,0.010679114843503257,-144.9554604078314,-32.436861947325646,-11.43227434386026,-0.0532,-0.9536,-0.2793,-0.0996
679430.0,636.558571,1.0,1.53,1.49,-9.62,9.25,-26.75,28.56,1.19,1.06,-0.37,-0.07512817454013387,-0.018302345744711124,-0.047253834599287003,-144.9554604078314,-32.42492804195051,-11.443790822449783,-0.053,-0.9536,-0.2792,-0.0997
679462.0,636.590744,1.0,1.55,1.44,-9.72,9.25,-27.19,28.06,2.69,-2.69,0.0,-0.08490566932795784,-0.06552452692669469,-0.1403594784154656,-144.99354106549774,-32.436861947325646,-11.34014667578332,-0.0522,-0.9537,-0.2793,-0.0988
679497.0,636.619961,1.0,1.74,1.32,-9.88,8.88,-26.75,29.0,1.25,-1.37,0.75,-0.015794221842075573,-0.2709670531176967,-0.30822653897372554,-144.99354106549774,-32.436861947325646,-11.294085603048902,-0.0518,-0.9537,-0.2793,-0.0984
