TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1733877.0,930.943922,1.0,-4.4,1.66,-8.67,-3.25,-11.88,30.75,-0.31,0.31,-0.63,0.08986184716807474,-0.0409905926567361,-0.05614598388495651,-110.3098558920654,61.96817529160684,28.22185710635222,0.0444,-0.8207,0.5148,0.2438,0
1733877.0,930.943922,1.0,-4.4,1.66,-8.67,-3.25,-11.88,30.75,-0.31,0.31,-0.63,0.08986184716807474,-0.0409905926567361,-0.05614598388495651,-110.3098558920654,61.96817529160684,28.22185710635222,0.0444,-0.8207,0.5148,0.2438,0
1733912.0,930.947046,1.0,-4.4,1.58,-8.67,-3.56,-10.69,30.37,0.5,-0.63,-0.12,0.15656862123588638,-0.07765949844843822,-0.04194153732882988,-110.3098558920654,61.96817529160684,28.210041571444723,0.0445,-0.8207,0.5148,0.2437,0
1733912.0,930.947046,1.0,-4.4,1.58,-8.67,-3.56,-10.69,30.37,0.5,-0.63,-0.12,0.15656862123588638,-0.07765949844843822,-0.04194153732882988,-110.3098558920654,61.96817529160684,28.210041571444723,0.0445,-0.8207,0.5148,0.2437,0
1733947.0,930.987206,1.0,-4.46,1.6,-8.46,-3.56,-11.06,31.56,0.69,0.63,0.25,0.04081257264134683,-0.1809961104009855,0.11186920093423858,-110.3098558920654,61.96817529160684,28.210041571444723,0.0448,-0.8207,0.5148,0.2437,0
1733947.0,930.987206,1.0,-4.46,1.6,-8.46,-3.56,-11.06,31.56,0.69,0.63,0.25,0.04081257264134683,-0.1809961104009855,0.11186920093423858,-110.3098558920654,61.96817529160684,28.210041571444723,0.0448,-0.8207,0.5148,0.2437,0
1733984.0,930.990783,1.0,-4.43,1.68,-8.51,-3.56,-11.06,31.56,-0.5,-0.06,0.06,-0.001408472307027231,-0.10072961344545672,0.06718124851355611,-110.3098558920654,61.95480935564663,28.210041571444723,0.0449,-0.8207,0.5147,0.2437,0
1733984.0,930.990783,1.0,-4.43,1.68,-8.51,-3.56,-11.06,31.56,-0.5,-0.06,0.06,-0.001408472307027231,-0.10072961344545672,0.06718124851355611,-110.3098558920654,61.95480935564663,28.210041571444723,0.0449,-0.8207,0.5147,0.2437,0
1734019.0,930.998854,1.0,-4.52,1.63,-8.42,-3.56,-10.69,30.75,2.5,0.81,1.06,-0.028281744162085037,-0.22438882236506097,0.11476938789252422,-110.3098558920654,61.99490997256027,28.18641141984425,0.0453,-0.8207,0.515,0.2435,0
1734019.0,930.998854,1.0,-4.52,1.63,-8.42,-3.56,-10.69,30.75,2.5,0.81,1.06,-0.028281744162085037,-0.22438882236506097,0.11476938789252422,-110.3098558920654,61.99490997256027,28.18641141984425,0.0453,-0.8207,0.515,0.2435,0
1734055.0,931.062456,1.0,-4.42,1.48,-8.44,-4.0,-10.69,31.19,3.44,2.25,1.69,0.12444476167302043,-0.2023085817247421,0.1679786839392321,-110.28980246010525,62.04839058120868,28.091903034402698,0.0461,-0.8206,0.5154,0.2427,0
1734055.0,931.062456,1.0,-4.42,1.48,-8.44,-4.0,-10.69,31.19,3.44,2.25,1.69,0.12444476167302043,-0.2023085817247421,0.1679786839392321,-110.28980246010525,62.04839058120868,28.091903034402698,0.0461,-0.8206,0.5154,0.2427,0
