TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1494577.0,1403.74211,1.0,4.27,2.14,-8.94,-11.0,-22.75,28.75,1.37,-1.44,2.5,0.06931375035935251,-0.13342000959326894,-0.3281166329842691,-149.72415559222355,-11.478340954533573,-25.78235288341245,-0.0923,-0.9653,-0.1,-0.2231,0
1494577.0,1403.74211,1.0,4.27,2.14,-8.94,-11.0,-22.75,28.75,1.37,-1.44,2.5,0.06931375035935251,-0.13342000959326894,-0.3281166329842691,-149.72415559222355,-11.478340954533573,-25.78235288341245,-0.0923,-0.9653,-0.1,-0.2231,0
1494614.0,1403.787609,1.0,4.03,2.23,-8.79,-11.0,-22.37,30.5,-1.5,-5.06,3.25,-0.03656564956602383,0.03283146306144791,-0.1168314983605967,-149.900178159723,-11.34014667578332,-25.62955536451614,-0.0923,-0.9657,-0.0988,-0.2218,0
1494614.0,1403.787609,1.0,4.03,2.23,-8.79,-11.0,-22.37,30.5,-1.5,-5.06,3.25,-0.03656564956602383,0.03283146306144791,-0.1168314983605967,-149.900178159723,-11.34014667578332,-25.62955536451614,-0.0923,-0.9657,-0.0988,-0.2218,0
1494648.0,1403.815382,1.0,4.45,2.13,-9.19,-10.56,-22.37,31.37,-1.44,-2.69,4.88,0.14910218341858517,-0.21337805827214162,-0.6206093879287309,-149.98856759602745,-11.201968941881601,-25.570799441600013,-0.0925,-0.9659,-0.0976,-0.2213,0
1494648.0,1403.815382,1.0,4.45,2.13,-9.19,-10.56,-22.37,31.37,-1.44,-2.69,4.88,0.14910218341858517,-0.21337805827214162,-0.6206093879287309,-149.98856759602745,-11.201968941881601,-25.570799441600013,-0.0925,-0.9659,-0.0976,-0.2213,0
1494681.0,1403.855065,1.0,4.26,1.86,-9.02,-10.56,-22.37,31.37,-9.0,-16.19,7.31,0.08544503876105591,-0.4226197385743282,-0.331480582208858,-150.43438697810745,-10.879617409371034,-25.159698385030055,-0.0937,-0.9669,-0.0948,-0.2178,0
1494681.0,1403.855065,1.0,4.26,1.86,-9.02,-10.56,-22.37,31.37,-9.0,-16.19,7.31,0.08544503876105591,-0.4226197385743282,-0.331480582208858,-150.43438697810745,-10.879617409371034,-25.159698385030055,-0.0937,-0.9669,-0.0948,-0.2178,0
1494718.0,1403.921641,1.0,3.89,2.38,-8.96,-10.19,-23.56,29.25,-15.75,-20.62,8.88,-0.04898431559371222,0.08774728263502674,-0.24660822563093276,-150.93250619783007,-10.396251161173769,-24.51434453810049,-0.0984,-0.968,-0.0906,-0.2123,0
1494718.0,1403.921641,1.0,3.89,2.38,-8.96,-10.19,-23.56,29.25,-15.75,-20.62,8.88,-0.04898431559371222,0.08774728263502674,-0.24660822563093276,-150.93250619783007,-10.396251161173769,-24.51434453810049,-0.0984,-0.968,-0.0906,-0.2123,0
1494755.0,1403.998086,1.0,4.12,1.94,-9.56,-10.56,-22.75,30.87,-29.06,-24.31,9.19,-0.08029116672437389,-0.5695456768111362,-0.7669383715308218,-151.30008546167105,-9.92457255015729,-24.010345661507532,-0.1034,-0.9688,-0.0865,-0.208,0
1494755.0,1403.998086,1.0,4.12,1.94,-9.56,-10.56,-22.75,30.87,-29.06,-24.31,9.19,-0.08029116672437389,-0.5695456768111362,-0.7669383715308218,-151.30008546167105,-9.92457255015729,-24.010345661507532,-0.1034,-0.9688,-0.0865,-0.208,0
1494790.0,1404.007362,1.0,3.12,2.42,-9.21,-10.56,-22.75,30.87,-58.81,-44.94,10.69,-0.5870794163756858,-0.17756958471823814,-0.19528515283172787,-151.81316645370248,-8.993207204284674,-22.64135196781312,-0.1208,-0.9699,-0.0784,-0.1963,0
1494790.0,1404.007362,1.0,3.12,2.42,-9.21,-10.56,-22.75,30.87,-58.81,-44.94,10.69,-0.5870794163756858,-0.17756958471823814,-0.19528515283172787,-151.81316645370248,-8.993207204284674,-22.64135196781312,-0.1208,-0.9699,-0.0784,-0.1963,0
1494824.0,1404.078382,1.0,1.88,4.21,-9.41,-10.56,-23.19,30.19,-35.25,-33.5,9.69,-1.5009989802508026,1.4854873264777768,-0.45721523022199406,-152.09692309623645,-8.326672787534774,-21.648844944741544,-0.133,-0.9705,-0.0726,-0.1878,0
1494824.0,1404.078382,1.0,1.88,4.21,-9.41,-10.56,-23.19,30.19,-35.25,-33.5,9.69,-1.5009989802508026,1.4854873264777768,-0.45721523022199406,-152.09692309623645,-8.326672787534774,-21.648844944741544,-0.133,-0.9705,-0.0726,-0.1878,0
1494861.0,1404.097186,1.0,1.21,4.5,-9.88,-9.5,-24.25,29.19,-17.87,-20.31,5.63,-2.1720032217693515,1.6284962208844327,-0.7744133710978591,-152.3835367338065,-7.844187348567063,-20.856024774540767,-0.1395,-0.9711,-0.0684,-0.181,0
1494861.0,1404.097186,1.0,1.21,4.5,-9.88,-9.5,-24.25,29.19,-17.87,-20.31,5.63,-2.1720032217693515,1.6284962208844327,-0.7744133710978591,-152.3835367338065,-7.844187348567063,-20.856024774540767,-0.1395,-0.9711,-0.0684,-0.181,0
1494896.0,1404.146459,1.0,2.14,4.71,-9.62,-9.75,-25.37,28.75,9.5,-29.12,-3.88,-1.0915400237872945,1.726370129117043,-0.9235078065638387,-152.86782140615486,-7.844187348567063,-20.27371434520358,-0.139,-0.9721,-0.0684,-0.176,0
1494896.0,1404.146459,1.0,2.14,4.71,-9.62,-9.75,-25.37,28.75,9.5,-29.12,-3.88,-1.0915400237872945,1.726370129117043,-0.9235078065638387,-152.86782140615486,-7.844187348567063,-20.27371434520358,-0.139,-0.9721,-0.0684,-0.176,0
1494931.0,1404.167544,1.0,1.7,5.86,-8.68,-9.75,-25.37,28.75,22.31,-33.19,-15.13,-0.7845708448824164,3.2131101703296245,-0.27463819262126066,-154.16860854190614,-8.257737442475136,-18.86667840059343,-0.134,-0.9747,-0.072,-0.1639,0
1494931.0,1404.167544,1.0,1.7,5.86,-8.68,-9.75,-25.37,28.75,22.31,-33.19,-15.13,-0.7845708448824164,3.2131101703296245,-0.27463819262126066,-154.16860854190614,-8.257737442475136,-18.86667840059343,-0.134,-0.9747,-0.072,-0.1639,0
1494966.0,1404.171042,1.0,1.91,5.68,-8.15,-8.69,-25.37,29.25,62.81,-2.69,-34.75,-0.22987615860485347,3.322148652135956,0.25450441459269335,-154.9492208405226,-9.338084626655299,-18.3441436046709,-0.1223,-0.9762,-0.0814,-0.1594,0
1494966.0,1404.171042,1.0,1.91,5.68,-8.15,-8.69,-25.37,29.25,62.81,-2.69,-34.75,-0.22987615860485347,3.322148652135956,0.25450441459269335,-154.9492208405226,-9.338084626655299,-18.3441436046709,-0.1223,-0.9762,-0.0814,-0.1594,0
1495003.0,1404.216389,1.0,2.09,4.63,-7.21,-6.5,-24.25,30.5,103.06,23.94,-65.75,0.3758168658704248,2.851656598633034,1.4690294565355764,-155.32181611488016,-12.261764386292771,-18.30932175034793,-0.0948,-0.9769,-0.1068,-0.1591,0
1495003.0,1404.216389,1.0,2.09,4.63,-7.21,-6.5,-24.25,30.5,103.06,23.94,-65.75,0.3758168658704248,2.851656598633034,1.4690294565355764,-155.32181611488016,-12.261764386292771,-18.30932175034793,-0.0948,-0.9769,-0.1068,-0.1591,0
1495037.0,1404.2361,1.0,3.38,2.91,-6.21,-6.5,-24.25,30.5,113.56,45.94,-82.31,1.6681982981149805,1.267176282966288,2.453556861323322,-154.47803544959177,-15.077882439571027,-18.820214993044136,-0.0693,-0.9753,-0.1312,-0.1635,0
1495037.0,1404.2361,1.0,3.38,2.91,-6.21,-6.5,-24.25,30.5,113.56,45.94,-82.31,1.6681982981149805,1.267176282966288,2.453556861323322,-154.47803544959177,-15.077882439571027,-18.820214993044136,-0.0693,-0.9753,-0.1312,-0.1635,0
1495072.0,1404.239497,1.0,4.49,2.92,-6.34,-5.75,-22.06,31.75,89.87,77.37,-95.19,2.5820485077197746,1.1169564683309632,1.9984790392925085,-151.16170585731885,-19.447737797457524,-20.599742008899195,-0.039,-0.9685,-0.1689,-0.1788,0
1495072.0,1404.239497,1.0,4.49,2.92,-6.34,-5.75,-22.06,31.75,89.87,77.37,-95.19,2.5820485077197746,1.1169564683309632,1.9984790392925085,-151.16170585731885,-19.447737797457524,-20.599742008899195,-0.039,-0.9685,-0.1689,-0.1788,0
1495107.0,1404.282224,1.0,5.95,0.55,-7.07,-6.56,-19.75,33.0,92.12,70.44,-100.31,2.509980757053623,-1.4632136746437685,1.0175145282055187,-146.7909464272676,-23.98691540045918,-22.594607753630356,-0.0108,-0.9583,-0.2078,-0.1959,0
1495107.0,1404.282224,1.0,5.95,0.55,-7.07,-6.56,-19.75,33.0,92.12,70.44,-100.31,2.509980757053623,-1.4632136746437685,1.0175145282055187,-146.7909464272676,-23.98691540045918,-22.594607753630356,-0.0108,-0.9583,-0.2078,-0.1959,0
1495144.0,1404.326565,1.0,5.89,-0.78,-5.79,-6.19,-17.56,33.75,80.81,72.5,-85.12,2.1395982219201564,-2.6450573828612813,2.240251194086638,-143.61025532246643,-27.04179488483361,-23.869779338261072,0.0079,-0.95,-0.2338,-0.2068,0
1495144.0,1404.326565,1.0,5.89,-0.78,-5.79,-6.19,-17.56,33.75,80.81,72.5,-85.12,2.1395982219201564,-2.6450573828612813,2.240251194086638,-143.61025532246643,-27.04179488483361,-23.869779338261072,0.0079,-0.95,-0.2338,-0.2068,0
1495179.0,1404.348379,1.0,6.48,-2.29,-6.2,-6.19,-17.56,33.75,63.63,86.56,-75.56,1.1869092492158504,-3.964006880002591,1.5270125750025727,-139.04184146178912,-30.484415435162095,-26.46463761296408,0.0309,-0.9368,-0.2629,-0.2289,0
1495179.0,1404.348379,1.0,6.48,-2.29,-6.2,-6.19,-17.56,33.75,63.63,86.56,-75.56,1.1869092492158504,-3.964006880002591,1.5270125750025727,-139.04184146178912,-30.484415435162095,-26.46463761296408,0.0309,-0.9368,-0.2629,-0.2289,0
1495216.0,1404.429925,1.0,7.94,-3.46,-7.03,-7.25,-16.37,34.19,17.62,93.5,-55.88,0.7819482612626241,-5.342262085318802,0.0452519070794164,-135.8217429117077,-32.38912849332685,-28.813027467482133,0.041,-0.9266,-0.2789,-0.2488,0
1495216.0,1404.429925,1.0,7.94,-3.46,-7.03,-7.25,-16.37,34.19,17.62,93.5,-55.88,0.7819482612626241,-5.342262085318802,0.0452519070794164,-135.8217429117077,-32.38912849332685,-28.813027467482133,0.041,-0.9266,-0.2789,-0.2488,0
1495252.0,1404.486774,1.0,8.49,-1.95,-7.72,-8.38,-15.25,36.0,-30.69,84.06,-39.31,0.9166486796452071,-4.134031050689057,-1.0354227939837894,-132.41145409892673,-33.668020251284275,-32.329469794230796,0.0391,-0.915,-0.2896,-0.2784,0
1495252.0,1404.486774,1.0,8.49,-1.95,-7.72,-8.38,-15.25,36.0,-30.69,84.06,-39.31,0.9166486796452071,-4.134031050689057,-1.0354227939837894,-132.41145409892673,-33.668020251284275,-32.329469794230796,0.0391,-0.915,-0.2896,-0.2784,0
1495287.0,1404.541827,1.0,8.37,-3.28,-7.81,-8.38,-15.25,36.0,-38.56,61.19,-4.31,-0.35880144716371776,-5.120158205152168,-0.938890539020182,-130.81759051018483,-33.67999263161277,-34.50701040671306,0.0349,-0.9093,-0.2897,-0.2966,0
1495287.0,1404.541827,1.0,8.37,-3.28,-7.81,-8.38,-15.25,36.0,-38.56,61.19,-4.31,-0.35880144716371776,-5.120158205152168,-0.938890539020182,-130.81759051018483,-33.67999263161277,-34.50701040671306,0.0349,-0.9093,-0.2897,-0.2966,0
1495320.0,1404.549819,1.0,8.49,-2.35,-7.72,-10.69,-16.37,35.69,-65.87,56.5,37.5,-0.08840301034817521,-4.368940441830124,-1.0609874766322882,-130.10645331555745,-31.840606172111105,-37.241194284192744,0.0255,-0.9067,-0.2743,-0.3193,0
1495320.0,1404.549819,1.0,8.49,-2.35,-7.72,-10.69,-16.37,35.69,-65.87,56.5,37.5,-0.08840301034817521,-4.368940441830124,-1.0609874766322882,-130.10645331555745,-31.840606172111105,-37.241194284192744,0.0255,-0.9067,-0.2743,-0.3193,0
1495357.0,1404.570076,1.0,8.59,-0.65,-8.31,-12.75,-17.56,33.88,-96.06,34.13,55.31,0.24154343507518072,-2.8923201464915094,-1.8055350200197662,-130.21523957962881,-29.535319528051428,-39.120753020773094,0.0109,-0.9071,-0.2549,-0.3348,0
