TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
448882.0,356.146734,1.0,2.89,0.45,-9.08,-10.25,-17.25,33.88,4.0,-3.06,-4.06,-0.23751530806964294,0.2278479344871104,0.27288517191751893,-160.12726585571855,-5.0321866714644,-19.23849904872923,-0.0055,-0.985,-0.0439,-0.1671,0
448882.0,356.146734,1.0,2.89,0.45,-9.08,-10.25,-17.25,33.88,4.0,-3.06,-4.06,-0.23751530806964294,0.2278479344871104,0.27288517191751893,-160.12726585571855,-5.0321866714644,-19.23849904872923,-0.0055,-0.985,-0.0439,-0.1671,0
448917.0,356.177666,1.0,2.98,0.63,-9.41,-10.25,-17.25,33.88,6.75,1.31,-7.38,-0.24225981724183737,0.41511382340825503,-0.07233733143055154,-160.0609663655873,-5.22718769417158,-19.226876578818004,-0.0045,-0.9849,-0.0456,-0.167,0
448917.0,356.177666,1.0,2.98,0.63,-9.41,-10.25,-17.25,33.88,6.75,1.31,-7.38,-0.24225981724183737,0.41511382340825503,-0.07233733143055154,-160.0609663655873,-5.22718769417158,-19.226876578818004,-0.0045,-0.9849,-0.0456,-0.167,0
448950.0,356.230827,1.0,2.77,0.83,-9.25,-10.38,-17.25,33.56,11.0,-8.94,-6.19,-0.31270842927636894,0.671634271017414,0.1435541790814039,-160.26052613773837,-5.513981585080581,-18.92476206303288,-0.002,-0.9852,-0.0481,-0.1644,0
448950.0,356.230827,1.0,2.77,0.83,-9.25,-10.38,-17.25,33.56,11.0,-8.94,-6.19,-0.31270842927636894,0.671634271017414,0.1435541790814039,-160.26052613773837,-5.513981585080581,-18.92476206303288,-0.002,-0.9852,-0.0481,-0.1644,0
448985.0,356.252911,1.0,2.31,0.74,-8.82,-9.19,-16.87,34.38,14.38,-1.69,-13.13,-0.5879978472704029,0.6855605485725353,0.7038830983460667,-160.19378503937315,-6.076199569788739,-18.820214993044136,0.0021,-0.9851,-0.053,-0.1635,0
448985.0,356.252911,1.0,2.31,0.74,-8.82,-9.19,-16.87,34.38,14.38,-1.69,-13.13,-0.5879978472704029,0.6855605485725353,0.7038830983460667,-160.19378503937315,-6.076199569788739,-18.820214993044136,0.0021,-0.9851,-0.053,-0.1635,0
449021.0,356.300167,1.0,3.01,0.27,-9.24,-9.56,-17.25,33.56,31.94,13.81,-22.69,-0.15639004446304758,0.23780911819560163,0.08916117946123236,-159.66766312617878,-6.833706733841952,-19.11066283969618,0.0073,-0.9843,-0.0596,-0.166,0
449021.0,356.300167,1.0,3.01,0.27,-9.24,-9.56,-17.25,33.56,31.94,13.81,-22.69,-0.15639004446304758,0.23780911819560163,0.08916117946123236,-159.66766312617878,-6.833706733841952,-19.11066283969618,0.0073,-0.9843,-0.0596,-0.166,0
449056.0,356.32338,1.0,3.28,-1.25,-8.73,-9.56,-17.25,33.56,36.13,7.38,-15.25,0.020552215884591093,-1.147466648895797,0.46766194475042866,-159.0283735374385,-7.671905315233598,-19.401234664747335,0.0178,-0.9833,-0.0669,-0.1685,0
449056.0,356.32338,1.0,3.28,-1.25,-8.73,-9.56,-17.25,33.56,36.13,7.38,-15.25,0.020552215884591093,-1.147466648895797,0.46766194475042866,-159.0283735374385,-7.671905315233598,-19.401234664747335,0.0178,-0.9833,-0.0669,-0.1685,0
449093.0,356.336062,1.0,5.79,-3.66,-9.36,-9.19,-16.87,34.38,53.75,18.69,15.5,1.7450189061554218,-3.597807936107548,-1.0809570406697588,-158.46906001766973,-7.729330710703709,-19.81987998842397,0.0281,-0.9824,-0.0674,-0.1721,0
449093.0,356.336062,1.0,5.79,-3.66,-9.36,-9.19,-16.87,34.38,53.75,18.69,15.5,1.7450189061554218,-3.597807936107548,-1.0809570406697588,-158.46906001766973,-7.729330710703709,-19.81987998842397,0.0281,-0.9824,-0.0674,-0.1721,0
449128.0,356.395244,1.0,7.14,-6.16,-9.17,-9.88,-15.06,34.69,38.06,17.87,52.69,2.775347906407698,-5.741767356698774,-1.6974210889644095,-158.1040290229696,-6.248335760592127,-20.262073582983945,0.046,-0.9818,-0.0545,-0.1759,0
449128.0,356.395244,1.0,7.14,-6.16,-9.17,-9.88,-15.06,34.69,38.06,17.87,52.69,2.775347906407698,-5.741767356698774,-1.6974210889644095,-158.1040290229696,-6.248335760592127,-20.262073582983945,0.046,-0.9818,-0.0545,-0.1759,0
449163.0,356.417474,1.0,6.27,-3.69,-9.06,-9.88,-15.06,34.69,-45.56,-16.5,58.94,2.472737986210475,-3.1810381947286084,-1.091935360276329,-158.96550158142097,-4.481672390551605,-19.994394103683586,0.0422,-0.9832,-0.0391,-0.1736,0
449163.0,356.417474,1.0,6.27,-3.69,-9.06,-9.88,-15.06,34.69,-45.56,-16.5,58.94,2.472737986210475,-3.1810381947286084,-1.091935360276329,-158.96550158142097,-4.481672390551605,-19.994394103683586,0.0422,-0.9832,-0.0391,-0.1736,0
449198.0,356.472759,1.0,5.25,-1.13,-8.99,-10.38,-13.19,35.25,-59.69,-19.81,80.56,1.975300251624601,-0.6690786275879914,-0.45541717508888624,-160.52975543717122,-1.2834522947560847,-19.180388694494322,0.0278,-0.9856,-0.0112,-0.1666,0
449198.0,356.472759,1.0,5.25,-1.13,-8.99,-10.38,-13.19,35.25,-59.69,-19.81,80.56,1.975300251624601,-0.6690786275879914,-0.45541717508888624,-160.52975543717122,-1.2834522947560847,-19.180388694494322,0.0278,-0.9856,-0.0112,-0.1666,0
449232.0,356.494984,1.0,3.98,-0.15,-8.81,-11.06,-15.06,34.69,-35.38,-15.75,107.37,0.9507295034919439,0.341061937961746,0.1911006051050954,-161.07959134463852,1.8793858210517667,-18.64600495316554,0.0219,-0.9864,0.0164,-0.162,0
