TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
898856.0,104.77922,1.0,-3.72,0.83,-9.03,8.56,-27.19,26.06,1.31,-5.81,0.56,-0.11672787187123435,-0.1408696751766523,0.0069188639665203056,-157.21671751944734,4.412865642375664,21.78886220109525,-0.0427,-0.9803,0.0385,0.189
898891.0,104.798429,1.0,-3.91,0.94,-8.81,8.56,-27.19,26.06,-0.06,-2.63,0.69,-0.3558172988117041,-0.029788910265251087,0.12882448645143185,-157.04331809093287,4.424333322525306,21.94058473700979,-0.0425,-0.98,0.0386,0.1903
898926.0,104.840165,1.0,-3.77,0.91,-8.99,9.25,-26.75,27.0,0.69,2.81,-0.25,-0.15692967802508506,-0.057171317351650944,0.01720647564033939,-157.04331809093287,4.424333322525306,21.94058473700979,-0.0424,-0.98,0.0386,0.1903
898961.0,104.865341,1.0,-3.48,0.92,-9.26,8.56,-26.75,26.56,0.81,-1.44,0.37,0.20949956837153838,-0.033892306773892,-0.12609187938022082,-157.10097394877235,4.447268815934102,21.92891239364033,-0.0421,-0.9801,0.0388,0.1902
898996.0,104.912247,1.0,-3.89,0.91,-8.77,8.56,-26.75,26.56,1.56,-4.69,-0.69,-0.3283682987747798,-0.03823024287293504,0.17525276445366167,-156.98580474112185,4.447268815934102,22.080670872919914,-0.0416,-0.9799,0.0388,0.1915
899031.0,104.945133,1.0,-3.64,0.76,-9.19,8.88,-26.37,25.75,-0.31,5.69,-0.63,0.05065390990328522,-0.18833304248588625,-0.10522494102500879,-157.04331809093287,4.424333322525306,21.96393011530327,-0.0414,-0.98,0.0386,0.1905
899067.0,104.973129,1.0,-3.56,0.83,-9.22,9.69,-27.87,25.75,-0.63,0.37,0.0,0.1124124170901808,-0.12293296768032087,-0.11016153062521816,-157.1587733939545,4.332593112917143,21.847212431989455,-0.042,-0.9802,0.0378,0.1895
899102.0,105.026196,1.0,-3.73,0.9,-8.91,9.69,-27.87,25.75,-0.25,1.56,0.37,-0.1675383055651074,-0.04609389445335807,0.1071239152336716,-157.21671751944734,4.344060485976967,21.835541927557028,-0.0419,-0.9803,0.0379,0.1894
899135.0,105.049147,1.0,-3.54,0.88,-9.27,8.88,-26.75,26.56,-0.69,4.19,-0.44,0.12028810018680569,-0.07755598960856752,-0.15419413297534312,-157.33304425296922,4.332593112917143,21.695513718287582,-0.0421,-0.9805,0.0378,0.1882
899170.0,105.093167,1.0,-3.57,0.79,-9.07,8.88,-26.75,26.06,0.94,0.0,-0.25,0.02124052270366361,-0.15225029881854352,0.02859964797659842,-157.33304425296922,4.332593112917143,21.683846183764324,-0.0419,-0.9805,0.0378,0.1881
899207.0,105.110089,1.0,-3.64,0.85,-9.02,8.88,-27.19,26.56,-0.37,-0.81,-0.31,-0.0639354518041102,-0.09162985842675914,0.04345297100139156,-157.33304425296922,4.332593112917143,21.695513718287582,-0.0417,-0.9805,0.0378,0.1882
899241.0,105.158323,1.0,-3.52,0.73,-9.21,8.88,-27.19,26.56,0.63,0.94,0.0,0.12100832051809207,-0.2111332808572277,-0.0770830864446097,-157.33304425296922,4.332593112917143,21.672178876755062,-0.0416,-0.9805,0.0378,0.188
899276.0,105.195075,1.0,-3.71,0.77,-8.93,8.56,-26.75,26.56,0.31,-1.25,0.25,-0.15601505847261388,-0.1640715649256879,0.10867908732385345,-157.33304425296922,4.344060485976967,21.707181480459113,-0.0413,-0.9805,0.0379,0.1883
899311.0,105.219012,1.0,-3.81,0.66,-8.9,8.88,-26.0,26.06,-1.31,1.75,0.5,-0.2515401517966833,-0.2760964305285139,0.11014556215831028,-157.33304425296922,4.332593112917143,21.718849470413215,-0.0411,-0.9805,0.0378,0.1884
899344.0,105.264989,1.0,-4.09,0.77,-9.09,8.88,-26.0,26.06,-2.56,0.12,1.31,-0.4400657969998345,-0.21017582649026118,-0.17890297498691865,-157.27480743211564,4.332593112917143,21.75385480831424,-0.0414,-0.9804,0.0378,0.1887
899381.0,105.315978,1.0,-4.74,1.83,-9.09,9.25,-26.37,26.56,-15.69,-1.37,-5.94,-1.0892884757611099,0.7399136149400387,-0.5234312416456994,-157.21671751944734,4.1720543955147065,21.800531789289547,-0.0441,-0.9803,0.0364,0.1891
899416.0,105.341687,1.0,-5.57,2.76,-9.72,9.25,-27.19,25.25,-12.13,1.88,-12.5,-1.6443944704445654,1.510859742748444,-1.512986463390222,-157.21671751944734,3.6102313192651674,21.823871652385925,-0.0474,-0.9803,0.0315,0.1893
899450.0,105.355203,1.0,-3.95,5.05,-10.34,9.25,-27.19,25.25,65.31,-38.0,-22.19,0.10702411425426428,4.118502946457273,-1.6409296271085552,-156.87120131517742,3.369477361207863,22.466080778094224,-0.0367,-0.9797,0.0294,0.1948
899485.0,105.401009,1.0,-3.58,3.18,-9.28,7.75,-27.19,26.19,170.0,-58.81,-62.06,0.4578161870330262,3.428778359219166,-0.046323322923433,-155.05511767406654,2.601451839540937,24.702001461626935,0.0164,-0.9764,0.0227,0.2139
899520.0,105.431064,1.0,-2.9,-0.17,-5.94,10.75,-25.25,27.37,228.69,-95.12,-134.44,0.15234520215227332,0.7668735557205124,3.240738342894206,-151.2538864729402,0.6417160846123932,27.383706332074254,0.0738,-0.9687,0.0056,0.2367
899557.0,105.468821,1.0,-3.14,-3.97,-3.89,15.25,-19.0,30.75,175.81,-30.94,-163.38,-0.8623377856654055,-2.3126788989038376,3.9193339855517664,-146.59103083752737,-3.5987664920103746,28.162782491534042,0.1495,-0.9578,-0.0314,0.2433
899592.0,105.506573,1.0,-2.02,-6.77,-4.64,15.25,-19.0,30.75,39.38,137.06,-151.06,-0.1187052421867707,-4.471874760060706,2.6350988988915773,-147.113267463602,-7.097755072388745,24.631622257728544,0.1754,-0.9591,-0.0619,0.2133
899631.0,105.554704,1.0,-0.57,-6.85,-5.15,16.06,-13.0,32.75,-13.25,233.69,-87.75,0.2590547602713251,-4.40177568259884,2.435953867933348,-151.06981274894218,-9.867062460142211,16.257732621833746,0.1872,-0.9683,-0.086,0.1414
899665.0,105.589612,1.0,1.04,-7.04,-6.35,13.38,-10.0,36.06,-46.94,277.69,-46.38,1.0951146196431165,-4.413265476906246,1.4227659478323282,-154.68638599830706,-10.177646918437086,8.326672787534774,0.1868,-0.9757,-0.0887,0.0726
899700.0,105.608555,1.0,2.95,-5.91,-8.73,13.38,-10.0,36.06,-147.75,279.94,-17.37,1.6892924620181489,-3.180729308930566,-0.5312778407753829,-159.0283735374385,-9.315090195791667,-3.014105541619682,0.1605,-0.9833,-0.0812,-0.0263
899735.0,105.649486,1.0,5.16,-3.24,-12.45,4.75,-12.38,36.06,-202.5,227.5,14.69,2.010890311778855,-0.9815678920283548,-3.872478065316624,-161.36053358743408,-7.189606746883268,-12.492290914481536,0.1025,-0.9868,-0.0627,-0.1088
899772.0,105.681971,1.0,6.56,-1.51,-15.2,-1.88,-16.25,35.06,-168.5,85.19,72.62,1.982933992257777,0.13017112304641743,-6.698038069184269,-161.71772704701445,-4.561948975165956,-16.188282864682783,0.0618,-0.9873,-0.0398,-0.1408
899809.0,105.721826,1.0,5.21,2.02,-13.22,-7.69,-21.5,31.56,-164.38,-9.56,96.31,1.264452477680002,2.3473916079255477,-4.295967224144233,-163.4590136286695,-0.06875493954099557,-16.442961442690333,0.012,-0.9896,-0.0006,-0.143
899842.0,105.75914,1.0,4.42,4.21,-12.82,-7.69,-21.5,31.56,-90.31,-62.38,83.25,0.7500520459038924,3.9996186607635726,-3.796782379252937,-164.70021747025422,2.9338644268256844,-14.904513628099544,-0.0129,-0.9911,0.0256,-0.1297
899878.0,105.794043,1.0,4.56,3.69,-13.57,-9.5,-23.75,29.5,0.31,-144.19,47.81,1.5966580899265594,3.4639647279538295,-4.476424994809896,-167.7591504670043,5.617235753841245,-10.695455461898506,-0.0189,-0.9943,0.049,-0.0932
899915.0,105.844907,1.0,1.78,2.53,-10.87,-8.38,-25.69,29.06,29.69,-221.75,4.69,0.5668896268521465,2.4185105516020706,-1.2185775651233985,-172.0592752206678,6.225383461526625,-4.928956774809122,-0.0109,-0.9976,0.0543,-0.043
899948.0,105.855106,1.0,-1.16,0.21,-8.12,-8.38,-25.69,29.06,95.44,-241.25,8.63,-0.6134249792737637,0.4268120190721877,1.6356255051659208,-172.22653193357402,6.236859579751597,4.080321683767285,0.0192,-0.9977,0.0544,0.0356
899983.0,105.909538,1.0,-2.21,-1.63,-7.34,-3.75,-24.5,31.19,95.5,-253.0,13.81,-0.23955696218607103,-0.9223143464079626,2.027925894577683,-163.4590136286695,6.707435672786218,13.68032776202412,0.0558,-0.9896,0.0585,0.1191
900020.0,105.968317,1.0,-5.65,-1.55,-1.67,2.56,-21.75,32.0,71.62,-273.94,15.38,-4.367260679267916,-1.7260772023560318,5.925723351527095,-155.214797761141,6.994427393261249,21.870554129176604,0.0791,-0.9767,0.061,0.1897
900057.0,105.975322,1.0,-6.9,-0.28,1.01,2.56,-21.75,32.0,57.13,-148.31,12.13,-6.435183197594573,-1.0063933169804562,7.299841330609068,-148.4345315385202,7.315910364212048,28.245489095128868,0.1014,-0.9623,0.0638,0.244
900091.0,106.009648,1.0,-3.0,-3.51,-3.26,10.0,-19.56,31.06,49.06,113.5,-23.31,-0.6452174217417612,-2.7881384569068297,4.932465101599231,-149.33171261025754,7.3733240323499585,26.523499645829535,0.1144,-0.9644,0.0643,0.2294
900126.0,106.035935,1.0,-2.97,-1.43,-2.97,12.69,-17.69,31.06,-63.56,197.75,-18.12,-1.6163432685589474,-1.0178868624782336,5.801897726340816,-156.36226771891504,7.143680335170353,19.354734757827334,0.0988,-0.9788,0.0623,0.1681
900163.0,106.080425,1.0,-0.48,-0.3,-5.83,8.56,-18.06,33.56,-107.62,338.63,-38.31,0.5986226209851986,0.4974720723621167,4.001180811823685,-165.3150738387374,6.4778727055513645,10.66092819534247,0.0674,-0.9918,0.0565,0.0929
900196.0,106.108477,1.0,1.97,0.01,-7.9,8.56,-18.06,33.56,-117.75,386.69,-40.81,1.4003158850807036,0.5432676848045797,1.8044643207847422,-172.75138501198413,5.445147966752271,-3.9083298533295405,0.0234,-0.998,0.0475,-0.0341
900233.0,106.152377,1.0,9.06,3.99,-16.81,-0.37,-21.75,32.38,-121.87,388.38,-39.06,3.952131540264506,4.035226907777341,-8.866255507477836,-163.86220596785728,4.6766337060034004,-15.32065719904219,-0.0137,-0.9901,0.0408,-0.1333
900270.0,106.176025,1.0,10.22,-3.01,-17.74,-8.69,-24.37,28.56,49.38,35.25,-6.0,2.4220303909568823,-2.7962559674551857,-10.553379993832332,-156.13951067883627,3.3465492054549077,-23.62387580431868,-0.0042,-0.9784,0.0292,-0.2047
900304.0,106.220916,1.0,3.98,2.37,-8.61,-8.69,-24.37,28.56,-62.31,-40.44,10.75,0.23227496608237508,2.175610522254423,0.2776328840752278,-157.1587733939545,3.896864048753203,-22.372624603038304,-0.0184,-0.9802,0.034,-0.194
900339.0,106.257617,1.0,4.57,0.0,-11.42,-12.38,-24.06,26.56,-9.5,-5.94,5.75,-0.05119237345801109,-0.26724783231890176,-2.490799245149198,-157.44996317553054,4.24085568146149,-22.080670872919914,-0.0181,-0.9807,0.037,-0.1915
900374.0,106.289916,1.0,3.69,0.97,-10.01,-13.88,-24.75,25.75,-5.56,-8.81,-4.25,-0.3276186749544847,0.6429458990014384,-0.8814923350729345,-157.80436691060555,4.2293886949276756,-21.62551192117329,-0.0215,-0.9813,0.0369,-0.1876
900411.0,106.345189,1.0,3.18,0.41,-9.46,-12.06,-25.19,26.56,3.94,-10.81,-5.25,-0.4877418433647034,0.08772470169980195,-0.16964752317676357,-158.22503424547796,4.068855279934243,-21.25230621784773,-0.0212,-0.982,0.0355,-0.1844
900446.0,106.35417,1.0,3.31,0.47,-9.2,-12.06,-25.19,26.56,1.44,-6.75,-2.94,-0.22732725609859705,0.17409100760316343,0.022222850712902087,-158.53049466710758,3.9427275023832014,-20.9608980601766,-0.0209,-0.9825,0.0344,-0.1819
900481.0,106.402744,1.0,3.51,0.47,-9.28,-12.38,-25.56,26.06,5.38,-6.81,-6.0,-0.03858038230454364,0.19206511136902554,-0.12416177684362673,-158.71585002764485,3.793673550039814,-20.786119068432164,-0.0202,-0.9828,0.0331,-0.1804
900517.0,106.421701,1.0,3.12,0.21,-8.93,-12.5,-25.19,26.56,3.38,-10.06,-8.69,-0.20144728491084218,-0.06498861650183746,0.34733736793590886,-159.15467994543425,3.4611913427691,-20.436707276203283,-0.0195,-0.9835,0.0302,-0.1774
900550.0,106.490511,1.0,3.28,0.31,-8.98,-12.5,-25.19,26.56,-2.75,-8.44,-7.5,-0.03190095371470858,0.023012149928470303,0.24143422772869094,-159.40959116439527,3.2548379133840775,-20.180594156388953,-0.0202,-0.9839,0.0284,-0.1752
900585.0,106.495497,1.0,3.24,0.47,-9.14,-12.19,-25.19,27.0,-4.44,-6.5,-9.19,-0.08600440819794075,0.12921342957205897,0.09922979010959132,-159.73268910086296,2.9453273542124467,-19.912948378447748,-0.0221,-0.9844,0.0257,-0.1729
900622.0,106.551346,1.0,3.2,0.52,-9.15,-11.69,-25.87,27.0,-1.56,-1.94,-10.13,-0.1116210610223145,0.1452754684396608,0.10101577152188845,-159.8633643903993,2.681687249969397,-19.81987998842397,-0.0234,-0.9846,0.0234,-0.1721
