TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
268535.0,33.582033,1.0,0.52,-0.58,-9.75,4.25,-14.38,37.88,2.44,7.56,-3.94,0.003448686500540435,-0.30513943594548665,0.03034302695581914,-159.8633643903993,-19.936217546906203,-2.085681528609333,0.0185,-0.9846,-0.1731,-0.0182,0
268535.0,33.582033,1.0,0.52,-0.58,-9.75,4.25,-14.38,37.88,2.44,7.56,-3.94,0.003448686500540435,-0.30513943594548665,0.03034302695581914,-159.8633643903993,-19.936217546906203,-2.085681528609333,0.0185,-0.9846,-0.1731,-0.0182,0
268570.0,33.602205,1.0,0.22,-0.85,-9.29,5.06,-14.75,38.69,3.06,8.06,-4.0,-0.388631479562757,-0.4476794963707707,0.4941020864791188,-159.60284227959588,-20.14567756040377,-2.2919839967771853,0.0197,-0.9842,-0.1749,-0.02,0
268570.0,33.602205,1.0,0.22,-0.85,-9.29,5.06,-14.75,38.69,3.06,8.06,-4.0,-0.388631479562757,-0.4476794963707707,0.4941020864791188,-159.60284227959588,-20.14567756040377,-2.2919839967771853,0.0197,-0.9842,-0.1749,-0.02,0
268603.0,33.609914,1.0,0.44,-0.72,-9.52,5.06,-14.75,38.69,-2.81,11.13,-0.88,-0.21210215147680228,-0.3711403013279299,0.25889279979485913,-159.40959116439532,-20.227152563579654,-2.704611892754087,0.0201,-0.9839,-0.1756,-0.0236,0
268603.0,33.609914,1.0,0.44,-0.72,-9.52,5.06,-14.75,38.69,-2.81,11.13,-0.88,-0.21210215147680228,-0.3711403013279299,0.25889279979485913,-159.40959116439532,-20.227152563579654,-2.704611892754087,0.0201,-0.9839,-0.1756,-0.0236,0
268638.0,33.650953,1.0,0.35,-0.73,-9.48,3.19,-14.38,38.5,-0.19,9.25,-1.06,-0.33368272784797853,-0.32584801273964326,0.3035831839805745,-159.4738082027549,-20.168955080859906,-2.9453273542124467,0.0211,-0.984,-0.1751,-0.0257,0
268638.0,33.650953,1.0,0.35,-0.73,-9.48,3.19,-14.38,38.5,-0.19,9.25,-1.06,-0.33368272784797853,-0.32584801273964326,0.3035831839805745,-159.4738082027549,-20.168955080859906,-2.9453273542124467,0.0211,-0.984,-0.1751,-0.0257,0
268675.0,33.783075,1.0,0.65,-0.45,-9.8,4.0,-14.38,37.69,-4.0,12.38,1.63,-0.036648142350827105,-0.1240723349333106,-0.024334842291560577,-159.40959116439532,-20.14567756040377,-3.35801326652208,0.0218,-0.9839,-0.1749,-0.0293,0
268675.0,33.783075,1.0,0.65,-0.45,-9.8,4.0,-14.38,37.69,-4.0,12.38,1.63,-0.036648142350827105,-0.1240723349333106,-0.024334842291560577,-159.40959116439532,-20.14567756040377,-3.35801326652208,0.0218,-0.9839,-0.1749,-0.0293,0
268707.0,33.836489,1.0,1.01,-0.08,-9.86,4.0,-14.38,37.69,-2.56,5.0,0.12,0.3786793726236131,0.09942599342032982,-0.097531763506856,-159.40959116439532,-20.11076285425295,-3.6216961826700933,0.0212,-0.9839,-0.1746,-0.0316,0
268707.0,33.836489,1.0,1.01,-0.08,-9.86,4.0,-14.38,37.69,-2.56,5.0,0.12,0.3786793726236131,0.09942599342032982,-0.097531763506856,-159.40959116439532,-20.11076285425295,-3.6216961826700933,0.0212,-0.9839,-0.1746,-0.0316,0
268742.0,33.888904,1.0,0.63,-0.46,-9.53,3.56,-14.75,38.25,5.94,2.06,-2.63,-0.09310562988525242,-0.11323085930771634,0.2459015923603527,-159.3455716366145,-20.192233442293944,-3.6675560000932936,0.0228,-0.9838,-0.1753,-0.032,0
268742.0,33.888904,1.0,0.63,-0.46,-9.53,3.56,-14.75,38.25,5.94,2.06,-2.63,-0.09310562988525242,-0.11323085930771634,0.2459015923603527,-159.3455716366145,-20.192233442293944,-3.6675560000932936,0.0228,-0.9838,-0.1753,-0.032,0
268777.0,33.894905,1.0,0.66,-0.54,-9.71,2.5,-15.5,38.19,1.69,4.81,-0.69,-0.1184939999013593,-0.16940095974218078,0.061468499031132495,-159.3455716366145,-20.11076285425295,-3.782208130568333,0.0236,-0.9838,-0.1746,-0.033,0
268777.0,33.894905,1.0,0.66,-0.54,-9.71,2.5,-15.5,38.19,1.69,4.81,-0.69,-0.1184939999013593,-0.16940095974218078,0.061468499031132495,-159.3455716366145,-20.11076285425295,-3.782208130568333,0.0236,-0.9838,-0.1746,-0.033,0
268812.0,33.910238,1.0,0.9,-0.6,-9.82,2.75,-14.75,37.88,3.69,2.19,-0.25,0.0723199955490746,-0.27397455392900466,-0.0686782356609914,-159.3455716366145,-20.09912503821932,-3.8510012195838605,0.0249,-0.9838,-0.1745,-0.0336,0
268812.0,33.910238,1.0,0.9,-0.6,-9.82,2.75,-14.75,37.88,3.69,2.19,-0.25,0.0723199955490746,-0.27397455392900466,-0.0686782356609914,-159.3455716366145,-20.09912503821932,-3.8510012195838605,0.0249,-0.9838,-0.1745,-0.0336,0
268847.0,33.912908,1.0,0.81,-0.84,-9.61,2.75,-14.75,37.88,4.13,-0.31,0.44,-0.068698883720586,-0.4561597070555184,0.13705855128642774,-159.3455716366145,-20.11076285425295,-3.793673550039814,0.0263,-0.9838,-0.1746,-0.0331,0
268847.0,33.912908,1.0,0.81,-0.84,-9.61,2.75,-14.75,37.88,4.13,-0.31,0.44,-0.068698883720586,-0.4561597070555184,0.13705855128642774,-159.3455716366145,-20.11076285425295,-3.793673550039814,0.0263,-0.9838,-0.1746,-0.0331,0
268881.0,33.923926,1.0,0.91,-0.73,-9.86,2.75,-14.38,37.69,-0.94,-3.88,3.69,0.06716508045903785,-0.3554321650501577,-0.1155350833379778,-159.40959116439532,-19.98275837630303,-3.713416405127687,0.0272,-0.9839,-0.1735,-0.0324,0
268881.0,33.923926,1.0,0.91,-0.73,-9.86,2.75,-14.38,37.69,-0.94,-3.88,3.69,0.06716508045903785,-0.3554321650501577,-0.1155350833379778,-159.40959116439532,-19.98275837630303,-3.713416405127687,0.0272,-0.9839,-0.1735,-0.0324,0
268916.0,34.003153,1.0,0.21,-0.47,-9.7,3.56,-14.75,38.88,3.88,-2.81,3.0,-0.46932083655062495,0.11575432486158799,0.10503472785819135,-159.5382246114638,-19.912948378447748,-3.5873017007906127,0.0274,-0.9841,-0.1729,-0.0313,0
268916.0,34.003153,1.0,0.21,-0.47,-9.7,3.56,-14.75,38.88,3.88,-2.81,3.0,-0.46932083655062495,0.11575432486158799,0.10503472785819135,-159.5382246114638,-19.912948378447748,-3.5873017007906127,0.0274,-0.9841,-0.1729,-0.0313,0
268951.0,34.019138,1.0,0.34,-0.8,-9.54,3.56,-14.75,38.88,4.0,-0.25,4.06,-0.4361970668002598,-0.2222194153344325,0.23964677796838707,-159.66766312617878,-19.773350749034485,-3.5299782811888885,0.0289,-0.9843,-0.1717,-0.0308,0
268951.0,34.019138,1.0,0.34,-0.8,-9.54,3.56,-14.75,38.88,4.0,-0.25,4.06,-0.4361970668002598,-0.2222194153344325,0.23964677796838707,-159.66766312617878,-19.773350749034485,-3.5299782811888885,0.0289,-0.9843,-0.1717,-0.0308,0
268986.0,34.027216,1.0,0.5,-0.79,-8.97,2.75,-14.75,38.88,5.94,3.88,5.75,-0.25501291213149896,-0.2807377856804595,0.7960365519412349,-159.73268910086296,-19.59889535760717,-3.57583694549078,0.0302,-0.9844,-0.1702,-0.0312,0
268986.0,34.027216,1.0,0.5,-0.79,-8.97,2.75,-14.75,38.88,5.94,3.88,5.75,-0.25501291213149896,-0.2807377856804595,0.7960365519412349,-159.73268910086296,-19.59889535760717,-3.57583694549078,0.0302,-0.9844,-0.1702,-0.0312,0
269023.0,34.061851,1.0,0.55,-0.81,-8.51,3.19,-14.0,39.56,1.88,12.06,8.69,-0.23849653294705409,-0.3100844517971932,1.2494502806685688,-159.9290177639615,-19.28499092759115,-3.954193464226631,0.0319,-0.9847,-0.1675,-0.0345,0
269023.0,34.061851,1.0,0.55,-0.81,-8.51,3.19,-14.0,39.56,1.88,12.06,8.69,-0.23849653294705409,-0.3100844517971932,1.2494502806685688,-159.9290177639615,-19.28499092759115,-3.954193464226631,0.0319,-0.9847,-0.1675,-0.0345,0
269056.0,34.083952,1.0,0.88,-0.37,-8.05,3.19,-14.0,39.56,-2.88,22.06,7.44,0.1715803498712871,-0.019979409835285233,1.7020857916837553,-160.0609663655873,-19.029325032716933,-4.49314033842009,0.0321,-0.9849,-0.1653,-0.0392,0
269056.0,34.083952,1.0,0.88,-0.37,-8.05,3.19,-14.0,39.56,-2.88,22.06,7.44,0.1715803498712871,-0.019979409835285233,1.7020857916837553,-160.0609663655873,-19.029325032716933,-4.49314033842009,0.0321,-0.9849,-0.1653,-0.0392,0
269090.0,34.1387,1.0,0.96,-0.26,-7.71,3.56,-14.0,39.5,-8.25,39.0,6.69,0.11595319121707649,0.06292261346924746,2.03388372265956,-159.9290177639615,-18.820214993044136,-5.9155515139479675,0.0319,-0.9847,-0.1635,-0.0516,0
269090.0,34.1387,1.0,0.96,-0.26,-7.71,3.56,-14.0,39.5,-8.25,39.0,6.69,0.11595319121707649,0.06292261346924746,2.03388372265956,-159.9290177639615,-18.820214993044136,-5.9155515139479675,0.0319,-0.9847,-0.1635,-0.0516,0
269125.0,34.142273,1.0,1.16,0.04,-7.6,2.5,-14.38,39.75,-18.12,68.31,-1.06,0.1654372865083888,0.294510202093734,2.125953791641318,-159.40959116439532,-18.72729753587516,-7.752301412421159,0.0305,-0.9839,-0.1627,-0.0676,0
269125.0,34.142273,1.0,1.16,0.04,-7.6,2.5,-14.38,39.75,-18.12,68.31,-1.06,0.1654372865083888,0.294510202093734,2.125953791641318,-159.40959116439532,-18.72729753587516,-7.752301412421159,0.0305,-0.9839,-0.1627,-0.0676,0
269162.0,34.177703,1.0,1.58,0.17,-7.32,2.5,-14.38,39.75,-8.63,80.31,-3.63,0.34069517135530925,0.3052726426936856,2.3301243754978023,-158.4077981068511,-18.72729753587516,-10.039600263356236,0.0301,-0.9823,-0.1627,-0.0875,0
269162.0,34.177703,1.0,1.58,0.17,-7.32,2.5,-14.38,39.75,-8.63,80.31,-3.63,0.34069517135530925,0.3052726426936856,2.3301243754978023,-158.4077981068511,-18.72729753587516,-10.039600263356236,0.0301,-0.9823,-0.1627,-0.0875,0
269195.0,34.221838,1.0,2.22,-0.3,-7.9,-1.19,-14.75,39.5,0.75,82.62,2.25,0.26164736703002356,-0.12636491076002593,1.600312658368539,-156.92843283344135,-18.40218382722317,-13.195714475135587,0.0352,-0.9798,-0.1599,-0.1149,0
269195.0,34.221838,1.0,2.22,-0.3,-7.9,-1.19,-14.75,39.5,0.75,82.62,2.25,0.26164736703002356,-0.12636491076002593,1.600312658368539,-156.92843283344135,-18.40218382722317,-13.195714475135587,0.0352,-0.9798,-0.1599,-0.1149,0
269230.0,34.236638,1.0,2.47,0.46,-8.04,-2.38,-15.06,38.06,-8.38,84.5,-0.5,0.24229281182567713,0.6486805877202163,1.4117344144534396,-155.0021140741398,-18.193261198253683,-16.442961442690333,0.0373,-0.9763,-0.1581,-0.143,0
269230.0,34.236638,1.0,2.47,0.46,-8.04,-2.38,-15.06,38.06,-8.38,84.5,-0.5,0.24229281182567713,0.6486805877202163,1.4117344144534396,-155.0021140741398,-18.193261198253683,-16.442961442690333,0.0373,-0.9763,-0.1581,-0.143,0
269266.0,34.316453,1.0,3.24,-0.03,-8.26,-6.0,-14.75,37.5,4.19,96.06,0.19,0.3373717006790801,0.13079008619873148,0.9412580577938918,-153.21193002249612,-17.93799404290059,-19.08742247639564,0.0417,-0.9728,-0.1559,-0.1658,0
269266.0,34.316453,1.0,3.24,-0.03,-8.26,-6.0,-14.75,37.5,4.19,96.06,0.19,0.3373717006790801,0.13079008619873148,0.9412580577938918,-153.21193002249612,-17.93799404290059,-19.08742247639564,0.0417,-0.9728,-0.1559,-0.1658,0
269299.0,34.321534,1.0,3.86,-0.48,-9.52,-6.0,-14.75,37.5,0.88,93.62,-2.63,-0.260497744210078,-0.0956699736424223,-0.47359261296418786,-150.43438697810745,-17.868391355752117,-22.68809999960854,0.047,-0.9669,-0.1553,-0.1967,0
269299.0,34.321534,1.0,3.86,-0.48,-9.52,-6.0,-14.75,37.5,0.88,93.62,-2.63,-0.260497744210078,-0.0956699736424223,-0.47359261296418786,-150.43438697810745,-17.868391355752117,-22.68809999960854,0.047,-0.9669,-0.1553,-0.1967,0
269336.0,34.370107,1.0,4.85,-0.08,-10.41,-9.06,-14.38,36.88,-3.19,72.0,1.37,-0.02182582671093243,0.25608192699715576,-1.6751157910250818,-148.85861645005238,-17.532071555357696,-24.901460713527143,0.0484,-0.9633,-0.1524,-0.2156,0
269336.0,34.370107,1.0,4.85,-0.08,-10.41,-9.06,-14.38,36.88,-3.19,72.0,1.37,-0.02182582671093243,0.25608192699715576,-1.6751157910250818,-148.85861645005238,-17.532071555357696,-24.901460713527143,0.0484,-0.9633,-0.1524,-0.2156,0
269373.0,34.38477,1.0,5.44,-0.31,-11.32,-13.19,-14.69,37.25,0.12,70.56,-1.06,-0.5166045149393621,0.20887223557375456,-2.7441106209484634,-146.7909464272676,-17.103194349757633,-27.596052101188157,0.0515,-0.9583,-0.1487,-0.2385,0
269373.0,34.38477,1.0,5.44,-0.31,-11.32,-13.19,-14.69,37.25,0.12,70.56,-1.06,-0.5166045149393621,0.20887223557375456,-2.7441106209484634,-146.7909464272676,-17.103194349757633,-27.596052101188157,0.0515,-0.9583,-0.1487,-0.2385,0
