TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1243856.0,793.906506,1.0,-4.16,3.2,-8.16,33.19,-9.56,23.25,-5.75,-1.44,2.0,0.06546185517901723,0.11981351039079668,0.10548721050696308,-83.15002129330095,-88.15009751242158,3.174592245464794,-0.2739,-0.6636,-0.6956,0.0277,0
1243856.0,793.906506,1.0,-4.16,3.2,-8.16,33.19,-9.56,23.25,-5.75,-1.44,2.0,0.06546185517901723,0.11981351039079668,0.10548721050696308,-83.15002129330095,-88.15009751242158,3.174592245464794,-0.2739,-0.6636,-0.6956,0.0277,0
1243893.0,793.965072,1.0,-4.1,3.18,-8.08,34.25,-9.56,24.06,-6.13,3.06,2.63,0.029943441439846924,0.11719363349977008,0.2048705272886071,-83.13470426786654,-88.11820122886442,2.899475820391489,-0.275,-0.6635,-0.6954,0.0253,0
1243893.0,793.965072,1.0,-4.1,3.18,-8.08,34.25,-9.56,24.06,-6.13,3.06,2.63,0.029943441439846924,0.11719363349977008,0.2048705272886071,-83.13470426786654,-88.11820122886442,2.899475820391489,-0.275,-0.6635,-0.6954,0.0253,0
1243926.0,794.008478,1.0,-3.99,3.27,-8.64,34.25,-9.56,24.06,3.06,0.37,-4.31,-0.08981567244036799,-0.21044527777698296,-0.253680309191914,-83.0428402073519,-88.19795806279829,2.796311555732279,-0.2752,-0.6629,-0.6959,0.0244,0
1243926.0,794.008478,1.0,-3.99,3.27,-8.64,34.25,-9.56,24.06,3.06,0.37,-4.31,-0.08981567244036799,-0.21044527777698296,-0.253680309191914,-83.0428402073519,-88.19795806279829,2.796311555732279,-0.2752,-0.6629,-0.6959,0.0244,0
1243961.0,794.026853,1.0,-4.05,2.88,-8.25,33.88,-10.0,24.06,10.0,-3.69,-1.44,-0.25791306687974247,0.025399159816407613,0.17896929628878055,-83.10407566239712,-88.19795806279829,3.163128706652845,-0.2736,-0.6633,-0.6959,0.0276,0
1243961.0,794.026853,1.0,-4.05,2.88,-8.25,33.88,-10.0,24.06,10.0,-3.69,-1.44,-0.25791306687974247,0.025399159816407613,0.17896929628878055,-83.10407566239712,-88.19795806279829,3.163128706652845,-0.2736,-0.6633,-0.6959,0.0276,0
1243998.0,794.075704,1.0,-4.11,3.16,-8.19,34.25,-10.0,22.87,-5.75,-0.06,1.37,0.0009175695625064928,0.07222720137614358,0.11394230867620614,-83.13470426786654,-88.15009751242158,3.0714215263829594,-0.2744,-0.6635,-0.6956,0.0268,0
1243998.0,794.075704,1.0,-4.11,3.16,-8.19,34.25,-10.0,22.87,-5.75,-0.06,1.37,0.0009175695625064928,0.07222720137614358,0.11394230867620614,-83.13470426786654,-88.15009751242158,3.0714215263829594,-0.2744,-0.6635,-0.6956,0.0268,0
