,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,895805.0,824.247845,1.0,0.97,0.87,-9.69,-18.37,-23.87,29.19,-2.13,0.69,0.94,-0.0669498006774473,0.0052171883557247676,0.029667310788825674,-141.53859212209682,37.616257937648726,-4.103254614165427,-0.0569,-0.9442,0.3224,-0.0358
1,895805.0,824.247845,1.0,0.97,0.87,-9.69,-18.37,-23.87,29.19,-2.13,0.69,0.94,-0.0669498006774473,0.0052171883557247676,0.029667310788825674,-141.53859212209682,37.616257937648726,-4.103254614165427,-0.0569,-0.9442,0.3224,-0.0358
2,895842.0,824.254235,1.0,0.85,0.92,-9.53,-19.19,-23.87,28.37,0.31,1.44,-1.0,-0.18950137537133074,-0.011998550224006643,0.19656439874103349,-141.5733981273395,37.59204770944774,-4.126187708974658,-0.0571,-0.9443,0.3222,-0.036000000000000004
3,895842.0,824.254235,1.0,0.85,0.92,-9.53,-19.19,-23.87,28.37,0.31,1.44,-1.0,-0.18950137537133074,-0.011998550224006643,0.19656439874103349,-141.5733981273395,37.59204770944774,-4.126187708974658,-0.0571,-0.9443,0.3222,-0.036000000000000004
4,895875.0,824.317014,1.0,1.09,0.57,-9.83,-19.19,-23.87,28.37,-1.31,1.81,-0.12,0.1955881823002704,-0.1893419229561928,-0.0962685041156277,-141.6082344949301,37.53152975160733,-4.194987989089829,-0.0573,-0.9444,0.3217,-0.0366
5,895875.0,824.317014,1.0,1.09,0.57,-9.83,-19.19,-23.87,28.37,-1.31,1.81,-0.12,0.1955881823002704,-0.1893419229561928,-0.0962685041156277,-141.6082344949301,37.53152975160733,-4.194987989089829,-0.0573,-0.9444,0.3217,-0.0366
6,895911.0,824.3243980000001,1.0,0.99,1.08,-9.68,-19.19,-23.5,28.0,-0.56,-0.94,3.94,-0.18944641479500365,0.16799566256870158,0.019679707142284286,-141.46907086921098,37.664683622171815,-4.183521171347446,-0.0575,-0.9440000000000001,0.3228,-0.0365
7,895911.0,824.3243980000001,1.0,0.99,1.08,-9.68,-19.19,-23.5,28.0,-0.56,-0.94,3.94,-0.18944641479500365,0.16799566256870158,0.019679707142284286,-141.46907086921098,37.664683622171815,-4.183521171347446,-0.0575,-0.9440000000000001,0.3228,-0.0365
8,895946.0,824.343179,1.0,0.96,0.44,-9.63,-18.75,-23.87,29.06,1.69,1.31,-3.81,0.1712259064944916,-0.3397487202562172,0.12639419263470766,-141.5733981273395,37.579943248225064,-4.229388694927676,-0.057,-0.9443,0.3221,-0.0369
9,895946.0,824.343179,1.0,0.96,0.44,-9.63,-18.75,-23.87,29.06,1.69,1.31,-3.81,0.1712259064944916,-0.3397487202562172,0.12639419263470766,-141.5733981273395,37.579943248225064,-4.229388694927676,-0.057,-0.9443,0.3221,-0.0369
10,895981.0,824.346227,1.0,0.9,0.81,-9.73,-18.75,-23.87,29.06,-3.5,1.63,0.44,-0.10205731128638597,-0.11571358280201227,0.002814287791839121,-141.5733981273395,37.555735630625364,-4.240855681461491,-0.0579,-0.9443,0.3219,-0.037000000000000005
11,895981.0,824.346227,1.0,0.9,0.81,-9.73,-18.75,-23.87,29.06,-3.5,1.63,0.44,-0.10205731128638597,-0.11571358280201227,0.002814287791839121,-141.5733981273395,37.555735630625364,-4.240855681461491,-0.0579,-0.9443,0.3219,-0.037000000000000005
12,896016.0,824.386987,1.0,0.94,0.65,-9.82,-18.37,-23.5,28.75,1.25,-0.69,-0.5,0.025837581574933117,-0.2330563069137656,-0.07684721390086224,-141.5733981273395,37.555735630625364,-4.240855681461491,-0.0581,-0.9443,0.3219,-0.037000000000000005
13,896016.0,824.386987,1.0,0.94,0.65,-9.82,-18.37,-23.5,28.75,1.25,-0.69,-0.5,0.025837581574933117,-0.2330563069137656,-0.07684721390086224,-141.5733981273395,37.555735630625364,-4.240855681461491,-0.0581,-0.9443,0.3219,-0.037000000000000005
14,896053.0,824.408118,1.0,0.76,0.59,-9.44,-18.75,-23.87,28.0,1.63,-0.06,1.81,-0.0706000958785512,-0.3290504363715983,0.32371577915961325,-141.53859212209682,37.604152605861614,-4.240855681461491,-0.0576,-0.9442,0.3223,-0.037000000000000005
15,896053.0,824.408118,1.0,0.76,0.59,-9.44,-18.75,-23.87,28.0,1.63,-0.06,1.81,-0.0706000958785512,-0.3290504363715983,0.32371577915961325,-141.53859212209682,37.604152605861614,-4.240855681461491,-0.0576,-0.9442,0.3223,-0.037000000000000005
16,896086.0,824.461943,1.0,1.17,0.83,-9.81,-18.75,-23.87,28.0,-2.88,3.75,-2.31,0.0957308804298546,0.029173683956861537,-0.10717290010753187,-141.53859212209682,37.56783922201158,-4.2867240536107065,-0.059000000000000004,-0.9442,0.322,-0.0374
17,896086.0,824.461943,1.0,1.17,0.83,-9.81,-18.75,-23.87,28.0,-2.88,3.75,-2.31,0.0957308804298546,0.029173683956861537,-0.10717290010753187,-141.53859212209682,37.56783922201158,-4.2867240536107065,-0.059000000000000004,-0.9442,0.322,-0.0374
18,896120.0,824.5270360000001,1.0,1.16,0.59,-9.9,-18.75,-23.87,28.0,2.5,-0.44,2.19,0.22152289871469555,-0.1725390560574249,-0.174575269448626,-141.5038163967487,37.59204770944774,-4.332593112917143,-0.0586,-0.9441,0.3222,-0.0378
19,896120.0,824.5270360000001,1.0,1.16,0.59,-9.9,-18.75,-23.87,28.0,2.5,-0.44,2.19,0.22152289871469555,-0.1725390560574249,-0.174575269448626,-141.5038163967487,37.59204770944774,-4.332593112917143,-0.0586,-0.9441,0.3222,-0.0378
20,896155.0,824.5459900000001,1.0,0.72,0.9,-9.48,-19.19,-23.5,28.37,-3.44,-1.37,-0.5,-0.2844404063337549,-0.14229242773140802,0.2621412897386381,-141.46907086921098,37.616257937648726,-4.240855681461491,-0.0591,-0.9440000000000001,0.3224,-0.037000000000000005
21,896155.0,824.5459900000001,1.0,0.72,0.9,-9.48,-19.19,-23.5,28.37,-3.44,-1.37,-0.5,-0.2844404063337549,-0.14229242773140802,0.2621412897386381,-141.46907086921098,37.616257937648726,-4.240855681461491,-0.0591,-0.9440000000000001,0.3224,-0.037000000000000005
22,896192.0,824.549008,1.0,0.97,0.69,-9.66,-18.0,-24.25,28.37,-1.94,3.63,-2.31,0.031781543976862725,-0.20284037765825474,0.07574841203530093,-141.53859212209682,37.543632473884564,-4.309658496908005,-0.0601,-0.9442,0.3218,-0.0376
23,896192.0,824.549008,1.0,0.97,0.69,-9.66,-18.0,-24.25,28.37,-1.94,3.63,-2.31,0.031781543976862725,-0.20284037765825474,0.07574841203530093,-141.53859212209682,37.543632473884564,-4.309658496908005,-0.0601,-0.9442,0.3218,-0.0376
24,896227.0,824.590086,1.0,0.94,1.02,-9.7,-18.0,-24.25,28.37,-1.75,-2.5,3.06,-0.18838500132530764,0.022873338194577264,0.00981439345461155,-141.46907086921098,37.59204770944774,-4.2867240536107065,-0.0607,-0.9440000000000001,0.3222,-0.0374
25,896227.0,824.590086,1.0,0.94,1.02,-9.7,-18.0,-24.25,28.37,-1.75,-2.5,3.06,-0.18838500132530764,0.022873338194577264,0.00981439345461155,-141.46907086921098,37.59204770944774,-4.2867240536107065,-0.0607,-0.9440000000000001,0.3222,-0.0374
