TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2230929.0,2180.943017,1.0,3.23,0.68,-9.2,12.0,-13.25,35.69,0.12,1.44,-0.37,0.19075767619966988,0.23092263922316825,0.03702430380953281,-113.4193379377267,-62.6779190768701,-18.28610812832939,0.074,-0.8359,-0.5201,-0.1589
2230964.0,2180.985425,1.0,3.49,0.48,-9.69,12.38,-13.69,36.0,-1.12,2.25,-0.19,0.02839561361891385,0.07960624401515182,-0.5035127792698315,-113.37759496408127,-62.704754110254996,-18.320928845487863,0.0748,-0.8357,-0.5203,-0.1592
2230999.0,2181.007713,1.0,3.34,0.26,-9.27,12.75,-13.25,36.0,3.5,-2.94,-1.44,-0.140547324484543,-0.02046980895679118,-0.04910605605686236,-113.37759496408127,-62.71817306273571,-18.25128911402984,0.0748,-0.8357,-0.5204,-0.1586
2231033.0,2181.048643,1.0,3.17,0.67,-9.05,11.69,-12.56,36.0,0.69,-4.06,-1.94,0.21138865933109474,0.22115130653281173,0.19901205228751095,-113.37759496408127,-62.78528219858726,-18.112030016161896,0.0743,-0.8357,-0.5209,-0.1574
2231066.0,2181.074069,1.0,3.37,-0.07,-9.66,11.69,-12.56,36.0,2.75,1.0,-1.56,-0.46441192871154247,-0.09426896084946457,-0.4135669704703808,-113.29417835148298,-62.86584483464826,-18.042410594385768,0.0752,-0.8353,-0.5215,-0.1568
2231103.0,2181.109014,1.0,2.98,0.09,-8.59,12.38,-13.25,36.0,5.63,-16.56,5.31,-0.23316539925570234,-0.046266904159772526,0.7170904248517385,-113.5237968383804,-62.79870690317408,-17.636430239406277,0.0745,-0.8364,-0.521,-0.1533
2231140.0,2181.151885,1.0,3.14,0.09,-8.7,11.69,-12.56,36.0,2.44,4.63,5.63,-0.15475562178520152,-0.15602152579497397,0.5595202841900999,-113.71219000408915,-62.65108786966293,-17.462507245696997,0.075,-0.8373,-0.5199,-0.1518
2231173.0,2181.187111,1.0,2.0,-0.06,-5.44,11.69,-12.56,36.0,-23.31,79.94,7.0,-0.2683315902934712,-0.05968809578497647,4.016862828706728,-113.58654197734045,-62.22230638887762,-18.820214993044136,0.0797,-0.8367,-0.5167,-0.1635
2231207.0,2181.249445,1.0,4.13,1.02,-6.84,12.0,-12.56,36.5,-60.38,210.0,10.13,0.6027458741690652,-0.12383446972868395,1.7751954346501329,-111.58357510903524,-60.7025381110459,-26.19396354392425,0.0972,-0.827,-0.5053,-0.2266
2231244.0,2181.265404,1.0,6.44,1.4,-6.7,8.69,-14.5,37.25,-100.56,281.44,-7.13,0.9330741656752868,-0.8634924465851705,0.4949716659916934,-108.36791454974384,-59.02323151633205,-34.36304933185503,0.1122,-0.8109,-0.4926,-0.2954
2231281.0,2181.296317,1.0,8.41,2.38,-8.08,8.69,-14.5,37.25,-109.5,251.56,-8.31,0.2928391563198609,0.3200355935889667,-2.088337282353944,-103.27503144100895,-56.39339939535494,-44.977249267005995,0.125,-0.7841,-0.4725,-0.3825
2231316.0,2181.335792,1.0,9.05,3.11,-8.13,0.75,-16.0,36.5,-57.5,144.63,0.75,0.1463621312708483,1.139779737181573,-2.6973885586913564,-100.40294962921641,-54.670994009622945,-50.440619415051984,0.1313,-0.7683,-0.4592,-0.4261
2231351.0,2181.370826,1.0,8.94,2.25,-7.27,-7.06,-20.5,33.5,-2.88,31.56,-2.06,-0.5246259451348454,0.6535539243466866,-1.903885209189303,-98.91076580586659,-53.602883379632466,-53.218059503427035,0.136,-0.7599,-0.4509,-0.4479
2231388.0,2181.387883,1.0,8.45,1.94,-6.52,-9.75,-19.69,33.69,-5.13,-32.0,7.13,-0.4042742264127357,0.23926928552413584,-1.0310532880063281,-99.299361288376,-53.5387008608122,-52.885068549726356,0.1341,-0.7621,-0.4504,-0.4453
2231420.0,2181.443767,1.0,8.09,0.99,-6.27,-9.75,-19.69,33.69,-19.69,-36.19,17.25,-0.9341303638940754,-0.4309839772193971,-0.42480900029078406,-100.72573922895167,-53.15398523212066,-51.736087563875465,0.1277,-0.7701,-0.4474,-0.4363
2231457.0,2181.471664,1.0,8.07,1.51,-6.83,-9.69,-20.5,32.75,-39.56,-30.87,21.87,-0.7856824091739463,0.06877445515647151,-0.8437900484784002,-102.00984028062227,-52.24604776210597,-51.37976979085595,0.1194,-0.7772,-0.4403,-0.4335
2231494.0,2181.525964,1.0,10.06,2.09,-11.43,-7.88,-21.56,34.38,-40.19,-153.5,42.94,-2.100545405850472,1.1343410673473378,-5.376155384410678,-105.46176616813965,-50.79554323372684,-49.114214046345325,0.0997,-0.7958,-0.4289,-0.4156
2231529.0,2181.542938,1.0,7.35,2.43,-6.64,-7.88,-21.56,34.38,38.25,-264.94,75.69,1.0840376225895487,-0.18057905380471623,-0.33283981153082287,-111.31904975679159,-49.909201333575915,-42.802857328099094,0.0836,-0.8257,-0.4219,-0.3649
2231564.0,2181.571869,1.0,6.12,2.32,-7.85,-6.25,-21.19,34.38,54.44,-265.94,67.37,1.4962526532078062,0.10458483189491741,-0.30322586524711426,-119.51467199760062,-48.912714989693974,-32.31753913524463,0.069,-0.8639,-0.414,-0.2783
2231599.0,2181.613004,1.0,3.8,1.23,-7.49,0.0,-21.06,35.19,71.06,-198.63,35.63,0.7719407845095665,0.2538990072367503,1.35723329117714,-124.47843555677237,-48.7113769507911,-23.834643460050298,0.0641,-0.8849,-0.4124,-0.2065
2231635.0,2181.660023,1.0,1.98,-0.67,-5.82,4.88,-18.37,35.19,33.13,-119.19,55.13,-0.7279352495293018,-0.37214218064208016,3.6769419751525136,-127.01685959928787,-48.20872972254528,-19.250121718432275,0.0651,-0.895,-0.4084,-0.1672
2231670.0,2181.683991,1.0,1.34,1.57,-5.66,4.88,-18.37,35.19,-19.0,-23.12,36.69,0.7592840003895576,1.4114340650076433,3.99911681568771,-129.27076347961943,-46.79402040546467,-17.137959104392674,0.0602,-0.9036,-0.3971,-0.149
2231705.0,2181.732918,1.0,2.18,0.11,-6.23,9.0,-17.25,34.38,17.37,76.75,-11.44,-0.008841859458438961,0.12306036413880267,3.2064850044639526,-128.5268474503853,-46.856456748886444,-18.51827857520288,0.0682,-0.9008,-0.3976,-0.1609
2231742.0,2181.754837,1.0,3.21,-1.43,-4.87,9.38,-17.56,35.19,-77.69,217.25,7.0,-0.6429955549198079,-1.5967728914609733,4.0531490614888455,-126.20062569892964,-46.09573205363145,-24.467440757791284,0.0806,-0.8918,-0.3915,-0.2119
2231777.0,2181.790839,1.0,5.96,0.32,-6.34,9.38,-17.56,35.19,-107.31,336.94,5.69,0.7152332592114208,-1.0798960929157837,1.1960828982683704,-122.3033398527211,-44.32070338877077,-33.48847986776374,0.0864,-0.8759,-0.3772,-0.2881
2231812.0,2181.826218,1.0,9.09,2.46,-8.66,4.5,-17.56,35.69,-137.63,338.88,-1.44,0.20087501262820062,0.9345730927247352,-2.9511524112170857,-114.17471692174006,-41.133699099479514,-47.66948159847917,0.0926,-0.8395,-0.3513,-0.4041
2231846.0,2181.865408,1.0,11.01,1.93,-11.01,-4.75,-21.75,32.69,-33.63,150.63,3.25,-2.25885654548396,1.5165596501329928,-5.645298548144755,-109.71042658552564,-39.65628250180669,-54.02694525714765,0.0994,-0.8177,-0.3392,-0.4542
2231883.0,2181.93344,1.0,8.49,1.4,-5.55,-12.25,-24.75,30.19,-22.87,6.63,10.31,-0.03756317354905114,-0.10536963298057322,-0.4320064669608126,-108.91804580775661,-38.768276788891846,-55.640597444132574,0.1001,-0.8137,-0.3319,-0.4667
2231918.0,2181.949395,1.0,8.4,0.86,-6.33,-12.25,-24.75,30.19,-29.94,-2.94,16.19,-0.9834674847383051,-0.13422082370386956,-0.6996945820583456,-109.47189924933485,-37.725225545588856,-55.93880786648987,0.0942,-0.8165,-0.3233,-0.469
2231955.0,2181.982305,1.0,8.61,1.32,-6.65,-13.06,-24.37,29.75,-32.56,-31.25,22.37,-0.800012681873139,0.18193756455671328,-1.121473280391987,-110.51066825702887,-36.73370161256758,-55.65355458403448,0.0868,-0.8217,-0.3151,-0.4668
2231992.0,2182.008811,1.0,8.67,0.49,-6.49,-13.75,-25.5,29.0,-35.5,-48.38,35.38,-0.8681445529113048,-0.7236988344252898,-0.9753574676426524,-112.91993898771477,-35.14351465221599,-54.28434190943171,0.0778,-0.8335,-0.3019,-0.4562
2232027.0,2182.076716,1.0,9.94,1.54,-10.27,-13.75,-25.5,29.0,-53.81,-161.56,48.19,-1.8463072937665608,0.5891068831109795,-4.4373733942961415,-116.70669462733447,-33.452581959950805,-51.481520308996174,0.062,-0.8513,-0.2878,-0.4343
2232061.0,2182.092672,1.0,8.58,0.19,-8.2,-13.06,-25.5,29.37,-15.94,-241.13,58.38,-0.09219852063422529,-1.490907206286265,-1.9687988294517496,-125.37071718924679,-31.423754097001943,-43.19697398702747,0.0403,-0.8885,-0.2708,-0.3681
2232096.0,2182.132703,1.0,7.09,2.88,-8.96,-10.75,-25.87,29.37,-59.0,-303.19,82.06,1.3018323191664658,0.9882810096562018,-1.8626530322606083,-133.61881240543406,-28.83669047331989,-35.46820114810156,0.017,-0.9192,-0.249,-0.3046
2232135.0,2182.13929,1.0,2.1,1.23,-2.85,-4.75,-27.37,30.25,21.56,-179.19,35.63,0.9956199781534092,0.4708320698879719,6.224407961685613,-142.240577342184,-27.006438787370872,-25.9116795113663,0.0007,-0.9462,-0.2335,-0.2242
2232168.0,2182.181705,1.0,2.49,3.28,-6.24,-4.75,-27.37,30.25,-43.88,-9.0,11.88,0.8368742400119027,2.3426551672591254,2.7562806285614645,-143.72051272987528,-26.1469050177391,-24.702001461626935,-0.0104,-0.9503,-0.2262,-0.2139
