TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1262450.0,1210.786784,1.0,-0.85,-1.52,-9.59,26.87,-5.0,30.19,0.37,0.44,-1.25,0.026554705797409206,0.10426285247529216,0.060398202247506916,-113.19003713661382,-65.77619262062959,8.901253805563371,0.047,-0.8348,-0.543,0.0776
1262487.0,1210.811716,1.0,-0.68,-1.75,-9.77,25.37,-5.38,30.19,2.69,-0.63,-0.25,-0.06543103975725822,-0.13309576750453683,-0.14100320544040024,-113.14842081555734,-65.81713593554738,8.935735653853005,0.0479,-0.8346,-0.5433,0.0779
1262522.0,1210.846623,1.0,-0.74,-1.59,-9.56,26.19,-5.75,30.19,2.38,0.94,-0.94,0.022842426451059272,-0.00944236390110531,0.08714954651383344,-113.12762124009939,-65.83078581086855,8.958724002944487,0.0482,-0.8345,-0.5434,0.0781
1262555.0,1210.872554,1.0,-0.67,-1.76,-9.61,26.19,-5.75,30.19,-0.75,-0.31,0.19,-0.08717801310860351,-0.13675427063614248,0.015209949451088889,-113.10682738081555,-65.84443673875894,8.97021831291304,0.0486,-0.8344,-0.5435,0.0782
1262589.0,1210.905466,1.0,-0.84,-1.53,-9.39,26.87,-5.75,31.0,-0.69,1.75,-1.56,0.0061046176300799115,0.11437624219594161,0.2564939379837998,-113.08603923231148,-65.85808871965587,8.935735653853005,0.0485,-0.8343,-0.5436,0.0779
1262626.0,1210.930399,1.0,-0.77,-1.9,-9.24,26.56,-5.75,30.19,-2.0,2.81,1.63,-0.329188927993512,-0.08547323268089857,0.3480650648111432,-113.08603923231148,-65.87174175399682,8.878266355561609,0.049,-0.8343,-0.5437,0.0774
1262661.0,1210.996231,1.0,-0.67,-1.74,-9.27,26.56,-5.75,30.19,-0.06,6.38,3.5,-0.148564698788334,-0.09282103485746823,0.35261843744627974,-113.19003713661382,-65.77619262062959,8.76333445653462,0.0497,-0.8348,-0.543,0.0764
1262694.0,1211.003205,1.0,-0.64,-1.87,-9.3,26.56,-5.75,30.56,-1.06,9.0,5.13,-0.2591065863437351,-0.12243237389461409,0.30326249391903026,-113.4193379377267,-65.55798771264956,8.522006076442151,0.0518,-0.8359,-0.5414,0.0743
1262731.0,1211.060054,1.0,-0.56,-3.43,-8.01,25.75,-5.75,30.19,5.06,34.81,17.75,-1.8848989043811906,-0.7683250681286291,1.3157470615636093,-113.8590465676662,-65.14957239662155,7.9935127959191385,0.0554,-0.838,-0.5384,0.0697
1262768.0,1211.098954,1.0,-2.15,-4.79,-2.88,26.19,-5.38,31.87,-88.37,245.94,54.75,-4.876639287451897,0.04631669316183196,6.331417054711983,-116.1411089977447,-63.20189622403351,3.094348134689141,0.0665,-0.8487,-0.524,0.027
1262802.0,1211.134853,1.0,4.67,-1.39,-5.47,26.19,-5.38,31.87,-186.63,427.13,55.31,0.4337063934492025,-3.101887937950933,3.1845589416804465,-117.9183271731557,-59.29993988982113,-13.368762981498051,0.0875,-0.8568,-0.4947,-0.1164
1262839.0,1211.159788,1.0,6.71,0.68,-10.99,20.06,-9.19,34.38,-146.25,275.75,49.44,0.8561341209366211,-0.9733080877922485,-3.0224694449660596,-117.38702490663178,-55.990712569368334,-23.56534364989273,0.0898,-0.8544,-0.4694,-0.2042
1262874.0,1211.190703,1.0,6.72,-0.38,-8.1,9.56,-14.75,38.19,-156.69,221.63,59.63,-0.636356192578106,-1.5798349630430146,-0.5862308463156349,-116.07613737802977,-51.316197786830955,-33.90753998612701,0.0874,-0.8484,-0.433,-0.2916
1262909.0,1211.247552,1.0,8.27,4.55,-9.62,9.56,-14.75,38.19,-130.69,112.06,79.25,2.132389402098174,1.735814534418209,-3.3872752438355835,-116.05449328856251,-47.143854289929536,-39.558846745858816,0.0777,-0.8483,-0.3999,-0.3384
1262944.0,1211.264507,1.0,7.09,3.92,-7.95,-0.06,-20.37,35.56,-75.06,18.5,31.94,1.4808397794586936,1.532712460675394,-1.3421125349391616,-117.16684130354302,-43.96211035016288,-41.893483237359085,0.0613,-0.8534,-0.3743,-0.3575
1262981.0,1211.310383,1.0,6.16,3.1,-7.65,-5.0,-22.56,33.38,-53.44,23.75,1.25,0.40167262887966837,1.3134714930162648,-0.4007763032481666,-117.12288767556585,-43.19697398702747,-42.950588537317486,0.0499,-0.8532,-0.3681,-0.3661
