TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1594066.0,191.867426,1.0,-7.0,-1.24,-6.59,13.38,-17.0,32.5,-6.56,-9.81,5.06,-0.2750173981268276,-0.2267434938970032,0.1196147043740492,-127.24853393391233,25.970475433904983,40.962397583514125,0.1562,-0.8959,0.2247,0.3499
1594105.0,191.874406,1.0,-6.9,-1.25,-6.92,13.38,-17.37,32.19,4.69,6.38,1.12,-0.014088532332513282,-0.07571647338477305,-0.04489650442837423,-127.19696922706022,26.099850978803428,40.962397583514125,0.1558,-0.8957,0.2258,0.3499
1594140.0,191.924273,1.0,-6.68,-1.42,-7.17,14.06,-18.87,32.5,1.06,3.69,2.69,0.3290953981702991,-0.05756186500604843,-0.08961610649694407,-127.30014547607834,26.205728877683857,40.77896631080099,0.1559,-0.8961,0.2267,0.3484
1594173.0,191.953197,1.0,-6.96,-1.27,-6.76,14.06,-18.87,32.5,-9.19,-3.31,5.13,-0.12665324482248774,-0.22412455788030394,0.02473673427683032,-127.22274573469288,26.299861682128068,40.91347187505044,0.1541,-0.8958,0.2275,0.3495
1594208.0,191.985113,1.0,-6.93,-0.68,-6.96,13.0,-18.19,31.69,-2.56,5.69,-0.94,-0.2986908527225549,0.33593217115412966,-0.028330088992733593,-127.32596885361228,26.264559766970834,40.87678270719479,0.152,-0.8962,0.2272,0.3492
1594245.0,192.03897,1.0,-6.83,-1.7,-6.88,12.56,-17.75,30.87,7.38,0.56,-1.75,0.21029272116633901,-0.5037756081826192,-0.020622617976194135,-127.37765090836376,26.32339770363258,40.69340241756593,0.1544,-0.8964,0.2277,0.3477
1594279.0,192.045948,1.0,-6.87,-1.37,-6.71,12.56,-17.75,30.87,-3.81,4.38,4.38,-0.08103549288978762,-0.3228037920281517,0.11195397790913653,-127.37765090836376,26.40578268892082,40.656739432367544,0.154,-0.8964,0.2284,0.3474
1594314.0,192.103809,1.0,-6.75,-1.11,-7.06,12.56,-17.75,31.69,-7.19,9.75,5.94,0.03818444475742089,0.005923979105368127,-0.023747085298749582,-127.61080606533372,26.57059440264536,40.43685258518578,0.1506,-0.8973,0.2298,0.3456
1594349.0,192.117761,1.0,-6.35,-1.22,-7.66,12.25,-17.37,32.88,-5.88,-0.44,9.0,0.716843648698104,0.22853308049871734,-0.18936959854216084,-127.58485235552222,26.782577502705934,40.4979166397379,0.1475,-0.8972,0.2316,0.3461
1594386.0,192.168262,1.0,-6.82,-0.78,-6.69,13.0,-17.75,31.69,-15.44,-11.5,10.75,-0.266145103079396,0.0006462804676035105,0.22510177612571347,-127.30014547607834,26.876822143927065,40.9501654253067,0.1442,-0.8961,0.2324,0.3498
1594421.0,192.199179,1.0,-7.03,-0.39,-6.69,13.0,-17.75,31.69,-28.94,-20.12,14.44,-0.40602992079186384,0.17736973329263672,0.10444511239153975,-126.7349719522371,26.912168656137837,41.979385883293695,0.1365,-0.8939,0.2327,0.3582
1594458.0,192.230097,1.0,-5.83,0.21,-9.2,12.56,-17.75,31.69,-14.0,-123.12,9.5,1.9491647205017983,2.220102502888535,-0.6788114475958658,-124.72495975966049,26.711906133385632,44.49398072982355,0.136,-0.8859,0.231,0.3786
1594494.0,192.288939,1.0,-7.94,2.42,-4.36,13.75,-19.69,30.87,-8.5,-204.94,-59.69,-2.4171510217682197,2.158793319787509,1.008548367238209,-119.0385830310132,24.51434453810049,51.646957908772436,0.15,-0.8618,0.2123,0.4356
