TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1624242.0,597.537329,1.0,5.57,0.14,-8.16,-25.37,-16.5,31.5,-1.69,-1.31,-0.63,-0.2203241781466909,-0.253104591166585,-0.06844469941703224,-144.09039985888563,3.231910418500817,-35.58852995304725,-0.0291,-0.9513,0.0282,-0.3056,0
1624242.0,597.537329,1.0,5.57,0.14,-8.16,-25.37,-16.5,31.5,-1.69,-1.31,-0.63,-0.2203241781466909,-0.253104591166585,-0.06844469941703224,-144.09039985888563,3.231910418500817,-35.58852995304725,-0.0291,-0.9513,0.0282,-0.3056,0
1624276.0,597.540769,1.0,5.59,0.23,-8.3,-24.19,-16.87,30.69,-1.25,0.75,-1.06,-0.28684459663857453,-0.18475937564099665,-0.19707851243435215,-144.1275913572786,3.2204467196467967,-35.56446095223015,-0.0297,-0.9514,0.0281,-0.3054,0
1624276.0,597.540769,1.0,5.59,0.23,-8.3,-24.19,-16.87,30.69,-1.25,0.75,-1.06,-0.28684459663857453,-0.18475937564099665,-0.19707851243435215,-144.1275913572786,3.2204467196467967,-35.56446095223015,-0.0297,-0.9514,0.0281,-0.3054,0
1624311.0,597.568732,1.0,5.66,0.4,-8.11,-25.0,-17.19,30.69,-1.44,-0.5,-0.31,-0.12811106832686459,-0.006312373636833707,-0.09038226771092361,-144.1275913572786,3.2204467196467967,-35.540393572715686,-0.0301,-0.9514,0.0281,-0.3052,0
1624311.0,597.568732,1.0,5.66,0.4,-8.11,-25.0,-17.19,30.69,-1.44,-0.5,-0.31,-0.12811106832686459,-0.006312373636833707,-0.09038226771092361,-144.1275913572786,3.2204467196467967,-35.540393572715686,-0.0301,-0.9514,0.0281,-0.3052,0
1624346.0,597.611381,1.0,5.78,0.25,-8.21,-25.37,-17.56,31.06,3.5,-0.12,0.94,-0.07585032229055211,-0.141678998323845,-0.23571893317718917,-144.1648201843402,3.2204467196467967,-35.52836049051284,-0.0292,-0.9515,0.0281,-0.3051,0
1624346.0,597.611381,1.0,5.78,0.25,-8.21,-25.37,-17.56,31.06,3.5,-0.12,0.94,-0.07585032229055211,-0.141678998323845,-0.23571893317718917,-144.1648201843402,3.2204467196467967,-35.52836049051284,-0.0292,-0.9515,0.0281,-0.3051,0
1624381.0,597.635617,1.0,5.46,0.07,-8.21,-25.37,-17.56,31.06,1.12,-0.69,-0.06,-0.3156680633849662,-0.3119318508354539,-0.04340848684123877,-144.20208645663692,3.2089830530311807,-35.4802322080149,-0.0281,-0.9516,0.028,-0.3047,0
1624381.0,597.635617,1.0,5.46,0.07,-8.21,-25.37,-17.56,31.06,1.12,-0.69,-0.06,-0.3156680633849662,-0.3119318508354539,-0.04340848684123877,-144.20208645663692,3.2089830530311807,-35.4802322080149,-0.0281,-0.9516,0.028,-0.3047,0
