TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2176307.0,481.986271,1.0,-4.68,0.07,-9.18,5.25,-25.06,32.38,-17.06,30.75,11.38,-0.02043328213446527,0.4184719550562043,-0.4891823463337648,-144.35152835071236,21.765523710742034,26.88860402502931,0.0626,-0.952,0.1888,0.2325
2176339.0,482.017205,1.0,-4.56,-0.24,-9.36,5.25,-25.06,32.38,3.13,2.75,7.0,0.2012057252879904,0.1345682245158537,-0.6049880867307333,-144.61452078820065,22.045646214809633,26.40578268892082,0.0602,-0.9527,0.1912,0.2284
2176374.0,482.060847,1.0,-4.78,-0.07,-8.37,4.19,-25.5,32.38,-2.25,6.31,4.0,-0.4632629271632851,-0.00271557757249985,0.1787956135879103,-144.5768347492103,22.22079043012782,26.32339770363258,0.0597,-0.9526,0.1927,0.2277
2176411.0,482.093326,1.0,-4.49,-0.3,-8.92,3.75,-25.5,32.5,-3.94,4.5,-1.37,0.04518074103297387,-0.058462129776839566,-0.18389757658566452,-144.87941908090355,22.185757394813148,26.00575632582789,0.0574,-0.9534,0.1924,0.225
2176446.0,482.135996,1.0,-4.56,-0.34,-8.8,3.75,-25.5,32.5,3.13,-1.94,1.5,-0.044256138185484684,-0.1393873871362296,-0.1093881478965848,-144.87941908090355,22.2091125181558,26.017517180397213,0.0576,-0.9534,0.1926,0.2251
2176479.0,482.161327,1.0,-4.66,-0.35,-8.34,3.38,-25.87,33.19,0.56,2.81,-1.56,-0.3126203436749697,-0.2630843032636387,0.2553801802275082,-144.80353687392875,22.267504416511226,26.00575632582789,0.0583,-0.9532,0.1931,0.225
2176516.0,482.218541,1.0,-4.65,-0.44,-8.52,3.38,-25.06,33.25,-2.94,11.5,-1.88,-0.2330077531658552,-0.32728056012708456,0.09865871333685483,-145.03166189361892,22.255825568870375,25.770597576108933,0.0576,-0.9538,0.193,0.223
2176550.0,482.258562,1.0,-4.44,-0.32,-9.57,2.69,-25.87,33.69,-1.06,-8.25,0.75,0.30658825514714527,0.03832323817471561,-0.7434890972451917,-145.03166189361892,22.34926291674044,25.688318141008548,0.0568,-0.9538,0.1938,0.2223
2176585.0,482.271534,1.0,-4.76,-0.49,-8.13,2.69,-25.87,33.69,8.25,-4.81,-2.69,-0.449966200574178,-0.4568725059195467,0.3947746325891224,-144.87941908090355,22.325902171258925,25.86464777060069,0.0593,-0.9534,0.1936,0.2238
2176622.0,482.345478,1.0,-4.66,-0.19,-9.0,2.38,-25.06,32.88,-3.38,7.31,-0.75,-0.16064594643012864,0.010683042957078559,-0.3287226499072897,-144.9554604078314,22.431032941974188,25.700071520307276,0.059,-0.9536,0.1945,0.2224
2176657.0,482.372407,1.0,-4.56,-0.28,-9.5,3.88,-25.5,32.38,6.13,-4.88,-3.06,0.14488803679739393,0.07334030299112343,-0.7335411110164483,-144.99354106549774,22.39598723123728,25.641307370957353,0.0596,-0.9537,0.1942,0.2219
2176692.0,482.376324,1.0,-4.75,-0.61,-8.41,3.88,-25.5,32.38,10.94,-11.69,-4.44,-0.2774736632672612,-0.40580292213675295,0.14119437935912238,-144.65224571956077,22.279183498407725,25.99399574998519,0.0645,-0.9528,0.1932,0.2249
2176727.0,482.411446,1.0,-4.49,-0.45,-9.27,3.5,-25.06,31.5,5.69,-5.75,-3.69,0.2504712503885429,0.08356720624584302,-0.4999391872514778,-144.46400874868328,22.174080183171977,26.241026566581304,0.0676,-0.9523,0.1923,0.227
2176763.0,482.457328,1.0,-4.68,-0.87,-9.01,3.38,-25.06,32.75,17.81,-31.37,-7.13,0.25283752231652246,-0.28864787912705286,-0.37628452739357776,-143.86802831777294,22.045646214809633,26.923951406435997,0.0729,-0.9507,0.1912,0.2328
2176796.0,482.484287,1.0,-4.79,-0.85,-8.39,3.38,-25.06,32.75,16.0,-32.63,-3.13,0.008391505307008718,-0.30097990547086095,0.11293860141063128,-143.13615512462272,21.975603150496877,27.725866499273085,0.0792,-0.9487,0.1906,0.2396
2176831.0,482.52002,1.0,-5.02,-0.55,-8.49,3.75,-24.69,33.19,14.38,-36.38,-5.81,-0.06865310760574905,0.09435819455597344,-0.0710715632926302,-142.02866969644373,21.858883165817783,28.97869493391196,0.0857,-0.9456,0.1896,0.2502
2176866.0,482.544945,1.0,-4.95,-0.61,-9.88,5.25,-24.0,33.19,26.44,-68.37,-12.94,0.9554328638405818,0.7824843651002631,-1.1917074346839183,-140.20399733163399,21.43888030792546,31.031112572318904,0.0983,-0.9403,0.186,0.2675
2176903.0,482.585057,1.0,-5.85,-1.12,-7.54,7.19,-22.5,32.75,44.25,-91.44,-25.06,-0.31627027862415424,-0.233515485676635,0.20592379680014972,-138.07026684249539,20.82107094211026,33.38079627736779,0.1133,-0.9338,0.1807,0.2872
2176937.0,482.623471,1.0,-5.88,-2.25,-8.09,7.19,-22.5,32.75,32.31,-104.12,-12.5,0.9212361579905934,-0.573979301921614,-0.3868220140968823,-134.73735728971755,20.168955080859906,36.87862290728264,0.1321,-0.923,0.1751,0.3163
2176974.0,482.656284,1.0,-6.47,-1.27,-6.92,10.56,-22.5,34.06,31.5,-109.62,-14.44,-0.07925408611946017,0.08919572960000466,0.24914180425910182,-131.84655671079122,19.61052428537218,39.98534936807033,0.143,-0.913,0.1703,0.3419
2177011.0,482.703858,1.0,-7.28,-2.33,-4.34,13.19,-21.75,32.5,27.75,-90.5,-7.94,-1.216994309035198,-1.5685289942422396,1.2438501281124523,-128.00155633728318,19.029325032716933,43.72741569250491,0.1619,-0.8988,0.1653,0.3724
2177044.0,482.734833,1.0,-6.95,-2.15,-3.21,13.19,-21.75,32.5,25.75,-30.37,-10.19,-1.6263919858119231,-1.6611175350173033,2.202398712506618,-126.6328096707232,18.796984460560502,44.952445815509726,0.1699,-0.8935,0.1633,0.3823
2177079.0,482.763041,1.0,-6.63,-2.81,-3.05,16.5,-20.56,31.56,10.38,37.69,-1.19,-1.3482244714741873,-2.2715919426402422,2.44610241027204,-127.30014547607834,19.04094412601985,43.91268486070204,0.1731,-0.8961,0.1654,0.3739
2177116.0,482.800081,1.0,-6.54,-2.07,-1.63,17.37,-19.06,32.0,-3.63,150.0,5.19,-2.7455671542561113,-2.415834552964473,3.7784658277825516,-129.97078188553854,19.73845598070809,40.80341749737213,0.1669,-0.9062,0.1714,0.3486
2177153.0,482.845955,1.0,-3.51,-2.58,-5.64,14.38,-19.87,35.0,-34.5,300.69,21.0,0.8761991837029539,-1.1551963102178364,2.829265355640956,-137.97429037596618,21.695513718287582,31.185744677827838,0.1447,-0.9335,0.1882,0.2688
2177185.0,482.931375,1.0,-2.63,-0.59,-8.6,14.38,-19.87,35.0,-58.56,273.31,10.88,0.6652791899725036,0.9658582995061569,0.8707940620014156,-145.9981360073074,23.12070182440919,21.205671619155694,0.1073,-0.9563,0.2004,0.184
2177224.0,482.935362,1.0,-1.36,-0.71,-11.33,6.38,-20.25,34.56,-57.56,175.94,6.0,1.6413389589805998,1.2983151773080854,-1.433589504659322,-150.03285782765784,23.65899809735879,15.378470869631332,0.0834,-0.966,0.205,0.1338
2177261.0,482.944338,1.0,-1.83,-0.96,-7.46,-1.06,-21.75,35.25,-18.06,148.94,2.69,-0.17848957284642042,-0.4007964920665431,2.078157026312809,-152.7702885732456,24.197824520118107,9.970582425862728,0.0635,-0.9719,0.2096,0.0869
2177294.0,482.97725,1.0,-0.68,0.57,-9.53,-1.06,-21.75,35.25,-62.0,163.94,3.81,-0.12960906730927124,1.2229866660904511,0.314774257859451,-154.42620867150097,24.479166312304468,5.525454047712893,0.0425,-0.9752,0.212,0.0482
2177329.0,483.020783,1.0,0.44,0.48,-12.59,-6.0,-24.06,33.56,-42.19,145.13,-9.0,0.1940607161847918,1.0414235394197495,-2.7555901445751836,-155.59138277018496,24.350199497398,0.36669361470931167,0.0165,-0.9774,0.2109,0.0032
2177366.0,483.06187,1.0,-0.13,0.64,-11.76,-10.5,-25.56,31.06,-6.81,39.5,-13.56,-0.7208374542614802,0.6893355972699996,-1.929163129002621,-155.8639137604186,24.057209241108925,-1.4668120111410634,0.0096,-0.9779,0.2084,-0.0128
2177402.0,483.082847,1.0,0.11,-0.56,-10.92,-13.06,-26.25,30.0,-2.31,43.38,-14.06,-0.2697047986996718,-0.39454410527572353,-1.1178039575463696,-156.30638493987288,23.471705166170008,-2.9682532975386033,0.0089,-0.9787,0.2034,-0.0259
2177435.0,483.135697,1.0,0.61,-0.26,-11.69,-13.06,-26.25,30.0,-16.12,49.06,-12.06,-0.19317781424991792,-0.11249830707880909,-1.9000073565209465,-156.47442582901172,23.132398374270103,-4.217921750764655,0.0026,-0.979,0.2005,-0.0368
2177474.0,483.162847,1.0,0.57,-0.14,-11.83,-13.06,-25.56,29.56,6.81,-9.5,-12.75,-0.3713853629883962,-0.11701137608932324,-2.031499401406615,-156.814109146573,22.699787605080818,-4.71104003397371,-0.0007,-0.9796,0.1968,-0.0411
2177509.0,483.198757,1.0,0.54,-0.85,-10.55,-13.5,-26.69,29.0,18.62,-13.56,-11.06,0.0029225610336682806,-0.6184181780926745,-0.7732436864054346,-157.33304425296922,22.19743483976267,-4.389930414609093,0.0058,-0.9805,0.1925,-0.0383
2177544.0,483.227586,1.0,0.7,-0.58,-10.76,-13.5,-26.69,29.0,-4.38,7.81,-9.88,0.016601178070149436,-0.3269605053154855,-0.9867193177269957,-157.62647223808008,21.90556839778225,-4.481672390551605,0.0052,-0.981,0.19,-0.0391
2177576.0,483.266587,1.0,0.79,-0.6,-11.01,-13.06,-25.56,29.0,5.63,-18.81,-2.44,0.15732881230330642,-0.26069459211018503,-1.2437565976987397,-157.863978815261,21.730517688284202,-4.068855279934243,0.007,-0.9814,0.1885,-0.0355
2177613.0,483.302999,1.0,0.59,-1.04,-9.1,-13.19,-26.0,30.0,10.63,-16.62,-1.88,0.34435792917938335,-0.6678128176530783,0.6592381443334165,-157.98368078519854,21.660511797125544,-3.5299782811888885,0.0104,-0.9816,0.1879,-0.0308
2177650.0,483.335211,1.0,0.52,-0.94,-9.17,-13.19,-26.0,30.0,1.5,-2.44,-3.0,0.25854387567438686,-0.5763333501544392,0.5955754191570541,-158.1040290229696,21.567183329657436,-3.369477361207863,0.0115,-0.9818,0.1871,-0.0294
2177685.0,483.36345,1.0,0.98,-1.1,-10.93,-12.69,-26.25,29.75,-2.94,-13.0,6.0,0.6550894229061763,-0.5389556247501675,-1.1895168176936366,-158.04377345766537,21.672178876755062,-3.2777655386010047,0.0111,-0.9817,0.188,-0.0286
2177720.0,483.401788,1.0,0.55,-1.55,-9.44,-12.69,-26.25,29.56,7.69,-26.81,13.06,0.6738557133569726,-1.0234744027055296,0.30312335855879624,-157.7449126837509,22.080670872919914,-2.24613838532295,0.0149,-0.9812,0.1915,-0.0196
2177757.0,483.438373,1.0,0.36,-1.62,-9.49,-11.56,-26.25,31.5,-6.88,-8.0,21.31,0.5970269364202753,-1.1240684512571861,0.2570882847129088,-157.27480743211564,22.571237075421166,-1.8335431812694831,0.0157,-0.9804,0.1957,-0.016
2177789.0,483.48125,1.0,0.51,-1.31,-11.0,-11.56,-26.25,31.5,-12.56,-3.56,29.5,0.6449331094017258,-0.7954016090749536,-1.235433026525314,-156.25063177900063,23.67070602926566,-1.5584932484256673,0.0121,-0.9786,0.2051,-0.0136
2177826.0,483.521385,1.0,-0.17,-1.17,-9.52,-12.0,-26.0,30.75,-5.0,-29.44,33.0,0.1605494645156833,-0.9417724566382347,0.26120666250323765,-155.32181611488016,24.64335146895964,-0.7677691897415189,0.0118,-0.9769,0.2134,-0.0067
2177863.0,483.543805,1.0,-0.33,-1.2,-9.11,-12.0,-25.56,30.75,-12.31,-17.5,42.31,0.19520861146612267,-0.9839573940346946,0.6669168832873478,-153.8627830260387,26.111614068361778,0.1145915781247664,0.0132,-0.9741,0.2259,0.001
2177898.0,483.583023,1.0,-0.12,-0.38,-10.12,-12.0,-25.56,30.75,-15.88,-6.81,49.31,0.09833811250644348,-0.18104184140542312,-0.31909705724418025,-152.52794284369597,27.4544775660039,0.44690821311924467,0.0098,-0.9714,0.2373,0.0039
2177933.0,483.625399,1.0,-0.47,1.23,-10.18,-12.69,-24.5,30.75,-14.63,-18.12,50.19,-0.8324067853210109,0.9835310046630649,-0.3769626058790134,-150.43438697810745,29.535319528051428,1.2032334798806035,0.0046,-0.9669,0.2549,0.0105
2177968.0,483.655188,1.0,-1.11,1.21,-8.84,-13.75,-25.19,30.25,-5.0,-11.13,34.31,-1.333938834467539,0.598418374464506,0.9351054538117403,-148.94411093259444,30.995436476359295,1.7303983035632713,0.0036,-0.9635,0.2672,0.0151
2178004.0,483.700454,1.0,-0.68,1.63,-10.41,-13.75,-25.19,30.37,-9.44,7.75,28.62,-1.1526178693041425,1.1200021787319616,-0.6290803130636942,-148.0992206918234,31.852522560972307,1.6501754833924644,0.0006,-0.9615,0.2744,0.0144
2178039.0,483.725407,1.0,-0.54,1.42,-10.62,-13.75,-25.19,30.37,-2.06,-6.31,18.12,-0.8956059978673517,0.9908966425625808,-0.8379924900201434,-147.31628725286765,32.62785371061371,1.8106219718873995,-0.0004,-0.9596,0.2809,0.0158
2178074.0,483.793387,1.0,-0.72,1.09,-9.35,-14.56,-24.75,32.38,-3.06,-11.63,8.19,-0.859995199258186,0.6327560324131976,0.42640330491262723,-146.992038514199,32.926465204924455,2.165909426065293,0.0005,-0.9588,0.2834,0.0189
2178111.0,483.812338,1.0,-0.6,0.53,-9.95,-15.25,-24.69,31.25,-4.69,1.81,2.13,-0.41441840593423745,0.21019693702142336,-0.16468264075016847,-146.871240884656,33.05792701658909,2.2346770389286066,-0.0009,-0.9585,0.2845,0.0195
