TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2513330.0,819.614712,1.0,-2.42,0.11,-9.58,-0.5,-26.5,30.25,5.31,-1.56,11.81,-0.2714655576011624,0.17776873171661348,-0.06956408886320631,-159.15467994543425,16.269308165184984,12.711338126294772,0.023,-0.9835,0.1415,0.1107
2513367.0,819.650549,1.0,-2.49,0.03,-9.45,-2.0,-25.0,31.56,0.06,-1.19,-5.81,-0.3289450293113416,0.06949321348411659,0.03984571912229917,-158.9028148870971,16.524012627926176,12.780520582262026,0.0231,-0.9831,0.1437,0.1113
2513399.0,819.686815,1.0,-2.41,-0.56,-9.19,-2.0,-25.0,31.56,6.13,-0.31,-5.44,-0.1482570255762552,-0.4603550490790065,0.30170954341875955,-159.0283735374385,16.350341655632345,12.768989848771895,0.0247,-0.9833,0.1422,0.1112
2513434.0,819.714738,1.0,-2.42,-0.4,-9.51,-1.25,-26.19,31.69,-2.81,1.5,-3.0,-0.14454233265203675,-0.284531091763135,-0.009390422282882227,-159.15467994543425,16.223006993376618,12.722868211864098,0.0246,-0.9835,0.1411,0.1108
2513469.0,819.768594,1.0,-2.48,-0.48,-9.15,-0.5,-26.19,30.75,-5.13,-5.75,-10.69,-0.23070002578086113,-0.416585697962312,0.32632648999476466,-159.28174778831308,15.922114008308865,12.872771138472864,0.0235,-0.9837,0.1385,0.1121
2513506.0,819.789539,1.0,-2.31,-0.96,-9.23,-0.5,-25.75,29.5,-0.25,4.94,-5.94,0.05855666919290292,-0.8272741462052554,0.2796993544097006,-159.5382246114638,15.644464720667997,12.780520582262026,0.0233,-0.9841,0.1361,0.1113
2513541.0,819.832649,1.0,-2.33,-0.38,-9.81,-0.5,-25.75,29.5,-6.0,5.13,6.06,-0.015697892749572118,-0.2700956634936833,-0.2797865317353363,-159.60284227959588,15.760140597334962,12.630631138714765,0.0216,-0.9842,0.1371,0.11
2513577.0,819.86472,1.0,-2.38,-0.34,-9.42,-2.0,-25.75,29.5,-2.75,3.0,1.56,-0.16639284908737073,-0.3127183986627051,0.0911510100916395,-159.5382246114638,15.979969398223387,12.526874248925028,0.0199,-0.9841,0.139,0.1091
2513612.0,819.902433,1.0,-2.17,-0.6,-9.74,-1.25,-25.75,31.56,-1.75,4.06,4.56,0.15127658612017392,-0.48813810418019093,-0.17710363206340674,-159.5382246114638,16.084119443363345,12.411600904099071,0.0199,-0.9841,0.1399,0.1081
2513647.0,819.950132,1.0,-2.27,-0.19,-9.71,-1.25,-25.75,31.56,-2.38,2.75,8.25,-0.07092953436045146,-0.14447621508100372,-0.1656714761875442,-159.3455716366145,16.361918539628217,12.342442956629046,0.0192,-0.9838,0.1423,0.1075
2513682.0,819.964928,1.0,-2.12,-0.07,-10.33,-1.56,-26.5,30.25,-3.19,4.94,6.56,0.1485881346545357,0.027231963681652788,-0.7377978274774524,-159.21811781644797,16.581911426258042,12.238714488577818,0.0182,-0.9836,0.1442,0.1066
2513719.0,820.058731,1.0,-2.38,-0.04,-9.81,-0.88,-26.19,29.87,2.56,-7.88,4.69,-0.18581303406430183,-0.05611441803551301,-0.28614072845862815,-159.0283735374385,16.767216307875252,12.365495103087909,0.018,-0.9833,0.1458,0.1077
2513754.0,820.067702,1.0,-2.28,-0.1,-10.04,-0.88,-26.19,29.87,3.38,-5.13,3.56,-0.001263489025034037,-0.04370329234711631,-0.48937294217691907,-158.77799072087697,16.894639006068054,12.526874248925028,0.0192,-0.9829,0.1469,0.1091
2513786.0,820.07173,1.0,-2.34,-0.03,-10.27,-1.25,-25.75,30.69,5.5,-24.62,-0.63,0.05875092165727658,0.07688336885557742,-0.7261576635243756,-158.40779810685115,16.940979741891212,13.04576356339961,0.0212,-0.9823,0.1473,0.1136
2513823.0,820.109236,1.0,-2.53,-0.65,-9.43,-1.56,-26.19,30.37,18.94,-22.06,-0.81,0.016361227363936415,-0.4803661272410691,0.03335573992379004,-157.6856148741907,16.987323268750952,13.945814879054648,0.028,-0.9811,0.1477,0.1214
2513858.0,820.174391,1.0,-2.97,-0.38,-8.98,-0.88,-25.75,30.75,13.81,-40.25,-1.81,-0.4183456532878096,-0.27133367387481244,0.35376340638232584,-156.92843283344135,17.03366959473287,14.985414779298193,0.033,-0.9798,0.1481,0.1304
2513893.0,820.242209,1.0,-3.09,-1.38,-8.2,-0.88,-25.75,30.75,29.94,-29.37,-5.69,-0.2834499137175641,-1.1351065528867232,1.01326104806531,-156.08414094937433,16.917809025605248,16.072546557241566,0.0433,-0.9783,0.1471,0.1398
2513930.0,820.249218,1.0,-3.21,-1.3,-7.14,-0.06,-25.37,31.19,17.12,1.06,7.13,-0.6654180391347704,-1.1455214840082912,1.9824120586494498,-155.59138277018496,17.103194349757633,16.315612011260463,0.0486,-0.9774,0.1487,0.1419
