TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1007542.0,175.470987,1.0,-3.19,1.95,-9.1,2.69,-32.5,23.06,-0.75,-4.56,0.0,-0.13283860577740225,-0.05959398346596648,-0.030392363533344735,-156.70033876277134,8.257737442475136,19.029325032716933,-0.0913,-0.9794,0.072,0.1653
1007577.0,175.505529,1.0,-3.22,1.55,-9.03,2.69,-32.5,23.06,3.31,0.06,1.31,-0.13759670766584864,-0.42866896559275586,0.10566499516790628,-156.70033876277134,8.29220473923879,19.05256341690962,-0.0905,-0.9794,0.0723,0.1655
1007613.0,175.532041,1.0,-3.29,1.96,-9.08,3.75,-33.25,24.25,-3.13,1.31,-0.69,-0.23200777797277716,-0.07080993516522693,-0.044911213535749894,-156.64365853086989,8.29220473923879,19.04094412601985,-0.0916,-0.9793,0.0723,0.1654
1007648.0,175.615889,1.0,-3.3,1.61,-9.05,3.0,-31.37,22.19,2.94,2.31,0.81,-0.22057345020793084,-0.4041609769015095,0.05100541556512894,-156.70033876277134,8.269226458088283,18.9944689370341,-0.0914,-0.9794,0.0721,0.165
1007683.0,175.618882,1.0,-3.1,2.07,-9.37,3.0,-31.37,22.19,-4.5,1.56,1.63,0.015126811109412719,0.018498046553667352,-0.27755690990914594,-156.70033876277134,8.303694005010767,18.947996901150272,-0.0918,-0.9794,0.0724,0.1646
1007718.0,175.641191,1.0,-3.06,1.77,-9.36,3.75,-31.75,23.87,0.44,1.81,1.69,0.07169976796791588,-0.25818920152086366,-0.19506472696014043,-156.75715530060586,8.326672787534774,18.88991127772655,-0.0914,-0.9795,0.0726,0.1641
1007755.0,175.73101,1.0,-3.18,2.1,-9.14,3.0,-32.5,23.0,-1.81,0.5,-2.13,-0.14680331362893373,0.05603895454655604,-0.09472911720790833,-156.70033876277134,8.29220473923879,18.901528010085144,-0.0925,-0.9794,0.0723,0.1642
1007788.0,175.744004,1.0,-3.14,1.68,-9.17,3.0,-32.5,23.0,2.0,3.31,0.19,-0.06154377030353597,-0.3382142314263481,-0.024561700395711483,-156.814109146573,8.269226458088283,18.855062255560348,-0.0919,-0.9796,0.0721,0.1638
1007822.0,175.747993,1.0,-3.15,1.76,-9.28,3.38,-32.88,22.69,-2.44,1.06,2.0,-0.05461458136304298,-0.2889717392735849,-0.14583775841516733,-156.814109146573,8.303694005010767,18.785369486689323,-0.0923,-0.9796,0.0724,0.1632
1007857.0,175.776103,1.0,-3.12,1.66,-9.02,3.0,-32.5,23.5,-1.0,5.81,2.06,-0.11739530200055626,-0.3407756688119414,0.12571562946458137,-156.87120131517742,8.29220473923879,18.692456695573654,-0.0923,-0.9797,0.0723,0.1624
