TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1883889.0,353.197414,1.0,-1.82,1.16,-9.61,20.37,-22.75,26.5,1.25,5.44,-1.94,0.1049418492356865,0.03344680070443029,-0.04210466847466954,-140.71214769326966,-37.011521124582174,8.453062112264227,-0.0825,-0.9418,-0.3174,0.0737
1883924.0,353.252268,1.0,-1.7,0.99,-9.74,20.0,-22.37,26.06,3.94,5.81,-2.94,0.09333099089817187,-0.15289168980928008,-0.1284198768214626,-140.71214769326966,-37.12029440520261,8.29220473923879,-0.0807,-0.9418,-0.3183,0.0723
1883959.0,353.257289,1.0,-1.71,0.95,-9.63,20.37,-22.0,25.19,2.44,3.88,-2.25,0.044452686670475305,-0.13205945223098978,-0.019034925730331054,-140.6780748758918,-37.22910236456349,8.200293609338797,-0.0797,-0.9417,-0.3192,0.0715
1883994.0,353.297513,1.0,-1.65,0.93,-9.82,20.37,-22.0,25.19,0.81,3.56,-0.56,0.08118472594693593,-0.1941987595367083,-0.1921247190376949,-140.6780748758918,-37.253286633756794,8.073924421552887,-0.0787,-0.9417,-0.3194,0.0704
1884028.0,353.328227,1.0,-1.78,1.04,-9.68,20.0,-22.37,25.56,-1.69,3.06,-0.37,0.013113995878732743,-0.0006792029466713423,-0.0904317699863153,-140.71214769326966,-37.26537941343615,7.947565068163919,-0.0789,-0.9418,-0.3195,0.0693
1884065.0,353.375177,1.0,-1.82,0.95,-9.52,20.0,-22.0,25.56,0.63,4.88,-0.5,-0.10548098302071895,0.004553568439982669,0.06836714175258152,-140.71214769326966,-37.28956626386321,7.798243752767078,-0.0782,-0.9418,-0.3197,0.068
1884098.0,353.40056,1.0,-1.67,1.13,-9.63,20.0,-22.0,25.56,-2.44,7.31,-0.06,0.10006678059409757,0.04687776340643471,-0.031565748534873705,-140.74624891732873,-37.31375483691922,7.602997386301145,-0.0782,-0.9419,-0.3199,0.0663
1884133.0,353.463272,1.0,-1.54,1.06,-9.87,20.37,-22.75,26.06,-1.31,9.63,-1.56,0.12283449609321706,-0.10041389851813753,-0.23759854011259307,-140.74624891732873,-37.39842842920397,7.247016388579905,-0.0777,-0.9419,-0.3206,0.0632
1884170.0,353.467259,1.0,-1.52,1.02,-9.68,20.0,-21.56,25.19,-1.75,1.5,1.12,0.07539109229550955,-0.0988254439070328,-0.044124066784755556,-140.74624891732873,-37.446822845384496,7.086273935339353,-0.0777,-0.9419,-0.321,0.0618
1884203.0,353.515161,1.0,-1.57,1.15,-9.59,20.0,-21.56,25.19,-4.81,0.31,2.31,0.09599990618301835,0.034869083161594455,0.02170911284833643,-140.78037862226373,-37.38633090632623,7.040350098228412,-0.0786,-0.942,-0.3205,0.0614
1884237.0,353.548216,1.0,-1.6,1.29,-9.86,19.56,-22.37,26.87,3.13,-1.37,-1.37,0.17486359068178348,0.10317483399207025,-0.263229725115119,-140.78037862226373,-37.362137156703376,7.051830951076286,-0.079,-0.942,-0.3203,0.0615
1884272.0,353.583097,1.0,-1.6,1.07,-9.76,20.0,-22.75,26.87,5.44,-5.63,-1.63,0.06914414195765206,-0.03886015621360925,-0.14102354590469268,-140.74624891732873,-37.39842842920397,7.224052314144023,-0.0779,-0.9419,-0.3206,0.063
1884307.0,353.619445,1.0,-1.69,1.31,-10.05,20.37,-22.75,26.06,12.06,-22.25,-3.69,0.26492362764367594,0.13179930830311215,-0.4640434728793732,-140.61001416599208,-37.446822845384496,7.775272426130342,-0.0771,-0.9415,-0.321,0.0678
1884342.0,353.640955,1.0,-2.23,2.11,-9.21,20.37,-22.75,26.06,27.62,-44.38,-11.44,0.5865499478386419,1.205962335808735,0.1915205675221774,-140.06953899210683,-37.640469908070976,9.614047461503418,-0.0733,-0.9399,-0.3226,0.0838
1884379.0,353.700816,1.0,-2.13,1.75,-9.34,19.56,-22.37,26.5,71.19,-26.75,-49.63,0.802901806159056,0.9742884077084264,0.1505063189919582,-139.14021367291954,-38.50113546048416,11.178940913568928,-0.0613,-0.9371,-0.3297,0.0974
1884416.0,353.715988,1.0,-1.99,0.59,-9.42,21.87,-20.5,26.06,85.0,-23.5,-74.31,0.7230979569307943,0.3651531578173548,0.19476191721321356,-136.7140156295355,-40.827870624577365,13.207250097467806,-0.0342,-0.9295,-0.3488,0.115
1884450.0,353.764858,1.0,-2.31,-0.73,-8.48,21.87,-20.5,26.06,96.19,-5.94,-77.0,-0.1805015757638162,0.07823741157485242,0.9895814345085832,-134.61838734283256,-42.69210790112656,14.627194705880914,-0.0093,-0.9226,-0.364,0.1273
1884485.0,353.79594,1.0,-2.08,-1.1,-8.79,23.37,-17.87,27.25,80.5,24.81,-83.62,0.10622338527017916,0.1761405381038193,0.7094970880578106,-131.76235907719015,-45.43651590599992,15.112560354905924,0.0225,-0.9127,-0.3862,0.1315
1884520.0,353.817916,1.0,-1.24,-2.87,-9.8,24.19,-14.06,28.06,61.19,54.31,-62.81,-0.243150706700334,-1.1926282093887954,-0.40770341507240104,-130.02500909601727,-47.1938685290374,14.523222401516826,0.0463,-0.9064,-0.4003,0.1264
1884557.0,353.878212,1.0,-1.49,-2.26,-9.07,23.0,-10.75,29.75,28.19,53.44,-49.13,-0.22592030667637775,-0.13535605204351475,0.34497790917977333,-128.55324310023374,-48.84977960308056,13.195714475135587,0.065,-0.9009,-0.4135,0.1149
