TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2326841.0,796.925545,1.0,-1.66,-1.54,-9.5,26.25,-7.88,29.56,-0.5,-1.69,-0.25,0.16845104752729345,0.08976236008162108,0.04239032692188438,-123.42965193046733,-54.413151368487675,13.553381828311744,0.0391,-0.8806,-0.4572,0.118
2326878.0,796.951637,1.0,-1.64,-1.72,-9.48,25.56,-9.5,29.56,2.94,2.13,-1.25,0.03321479999003296,-0.0214100415024428,0.033378368290149396,-123.40547411170806,-54.451808715885946,13.541842119876778,0.0395,-0.8805,-0.4575,0.1179
2326913.0,796.990884,1.0,-1.55,-1.67,-9.5,25.56,-8.25,28.69,0.06,3.06,-1.88,0.12371211965765827,-0.04414455033883191,0.038121627203754116,-123.38130576448057,-54.490472774077006,13.461068017168213,0.0404,-0.8804,-0.4578,0.1172
2326945.0,797.025695,1.0,-1.57,-1.8,-9.36,25.56,-8.25,28.69,4.38,0.81,-2.31,-0.012340738737337875,-0.08169377637601516,0.14706026579964693,-123.30885743015297,-54.52914355096097,13.4841456448157,0.0414,-0.8801,-0.4581,0.1174
2326980.0,797.057016,1.0,-1.49,-1.91,-9.65,26.25,-8.69,29.19,1.12,2.81,-0.37,0.016266882685258555,-0.1962130609548317,-0.14080876207780513,-123.30885743015297,-54.55492780539656,13.426452603767608,0.0425,-0.8801,-0.4583,0.1169
2327017.0,797.095242,1.0,-1.54,-1.86,-9.53,25.87,-9.06,28.69,1.19,0.44,2.13,0.002094309971273356,-0.11413626982890973,-0.023867205405586844,-123.33299743586116,-54.50336228612648,13.414914406298774,0.043,-0.8802,-0.4579,0.1168
2327050.0,797.11739,1.0,-1.53,-1.86,-9.61,25.87,-9.06,28.69,0.25,0.37,3.06,0.026084127558852588,-0.12823585690611478,-0.09968510352304882,-123.42965193046733,-54.42603640579737,13.414914406298774,0.0429,-0.8806,-0.4573,0.1168
2327085.0,797.174823,1.0,-1.55,-1.8,-9.71,24.75,-8.69,28.75,-1.06,-0.06,3.81,0.08336394366633182,-0.08584992495455762,-0.18896304989752366,-123.57491843142249,-54.28434190943171,13.403376345459218,0.0427,-0.8812,-0.4562,0.1167
2327119.0,797.200403,1.0,-1.63,-1.62,-9.53,25.56,-8.69,29.19,0.31,-2.69,2.38,0.13726244117166297,0.07479902397722105,0.0047234481299245346,-123.6476805433651,-54.20709186156805,13.437990937987555,0.0421,-0.8815,-0.4556,0.117
2327154.0,797.234716,1.0,-1.76,-1.69,-9.29,25.87,-9.06,29.19,0.12,-1.06,2.31,-0.03855027999056626,0.13795683435725686,0.2026257503551232,-123.69623657185858,-54.117000476338426,13.51876311679545,0.042,-0.8817,-0.4549,0.1177
