TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
266608.0,213.457917,1.0,9.06,2.41,-2.23,-34.38,-27.06,6.0,2.13,5.5,4.0,0.1811413716404083,0.07099076481888322,0.17198611822443155,-104.50195155237603,-1.306372069959298,-72.89699940259715,-0.147,-0.7907,-0.0114,-0.5941,0
266608.0,213.457917,1.0,9.06,2.41,-2.23,-34.38,-27.06,6.0,2.13,5.5,4.0,0.1811413716404083,0.07099076481888322,0.17198611822443155,-104.50195155237603,-1.306372069959298,-72.89699940259715,-0.147,-0.7907,-0.0114,-0.5941,0
266643.0,213.513895,1.0,9.09,2.06,-2.42,-34.38,-27.06,6.0,3.94,9.63,4.56,0.027102234952875323,-0.292818327822589,0.18159816139924168,-104.31496972568995,-1.3407518310456548,-73.15363536728182,-0.1454,-0.7897,-0.0117,-0.5959,0
266643.0,213.513895,1.0,9.09,2.06,-2.42,-34.38,-27.06,6.0,3.94,9.63,4.56,0.027102234952875323,-0.292818327822589,0.18159816139924168,-104.31496972568995,-1.3407518310456548,-73.15363536728182,-0.1454,-0.7897,-0.0117,-0.5959,0
266676.0,213.528796,1.0,8.9,2.15,-2.37,-34.69,-27.06,6.75,-0.19,16.25,7.44,-0.07514459718233706,-0.12788807051146134,0.35004395285310785,-103.88639399112432,-1.237612897472461,-73.65387577244137,-0.1436,-0.7874,-0.0108,-0.5994,0
266676.0,213.528796,1.0,8.9,2.15,-2.37,-34.69,-27.06,6.75,-0.19,16.25,7.44,-0.07514459718233706,-0.12788807051146134,0.35004395285310785,-103.88639399112432,-1.237612897472461,-73.65387577244137,-0.1436,-0.7874,-0.0108,-0.5994,0
266711.0,213.576158,1.0,8.9,2.21,-1.49,-34.38,-27.5,5.19,-2.06,35.13,12.19,0.6164554959807589,0.14309497252667835,0.5376853086057807,-103.12744256593236,-1.1115555540621913,-74.486470193682,-0.1419,-0.7833,-0.0097,-0.6052,0
266711.0,213.576158,1.0,8.9,2.21,-1.49,-34.38,-27.5,5.19,-2.06,35.13,12.19,0.6164554959807589,0.14309497252667835,0.5376853086057807,-103.12744256593236,-1.1115555540621913,-74.486470193682,-0.1419,-0.7833,-0.0097,-0.6052,0
266747.0,213.595089,1.0,9.29,2.21,-1.89,-34.38,-26.69,4.75,-13.81,79.87,17.5,-0.10083068046156847,0.002522363661719984,0.07268231916403067,-100.61802099879914,-0.8021474641450599,-77.07108573183802,-0.1406,-0.7695,-0.007,-0.623,0
266747.0,213.595089,1.0,9.29,2.21,-1.89,-34.38,-26.69,4.75,-13.81,79.87,17.5,-0.10083068046156847,0.002522363661719984,0.07268231916403067,-100.61802099879914,-0.8021474641450599,-77.07108573183802,-0.1406,-0.7695,-0.007,-0.623,0
266782.0,213.642765,1.0,9.83,2.2,-1.97,-34.38,-26.69,4.75,-26.44,92.81,10.44,-0.7169887635249482,-0.1931415430579868,-0.4304601125915486,-96.92121959185582,-0.34377519274259805,-80.66165004119367,-0.1445,-0.7485,-0.003,-0.6472,0
