TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3194032.0,117.73269,1.0,2.49,2.66,-9.14,-6.5,-26.56,33.56,0.94,-0.25,-1.31,-0.039824677558457616,0.07115058288703957,-0.03248876259564781,-154.3228637180319,-13.51876311679545,-16.894639006068054,-0.1178,-0.975,-0.1177,-0.1469,0
3194032.0,117.73269,1.0,2.49,2.66,-9.14,-6.5,-26.56,33.56,0.94,-0.25,-1.31,-0.039824677558457616,0.07115058288703957,-0.03248876259564781,-154.3228637180319,-13.51876311679545,-16.894639006068054,-0.1178,-0.975,-0.1177,-0.1469,0
3194066.0,117.803817,1.0,2.38,2.7,-8.93,-6.5,-26.56,33.88,2.56,2.75,-2.25,-0.06866921047070346,0.18617375177185913,0.18064751331402285,-154.3228637180319,-13.541842119876778,-16.906223928806188,-0.1174,-0.975,-0.1179,-0.147,0
3194066.0,117.803817,1.0,2.38,2.7,-8.93,-6.5,-26.56,33.88,2.56,2.75,-2.25,-0.06866921047070346,0.18617375177185913,0.18064751331402285,-154.3228637180319,-13.541842119876778,-16.906223928806188,-0.1174,-0.975,-0.1179,-0.147,0
3194101.0,117.826363,1.0,2.5,2.27,-9.09,-6.5,-26.19,35.19,0.81,4.13,2.25,-0.11210910929420391,-0.2503375844152289,0.11357192121396587,-154.3228637180319,-13.576461659580188,-17.05684380992257,-0.1158,-0.975,-0.1182,-0.1483,0
3194101.0,117.826363,1.0,2.5,2.27,-9.09,-6.5,-26.19,35.19,0.81,4.13,2.25,-0.11210910929420391,-0.2503375844152289,0.11357192121396587,-154.3228637180319,-13.576461659580188,-17.05684380992257,-0.1158,-0.975,-0.1182,-0.1483,0
3194136.0,117.918085,1.0,2.56,2.67,-9.1,-6.5,-26.19,35.19,-5.13,3.13,1.12,0.0015562698453907287,0.09315029898541827,-0.0159678078872183,-154.21992611229572,-13.530302549412001,-17.137959104392674,-0.1168,-0.9748,-0.1178,-0.149,0
3194136.0,117.918085,1.0,2.56,2.67,-9.1,-6.5,-26.19,35.19,-5.13,3.13,1.12,0.0015562698453907287,0.09315029898541827,-0.0159678078872183,-154.21992611229572,-13.530302549412001,-17.137959104392674,-0.1168,-0.9748,-0.1178,-0.149,0
3194173.0,117.980702,1.0,2.65,2.64,-9.19,-6.88,-26.56,34.69,-0.37,4.88,0.94,0.017937833485265953,0.02897144304371735,-0.11539811969876546,-154.16860854190614,-13.461068017168213,-17.32339805412093,-0.1168,-0.9747,-0.1172,-0.1506,0
3194173.0,117.980702,1.0,2.65,2.64,-9.19,-6.88,-26.56,34.69,-0.37,4.88,0.94,0.017937833485265953,0.02897144304371735,-0.11539811969876546,-154.16860854190614,-13.461068017168213,-17.32339805412093,-0.1168,-0.9747,-0.1172,-0.1506,0
3194206.0,117.999264,1.0,2.56,2.63,-9.04,-5.75,-26.19,34.69,-0.94,2.31,1.06,-0.03627132807398806,0.0750358681011476,0.05036207839487439,-154.0662728728033,-13.484145644815701,-17.42772752447945,-0.1167,-0.9745,-0.1174,-0.1515,0
3194206.0,117.999264,1.0,2.56,2.63,-9.04,-5.75,-26.19,34.69,-0.94,2.31,1.06,-0.03627132807398806,0.0750358681011476,0.05036207839487439,-154.0662728728033,-13.484145644815701,-17.42772752447945,-0.1167,-0.9745,-0.1174,-0.1515,0
3194241.0,118.002367,1.0,2.54,2.64,-9.13,-5.75,-26.19,34.69,-0.81,1.88,1.56,-0.09898107851475851,0.07362189430861354,-0.03016262212381804,-154.01525359440276,-13.426452603767608,-17.520477052231197,-0.1168,-0.9744,-0.1169,-0.1523,0
3194241.0,118.002367,1.0,2.54,2.64,-9.13,-5.75,-26.19,34.69,-0.81,1.88,1.56,-0.09898107851475851,0.07362189430861354,-0.03016262212381804,-154.01525359440276,-13.426452603767608,-17.520477052231197,-0.1168,-0.9744,-0.1169,-0.1523,0
3194275.0,118.017212,1.0,2.79,2.54,-9.27,-6.5,-27.0,34.38,-1.56,4.88,2.56,0.045348183822878335,-0.11006218399331669,-0.2010685141209212,-153.96433257658236,-13.380300633180664,-17.648026557290144,-0.1168,-0.9743,-0.1165,-0.1534,0
