TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
6887221.0,79.053007,1.0,-0.07,3.74,-9.09,19.69,-27.69,22.56,1.0,-2.38,-1.19,-0.06703439690086122,-0.10473882540542806,-0.022141185496050042,-125.696251455902,-48.44736344772761,-9.027691221695425,-0.1838,-0.8898,-0.4103,-0.0787
6887258.0,79.099188,1.0,-0.02,3.76,-9.12,20.06,-28.0,22.19,0.0,-0.56,-0.37,-0.025967267091962176,-0.1426880630299569,-0.05698856889071813,-125.67114640173415,-48.47249577682955,-9.004701785923345,-0.1839,-0.8897,-0.4105,-0.0785
6887292.0,79.113443,1.0,-0.01,3.78,-9.17,20.06,-28.0,22.19,0.06,0.12,-0.44,-0.018192104630473938,-0.15232676931974387,-0.11070174341808858,-125.67114640173415,-48.47249577682955,-8.993207204284674,-0.1839,-0.8897,-0.4105,-0.0784
6887327.0,79.163277,1.0,-0.07,3.67,-9.14,19.69,-27.69,21.69,-0.12,-2.06,-0.75,-0.11656958493922198,-0.16857299774199425,-0.04075547942956348,-125.67114640173415,-48.48506287187759,-8.935735653853005,-0.1839,-0.8897,-0.4106,-0.0779
6887362.0,79.188478,1.0,-0.05,3.74,-9.06,19.69,-27.25,21.69,-0.5,-1.5,-0.12,-0.02350561776022042,-0.1309545799792824,0.005833789912385257,-125.67114640173415,-48.47249577682955,-8.866772764864926,-0.1842,-0.8897,-0.4105,-0.0773
6887399.0,79.227781,1.0,-0.23,3.66,-8.75,19.69,-26.87,21.69,0.44,-2.44,0.0,-0.10101933512990147,0.03328418866024002,0.31983350252756537,-125.696251455902,-48.44736344772761,-8.809306149715168,-0.1844,-0.8898,-0.4103,-0.0768
6887432.0,79.266819,1.0,-0.2,3.55,-8.79,19.69,-26.87,21.69,-1.75,3.44,3.13,-0.18327404781575496,-0.0574794860497132,0.3266865648341941,-125.696251455902,-48.43479821318783,-8.901253805563371,-0.1843,-0.8898,-0.4102,-0.0776
6887469.0,79.301572,1.0,-0.16,3.73,-8.76,20.37,-26.5,22.19,-0.56,9.75,4.19,-0.05889604801202142,0.0641419280893345,0.2846482635692862,-125.7967791099571,-48.30917991037589,-9.17713147157167,-0.1834,-0.8902,-0.4092,-0.08
6887503.0,79.344176,1.0,-0.89,2.13,-5.97,18.87,-27.69,20.5,-7.63,51.31,16.25,-0.9106744978566904,0.4569159481262779,3.4874886810193457,-125.94789456078652,-48.108318915774205,-10.01659391306903,-0.181,-0.8908,-0.4076,-0.0873
6887538.0,79.406166,1.0,0.49,2.97,-5.08,18.87,-27.69,20.5,-91.81,240.44,58.5,0.20950700264268796,0.5353544074635153,3.929839430120018,-124.87336158426493,-47.4440830843744,-17.416134643761747,-0.1713,-0.8865,-0.4023,-0.1514
