TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
6925844.0,117.750936,1.0,0.13,4.84,-8.18,16.19,-32.75,17.87,0.06,1.0,-0.44,-0.17387172923914962,-0.0028065179989879563,0.3027212994452615,-129.99788861220236,-37.94326713356112,-11.996720388635612,-0.249,-0.9063,-0.3251,-0.1045
6925877.0,117.787838,1.0,0.18,4.85,-8.39,15.06,-32.06,17.87,-1.37,4.75,2.56,-0.2241197820065265,-0.0954410113293297,0.11708544132814147,-129.99788861220236,-37.919033262141134,-12.134996086138983,-0.2487,-0.9063,-0.3249,-0.1057
6925912.0,117.825735,1.0,0.4,5.06,-8.53,14.69,-33.56,17.0,-2.25,6.38,3.63,-0.026037091684952385,-0.13613786834032315,-0.11833305039662534,-129.99788861220236,-37.87057079932817,-12.342442956629046,-0.2486,-0.9063,-0.3245,-0.1075
6925948.0,117.851669,1.0,0.42,5.17,-8.6,14.69,-33.88,16.19,-0.88,2.38,1.06,-0.011524994746891393,-0.09508581524598636,-0.2360650642759481,-129.94368889359723,-37.82211536677553,-12.538402281482076,-0.2488,-0.9061,-0.3241,-0.1092
6925983.0,117.889564,1.0,0.33,4.91,-8.4,14.69,-33.88,16.19,0.25,3.13,1.0,-0.1557396185385348,-0.12487434247375906,0.07334883493738609,-129.97078188553854,-37.82211536677553,-12.607573156584117,-0.2485,-0.9062,-0.3241,-0.1098
6926018.0,117.936438,1.0,0.35,4.96,-8.34,14.25,-33.56,17.87,-1.06,6.19,2.56,-0.12319129637606407,-0.06501831615239684,0.09787579709148453,-129.94368889359723,-37.79789028318413,-12.815113562902273,-0.2482,-0.9061,-0.3239,-0.1116
6926053.0,117.946411,1.0,0.54,5.0,-8.55,15.06,-33.19,16.56,-1.88,7.13,4.0,-0.06755105256348481,-0.21692756043822292,-0.11012766660218709,-129.94368889359723,-37.74944537405314,-13.04576356339961,-0.2477,-0.9061,-0.3235,-0.1136
6926088.0,118.009244,1.0,0.47,5.04,-8.41,15.06,-33.19,16.56,-1.5,5.88,3.31,-0.09345329134769842,-0.07231342195893237,-0.008472885187984502,-129.94368889359723,-37.664683622171815,-13.322613734970497,-0.2475,-0.9061,-0.3228,-0.116
6926123.0,118.018219,1.0,0.5,5.1,-8.46,14.69,-33.56,16.19,-2.63,5.38,3.44,-0.0896374998243673,-0.056333230945347035,-0.08376918655203092,-129.94368889359723,-37.60415260586162,-13.51876311679545,-0.2474,-0.9061,-0.3223,-0.1177
6926159.0,118.065096,1.0,0.55,5.22,-8.13,14.25,-33.19,17.87,-0.69,10.81,3.63,0.08444661986129476,0.14228671522488723,0.1308852623131358,-129.91660961400953,-37.54363247388456,-13.85346307502466,-0.2469,-0.906,-0.3218,-0.1206
6926192.0,118.130926,1.0,-0.09,12.16,-8.53,14.25,-33.19,17.87,15.31,-10.13,-38.88,3.1699359548780057,5.0203440589252075,-3.808865104908298,-129.64656611878058,-37.9917401637673,-13.703410648771607,-0.2465,-0.905,-0.3255,-0.1193
6926227.0,118.134907,1.0,0.89,3.35,-8.71,13.88,-33.19,17.5,166.75,-30.62,-101.25,-0.037039399478269786,-1.0873896578862112,0.4956397532647703,-129.8895440244663,-42.00393403253583,-10.51132121524803,-0.2061,-0.9059,-0.3584,-0.0916
6926264.0,118.185775,1.0,-2.22,-0.9,-2.34,15.38,-32.06,19.06,102.31,84.12,-53.63,-2.8177099509160914,0.4986313937616942,8.067145080299078,-129.0838339340417,-45.299897048836534,-10.833574298853826,-0.166,-0.9029,-0.3851,-0.0944
6926301.0,118.19375,1.0,2.2,1.61,-6.11,17.69,-28.69,23.25,-50.31,303.75,39.88,-0.009209947706563248,-1.366281687138377,3.2570401239651234,-126.83731618493427,-46.09573205363145,-18.83183055191492,-0.1425,-0.8943,-0.3915,-0.1636
6926333.0,118.250147,1.0,4.25,3.92,-8.03,17.69,-28.69,23.25,-61.75,269.75,67.31,0.4790273845074713,-0.550685224222662,-0.06133249637253435,-123.33299743586116,-44.74170597311218,-29.796111449943453,-0.1193,-0.8802,-0.3806,-0.2571
6926370.0,118.268098,1.0,7.37,3.6,-11.77,10.56,-29.37,25.37,-36.5,199.13,62.13,-1.2440333583025573,-2.0115791896888124,-4.343110781265574,-120.77798064644898,-43.418900316094714,-36.31136080393029,-0.1008,-0.8694,-0.3699,-0.3116
6926409.0,118.318965,1.0,7.51,4.36,-11.6,3.75,-30.19,25.37,-66.56,38.69,44.63,-1.6248860032684571,-1.043635267739383,-4.554417888716104,-119.4237274219872,-41.023565694364024,-40.80341749737213,-0.1003,-0.8635,-0.3504,-0.3486
6926444.0,118.347897,1.0,5.39,5.28,-7.42,3.75,-30.19,25.37,-40.94,-16.44,30.44,0.4112784641424838,0.7439260075632669,-0.7415405614282289,-119.87969568097151,-39.49796452956165,-41.35408524581363,-0.1094,-0.8655,-0.3379,-0.3531
6926477.0,118.381799,1.0,4.91,4.58,-6.03,0.37,-31.25,25.0,-9.5,17.0,19.75,0.6889560898027822,0.5233094747552546,0.8235054113854368,-120.36186107562717,-38.42831653324454,-41.68496498644351,-0.1117,-0.8676,-0.3291,-0.3558
6926514.0,118.433665,1.0,7.75,3.49,-11.22,-0.25,-32.38,22.87,-30.56,-10.0,15.0,-2.0014579050837606,-2.0279652941349355,-3.9778530022834673,-120.73161403507062,-37.35004092959612,-41.918024332783894,-0.1182,-0.8692,-0.3202,-0.3577
6926551.0,118.445627,1.0,6.46,5.86,-8.98,-1.19,-32.75,22.87,-80.5,-144.88,15.13,0.24351367362644805,0.04628605001588393,-2.7093461126684186,-122.99589046242427,-35.540393572715686,-39.51014004319908,-0.1425,-0.8788,-0.3052,-0.338
6926583.0,118.50447,1.0,4.16,6.9,-6.11,-1.19,-32.75,22.87,-34.69,-148.94,-13.75,1.766118463275498,1.8828810367386128,0.029979576222407545,-126.17530318519165,-34.30308206548676,-34.60301565627788,-0.1716,-0.8917,-0.2949,-0.2974
6926620.0,118.518393,1.0,4.89,4.21,-9.49,0.69,-33.88,22.5,14.19,-107.69,-32.38,-0.46974220657182375,-1.4090146997414355,-1.5727313467726631,-127.71474062830828,-34.723057470664465,-31.399946914402907,-0.1785,-0.8977,-0.2984,-0.2706
6926659.0,118.5902,1.0,3.14,5.28,-7.44,3.0,-33.5,19.06,-15.19,-156.06,-28.31,0.7109650598040171,0.2698921805460496,0.18826724120847693,-130.02500909601727,-34.48301299993159,-26.06456338881546,-0.1993,-0.9064,-0.2964,-0.2255
6926692.0,118.595187,1.0,0.71,4.65,-4.48,3.0,-33.5,19.06,19.0,-84.56,-28.56,0.5095608892844266,1.8119665239806273,3.5894058342875708,-131.23228149999522,-34.63902408126335,-22.711475449834975,-0.2077,-0.9108,-0.2977,-0.1969
6926727.0,118.618228,1.0,1.07,3.72,-5.87,6.69,-33.88,19.5,2.63,22.19,-6.69,-0.21407227403421636,0.5268347835514942,2.7983108121231695,-131.23228149999522,-35.263734790800676,-21.987276416568136,-0.2057,-0.9108,-0.3029,-0.1907
6926761.0,118.689038,1.0,2.09,4.72,-7.64,8.56,-34.25,19.06,2.0,61.75,3.44,0.005959291932902122,0.26626725522225436,0.590079800862144,-130.57034285366944,-35.504295540348124,-23.366380865675165,-0.2021,-0.9084,-0.3049,-0.2025
6926798.0,118.699011,1.0,3.71,4.43,-10.47,8.19,-32.75,20.0,4.56,40.0,1.0,-0.6042696256376239,-1.4572351124215224,-2.04751483969485,-129.80842917390055,-35.853396366027425,-24.94840342099723,-0.196,-0.9056,-0.3078,-0.216
6926831.0,118.751869,1.0,2.4,4.6,-7.35,8.19,-32.75,20.0,4.25,-9.31,-2.31,0.15927678618970376,0.18562401919831995,0.813170438179796,-129.8895440244663,-35.841352697842,-24.74892618800895,-0.1965,-0.9059,-0.3077,-0.2143
6926868.0,118.799742,1.0,3.06,4.05,-8.8,8.56,-33.56,20.37,-6.31,12.38,3.44,-0.40170174254383983,-0.9295963366361731,-0.3017913418167417,-129.7274367362795,-35.973855599658116,-25.030563401978768,-0.195,-0.9053,-0.3088,-0.2167
6926905.0,118.820685,1.0,2.72,4.92,-8.37,7.75,-33.88,19.5,-15.75,-4.38,4.69,-0.07017007863439573,-0.019209297555481952,-0.2758302089045497,-129.64656611878058,-35.720938500469686,-25.218406831432247,-0.1982,-0.905,-0.3067,-0.2183
6926938.0,118.824682,1.0,2.66,4.73,-8.27,7.75,-33.88,19.5,-1.0,-2.5,3.81,-0.16179164660527756,-0.12971384013555476,-0.08265724483601389,-129.7004663573504,-35.504295540348124,-25.171439536835727,-0.2003,-0.9052,-0.3049,-0.2179
6926972.0,118.879529,1.0,2.79,4.76,-8.34,6.0,-33.19,20.75,-9.56,-2.69,5.44,-0.10628035365984889,-0.22255580925588703,-0.1901731652956844,-129.78141812262746,-35.27575900730598,-25.183180957237056,-0.2017,-0.9055,-0.303,-0.218
6927009.0,118.938371,1.0,2.85,4.97,-8.47,7.5,-33.88,20.0,-7.94,-4.38,4.25,-0.06719020769465156,-0.17481870648559694,-0.41730343768019473,-129.80842917390055,-34.975273498072475,-25.230149327633615,-0.2045,-0.9056,-0.3005,-0.2184
6927044.0,118.944355,1.0,2.54,5.07,-8.14,7.5,-33.88,20.0,-7.19,-12.0,2.19,-0.06445650334613884,0.13366451350087027,-0.11272897032908702,-129.94368889359723,-34.78309311529889,-25.042301608577382,-0.2067,-0.9061,-0.2989,-0.2168
6927077.0,118.998213,1.0,2.24,4.89,-7.61,6.69,-34.25,19.5,0.5,1.19,0.88,-0.07540772324189104,0.2982724132529978,0.49283514019267827,-130.0792914251156,-34.63902408126335,-24.8662564695287,-0.2079,-0.9066,-0.2977,-0.2153
6927112.0,119.011175,1.0,2.79,5.12,-8.68,7.5,-34.25,19.06,-9.75,-3.81,2.5,-0.14161991586907585,-0.1652986420989263,-0.6477041243995281,-130.02500909601727,-34.51900969535126,-24.913195992026196,-0.2093,-0.9064,-0.2967,-0.2157
