TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
7155111.0,347.414031,1.0,0.21,2.66,-9.84,18.06,-24.37,24.5,-0.44,2.06,1.44,-0.015721568584238343,-0.3070553527114296,-0.38406979021366894,-129.86249210271768,-47.05635227559625,-6.546738821065048,-0.1303,-0.9058,-0.3992,-0.0571
7155148.0,347.464108,1.0,-0.01,3.02,-9.47,18.06,-25.06,24.87,-1.5,-1.44,2.0,0.16756164463404244,0.14421075576740885,-0.13078057098607054,-129.8895440244663,-46.98137369898727,-6.5008278159272015,-0.131,-0.9059,-0.3986,-0.0567
7155183.0,347.489041,1.0,0.1,2.81,-9.74,17.37,-25.5,25.25,0.63,2.56,-2.69,0.03089529110728939,-0.12233366135182705,-0.3303012160357035,-129.86249210271768,-47.03135704516996,-6.546738821065048,-0.131,-0.9058,-0.399,-0.0571
7155218.0,347.528935,1.0,-0.13,2.47,-9.2,17.37,-25.5,25.25,2.13,-4.94,-2.19,-0.2264251638181281,-0.07104107806146426,0.2829172858580389,-129.78141812262746,-47.143854289929536,-6.409008932036036,-0.1305,-0.9055,-0.3999,-0.0559
7155253.0,347.569826,1.0,-0.03,2.36,-9.62,18.5,-25.06,24.87,0.37,-2.25,-0.06,-0.30859993271193814,-0.3116549223225287,-0.0889317055351686,-129.78141812262746,-47.143854289929536,-6.294241112432485,-0.1309,-0.9055,-0.3999,-0.0549
7155290.0,347.593833,1.0,0.15,2.82,-10.07,18.5,-25.06,24.87,2.75,-3.25,-1.81,0.05905483055583943,-0.24853652419369454,-0.6487094927735377,-129.78141812262746,-47.1313522186008,-6.2024314124588535,-0.1313,-0.9055,-0.3998,-0.0541
7155324.0,347.63426,1.0,-0.04,2.6,-9.72,18.5,-25.06,24.87,3.56,-10.5,-3.94,-0.08879514520195547,-0.2070126256213553,-0.2526373104918278,-129.75442065073912,-47.231385466403594,-5.812283928177061,-0.1311,-0.9054,-0.4006,-0.0507
7155359.0,347.661359,1.0,-0.21,2.5,-9.69,18.06,-25.5,25.25,6.0,-11.56,-4.56,-0.2105103908786693,-0.17042748428822813,-0.1991902869489799,-129.7004663573504,-47.33145690842095,-5.445147966752271,-0.1313,-0.9052,-0.4014,-0.0475
7155394.0,347.706238,1.0,0.0,2.8,-10.53,18.06,-24.69,25.75,7.88,-26.69,-5.69,0.14907126609120452,-0.39180727974206353,-1.0811948194841143,-129.7004663573504,-47.40653562717492,-4.4587366294239885,-0.1321,-0.9052,-0.402,-0.0389
7155431.0,347.725608,1.0,0.01,2.53,-10.98,18.87,-24.37,25.75,20.75,-68.5,-14.31,0.17423028587882447,-0.8437458238749704,-1.4280790484540038,-129.64656611878058,-47.53171485619927,-2.738999060214957,-0.1341,-0.905,-0.403,-0.0239
