TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
7561777.0,754.802123,1.0,-1.48,2.56,-9.34,23.37,-23.0,22.56,-2.88,-1.5,1.0,-0.15753682981955996,-0.22203046014303934,0.013515434294335549,-125.42068267085124,-50.60534083236857,1.0542572154525014,-0.1658,-0.8887,-0.4274,0.0092
7561811.0,754.835038,1.0,-1.41,2.91,-9.58,23.37,-23.0,22.56,-3.13,2.31,-0.56,0.10445430447693826,-0.15160878636085495,-0.30268746959583837,-125.39569465421299,-50.57999179913578,0.9740399810272837,-0.1665,-0.8886,-0.4272,0.0085
7561848.0,754.890894,1.0,-1.5,2.62,-9.48,22.56,-23.37,23.37,2.06,-1.19,-1.88,-0.15028202797326673,-0.21237962744731964,-0.13905812993793631,-125.37071718924679,-50.668725019229704,0.9969591404369118,-0.1659,-0.8885,-0.4279,0.0087
7561883.0,754.895873,1.0,-1.51,2.72,-9.43,23.37,-22.69,23.06,-0.25,-1.56,-2.13,-0.06604152374149097,-0.13139935611243864,-0.12218541641995095,-125.32079385619981,-50.70676349859698,1.0313379546174166,-0.1657,-0.8883,-0.4282,0.009
7561918.0,754.950725,1.0,-1.64,2.59,-9.24,23.37,-22.69,23.06,3.5,-2.38,-3.94,-0.1886627330309646,-0.05615635364400709,0.07337959190433807,-125.22107317255427,-50.83360168709926,1.2146932735575866,-0.1652,-0.8879,-0.4292,0.0106
7561953.0,754.9909,1.0,-1.56,2.39,-9.38,22.25,-23.37,22.56,-0.44,0.5,-0.12,-0.3019392359705986,-0.2709287502136617,0.010450210791477232,-125.22107317255427,-50.85897732637934,1.237612897472461,-0.1649,-0.8879,-0.4294,0.0108
7561990.0,755.028768,1.0,-1.35,3.06,-9.7,23.75,-22.25,21.69,0.69,-2.0,-1.75,0.3037763099905588,-0.14265154500557292,-0.4482742069454648,-125.19616916396942,-50.85897732637934,1.237612897472461,-0.165,-0.8878,-0.4294,0.0108
7562024.0,755.032756,1.0,-1.41,2.9,-9.71,23.75,-22.25,21.69,5.44,-5.06,-7.5,0.1817927030706019,-0.20234524810403348,-0.4211653979078065,-125.09665734949911,-50.99859116157064,1.4438918508267422,-0.1646,-0.8874,-0.4305,0.0126
7562059.0,755.081626,1.0,-1.72,2.37,-9.12,23.0,-23.0,23.06,5.5,-5.75,-10.75,-0.27748825810414623,-0.11328824899688716,0.23273408020764386,-124.79911472012829,-51.32891083161579,1.8450038134157025,-0.164,-0.8862,-0.4331,0.0161
7562094.0,755.12651,1.0,-1.82,1.72,-8.94,23.37,-21.87,22.19,5.38,-4.94,-6.13,-0.769103934544396,-0.3540919763944556,0.5612458438734844,-124.60157138168795,-51.557861789276366,2.1200647857418087,-0.1629,-0.8854,-0.4349,0.0185
