TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1369995.0,459.964694,1.0,2.98,5.4,-7.67,1.5,-35.88,22.56,6.31,5.31,5.75,0.05995326993048944,0.08087647612300441,-0.03505537056635255,-129.43150224575868,-31.792944149622578,-27.360118288262516,-0.2271,-0.9042,-0.2739,-0.2365,1
1369995.0,459.964694,1.0,2.98,5.4,-7.67,1.5,-35.88,22.56,6.31,5.31,5.75,0.05995326993048944,0.08087647612300441,-0.03505537056635255,-129.43150224575868,-31.792944149622578,-27.360118288262516,-0.2271,-0.9042,-0.2739,-0.2365,1
1370030.0,459.977167,1.0,2.85,5.43,-7.49,1.5,-35.88,22.56,7.0,8.44,7.69,0.05722857522240221,0.28328205461882494,0.13070166571725927,-129.53892711088812,-31.673813768044596,-27.537057504249983,-0.225,-0.9046,-0.2729,-0.238,1
1370030.0,459.977167,1.0,2.85,5.43,-7.49,1.5,-35.88,22.56,7.0,8.44,7.69,0.05722857522240221,0.28328205461882494,0.13070166571725927,-129.53892711088812,-31.673813768044596,-27.537057504249983,-0.225,-0.9046,-0.2729,-0.238,1
1370064.0,459.997357,1.0,3.15,5.62,-7.78,1.88,-36.69,23.37,7.25,6.56,4.0,0.16432237606661015,0.2408217453031758,-0.29039427264300954,-129.61963621563214,-31.60235240767247,-27.82029976108695,-0.2218,-0.9049,-0.2723,-0.2404,1
1370064.0,459.997357,1.0,3.15,5.62,-7.78,1.88,-36.69,23.37,7.25,6.56,4.0,0.16432237606661015,0.2408217453031758,-0.29039427264300954,-129.61963621563214,-31.60235240767247,-27.82029976108695,-0.2218,-0.9049,-0.2723,-0.2404,1
1370099.0,460.003142,1.0,3.18,5.13,-7.7,1.19,-36.25,24.69,7.5,1.31,3.31,0.05645792807521066,-0.07466300611783883,0.023473729591961146,-129.78141812262746,-31.63808150954527,-27.84391108565838,-0.2191,-0.9055,-0.2726,-0.2406,1
1370099.0,460.003142,1.0,3.18,5.13,-7.7,1.19,-36.25,24.69,7.5,1.31,3.31,0.05645792807521066,-0.07466300611783883,0.023473729591961146,-129.78141812262746,-31.63808150954527,-27.84391108565838,-0.2191,-0.9055,-0.2726,-0.2406,1
1370134.0,460.064351,1.0,3.12,5.23,-7.68,1.19,-36.25,24.69,5.5,1.75,3.25,0.06755230982442062,0.08733167795845764,0.005756680334574327,-129.91660961400953,-31.59044340777591,-27.891137354050414,-0.2169,-0.906,-0.2722,-0.241,1
1370134.0,460.064351,1.0,3.12,5.23,-7.68,1.19,-36.25,24.69,5.5,1.75,3.25,0.06755230982442062,0.08733167795845764,0.005756680334574327,-129.91660961400953,-31.59044340777591,-27.891137354050414,-0.2169,-0.906,-0.2722,-0.241,1
1370169.0,460.072511,1.0,3.21,5.03,-7.91,0.75,-35.88,23.37,-0.06,4.0,3.31,-0.08096639685263796,-0.1454572401931249,-0.10018534908378918,-129.97078188553854,-31.542810907574804,-27.997414145218112,-0.2155,-0.9062,-0.2718,-0.2419,1
