TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3031726.0,203.998264,1.0,-6.58,-0.09,-6.96,28.0,-19.87,13.38,-0.56,1.94,0.75,-0.22717434434321904,-0.21166608861782743,0.23326557837556194,-128.6854111372357,-26.900386195717594,41.04803635831072,-0.1024,-0.9014,-0.2326,0.3506
3031764.0,204.067052,1.0,-6.44,0.21,-7.41,27.56,-20.25,13.0,-1.19,3.38,2.38,0.24474173567014912,-0.1576762305025342,-0.008697150720429647,-128.81789729217328,-26.86504055226497,40.88901194320903,-0.1028,-0.9019,-0.2323,0.3493
3031799.0,204.114924,1.0,-6.37,0.25,-7.44,27.56,-19.87,12.19,-0.63,3.19,0.94,0.3089317343408662,-0.15712885816840083,0.015180666674796228,-128.8709813830911,-26.923951406435997,40.77896631080099,-0.1032,-0.9021,-0.2328,0.3484
3031832.0,204.11991,1.0,-6.43,0.21,-7.05,27.56,-19.87,12.19,0.94,5.63,0.0,0.0042929593368379315,-0.021947402637528923,0.26248948783249126,-128.97730409708814,-26.935734446758044,40.64451940316256,-0.1028,-0.9025,-0.2329,0.3473
3031867.0,204.1239,1.0,-6.49,0.12,-7.23,26.5,-19.56,13.5,0.0,3.0,0.12,0.009437962426708246,-0.13393412752115064,0.09123067943794716,-129.0838339340417,-26.935734446758044,40.54677652678587,-0.1026,-0.9029,-0.2329,0.3465
3031904.0,204.170774,1.0,-6.4,0.18,-7.29,28.0,-19.19,13.06,1.25,4.5,-0.31,0.10001683792180716,-0.11327278332355506,0.10543018449791575,-129.16386802241826,-27.112514953816074,40.31476039756773,-0.1025,-0.9032,-0.2344,0.3446
3031937.0,204.182743,1.0,-6.25,0.17,-7.64,28.0,-19.19,13.06,1.12,2.13,-0.63,0.37229063877655433,-0.27822214893788333,-0.05463754859728276,-129.29752022162853,-27.124302654398623,40.16831276292925,-0.1019,-0.9037,-0.2345,0.3434
3031971.0,204.232609,1.0,-6.38,0.04,-7.33,27.19,-20.25,14.25,0.0,2.13,0.94,0.04684736920292831,-0.2305207767798284,0.09173540976959593,-129.3242901565253,-27.10072754559724,40.16831276292925,-0.1014,-0.9038,-0.2343,0.3434
3032006.0,204.250562,1.0,-6.37,0.07,-7.25,27.19,-19.56,14.25,-1.69,2.31,2.88,0.0058942883710035865,-0.18261523557708526,0.1572501775706403,-129.43150224575868,-27.05358083343023,40.08291658507028,-0.1016,-0.9042,-0.2339,0.3427
3032041.0,204.293447,1.0,-6.32,0.28,-7.43,27.19,-19.56,14.25,-0.69,3.31,2.56,0.21829999316675064,-0.08152770994613578,0.05106706787880633,-129.56581673326838,-26.994654003838157,39.93657709614047,-0.1019,-0.9047,-0.2334,0.3415
3032074.0,204.313401,1.0,-6.33,0.2,-7.34,26.5,-19.87,13.06,0.75,1.88,1.06,0.10955333336580031,-0.10936750340101986,0.11332565711595954,-129.64656611878058,-26.971085309327815,39.86343282424955,-0.1016,-0.905,-0.2332,0.3409
