TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3629144.0,802.44078,1.0,-4.12,1.85,-8.54,22.75,-23.0,16.75,-2.5,14.94,2.94,0.09068297362858413,-0.4141996794846788,0.15529179382980907,-135.39706524672096,-31.99554685526558,22.185757394813148,-0.1762,-0.9252,-0.2756,0.1924
3629180.0,802.467376,1.0,-4.05,1.7,-9.1,22.75,-23.0,16.75,0.25,0.0,-0.37,0.16319254113160664,-0.7810616885252535,-0.26637391703887126,-135.54829362030736,-32.01938920775377,21.92891239364033,-0.1757,-0.9257,-0.2758,0.1902
3629215.0,802.511388,1.0,-4.17,1.65,-8.69,22.75,-23.0,16.25,-0.63,3.63,-0.31,-0.08997240856010702,-0.5785978594634529,0.04526539110756289,-135.60892189032293,-32.0670781843972,21.75385480831424,-0.1756,-0.9259,-0.2762,0.1887
3629250.0,802.537595,1.0,-4.24,1.81,-8.6,22.37,-22.56,16.69,-5.75,9.94,3.19,-0.13491915827915246,-0.37177913190361944,0.0569178448169545,-135.7608376875957,-32.0670781843972,21.392231414012297,-0.176,-0.9264,-0.2762,0.1856
3629287.0,802.58553,1.0,-3.86,1.95,-9.1,22.37,-23.37,16.69,-2.63,13.63,4.13,0.2973127206068904,-0.6203517102199598,-0.24515923524678307,-136.0049391257079,-32.055155405875595,20.984205642908503,-0.1758,-0.9272,-0.2761,0.1821
3629320.0,802.599444,1.0,-4.0,1.98,-8.87,22.37,-23.37,16.69,-4.0,4.56,2.75,0.0957252635892536,-0.44040120645369907,-0.1127342274238412,-136.12747373883852,-32.01938920775377,20.69292362085707,-0.1768,-0.9276,-0.2758,0.1796
3629357.0,802.640238,1.0,-3.96,1.8,-8.58,21.25,-23.37,16.37,-2.19,10.25,0.5,-0.09416777846507429,-0.4548290672575884,0.19820252139678196,-136.311888173766,-31.99554685526558,20.37849073526576,-0.1765,-0.9282,-0.2756,0.1769
3629391.0,802.688649,1.0,-3.92,1.86,-8.65,22.37,-22.56,16.75,-1.69,-1.56,1.06,-0.022561138410668535,-0.431713938648454,0.1390952900327349,-136.3735243727286,-32.0670781843972,20.27371434520358,-0.1756,-0.9284,-0.2762,0.176
3629426.0,802.712429,1.0,-3.82,2.17,-9.27,22.37,-22.56,16.75,-0.81,-7.06,-0.31,0.3926549012032987,-0.5209689303399729,-0.43095780173676523,-136.28110106832045,-32.031310917714855,20.40177671287519,-0.1765,-0.9281,-0.2759,0.1771
3629461.0,802.774778,1.0,-4.18,1.9,-8.66,22.0,-23.37,17.19,0.75,-17.44,-3.63,-0.09974381249561404,-0.35794678279531644,0.011757184223233352,-135.94379329724794,-32.031310917714855,20.9608980601766,-0.1774,-0.927,-0.2759,0.1819
