TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3804329.0,977.914897,1.0,-5.92,3.57,-7.71,22.25,-27.06,7.0,2.88,2.31,-3.56,0.8661962267543797,-0.436384827328315,-0.5032807650068225,-128.05386288415187,-21.38056975127936,35.67278424373712,-0.2519,-0.899,-0.1855,0.3063
3804364.0,977.961769,1.0,-6.13,3.24,-6.9,21.87,-27.06,7.0,2.56,-4.94,-5.44,0.21547370204831484,-0.19472486315632376,0.02911691074919709,-127.94929869917111,-21.462206102543455,35.865440443720345,-0.2511,-0.8986,-0.1862,0.3079
3804399.0,978.001663,1.0,-6.32,3.01,-6.44,21.87,-27.06,7.0,2.19,-0.56,-4.38,-0.21581053367042413,-0.07519784502262494,0.2975032928731789,-127.81886761171006,-21.567183329657436,36.03410062770514,-0.2504,-0.8981,-0.1871,0.3093
3804432.0,978.029588,1.0,-6.27,3.02,-6.75,22.25,-27.06,7.88,1.44,3.81,-1.63,-0.03526945186311803,-0.2289686537344222,0.11427519186487878,-127.89708982203929,-21.637178319468855,35.973855599658116,-0.2495,-0.8984,-0.1877,0.3088
3804469.0,978.081449,1.0,-6.12,3.63,-7.29,22.69,-27.06,7.38,-2.25,-2.63,1.56,0.6193343253252412,-0.08299190870034112,-0.3611883807259755,-127.87100362286014,-21.602179804976906,35.96180782852424,-0.2501,-0.8983,-0.1874,0.3087
3804506.0,978.097406,1.0,-6.21,2.97,-6.73,22.69,-27.06,7.38,2.31,-3.06,-5.13,-0.005466550950660842,-0.2812600226838309,0.18382489941438251,-127.76677999527553,-21.648844944741544,36.094355959132386,-0.2499,-0.8979,-0.1878,0.3098
3804538.0,978.14827,1.0,-6.34,3.18,-6.42,22.25,-26.37,7.75,1.0,2.88,-2.06,-0.1299108072637285,0.09852771878781952,0.2412009529982555,-127.7407542896587,-21.74218613420642,36.1305141127441,-0.2494,-0.8978,-0.1886,0.3101
3804573.0,978.170211,1.0,-6.15,3.34,-7.3,23.06,-26.69,8.19,-0.31,3.19,-2.56,0.48296739875822103,-0.28316989161400064,-0.2906098908921848,-127.81886761171006,-21.858883165817783,36.01000138130928,-0.2488,-0.8981,-0.1896,0.3091
3804610.0,978.217086,1.0,-6.32,3.28,-6.65,22.69,-27.87,7.38,0.63,-0.19,-3.38,0.04248788221790223,0.06795552929081328,0.06412071721601365,-127.76677999527553,-21.90556839778225,36.08230406752302,-0.2487,-0.8979,-0.19,0.3097
3804643.0,978.275929,1.0,-6.23,2.95,-6.79,22.69,-27.87,7.38,2.13,2.94,-2.56,0.009050621722264118,-0.2686570234700544,0.13466770628240354,-127.81886761171006,-21.998949913651902,36.03410062770514,-0.2477,-0.8981,-0.1908,0.3093
3804680.0,978.280915,1.0,-6.15,3.49,-7.32,22.69,-27.5,8.69,0.0,-0.5,-2.56,0.5789838730379477,-0.14083411772201931,-0.35356374903340715,-127.87100362286014,-21.96393011530327,36.03410062770514,-0.2473,-0.8983,-0.1905,0.3093
3804717.0,978.326799,1.0,-6.22,2.8,-7.03,23.87,-26.37,7.0,0.81,-1.75,-3.38,0.07454480176196432,-0.5150178339989787,0.025111281414194053,-127.68873899317937,-22.2091125181558,36.10640826375515,-0.2474,-0.8976,-0.1926,0.3099
3804749.0,978.342291,1.0,-6.44,2.44,-6.61,23.87,-26.37,7.0,-10.88,-0.94,9.13,-0.4722322436189277,-0.5723696983903586,0.2898916424261806,-127.58485235552222,-22.11569761985897,36.094355959132386,-0.2498,-0.8972,-0.1918,0.3098
3804784.0,978.390163,1.0,-6.27,2.19,-7.04,23.06,-27.06,7.38,-23.37,12.0,24.75,-0.42960728430846773,-1.1855076738625296,0.21078583169904697,-127.71474062830828,-21.683846183764324,35.37196719600466,-0.2579,-0.8977,-0.1881,0.3038
3804821.0,978.405794,1.0,-6.18,4.33,-6.94,23.06,-27.5,7.38,-32.5,3.56,32.5,0.4811299772589961,0.36792921734389167,-0.4275105437870419,-127.68873899317937,-21.12406961438943,34.675036035061034,-0.2679,-0.8976,-0.1833,0.298
3804856.0,978.468274,1.0,-5.94,4.05,-6.85,23.06,-27.5,7.38,-17.25,5.75,18.31,0.3582716084667714,0.01243819041425559,-0.11706335468663376,-127.6627493662712,-20.69292362085707,34.13522516911611,-0.2758,-0.8975,-0.1796,0.2935
3804891.0,978.483896,1.0,-5.97,4.87,-6.56,21.87,-28.56,5.25,-3.31,8.13,-1.12,0.5613890606472096,0.7994478450252666,-0.26494994567249286,-127.6627493662712,-20.704572293778334,33.85962386452366,-0.2781,-0.8975,-0.1797,0.2912
3804925.0,978.537272,1.0,-6.09,3.9,-6.29,21.56,-27.5,6.19,6.31,3.56,-13.06,-0.08687257754305122,0.2940820121583613,0.2270796064282763,-127.68873899317937,-21.12406961438943,33.84764578735518,-0.2753,-0.8976,-0.1833,0.2911
3804960.0,978.537272,1.0,-6.17,4.22,-6.49,21.19,-29.0,5.69,11.38,12.25,-19.87,0.11348676946993441,0.5345683726637938,-0.07761817767015167,-127.87100362286014,-21.602179804976906,33.75183487047058,-0.2715,-0.8983,-0.1874,0.2903
3804995.0,978.590642,1.0,-6.24,3.92,-6.44,21.19,-29.0,5.69,22.19,15.63,-32.06,-0.03900735834509961,0.5816321122203143,0.03742369941564405,-128.23732310544656,-22.62966555670664,33.67999263161277,-0.2613,-0.8997,-0.1962,0.2897
3805032.0,978.62189,1.0,-6.09,4.38,-6.48,21.87,-28.56,6.19,42.31,30.5,-70.0,0.4263399863921955,1.1727490386071828,-0.02726040779043437,-128.47409395200594,-24.02206117401117,33.58422417640036,-0.2493,-0.9006,-0.2081,0.2889
3805069.0,978.667469,1.0,-5.87,3.67,-6.23,21.56,-26.69,8.19,34.63,33.31,-90.19,0.36124581556554736,1.2021514981502122,0.5782680596904424,-128.44773606463812,-26.8179170771013,33.703938528301116,-0.2264,-0.9005,-0.2319,0.2899
3805104.0,978.711351,1.0,-5.4,2.7,-7.31,21.56,-26.69,8.19,48.0,51.0,-93.44,0.7462823875468478,0.18425980460967173,0.35703567334927655,-128.55324310023374,-29.274683969227155,33.344908493651104,-0.2054,-0.9009,-0.2527,0.2869
3805136.0,978.726311,1.0,-5.34,2.32,-7.61,24.56,-24.87,9.5,44.19,52.5,-95.62,0.8563507545533713,0.3301348245445971,0.26894721668792876,-128.3687376178253,-32.53234621871178,32.75921457984873,-0.1777,-0.9002,-0.2801,0.282
3805173.0,978.778173,1.0,-5.36,1.15,-7.27,26.5,-23.5,11.5,30.37,55.06,-86.06,0.06550711162184353,0.016071586133350357,0.701681547421698,-128.00155633728318,-34.975273498072475,32.09092481112806,-0.1594,-0.8988,-0.3005,0.2764
3805210.0,978.801111,1.0,-4.73,0.55,-8.76,27.56,-21.19,14.5,41.31,70.5,-85.19,0.6790207475353172,-0.7208927860661685,-0.11465255638917249,-127.7928177632481,-38.17357699786608,30.496292553249216,-0.132,-0.898,-0.327,0.263
3805243.0,978.840008,1.0,-4.99,0.22,-8.26,27.56,-21.19,14.5,31.06,64.81,-72.87,0.07278432788052092,-0.0077819778391637895,0.15415074424059405,-127.45526250130641,-40.93793375462537,28.87218733809866,-0.1074,-0.8967,-0.3497,0.2493
