TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3503693.0,121.263239,1.0,0.4,6.99,-7.15,12.56,-35.19,23.25,-1.31,-0.19,-0.12,0.22120390342522755,0.0026210889042297403,-0.19803200209294225,-112.05379617607242,-49.59342555885965,-20.69292362085707,-0.3226,-0.8293,-0.4194,-0.1796,0
3503693.0,121.263239,1.0,0.4,6.99,-7.15,12.56,-35.19,23.25,-1.31,-0.19,-0.12,0.22120390342522755,0.0026210889042297403,-0.19803200209294225,-112.05379617607242,-49.59342555885965,-20.69292362085707,-0.3226,-0.8293,-0.4194,-0.1796,0
3503728.0,121.357105,1.0,0.32,6.76,-7.1,12.19,-34.88,25.25,1.0,-0.31,-1.0,0.07086802331714925,-0.011106651407223112,-0.001757330732425899,-112.05379617607242,-49.61867279340942,-20.704572293778334,-0.3224,-0.8293,-0.4196,-0.1797,0
3503728.0,121.357105,1.0,0.32,6.76,-7.1,12.19,-34.88,25.25,1.0,-0.31,-1.0,0.07086802331714925,-0.011106651407223112,-0.001757330732425899,-112.05379617607242,-49.61867279340942,-20.704572293778334,-0.3224,-0.8293,-0.4196,-0.1797,0
3503763.0,121.363759,1.0,0.35,6.63,-7.24,12.19,-34.88,25.25,0.56,0.69,-0.31,-0.0649707187404438,-0.14609000457471844,-0.015337401553198404,-112.03329231056664,-49.64392259958649,-20.704572293778334,-0.3223,-0.8292,-0.4198,-0.1797,0
3503763.0,121.363759,1.0,0.35,6.63,-7.24,12.19,-34.88,25.25,0.56,0.69,-0.31,-0.0649707187404438,-0.14609000457471844,-0.015337401553198404,-112.03329231056664,-49.64392259958649,-20.704572293778334,-0.3223,-0.8292,-0.4198,-0.1797,0
3503800.0,121.378059,1.0,0.39,6.72,-7.33,12.19,-35.19,23.25,0.81,0.75,0.0,-0.047613407801563756,-0.17080484701192944,-0.14362430112530866,-112.01279388618183,-49.64392259958649,-20.751169149926106,-0.3223,-0.8291,-0.4198,-0.1801,0
3503800.0,121.378059,1.0,0.39,6.72,-7.33,12.19,-35.19,23.25,0.81,0.75,0.0,-0.047613407801563756,-0.17080484701192944,-0.14362430112530866,-112.01279388618183,-49.64392259958649,-20.751169149926106,-0.3223,-0.8291,-0.4198,-0.1801,0
3503835.0,121.430678,1.0,0.42,6.7,-7.14,12.19,-35.56,23.25,-0.31,0.56,0.37,0.06960843005274264,-0.1250088588979157,0.007388423143170897,-112.05379617607242,-49.64392259958649,-20.751169149926106,-0.322,-0.8293,-0.4198,-0.1801,0
3503835.0,121.430678,1.0,0.42,6.7,-7.14,12.19,-35.56,23.25,-0.31,0.56,0.37,0.06960843005274264,-0.1250088588979157,0.007388423143170897,-112.05379617607242,-49.64392259958649,-20.751169149926106,-0.322,-0.8293,-0.4198,-0.1801,0
3503872.0,121.449446,1.0,0.3,6.59,-7.01,12.19,-35.56,23.25,0.06,-1.31,-0.44,0.010196361157537748,-0.026313807970133052,0.1807784229567435,-112.05379617607242,-49.61867279340942,-20.73951961095484,-0.322,-0.8293,-0.4196,-0.18,0
3503872.0,121.449446,1.0,0.3,6.59,-7.01,12.19,-35.56,23.25,0.06,-1.31,-0.44,0.010196361157537748,-0.026313807970133052,0.1807784229567435,-112.05379617607242,-49.61867279340942,-20.73951961095484,-0.322,-0.8293,-0.4196,-0.18,0
3503904.0,121.492599,1.0,0.32,6.59,-7.16,13.0,-34.88,22.75,0.06,-0.31,0.88,-0.0655932187153947,-0.09726763287763962,0.07102795838124365,-112.09482025042286,-49.59342555885965,-20.751169149926106,-0.322,-0.8295,-0.4194,-0.1801,0
3503904.0,121.492599,1.0,0.32,6.59,-7.16,13.0,-34.88,22.75,0.06,-0.31,0.88,-0.0655932187153947,-0.09726763287763962,0.07102795838124365,-112.09482025042286,-49.59342555885965,-20.751169149926106,-0.322,-0.8295,-0.4194,-0.1801,0
3503941.0,121.551689,1.0,0.38,7.03,-7.06,13.38,-35.19,23.56,-1.88,-0.19,1.06,0.26696439177302955,0.08274396891492763,-0.15983300300228898,-112.07430548769132,-49.53031871016276,-20.797769475573418,-0.3225,-0.8294,-0.4189,-0.1805,0
3503941.0,121.551689,1.0,0.38,7.03,-7.06,13.38,-35.19,23.56,-1.88,-0.19,1.06,0.26696439177302955,0.08274396891492763,-0.15983300300228898,-112.07430548769132,-49.53031871016276,-20.797769475573418,-0.3225,-0.8294,-0.4189,-0.1805,0
3503976.0,121.565172,1.0,0.41,6.81,-7.27,12.56,-35.56,22.75,1.81,-0.06,0.37,0.04535182322240705,-0.11232427796305222,-0.1624235010185604,-112.13586614925855,-49.53031871016276,-20.774468878532232,-0.3221,-0.8297,-0.4189,-0.1803,0
3503976.0,121.565172,1.0,0.41,6.81,-7.27,12.56,-35.56,22.75,1.81,-0.06,0.37,0.04535182322240705,-0.11232427796305222,-0.1624235010185604,-112.13586614925855,-49.53031871016276,-20.774468878532232,-0.3221,-0.8297,-0.4189,-0.1803,0
3504011.0,121.611859,1.0,0.28,6.61,-7.2,12.56,-35.56,22.75,-0.63,-0.81,-0.5,-0.10226830916141116,-0.07050345562372229,0.029376839466619842,-112.13586614925855,-49.51769926487409,-20.73951961095484,-0.3221,-0.8297,-0.4188,-0.18,0
3504011.0,121.611859,1.0,0.28,6.61,-7.2,12.56,-35.56,22.75,-0.63,-0.81,-0.5,-0.10226830916141116,-0.07050345562372229,0.029376839466619842,-112.13586614925855,-49.51769926487409,-20.73951961095484,-0.3221,-0.8297,-0.4188,-0.18,0
3504046.0,121.619537,1.0,0.4,6.83,-7.25,12.19,-35.19,22.37,0.25,0.06,1.0,0.060951900929003155,-0.08595626640854626,-0.16131350244312692,-112.15639729539849,-49.49246229674105,-20.774468878532232,-0.3221,-0.8298,-0.4186,-0.1803,0
3504046.0,121.619537,1.0,0.4,6.83,-7.25,12.19,-35.19,22.37,0.25,0.06,1.0,0.060951900929003155,-0.08595626640854626,-0.16131350244312692,-112.15639729539849,-49.49246229674105,-20.774468878532232,-0.3221,-0.8298,-0.4186,-0.1803,0
3504080.0,121.682548,1.0,0.28,7.15,-7.04,13.0,-35.19,23.25,3.19,1.88,-1.75,0.29892107234753373,0.23270144643104995,-0.22425206458698632,-112.13586614925855,-49.51769926487409,-20.762818905741057,-0.322,-0.8297,-0.4188,-0.1802,0
3504080.0,121.682548,1.0,0.28,7.15,-7.04,13.0,-35.19,23.25,3.19,1.88,-1.75,0.29892107234753373,0.23270144643104995,-0.22425206458698632,-112.13586614925855,-49.51769926487409,-20.762818905741057,-0.322,-0.8297,-0.4188,-0.1802,0
3504115.0,121.690323,1.0,0.15,6.4,-7.18,13.0,-35.19,23.25,4.38,-14.06,-4.13,-0.2385020875741628,-0.054982296702683175,0.190258072604772,-112.25913519470076,-49.58080290531658,-20.459995384570263,-0.3213,-0.8303,-0.4193,-0.1776,0
3504115.0,121.690323,1.0,0.15,6.4,-7.18,13.0,-35.19,23.25,4.38,-14.06,-4.13,-0.2385020875741628,-0.054982296702683175,0.190258072604772,-112.25913519470076,-49.58080290531658,-20.459995384570263,-0.3213,-0.8303,-0.4193,-0.1776,0
3504152.0,121.750935,1.0,0.34,6.71,-7.5,12.56,-35.19,24.87,4.63,-8.13,-1.88,-0.10356556549393092,-0.20253682552375718,-0.2600253701483126,-112.32084385114358,-49.58080290531658,-20.30863790096007,-0.3212,-0.8306,-0.4193,-0.1763,0
3504152.0,121.750935,1.0,0.34,6.71,-7.5,12.56,-35.19,24.87,4.63,-8.13,-1.88,-0.10356556549393092,-0.20253682552375718,-0.2600253701483126,-112.32084385114358,-49.58080290531658,-20.30863790096007,-0.3212,-0.8306,-0.4193,-0.1763,0
3504187.0,121.769348,1.0,0.34,6.83,-7.22,13.0,-34.88,23.56,2.75,2.06,0.44,0.1284341458608076,-0.04388045940489338,-0.136914711684609,-112.32084385114358,-49.60604885480682,-20.285355318851703,-0.3212,-0.8306,-0.4195,-0.1761,0
3504187.0,121.769348,1.0,0.34,6.83,-7.22,13.0,-34.88,23.56,2.75,2.06,0.44,0.1284341458608076,-0.04388045940489338,-0.136914711684609,-112.32084385114358,-49.60604885480682,-20.285355318851703,-0.3212,-0.8306,-0.4195,-0.1761,0
3504222.0,121.817694,1.0,0.4,6.72,-7.29,13.0,-34.88,23.56,-1.12,0.69,1.81,0.0578852537760004,-0.15700241441922813,-0.11476620633172807,-112.36201050539012,-49.58080290531658,-20.320279509683687,-0.3208,-0.8308,-0.4193,-0.1764,0
3504222.0,121.817694,1.0,0.4,6.72,-7.29,13.0,-34.88,23.56,-1.12,0.69,1.81,0.0578852537760004,-0.15700241441922813,-0.11476620633172807,-112.36201050539012,-49.58080290531658,-20.320279509683687,-0.3208,-0.8308,-0.4193,-0.1764,0
3504257.0,121.882306,1.0,0.38,6.74,-7.27,11.88,-34.88,24.06,1.69,2.19,0.44,0.06410468615264464,-0.11353074212975356,-0.11342567308862606,-112.36201050539012,-49.58080290531658,-20.37849073526576,-0.3204,-0.8308,-0.4193,-0.1769,0
3504257.0,121.882306,1.0,0.38,6.74,-7.27,11.88,-34.88,24.06,1.69,2.19,0.44,0.06410468615264464,-0.11353074212975356,-0.11342567308862606,-112.36201050539012,-49.58080290531658,-20.37849073526576,-0.3204,-0.8308,-0.4193,-0.1769,0
3504291.0,121.889815,1.0,0.27,6.56,-7.18,13.69,-33.69,24.06,0.88,1.37,1.19,-0.05838445423072902,-0.05680125420635296,0.07771044457954446,-112.38260211278737,-49.58080290531658,-20.436707276203283,-0.3199,-0.8309,-0.4193,-0.1774,0
3504291.0,121.889815,1.0,0.27,6.56,-7.18,13.69,-33.69,24.06,0.88,1.37,1.19,-0.05838445423072902,-0.05680125420635296,0.07771044457954446,-112.38260211278737,-49.58080290531658,-20.436707276203283,-0.3199,-0.8309,-0.4193,-0.1774,0
3504326.0,121.908616,1.0,0.24,6.57,-7.05,13.69,-33.69,24.06,-1.12,3.06,1.56,-0.010922875938464083,0.03689076673837377,0.1669653701943794,-112.38260211278737,-49.55555952443805,-20.553156370102187,-0.3195,-0.8309,-0.4191,-0.1784,0
3504326.0,121.908616,1.0,0.24,6.57,-7.05,13.69,-33.69,24.06,-1.12,3.06,1.56,-0.010922875938464083,0.03689076673837377,0.1669653701943794,-112.38260211278737,-49.55555952443805,-20.553156370102187,-0.3195,-0.8309,-0.4191,-0.1784,0
3504361.0,121.956763,1.0,0.33,6.74,-6.98,12.19,-34.88,24.56,1.25,10.13,2.56,0.16011231636118084,0.09635925940155055,0.0998493458566827,-112.38260211278737,-49.568180893926424,-20.762818905741057,-0.3185,-0.8309,-0.4192,-0.1802,0
