TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3467630.0,218.136305,1.0,-7.48,-0.96,-5.95,36.25,-18.0,7.38,1.19,-11.75,-7.63,-0.13937538674029915,0.29775238140033333,0.20631573389543867,-114.85268180222258,-38.95054421712167,48.66106748213057,-0.0952,-0.8427,-0.3334,0.412
3467667.0,218.15733,1.0,-7.52,-1.07,-5.79,35.5,-17.19,7.38,5.81,-5.94,-9.63,-0.24870130400822577,0.3065082771642572,0.2639250046218766,-114.34362489902878,-39.19372713365675,49.06382413155703,-0.0945,-0.8403,-0.3354,0.4152
3467700.0,218.199591,1.0,-7.54,-1.45,-5.92,35.5,-17.19,7.38,4.5,-5.0,-8.5,-0.36795345233352306,-0.005067188696048164,0.1182505150223836,-114.11147553645674,-39.351894536966725,49.290658600791176,-0.0929,-0.8392,-0.3367,0.417
3467737.0,218.222059,1.0,-7.29,-1.58,-6.2,36.56,-18.0,7.06,5.69,-3.56,-7.0,-0.11033862330794486,-0.31435016851615977,0.11286284740786279,-113.83804937327126,-39.522316021456795,49.51769926487409,-0.0907,-0.8379,-0.3381,0.4188
3467771.0,218.272777,1.0,-7.44,-1.61,-5.83,36.56,-17.56,7.5,3.94,-5.0,-5.38,-0.38280919598757235,-0.08375413141014199,0.22640770844290792,-113.62840124543838,-39.607560894653446,49.732317201837574,-0.0891,-0.8369,-0.3388,0.4205
3467804.0,218.303829,1.0,-7.48,-1.63,-5.84,36.56,-17.56,7.5,6.31,-2.25,-2.69,-0.35848256008308566,-0.07088715010987234,0.18483285010229444,-113.46110408162377,-39.64410140012822,49.9724050156561,-0.0876,-0.8361,-0.3391,0.4224
3467839.0,218.329853,1.0,-7.37,-1.75,-5.92,35.88,-15.69,7.0,0.69,-0.81,-2.13,-0.30782136423417406,-0.234632119418632,0.20061055721932064,-113.3150238515142,-39.70501157955701,50.098861160482315,-0.0864,-0.8354,-0.3396,0.4234
3467876.0,218.382169,1.0,-7.5,-1.67,-5.36,36.25,-16.06,7.0,2.75,3.25,1.37,-0.6625614052990034,0.14407136482511929,0.46273455592380586,-113.3150238515142,-39.69282860908111,50.13681071668796,-0.0854,-0.8354,-0.3395,0.4237
3467911.0,218.396167,1.0,-7.3,-1.71,-5.56,36.25,-16.06,7.0,3.88,7.25,4.44,-0.49397943707982694,-0.05553355793794934,0.4856736380685387,-113.5237968383804,-39.57102458450509,50.0103350226896,-0.0843,-0.8364,-0.3385,0.4227
3467943.0,218.449834,1.0,-7.05,-1.33,-6.32,36.25,-16.5,7.0,-3.75,6.88,2.88,0.3021922290842558,-0.2084556593777771,0.2526442382917491,-113.7750931947259,-39.51014004319908,49.75757860526172,-0.0845,-0.8376,-0.338,0.4207
3467978.0,218.469251,1.0,-7.49,-1.25,-5.98,35.5,-16.5,7.0,1.37,-4.13,-1.25,-0.04915868990701,0.21241560356925282,0.14355199601768653,-113.75411958451244,-39.534492464525485,49.77021027536523,-0.0847,-0.8375,-0.3382,0.4208
3468015.0,218.520849,1.0,-7.86,-1.36,-5.82,36.56,-16.06,6.56,5.25,-5.13,-1.56,-0.33134161879543766,0.37707572369284037,-0.0548725310423297,-113.5447060570436,-39.534492464525485,50.022979659523415,-0.084,-0.8365,-0.3382,0.4228
3468050.0,218.537803,1.0,-8.03,-1.74,-5.5,36.56,-16.06,6.56,4.06,4.0,-2.63,-0.8421200510355016,0.33016243519931865,-0.03917787712781795,-113.5447060570436,-39.558846745858816,50.03562494735927,-0.0828,-0.8365,-0.3384,0.4229
3468087.0,218.583712,1.0,-7.53,-1.88,-6.11,37.0,-16.06,7.06,3.75,5.88,1.31,-0.341764341848529,-0.24481997640564557,-0.06202064572496546,-113.7750931947259,-39.461440774465245,49.883924403527324,-0.0806,-0.8376,-0.3376,0.4217
3468122.0,218.623238,1.0,-7.42,-2.0,-5.59,36.25,-16.87,6.56,4.19,4.56,4.19,-0.7244244023739888,-0.1604618275929322,0.33279327282016347,-113.96412130753308,-39.364064490012716,49.795475553617806,-0.0797,-0.8385,-0.3368,0.421
3468156.0,218.646761,1.0,-7.59,-1.86,-4.99,36.25,-16.87,6.56,6.63,12.13,9.19,-1.136474834342334,0.28645104433948876,0.6091410573512714,-114.4070649484192,-39.01132279075521,49.59342555885965,-0.0782,-0.8406,-0.3339,0.4194
3468191.0,218.693118,1.0,-7.26,-2.16,-4.38,37.0,-16.87,8.25,9.63,28.81,18.69,-1.6680852964302564,0.16636880012580602,1.2190186114168906,-115.23680905302648,-38.53755098296754,49.02603833164671,-0.0757,-0.8445,-0.33,0.4149
3468228.0,218.717062,1.0,-6.45,-1.94,-4.28,36.56,-18.0,8.25,0.06,60.94,25.81,-1.482595907933376,0.032553101028254205,1.9653905559187965,-117.29886813726063,-37.7615559445365,47.26890777482772,-0.0728,-0.854,-0.3236,0.4009
3468263.0,218.761121,1.0,-6.45,-1.85,-3.84,36.56,-18.0,8.25,-4.88,80.31,34.44,-1.9837568476925322,0.33310540594545335,2.341775616745922,-119.4919242535424,-37.14447095017847,45.16334612512468,-0.0708,-0.8638,-0.3185,0.384
