TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
787927.0,59.617931,1.0,-1.42,-0.29,-9.54,15.5,-21.0,30.87,-2.88,-6.25,4.06,-0.05262585238646722,0.13656393969166208,0.15829880355008719,-152.09692309623645,-26.629469277048532,8.142851840335263,0.0039,-0.9705,-0.2303,0.071
787959.0,59.691246,1.0,-1.27,-1.03,-9.72,15.5,-21.75,30.06,5.19,-3.31,6.0,-0.1978520985150023,-0.5989484910267573,-0.02972714060466508,-152.19213918576153,-26.48818157203767,8.29220473923879,0.0042,-0.9707,-0.2291,0.0723
787994.0,59.69723,1.0,-1.61,-0.3,-9.25,15.88,-21.75,30.5,-11.88,-7.56,13.81,-0.22557088827321914,0.1716124529863996,0.41706710509228273,-152.47972490837182,-26.1469050177391,8.453062112264227,0.0023,-0.9713,-0.2262,0.0737
788031.0,59.754077,1.0,-1.83,-0.51,-9.07,15.5,-22.19,30.5,-9.69,3.44,12.69,-0.5627726894118217,0.002712746340967437,0.5569375968460779,-152.91671705681662,-25.664812206839986,8.41859128124216,-0.0018,-0.9722,-0.2221,0.0734
788066.0,59.796475,1.0,-1.83,-0.08,-9.99,15.5,-22.19,30.5,-16.75,6.38,13.0,-0.3336952378696939,0.26644675085168323,-0.34091392525731834,-153.46040280996561,-25.206664604393563,8.062436803571837,-0.0067,-0.9733,-0.2182,0.0703
788103.0,59.821409,1.0,-1.96,2.19,-10.71,15.06,-22.19,31.25,-36.69,-6.13,18.75,0.5385370030227967,2.2033240001698604,-1.0652008657289205,-153.91350924378722,-24.725463298356363,7.936078336486531,-0.0135,-0.9742,-0.2141,0.0692
788137.0,59.845344,1.0,-2.02,3.98,-9.59,15.88,-22.87,30.5,3.0,-14.63,-24.62,1.168592805997824,3.7496320903189755,-0.014935922905745969,-153.3110465719337,-25.159698385030055,8.384121213370948,-0.0211,-0.973,-0.2178,0.0731
788172.0,59.885239,1.0,-1.84,7.57,-8.03,15.88,-22.87,30.5,81.25,-18.81,-122.44,3.0569528024383787,7.088378703528952,1.7084201366890444,-151.207760054273,-27.17145638329649,9.246109154854068,-0.0112,-0.9686,-0.2349,0.0806
788207.0,59.930628,1.0,-0.19,2.17,-7.96,16.56,-23.69,29.19,146.56,-1.37,-177.31,2.6043126743281046,2.0250364410230075,2.2420361363012793,-144.5768347492103,-33.40472333858408,10.764512919793646,0.0358,-0.9526,-0.2874,0.0938
788244.0,59.972515,1.0,-2.12,-5.97,0.97,19.25,-20.25,30.5,72.69,110.25,-215.5,-5.492221639368983,-3.277535390133573,9.394990880741076,-138.585728177911,-39.254551533936265,9.890066196362191,0.0688,-0.9354,-0.3359,0.0862
788281.0,60.003431,1.0,1.15,-9.7,-0.93,20.75,-14.25,33.0,-92.12,340.75,-145.06,-5.916577847899139,-7.396097644107485,7.243595921644079,-134.23375822968381,-44.33307679780215,-1.9710720103882062,0.0928,-0.9213,-0.3773,-0.0172
788316.0,60.009417,1.0,8.32,-7.12,-18.51,20.75,-14.25,33.0,-16.5,211.06,-26.31,-1.096254692974174,-5.813993461074734,-10.870211601382172,-131.87465337051762,-45.1509357631892,-10.637910557080563,0.1012,-0.9131,-0.3839,-0.0927
788353.0,60.057287,1.0,5.33,-11.36,-10.74,13.56,-12.75,37.06,-70.56,37.56,137.38,-5.247670411744117,-8.66185414784033,-3.240968095700328,-134.41089761229173,-41.70948903373751,-12.66521907501552,0.1058,-0.9219,-0.356,-0.1103
