TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1480480.0,753.404036,1.0,-0.69,-0.33,-9.5,11.0,-22.37,32.0,-10.06,2.94,6.31,-0.15942271820184573,0.48852662418938575,0.2897741400142593,-157.6856148741907,-21.75385480831424,2.956790311078442,0.0338,-0.9811,-0.1887,0.0258
1480513.0,753.424949,1.0,-0.59,-0.56,-9.52,11.0,-22.37,32.0,-12.94,5.19,4.63,-0.18435496721550518,0.17046405984886462,0.2552597739458431,-157.98368078519854,-21.567183329657436,2.830699387947472,0.03,-0.9816,-0.1871,0.0247
1480548.0,753.485251,1.0,-0.37,-0.88,-10.36,11.38,-22.37,32.88,-14.31,5.5,1.56,-0.11646379468722273,-0.24644023619414349,-0.5936674660445629,-158.1644488297919,-21.473869337236096,2.532679647359437,0.0256,-0.9819,-0.1863,0.0221
1480585.0,753.507154,1.0,-0.62,-1.01,-10.48,10.56,-22.0,32.0,-19.37,-0.12,12.88,-0.4143222234343551,-0.35855056056750545,-0.7259032797458538,-158.46906001766973,-21.205671619155694,2.4753701852018106,0.0214,-0.9824,-0.184,0.0216
1480622.0,753.559018,1.0,0.27,0.09,-12.6,10.56,-22.0,32.0,-40.0,-11.94,14.94,0.8967635286159796,0.10506831670729125,-2.764180355333277,-159.15467994543425,-20.657978898652154,2.647300486778665,0.0089,-0.9835,-0.1793,0.0231
1480656.0,753.595918,1.0,-1.46,5.95,-8.24,10.56,-23.5,30.69,-24.5,-51.06,-1.75,1.2618910110496226,5.940483946872661,1.5271583759218395,-159.15467994543425,-20.49492914898236,3.896864048753203,-0.0027,-0.9835,-0.1779,0.034
1480691.0,753.617862,1.0,-1.17,6.92,-7.64,11.0,-25.0,32.0,59.69,-45.13,-69.06,2.380904334736477,6.827000883387898,2.367009317342406,-156.58711361479934,-22.60629344975137,5.949975106955118,0.0097,-0.9792,-0.196,0.0519
1480726.0,753.665893,1.0,-0.41,-3.55,-4.23,13.25,-23.0,31.06,185.0,46.13,-185.88,-1.395258357897231,-2.634378844979141,5.140087858996808,-151.6255402012684,-26.94751777725,6.259812004164342,0.0525,-0.9695,-0.233,0.0546
1480761.0,753.699508,1.0,-0.43,-12.49,-1.15,13.25,-23.0,31.06,137.06,177.44,-146.81,-6.81936521775562,-9.759046448459259,5.836162568502495,-145.03166189361892,-32.114772865183184,1.3407518310456548,0.1171,-0.9538,-0.2766,0.0117
1480798.0,753.731422,1.0,7.12,-11.34,-11.06,14.38,-16.56,35.25,-88.62,372.31,-42.0,-1.3174119443460723,-9.753248241899042,-4.502514004259211,-143.06373822672285,-32.48460118565665,-9.51055493545105,0.1233,-0.9485,-0.2797,-0.0829
