TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
589918.0,434.587405,1.0,-1.45,-0.29,-9.99,15.38,-19.0,32.19,-13.38,-1.56,13.19,0.15946604422894317,0.5623675741078042,-0.2752651599450644,-149.33171261025754,-29.286527670932475,8.476043091817116,0.0247,-0.9644,-0.2528,0.0739
589953.0,434.61948,1.0,-1.53,-0.89,-9.57,16.87,-19.0,31.75,1.56,-2.13,7.0,-0.2642322418902491,0.04888130254595485,0.07804825357173684,-149.63651807466178,-28.966859495010617,8.510515201802361,0.0237,-0.9651,-0.2501,0.0742
589989.0,434.6525,1.0,-1.43,-0.42,-9.71,16.5,-19.37,31.37,1.44,2.0,6.13,0.05256234535937332,0.4137121399878006,-0.00821013476896404,-149.85607839466778,-28.777535311725245,8.41859128124216,0.0237,-0.9656,-0.2485,0.0734
590022.0,434.714376,1.0,-1.61,-1.19,-9.52,16.5,-19.37,31.37,6.69,3.31,0.5,-0.49191641199185265,-0.14295580764780885,0.0919095567008128,-149.900178159723,-28.682903338517615,8.407101173980415,0.0255,-0.9657,-0.2477,0.0733
590059.0,434.730263,1.0,-1.19,-0.82,-10.91,16.87,-19.75,31.75,-5.88,9.63,4.75,0.20487720888574584,0.0034580089631540967,-1.1967409942096143,-150.07721211196608,-28.600116751102288,8.108387763620353,0.0252,-0.9661,-0.247,0.0707
590096.0,434.783776,1.0,-1.69,-0.53,-10.27,16.5,-19.75,32.69,-8.44,-9.0,5.19,-0.17895478433741407,0.41317081414088463,-0.605226154829392,-150.2552755154301,-28.41094741939909,8.257737442475136,0.0219,-0.9665,-0.2454,0.072
590129.0,434.823464,1.0,-1.81,3.04,-9.94,16.5,-19.75,32.69,-37.31,-39.13,-3.69,1.4212391557670851,3.4155249348509042,-0.0744212314771886,-150.1661139822511,-28.375486985220764,8.912747665103911,0.0135,-0.9663,-0.2451,0.0777
590163.0,434.827455,1.0,-1.89,6.69,-8.98,15.38,-19.37,31.37,20.5,-49.44,-63.94,3.449600736519641,6.518982675869712,1.1711581419577648,-147.6025936178383,-30.413159765182684,10.833574298853826,0.0139,-0.9603,-0.2623,0.0944
590198.0,434.878574,1.0,-1.54,-2.47,-5.84,18.37,-20.87,31.75,161.44,-34.44,-159.94,-1.1514354732639753,-1.0343345788895677,3.467687282818056,-142.73954322436268,-34.26710635514728,13.207250097467806,0.0466,-0.9476,-0.2946,0.115
590237.0,434.898546,1.0,-2.28,-6.61,-4.15,20.69,-15.69,31.37,79.25,69.87,-149.5,-4.584401488097219,-3.1519773484702993,3.876953398093444,-136.34269592729157,-39.973155592420554,13.645704477358525,0.0857,-0.9283,-0.3418,0.1188
590270.0,434.948408,1.0,-0.03,-9.06,-4.4,20.69,-15.69,31.37,1.81,217.13,-58.88,-4.845773814055591,-5.842567900026606,3.186425194406776,-135.00612922505886,-41.85667536570541,9.09666171745326,0.1117,-0.9239,-0.3572,0.0793
590307.0,434.978516,1.0,6.53,-13.35,-14.51,21.0,-9.69,33.88,-56.44,163.88,86.06,-2.161774821518946,-10.515940436214683,-7.9738231760162055,-137.24530467426428,-39.912193788917286,0.1833465726697912,0.1279,-0.9312,-0.3413,0.0016
590344.0,435.012802,1.0,3.23,-2.44,-7.19,14.25,-11.19,37.25,-218.38,22.69,203.81,1.3586557311437695,-2.594944378625517,2.092836528307152,-146.1552551844325,-32.49653690025889,-2.9338644268256844,0.0762,-0.9567,-0.2798,-0.0256
590379.0,435.05224,1.0,-0.49,7.89,-4.07,14.25,-11.19,37.25,-223.38,67.62,189.13,2.6856421138779583,7.571005924694362,5.995574597386192,-153.06392657993817,-26.12337743794119,-5.904077101832591,0.0236,-0.9725,-0.226,-0.0515
590413.0,435.08932,1.0,0.48,6.26,-4.2,9.75,-18.69,35.19,-102.56,179.81,97.0,1.7727830472347201,5.76791456180044,5.262818810881325,-155.0021140741398,-21.403893300909647,-12.757459245108164,-0.0071,-0.9763,-0.1857,-0.1111
590448.0,435.117444,1.0,4.62,11.27,-11.22,3.75,-25.0,32.75,-79.12,249.94,12.31,3.8346964527073206,9.222566694432663,-3.402629567120055,-151.34635737161238,-19.90131410531983,-20.285355318851703,-0.0214,-0.9689,-0.1728,-0.1761
590485.0,435.152529,1.0,8.45,8.53,-16.11,-2.19,-27.25,30.75,40.88,181.56,-93.62,2.714429848971129,5.869448615743944,-9.216413463652644,-143.83109490597238,-23.08561363949995,-27.442681619646773,-0.0084,-0.9506,-0.2001,-0.2372
590520.0,435.19843,1.0,10.19,-2.2,-16.32,-2.19,-27.25,30.75,147.69,-48.38,-209.63,-0.47143208907396694,-4.437259366523868,-9.03763245117302,-139.43670037409964,-29.333905677818493,-27.371912162371505,0.0103,-0.938,-0.2532,-0.2366
590557.0,435.226594,1.0,6.5,-7.81,-16.04,-4.75,-26.5,32.25,52.94,-188.06,-91.62,-4.678501407444653,-7.884329972648168,-6.820937481740701,-138.68306126823978,-35.78114049341131,-19.878046180611584,0.015,-0.9357,-0.3072,-0.1726
590594.0,435.257484,1.0,5.22,-8.75,-14.08,3.06,-23.37,34.38,-21.37,-165.06,31.06,-4.556474485868473,-8.952624471828706,-4.375957493900527,-140.71214769326966,-35.98590378205003,-15.205041610922962,0.0005,-0.9418,-0.3089,-0.1323
590628.0,435.293769,1.0,3.7,2.93,-10.72,3.06,-23.37,34.38,-148.56,-213.88,164.63,2.7298095690243493,0.22667063921413844,-1.5815043780448175,-147.39783944401512,-30.852762845389066,-9.188627520029689,-0.04,-0.9598,-0.266,-0.0801
590663.0,435.332934,1.0,-1.69,8.21,-4.54,8.0,-23.5,32.19,-65.81,-263.44,105.75,1.7046451527512765,7.25872989679443,3.8672202976982435,-152.67309729035,-25.30060996520192,-0.9740399810272837,-0.0879,-0.9717,-0.219,-0.0085
590700.0,435.388613,1.0,-1.88,9.56,-6.53,10.56,-27.69,28.5,44.19,-199.63,-2.38,2.568687721026596,8.10042522375701,1.7224769077061168,-153.3110465719337,-24.197824520118107,4.917487034889402,-0.0873,-0.973,-0.2096,0.0429
590737.0,435.402574,1.0,-1.82,8.5,-4.11,15.06,-27.69,26.75,119.94,-130.69,-137.5,3.0896774542453502,7.6113346888607065,4.80905282907139,-149.33171261025754,-27.30115334647518,11.754779974813852,-0.0612,-0.9644,-0.236,0.1024
590770.0,435.444913,1.0,-1.75,-1.63,-2.98,15.06,-27.69,26.75,180.0,29.12,-185.81,-1.6412550610890906,-0.7780637433184642,6.444998823006362,-144.87941908090355,-31.99554685526558,13.899637842978935,-0.0193,-0.9534,-0.2756,0.121
590809.0,435.518641,1.0,-1.26,-2.02,-7.77,20.37,-22.75,28.5,13.69,15.88,-84.56,-0.3763557254008704,-1.2811947982685719,1.7905539266705688,-141.33038910827102,-36.03410062770514,13.495684664619231,0.0121,-0.9436,-0.3093,0.1175
