TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1106915.0,165.772945,1.0,2.48,1.58,-8.92,2.75,-29.87,27.0,2.19,-1.06,-0.56,-0.00014747666252246106,-0.23706258417595194,0.4174540115548506,-151.1157235364922,-21.882225322200526,-16.686140017359815,-0.0704,-0.9684,-0.1898,-0.1451
1106950.0,165.786072,1.0,2.63,1.8,-9.21,0.88,-30.56,28.69,-0.19,2.25,1.75,0.1090218803669254,-0.11029580711933873,0.062064371840470756,-151.1157235364922,-21.858883165817783,-16.755633464025784,-0.0702,-0.9684,-0.1896,-0.1457
1106987.0,165.816348,1.0,2.55,1.79,-9.05,2.75,-30.56,27.06,-0.31,0.31,0.37,0.07855348971488141,-0.07172487060378024,0.23597683181634999,-151.1157235364922,-21.823871652385925,-16.79038251334145,-0.0701,-0.9684,-0.1893,-0.146
1107021.0,165.879035,1.0,2.48,1.78,-9.19,2.75,-30.56,27.06,-2.88,3.94,1.75,-0.04432747493588418,-0.06571156476965678,0.1232303010908744,-151.1157235364922,-21.800531789289547,-16.871469682269606,-0.0703,-0.9684,-0.1891,-0.1467
1107054.0,165.899844,1.0,2.71,2.04,-9.58,2.0,-30.56,25.87,-2.44,3.94,2.81,0.09292700938490217,0.05171093545365418,-0.3555737010450297,-151.06981274894218,-21.695513718287582,-17.05684380992257,-0.0708,-0.9683,-0.1882,-0.1483
1107091.0,165.931758,1.0,2.52,1.84,-9.34,1.69,-31.0,27.5,-1.63,2.44,-0.31,-0.0801994419570935,-0.044730459467967,-0.04033772394408963,-151.0239731545222,-21.672178876755062,-17.114782424924247,-0.0712,-0.9682,-0.188,-0.1488
1107126.0,165.973646,1.0,2.69,1.93,-9.57,1.69,-31.0,27.5,-2.44,3.38,1.63,0.002539472480765692,-0.050806926546065834,-0.3197171771911602,-150.9782044157604,-21.637178319468855,-17.253853117357277,-0.0717,-0.9681,-0.1877,-0.15
1107161.0,166.010549,1.0,2.66,2.03,-9.55,2.0,-30.25,27.87,-0.69,0.88,0.5,0.009814537152314617,0.05441507568831583,-0.3124380357074852,-150.9782044157604,-21.602179804976906,-17.288624783675058,-0.0718,-0.9681,-0.1874,-0.1503
1107195.0,166.058421,1.0,2.51,1.93,-9.37,1.25,-30.56,27.06,-0.88,1.69,-0.88,-0.1103865119855485,0.03220577271350544,-0.0831769755428784,-150.88687816852095,-21.62551192117329,-17.346581127291522,-0.072,-0.9679,-0.1876,-0.1508
1107230.0,166.065403,1.0,2.59,2.14,-9.72,0.88,-31.0,27.5,0.69,4.69,2.88,-0.096578247387064,0.1773728174771944,-0.4756314358366929,-150.84131999821054,-21.602179804976906,-17.450913825320043,-0.0716,-0.9678,-0.1874,-0.1517
1107265.0,166.108664,1.0,2.96,2.8,-10.91,0.88,-31.0,27.5,6.56,7.88,4.06,0.03339779629629169,0.6111898428915417,-1.82326967139708,-150.84131999821054,-21.508860392454913,-17.706010881893697,-0.0692,-0.9678,-0.1866,-0.1539
1107302.0,166.134732,1.0,5.13,2.87,-14.77,2.0,-30.56,27.87,32.75,-7.31,-1.75,0.7853191191922813,-0.28224615111761087,-6.068182628762118,-151.0239731545222,-21.613845749720685,-17.613238149656624,-0.0634,-0.9682,-0.1875,-0.1531
1107337.0,166.172642,1.0,5.62,1.53,-15.68,2.0,-30.56,28.25,63.5,-96.0,-5.5,1.5393657179259246,-1.53325406035696,-6.7784995372478765,-153.1625065187994,-21.95225731085251,-14.130545861300057,-0.0501,-0.9727,-0.1904,-0.123
1107372.0,166.21506,1.0,4.95,1.98,-15.04,2.0,-30.56,28.25,49.31,-206.31,2.81,2.747594016556686,-0.9081028793079526,-5.885723188296737,-155.8091656213749,-21.90556839778225,-8.797813093528106,-0.0443,-0.9778,-0.19,-0.0767
1107404.0,166.243865,1.0,1.6,2.71,-9.55,3.5,-29.06,28.37,56.56,-305.81,-4.44,2.7352017046447115,1.000332171570097,0.18248213044210537,-157.6856148741907,-21.555518290407996,2.509755787270372,-0.0452,-0.9811,-0.187,0.0219
1107441.0,166.288534,1.0,-1.21,1.44,-5.57,10.25,-27.56,28.37,44.38,-276.56,-25.19,0.39998019108285,1.0619167201582955,4.038205779398608,-155.0021140741398,-21.695513718287582,11.144399719947117,-0.046,-0.9763,-0.1882,0.0971
1107478.0,166.31967,1.0,-2.7,0.5,-3.5,17.0,-26.06,27.56,40.31,-236.94,-27.0,-0.9858437018024266,0.8539246376338533,5.553542323387711,-149.07278485727542,-22.045646214809633,20.704572293778334,-0.0469,-0.9638,-0.1912,0.1797
1107513.0,166.38512,1.0,-3.83,-1.47,-1.44,17.0,-26.06,27.56,31.25,-149.69,-31.75,-3.140221527499024,-0.25731132183108874,6.8106193523114245,-145.06982302382067,-22.44271531767953,25.899921160166517,-0.045,-0.9539,-0.1946,0.2241
1107550.0,166.400213,1.0,-4.41,-2.34,-0.22,23.0,-24.25,23.75,-4.69,-70.5,-18.25,-4.313480319840726,-0.6199424448615594,7.3609069850031625,-141.6082344949301,-23.109005518751953,29.736826743672204,-0.0461,-0.9444,-0.2003,0.2566
1107587.0,166.428245,1.0,-5.0,-2.41,1.34,25.0,-23.06,23.06,-20.81,-8.38,-0.63,-5.519062104380706,-0.15149077464031124,8.350386276223404,-140.74624891732873,-23.40148673707778,30.484415435162095,-0.0514,-0.9419,-0.2028,0.2629
1107619.0,166.463834,1.0,-3.73,-3.3,1.38,25.0,-23.06,23.06,-12.31,116.06,19.06,-4.940855900467525,-1.409670027651332,9.251606412561376,-142.91931394004666,-23.272776070440536,27.784885032921764,-0.0525,-0.9481,-0.2017,0.2401
1107654.0,166.508428,1.0,-2.26,-2.34,1.79,26.37,-23.06,22.06,-19.06,214.31,50.69,-3.430909920170032,-1.06991954635957,10.740153767532082,-149.37507492345586,-22.127373666986443,20.087487431641748,-0.0488,-0.9645,-0.1919,0.1744
1107691.0,166.558808,1.0,1.58,1.44,-0.07,22.19,-24.25,24.25,-22.44,354.0,95.44,1.9733504049150805,0.8081677498901281,9.972942114843185,-156.5307030363511,-20.19223344229395,10.695455461898506,-0.0444,-0.9791,-0.1753,0.0932
1107728.0,166.569569,1.0,7.78,2.13,-8.58,13.56,-26.87,28.37,-9.69,462.5,92.75,7.007655127421039,-0.5568065607292523,0.3586641792518268,-161.4314273445042,-17.161136490218524,-6.340147475413155,-0.0247,-0.9869,-0.1492,-0.0553
1107763.0,166.608778,1.0,14.11,3.79,-17.87,13.56,-26.87,28.37,-59.75,502.19,54.0,7.3634977002989075,0.22344651872124421,-12.06849738855407,-154.1686085419062,-15.309094936163461,-20.611388956075043,-0.0155,-0.9747,-0.1332,-0.1789
1107800.0,166.63405,1.0,17.22,5.44,-23.83,0.06,-28.0,31.0,-87.69,337.38,15.69,-0.18244280449062522,1.9141475357646816,-20.0311390238941,-139.86866179765227,-13.68032776202412,-37.43472359227642,-0.0239,-0.9393,-0.1191,-0.3209
1107836.0,166.672313,1.0,17.23,4.89,-24.95,-12.19,-30.0,25.19,-14.44,88.5,-3.94,-3.747194586400356,1.4962992716041694,-20.640141640851894,-135.03608676528202,-13.357225465957494,-42.60599837478333,-0.0283,-0.924,-0.1163,-0.3633
1107871.0,166.714545,1.0,11.92,2.8,-17.23,-12.19,-30.0,25.19,56.0,-204.13,-29.19,-1.073394052309279,0.2906067524488727,-11.301705523912753,-138.84577222800962,-14.407711711634986,-38.22208366616019,-0.0258,-0.9362,-0.1254,-0.3274
1107906.0,166.74296,1.0,8.96,1.74,-14.07,-13.75,-30.37,24.87,51.88,-288.94,-19.81,1.6296503573559962,-0.48299102647341735,-6.878225168280872,-148.4345315385202,-15.575066901599747,-27.17145638329649,-0.0229,-0.9623,-0.1355,-0.2349
1107943.0,166.793685,1.0,4.46,2.49,-8.5,-8.56,-29.56,26.25,46.25,-323.25,-14.5,2.1437812548046473,1.1065732738704905,0.18784562933605642,-156.02889725740354,-15.956826751094518,-17.555261104447528,-0.0241,-0.9782,-0.1388,-0.1526
1107980.0,166.807238,1.0,2.25,2.83,-6.05,-1.75,-27.69,29.25,33.63,-264.88,-33.94,2.2274951180056317,1.8288066324870313,3.3748826067998605,-161.7899992062843,-16.767216307875252,-6.443440527613203,-0.0269,-0.9874,-0.1458,-0.0562
1108015.0,166.858003,1.0,0.0,1.43,-3.76,-1.75,-27.69,29.25,27.56,-202.88,-64.69,0.4188938891294659,1.1465980259420319,5.973591054907213,-161.50259041794217,-18.228077382152183,0.08021409786913415,-0.0281,-0.987,-0.1584,0.0007
1108051.0,166.925608,1.0,-2.07,0.04,-1.61,7.06,-27.37,29.69,27.12,-120.31,-89.12,-1.7468104901569275,0.6534685157679688,7.962678196967826,-157.6856148741907,-21.12406961438943,6.305717608092856,-0.0283,-0.9811,-0.1833,0.055
1108086.0,166.959513,1.0,-2.04,-2.69,-2.15,13.5,-25.87,30.06,31.44,-53.88,-78.87,-2.628448570999032,-1.8225890137283098,7.400485542476366,-154.84376268843482,-23.471705166170008,8.648411389524659,-0.0226,-0.976,-0.2034,0.0754
1108121.0,166.961507,1.0,-0.73,-5.85,-5.18,13.5,-25.87,30.06,29.87,13.88,-34.69,-2.369745260377907,-5.27312271269549,4.499458251271541,-152.91671705681662,-25.359334591166075,9.269102460835224,-0.0114,-0.9722,-0.2195,0.0808
1108156.0,167.000577,1.0,0.98,-9.01,-9.07,18.0,-24.37,28.06,15.69,-4.94,36.81,-1.4104818077008763,-9.033470099390742,0.8170805423697711,-153.76161968319718,-24.38536915234885,9.41856810856577,-0.0063,-0.9739,-0.2112,0.0821
1108193.0,167.047451,1.0,1.27,-9.71,-9.96,18.0,-22.87,28.87,-61.06,-17.56,147.06,-0.7437919699546364,-10.199648501943955,0.2928419326579057,-156.70033876277134,-21.007514103633177,9.76355056625781,-0.0197,-0.9794,-0.1823,0.0851
1108228.0,167.072396,1.0,1.38,-7.02,-10.37,18.0,-22.87,28.87,-134.81,-13.38,236.06,1.184976372540012,-8.621100040380435,0.6965366587580597,-162.22975145954382,-12.999629346780692,9.292096140833056,-0.0663,-0.988,-0.1132,0.081
1108262.0,167.111574,1.0,0.54,1.48,-10.5,15.69,-24.37,28.06,-99.0,-38.38,225.25,2.286198726620042,-0.827632020322115,-0.5287416530211129,-163.6997403388332,-6.454917855397503,9.315090195791667,-0.102,-0.9899,-0.0563,0.0812
1108301.0,167.171704,1.0,0.16,3.62,-8.58,11.19,-29.56,26.19,-54.88,-63.75,225.44,1.6913185259445958,1.3153340362122505,0.7426697475403667,-161.50259041794217,2.269061145645111,10.465291924669184,-0.131,-0.987,0.0198,0.0912
