TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1172054.0,231.010622,1.0,-2.7,0.57,-9.47,17.56,-26.25,26.25,-0.37,5.25,1.56,0.14197054455506164,-0.04912204195110034,-0.056069269525687915,-154.0152535944028,-19.401234664747335,15.945255673236543,-0.0535,-0.9744,-0.1685,0.1387
1172088.0,231.062396,1.0,-2.52,0.35,-10.04,17.56,-26.25,26.25,-0.31,1.56,0.75,0.36061868811947373,-0.39633935580070057,-0.5368198857212558,-154.0662728728033,-19.36635943259494,15.875832638109523,-0.0535,-0.9745,-0.1682,0.1381
1172125.0,231.070577,1.0,-2.69,0.44,-9.55,16.75,-25.87,25.37,-0.69,-3.13,1.69,0.1299414259825289,-0.19854622769682112,-0.12188940019784766,-154.0662728728033,-19.319861939553064,15.979969398223387,-0.054,-0.9745,-0.1678,0.139
1172160.0,231.110471,1.0,-2.71,0.54,-9.44,18.25,-25.19,25.75,0.31,1.0,2.19,0.12096097477781464,-0.08756095976512154,-0.028338638575329256,-154.0662728728033,-19.26174458805701,16.003112701402525,-0.0542,-0.9745,-0.1673,0.1392
1172195.0,231.165573,1.0,-2.52,0.39,-9.7,18.25,-25.19,25.75,-0.94,4.19,0.63,0.2796706128781985,-0.3204259594623633,-0.21390944310470772,-154.21992611229572,-19.23849904872923,15.841123321226055,-0.0541,-0.9748,-0.1671,0.1378
1172230.0,231.181694,1.0,-2.68,0.47,-9.35,17.56,-24.0,26.56,0.81,-2.88,0.5,0.07067929006724971,-0.13854728569367533,0.07003821316252079,-154.27134430279997,-19.215254308568724,15.817984589415362,-0.0539,-0.9749,-0.1669,0.1376
1172264.0,231.227744,1.0,-2.59,0.69,-9.65,16.75,-26.25,27.06,-1.56,0.5,0.69,0.2995654719697869,-0.008920732887421068,-0.20418817412549473,-154.27134430279997,-19.215254308568724,15.806415466969177,-0.0541,-0.9749,-0.1669,0.1375
1172299.0,231.25587,1.0,-2.65,0.29,-9.05,16.75,-26.25,27.06,1.12,-0.44,-1.94,-0.039940352845569516,-0.27074021101316065,0.37615666686227023,-154.21992611229572,-19.23849904872923,15.806415466969177,-0.0539,-0.9748,-0.1671,0.1375
1172334.0,231.311868,1.0,-2.63,0.38,-9.15,17.19,-25.5,27.06,-1.94,7.88,0.5,0.005374526325421014,-0.2034591924303061,0.28077075073999147,-154.3228637180319,-19.28499092759115,15.632898017228824,-0.054,-0.975,-0.1675,0.136
1172369.0,231.319849,1.0,-2.38,0.38,-9.88,16.5,-25.87,26.19,-0.31,-0.63,2.94,0.39879443240794454,-0.39644765262250575,-0.3475113272298618,-154.42620867150097,-19.215254308568724,15.563501157916,-0.0543,-0.9752,-0.1669,0.1354
1172406.0,231.359,1.0,-2.68,0.49,-9.19,17.56,-25.87,27.5,-2.44,-1.69,2.31,0.012801601810272123,-0.11250324709516621,0.22198625324372045,-154.3228637180319,-19.13390399645449,15.690733139619654,-0.0549,-0.975,-0.1662,0.1365
1172439.0,231.41613,1.0,-2.65,0.83,-9.6,17.56,-25.87,27.5,-1.19,2.44,1.44,0.23659180408030367,0.12718837370348815,-0.18330732902982483,-154.42620867150097,-19.075802591967935,15.586632804931575,-0.0554,-0.9752,-0.1657,0.1356
1172475.0,231.440066,1.0,-2.66,0.52,-9.29,16.75,-25.5,26.25,-1.56,5.81,-1.81,0.02672414650207733,-0.10279869173408634,0.12993473866408145,-154.47803544959177,-19.13390399645449,15.459416628401117,-0.0551,-0.9753,-0.1662,0.1345
