TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1347987.0,407.249837,1.0,3.88,1.15,-8.1,0.19,-28.69,30.0,5.25,-17.75,-2.0,-0.5596690479667299,-0.5260769619694359,0.7846261922929365,-134.05726525899885,-34.699045966979874,-28.90768703373302,-0.0323,-0.9207,-0.2982,-0.2496
1348022.0,407.296125,1.0,3.34,1.46,-8.11,0.19,-27.87,30.5,1.06,-7.81,-0.56,-0.7319272568521538,0.01518364106146508,0.9453096980072466,-134.26323636741046,-34.71105152226627,-28.600116751102288,-0.0326,-0.9214,-0.2983,-0.247
1348059.0,407.325265,1.0,3.06,1.73,-8.14,0.56,-28.25,29.69,-0.12,-2.0,-1.0,-0.7847240249080016,0.3858889971297542,0.9833060824919464,-134.3222466489682,-34.723057470664465,-28.493699242791056,-0.033,-0.9216,-0.2984,-0.2461
1348093.0,407.367227,1.0,3.33,1.92,-8.41,0.56,-28.25,29.69,4.81,8.81,-3.81,-0.6355807441142829,0.43393226764612136,0.5919259181402143,-134.14543141113884,-34.831128724414064,-28.623768504186632,-0.0319,-0.921,-0.2993,-0.2472
1348130.0,407.402396,1.0,3.98,1.78,-8.52,0.56,-27.56,29.69,2.38,11.94,-3.5,-0.35462548791877846,0.007129936680434074,0.24247779706882788,-133.7645266360233,-35.0473672974776,-28.97869493391196,-0.0298,-0.9197,-0.3011,-0.2502
1348165.0,407.438473,1.0,4.68,2.35,-8.61,1.0,-28.25,30.06,1.75,12.5,1.75,0.34848057794780996,0.11977650963346909,-0.2641600406339304,-133.53159111803808,-35.07140174532199,-29.298371692491795,-0.0286,-0.9189,-0.3013,-0.2529
1348198.0,407.52075,1.0,4.97,2.74,-8.61,1.0,-28.25,30.06,4.19,16.25,-3.75,0.6929951390158271,0.3438571567422415,-0.4764487544153031,-133.21309386328863,-35.10745640434998,-29.78425385642316,-0.026,-0.9178,-0.3016,-0.257
1348233.0,407.524989,1.0,4.77,2.0,-8.25,-0.06,-29.06,30.5,5.69,25.0,-16.87,0.2490461243853166,-0.14393615410642993,0.073579651365419,-132.58215838722379,-35.444140239914894,-30.330043367293108,-0.0242,-0.9156,-0.3044,-0.2616
1348270.0,407.546197,1.0,4.63,1.29,-8.1,0.19,-28.69,30.5,8.88,27.19,-11.19,-0.293992476155184,-0.5760479718707019,0.410228491890237,-131.45480922787246,-36.118460981567104,-31.233335490801053,-0.0204,-0.9116,-0.31,-0.2692
1348304.0,407.576122,1.0,4.37,1.38,-7.78,0.19,-28.69,30.5,1.88,26.94,-4.5,-0.3479048991960205,-0.3247351328522059,0.7898207749005852,-130.81759051018483,-36.34754136011127,-31.92402832569447,-0.0176,-0.9093,-0.3119,-0.275
1348339.0,407.64593,1.0,3.73,1.65,-7.62,-0.06,-27.56,29.56,-8.06,33.81,-8.5,-0.6991491993971639,0.30213334011904935,1.1973697837582957,-129.86249210271768,-36.52850049317351,-33.1057424006888,-0.0167,-0.9058,-0.3134,-0.2849
1348374.0,407.651914,1.0,3.46,1.91,-6.78,-0.5,-27.19,30.5,-8.38,44.5,-6.81,-0.437335767979957,0.5978494653172606,1.9938775444074741,-128.8444329155711,-36.69748080490138,-34.3150747433964,-0.0159,-0.902,-0.3148,-0.295
1348411.0,407.681635,1.0,4.16,1.5,-6.97,-1.25,-28.25,30.5,-2.56,78.56,-15.44,-0.6438030245474031,0.05352572123664179,1.5774852390567773,-126.78612125881503,-37.09611957275582,-36.73370161256758,-0.0115,-0.8941,-0.3181,-0.3151
1348444.0,407.773644,1.0,4.77,0.55,-7.89,-1.25,-28.25,30.5,-8.0,92.44,-18.12,-1.707160184078709,-0.6972648417413755,0.7564054814045083,-124.57692406667047,-37.54363247388456,-39.23022039326242,-0.007,-0.8853,-0.3218,-0.3357
1348483.0,407.784618,1.0,7.77,0.31,-7.09,-3.06,-27.87,29.56,0.56,109.19,4.94,-0.27461767979964424,-2.442974551462668,-0.4253371222967903,-121.54785831198569,-37.810002605741936,-42.864402911297574,0.0015,-0.8727,-0.324,-0.3654
1348517.0,407.79263,1.0,12.82,-0.4,-10.25,-5.0,-27.56,29.56,10.25,187.19,10.19,-1.0792035587072597,-4.295793630897568,-6.003358752673524,-118.25247900079262,-37.4710226508146,-47.143854289929536,0.0164,-0.8583,-0.3212,-0.3999
1348552.0,407.840099,1.0,18.71,-3.02,-16.15,-5.0,-27.56,29.56,-12.5,134.88,67.81,-5.862760246305675,-5.717254716076557,-13.708197241813805,-113.50289343995638,-36.178730774621194,-53.4488757843294,0.0437,-0.8363,-0.3105,-0.4497
