TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1388185.0,447.528076,1.0,6.72,3.2,-6.6,-7.69,-31.75,23.0,-2.5,-6.06,-2.81,-0.3867905666590916,-0.1050901826766098,-0.1330556853333711,-118.4313612719377,-32.81893868950095,-49.92184077154633,-0.0635,-0.8591,-0.2825,-0.422
1388220.0,447.571412,1.0,6.87,3.09,-6.88,-8.38,-31.75,24.25,-4.75,-23.94,2.25,-0.49409631318932323,-0.30030895822185993,-0.3788830426494805,-118.92572331092977,-32.71144187962135,-49.37892761089463,-0.0659,-0.8613,-0.2816,-0.4177
1388255.0,447.618822,1.0,6.26,3.54,-6.06,-8.38,-31.75,24.25,-5.94,-26.75,4.38,0.11675681340121447,0.24787933317887467,0.40623917479096683,-119.62852711601612,-32.48460118565665,-48.66106748213057,-0.0687,-0.8644,-0.2797,-0.412
1388290.0,447.633905,1.0,6.23,3.75,-6.0,-7.69,-32.19,23.75,-2.88,-7.31,0.75,0.28053260775598465,0.400335379168517,0.39195759715583556,-119.99417813762395,-32.329469794230796,-48.30917991037589,-0.0706,-0.866,-0.2784,-0.4092
1388324.0,447.677739,1.0,6.67,3.59,-6.46,-8.0,-32.56,24.25,3.13,6.44,-2.19,0.07044134627199172,0.08609585070275227,-0.14805871101847679,-119.83395800048696,-32.412994497933816,-48.459929302193885,-0.0701,-0.8653,-0.2791,-0.4104
1388361.0,447.701147,1.0,6.54,3.32,-6.4,-8.0,-32.56,23.5,3.31,6.25,-4.69,-0.08748078969346373,-0.06360949070968713,0.07308431500427837,-119.58296175366009,-32.62785371061371,-48.62334193420396,-0.0689,-0.8642,-0.2809,-0.4117
1388394.0,447.742221,1.0,6.48,3.01,-6.44,-8.0,-32.56,23.5,1.5,4.06,-2.69,-0.29651000824789575,-0.283342288385643,0.1964523452885576,-119.4237274219872,-32.771158669290664,-48.72395587995984,-0.0685,-0.8635,-0.2821,-0.4125
1388431.0,447.774207,1.0,6.53,3.26,-6.59,-7.25,-32.19,22.56,-2.0,2.31,0.19,-0.29595457930799096,-0.08030015917533562,-0.022010273476901432,-119.31022017941788,-32.75921457984873,-48.8371944099726,-0.0685,-0.863,-0.282,-0.4134
1388466.0,447.816712,1.0,6.56,3.37,-6.39,-8.0,-32.56,22.56,-3.25,-2.63,0.19,-0.08080575242028543,-0.03335204925827451,0.04883476957131094,-119.35560000731118,-32.7233845063738,-48.81202590600522,-0.0689,-0.8632,-0.2817,-0.4132
1388500.0,447.840908,1.0,6.58,3.5,-6.47,-8.0,-32.56,22.56,-2.5,-5.25,0.88,-0.06087648812663726,0.052555502877277505,-0.06253598326684262,-119.4919242535424,-32.65173422155782,-48.686220967347204,-0.0701,-0.8638,-0.2811,-0.4122
1388535.0,447.876966,1.0,6.66,3.58,-6.71,-7.25,-32.88,23.0,-2.06,-6.38,0.37,-0.14748469899382943,0.08259481586322337,-0.30114532637831104,-119.62852711601612,-32.592035674709635,-48.53533746105607,-0.0711,-0.8644,-0.2806,-0.411
1388570.0,447.92467,1.0,6.33,3.37,-6.31,-7.25,-32.88,23.5,0.63,-8.63,-0.88,-0.0554382903177979,0.018443172315902978,0.2547660787328674,-119.92546492630352,-32.56815880254804,-48.20872972254528,-0.072,-0.8657,-0.2804,-0.4084
1388605.0,447.946568,1.0,6.29,3.21,-6.28,-7.25,-32.88,23.5,-0.06,1.5,-0.19,-0.11412933802683112,-0.10431617628726114,0.3576980671364218,-119.94836140851372,-32.58009705689327,-48.145968361179214,-0.0723,-0.8658,-0.2805,-0.4079
1388640.0,447.992636,1.0,6.62,3.49,-6.74,-6.5,-32.88,22.56,-2.44,2.19,2.13,-0.1894155883658568,0.008463615279458825,-0.2629155369087517,-119.92546492630352,-32.48460118565665,-48.27150646713052,-0.0723,-0.8657,-0.2797,-0.4089
1388675.0,448.021617,1.0,6.57,3.43,-6.7,-7.69,-32.88,23.06,0.06,0.19,-1.94,-0.21094536918572215,-0.026044675254207728,-0.182074829832386,-119.92546492630352,-32.48460118565665,-48.25894988610852,-0.0727,-0.8657,-0.2797,-0.4088
1388711.0,448.063227,1.0,6.6,3.17,-6.84,-7.25,-32.56,24.25,-0.31,-7.5,-1.06,-0.3803818812112927,-0.26978224681823937,-0.20219744432383813,-120.06296278033025,-32.52040941662392,-48.04558210494043,-0.0735,-0.8663,-0.28,-0.4071
1388744.0,448.111658,1.0,6.25,3.41,-6.57,-7.25,-32.56,24.25,-5.56,-29.0,3.31,-0.16659883564049638,0.0419103487999809,0.12026840775273051,-120.68528037991203,-32.31753913524463,-47.4190508458531,-0.0759,-0.869,-0.2783,-0.4021
1388781.0,448.125618,1.0,5.67,3.33,-5.88,-6.5,-32.56,22.56,-4.5,-7.38,-0.12,0.07971212047888399,0.16997922165388335,0.9875257213624256,-121.22012218744959,-32.15054762531955,-46.8189931753183,-0.079,-0.8713,-0.2769,-0.3973
1388818.0,448.161735,1.0,6.13,3.21,-6.66,-6.19,-32.56,23.87,-5.5,-0.31,0.94,-0.31049637551773346,-0.13006842735140312,0.2085629924241328,-121.22012218744959,-32.07900131942766,-46.84396830154976,-0.0801,-0.8713,-0.2763,-0.3975
1388851.0,448.194055,1.0,6.11,3.54,-6.52,-6.19,-32.56,23.87,-5.25,5.06,4.5,-0.10394183657739742,0.14325861083354385,0.19713528462383856,-121.22012218744959,-31.888273849894755,-46.95638557950454,-0.0812,-0.8713,-0.2747,-0.3984
