TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
295329.0,251.765804,1.0,4.55,0.78,-8.71,-9.88,-28.37,27.56,-0.81,-2.25,0.12,0.05244098565171962,-0.09382075320838329,-0.05050210440070835,-150.52434170035056,-10.05110359058591,-27.47807034873948,-0.0238,-0.9671,-0.0876,-0.2375
295366.0,251.789095,1.0,4.7,0.75,-8.94,-9.5,-28.37,28.37,-0.31,2.19,0.19,0.06158683710998014,-0.1511147283335317,-0.32002128924285067,-150.479330837061,-10.062607019364435,-27.537057504249983,-0.0238,-0.967,-0.0877,-0.238
295399.0,251.826932,1.0,4.58,0.89,-8.82,-9.5,-28.37,28.37,-1.19,-1.31,0.44,0.036230169725058214,0.0038047160796375323,-0.17130434440032438,-150.479330837061,-10.039600263356236,-27.525259478424015,-0.0241,-0.967,-0.0875,-0.2379
295436.0,251.863031,1.0,4.62,0.83,-8.96,-10.25,-28.37,28.5,0.81,1.44,0.0,-0.00708831812777877,-0.06130148157400464,-0.30824455625232794,-150.479330837061,-10.05110359058591,-27.548855827732996,-0.024,-0.967,-0.0876,-0.2381
295471.0,251.890466,1.0,4.6,0.81,-8.76,-9.5,-28.75,27.56,0.31,-2.38,0.25,0.06927258975769846,-0.07484502151039737,-0.1202477798234316,-150.479330837061,-10.05110359058591,-27.525259478424015,-0.0239,-0.967,-0.0876,-0.2379
295505.0,251.931737,1.0,4.53,0.72,-8.78,-9.5,-28.75,27.56,-0.69,0.12,0.06,-0.009183712714837089,-0.15318540011857973,-0.09810390368742539,-150.52434170035056,-10.05110359058591,-27.489867185412752,-0.024,-0.9671,-0.0876,-0.2376
295538.0,251.960739,1.0,4.53,0.92,-8.81,-10.25,-28.37,28.5,-1.25,-0.75,0.56,0.007749402697700969,0.036149336744895066,-0.14232146303127813,-150.52434170035056,-10.039600263356236,-27.489867185412752,-0.0244,-0.9671,-0.0875,-0.2376
295575.0,251.999152,1.0,4.66,0.81,-8.9,-10.25,-27.25,29.25,-0.44,0.5,-0.69,0.05956282248223488,-0.09592390636959705,-0.2714922332870806,-150.479330837061,-10.039600263356236,-27.501664319152933,-0.0244,-0.967,-0.0875,-0.2377
295610.0,252.034158,1.0,4.6,0.75,-8.77,-10.25,-27.25,29.25,-0.06,-2.13,0.25,0.0646977459778082,-0.1461782714779347,-0.12359904595111892,-150.56941987552764,-10.05110359058591,-27.466273808985672,-0.0245,-0.9672,-0.0876,-0.2374
295645.0,252.064369,1.0,4.52,0.71,-8.78,-9.19,-28.06,28.87,-1.81,-0.75,-0.56,-0.006464376180445708,-0.17718613489427082,-0.0924137580248896,-150.61456567249238,-10.039600263356236,-27.407295558849803,-0.0248,-0.9673,-0.0875,-0.2369
