TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
329439.0,285.927614,1.0,2.12,1.01,-9.47,-1.75,-28.69,28.75,1.75,-0.12,-0.69,-0.03894659923168242,-0.09363220465669743,0.05036401748290942,-162.00854277151578,-10.810553401892456,-13.253393932396618,-0.0465,-0.9877,-0.0942,-0.1154
329476.0,285.972827,1.0,2.27,0.98,-9.62,-2.88,-29.06,29.06,-0.19,2.5,-0.31,0.05178294996556798,-0.15628794126348872,-0.12464360181786382,-162.00854277151578,-10.72998370230972,-13.322613734970497,-0.0463,-0.9877,-0.0935,-0.116
329510.0,285.998059,1.0,2.22,0.93,-9.54,-2.5,-28.25,28.25,1.0,4.38,-0.75,-0.00097889486871372,-0.18402736553335247,-0.030576894328488535,-162.00854277151578,-10.706964767003903,-13.414914406298774,-0.0461,-0.9877,-0.0933,-0.1168
329545.0,286.04872,1.0,2.3,0.98,-9.79,-2.5,-28.25,28.25,-2.88,-7.44,1.12,0.029729645268698812,-0.17458319019316906,-0.29598019504792816,-162.00854277151578,-10.706964767003903,-13.380300633180664,-0.0464,-0.9877,-0.0933,-0.1165
329580.0,286.070161,1.0,2.21,0.91,-9.63,-1.75,-28.69,28.25,-0.44,3.25,0.12,-0.02477144802208331,-0.21834024243996536,-0.11306843924484333,-162.00854277151578,-10.68394626499923,-13.345688086437221,-0.0466,-0.9877,-0.0931,-0.1162
329617.0,286.115438,1.0,2.4,1.15,-9.79,-2.5,-28.25,28.75,-1.63,2.31,0.37,0.13028879387897851,-0.04312551412815421,-0.3376964560424387,-161.86255690793462,-10.672437176186932,-13.507223821905175,-0.0473,-0.9875,-0.093,-0.1176
329652.0,286.133346,1.0,2.32,0.94,-9.66,-2.5,-28.25,28.75,1.63,4.5,-0.25,0.033928552593297745,-0.21430535336862397,-0.17004895651044016,-161.86255690793462,-10.672437176186932,-13.599542044193303,-0.0469,-0.9875,-0.093,-0.1184
329684.0,286.179482,1.0,2.6,1.18,-10.22,-1.75,-29.06,28.75,-2.0,-7.56,0.06,0.21595864088772698,-0.08652055527178429,-0.8021518201369666,-161.86255690793462,-10.64941932234672,-13.541842119876778,-0.0475,-0.9875,-0.0928,-0.1179
329719.0,286.20249,1.0,2.06,1.0,-9.33,-1.75,-29.06,28.69,1.75,-2.69,-0.63,-0.08445328919666362,-0.09476064237511098,0.20059003440533907,-162.00854277151578,-10.672437176186932,-13.357225465957494,-0.0474,-0.9877,-0.093,-0.1163
329756.0,286.246497,1.0,2.35,1.25,-9.89,-1.0,-28.25,30.0,-1.56,0.12,-1.94,0.09280668241470558,0.04356149209937116,-0.4347653961308122,-161.86255690793462,-10.856595634361932,-13.414914406298774,-0.0477,-0.9875,-0.0946,-0.1168
329791.0,286.281676,1.0,2.26,1.47,-9.85,-1.0,-28.25,30.0,3.38,-9.63,-3.44,0.09529866163064837,0.27812190690845107,-0.40141379143415357,-162.00854277151578,-10.937173775974522,-13.195714475135587,-0.0475,-0.9877,-0.0953,-0.1149
329828.0,286.314702,1.0,2.14,2.3,-10.2,-1.0,-28.69,28.75,8.44,-8.13,-13.44,0.12793507809511828,1.1072739378100613,-0.8078295935759101,-162.00854277151578,-11.37469368630907,-12.826644816909523,-0.0458,-0.9877,-0.0991,-0.1117
329863.0,286.345004,1.0,1.86,2.97,-9.95,-1.75,-28.25,29.56,43.44,-8.75,-33.44,0.1558846057265827,1.9405923969116108,-0.5612235109349335,-161.9354035928643,-12.192616183384212,-12.457708722341447,-0.0395,-0.9876,-0.1062,-0.1085
329895.0,286.402233,1.0,2.01,0.94,-9.86,-1.75,-28.25,29.56,47.56,-19.25,-37.94,0.09664404229773904,0.22564623934651343,-0.2969653778613903,-161.5740259283265,-13.957359493385505,-11.674144907935558,-0.0225,-0.9871,-0.1215,-0.1017
329932.0,286.412801,1.0,0.81,2.3,-8.99,-1.0,-28.0,30.0,54.81,-26.19,-44.69,-0.2284730906647497,2.074149757552842,0.7285498226454017,-161.00999937311445,-15.817984589415362,-10.327214181692755,-0.0079,-0.9863,-0.1376,-0.09
329967.0,286.456549,1.0,2.03,-1.33,-9.76,1.19,-26.75,31.25,89.69,1.75,-58.13,-0.12227396480968344,-1.3799755076577533,-0.1546810694803451,-159.5382246114638,-17.833592505981912,-9.878564278366849,0.0125,-0.9841,-0.155,-0.0861
330002.0,286.498815,1.0,1.09,-0.28,-8.91,1.19,-26.75,31.25,58.06,-8.63,-41.56,-0.42776989398088366,0.1129728251506214,0.8367642672506079,-158.2857866564021,-19.319861939553064,-9.384074619875278,0.0278,-0.9821,-0.1678,-0.0818
330037.0,286.525742,1.0,1.56,-1.06,-9.26,2.38,-25.0,32.88,57.06,1.25,-43.38,-0.21719969599080013,-0.4259827032993028,0.36863309873565697,-156.30638493987288,-21.205671619155694,-8.993207204284674,0.0464,-0.9787,-0.184,-0.0784
330072.0,286.575026,1.0,2.34,-2.67,-9.08,3.06,-22.25,34.06,58.31,30.5,-40.5,-0.1337982237854225,-1.9468147432101455,0.25453450703554914,-154.5820007553698,-22.53618284114898,-9.303593121383253,0.061,-0.9755,-0.1954,-0.0811
330108.0,286.598367,1.0,2.81,-2.34,-9.39,4.19,-21.19,33.69,21.87,31.87,-19.12,0.20434767701587497,-1.4992918485045759,-0.15598850492960814,-152.81901206638815,-23.541932535122793,-10.373238415502241,0.074,-0.972,-0.204,-0.0904
330141.0,286.641676,1.0,3.26,-3.22,-9.7,4.19,-21.19,33.69,9.88,21.0,-7.38,0.059724633095487034,-2.280149432332452,-0.6758760092420282,-152.0020244138963,-23.869779338261072,-11.19045487105573,0.0792,-0.9703,-0.2068,-0.0975
330178.0,286.693539,1.0,3.27,-3.85,-9.31,3.06,-19.69,35.38,-39.56,5.94,31.44,-0.1589600657714869,-3.001995665344758,-0.3498382574018297,-152.62462859250314,-23.15579220715163,-11.535926836248434,0.0744,-0.9716,-0.2007,-0.1005
330215.0,286.697533,1.0,3.23,-2.51,-9.37,2.69,-20.75,35.75,-92.25,-8.0,56.38,0.31400963733710463,-2.0601631241239806,-0.20269692423332764,-154.47803544959177,-21.532188889890495,-11.789339646395064,0.0568,-0.9753,-0.1868,-0.1027
330248.0,286.746399,1.0,2.9,0.24,-9.99,2.69,-20.75,35.75,-80.44,4.63,52.31,0.7608642128981233,0.1860249465411903,-0.5690032502197333,-157.21671751944734,-18.88991127772655,-12.215665087929846,0.0269,-0.9803,-0.1641,-0.1064
330283.0,286.772987,1.0,3.75,-1.99,-10.78,2.38,-22.0,33.19,-44.31,-13.44,52.38,0.7271268450707238,-2.398415842177222,-1.5048436237072949,-159.28174778831308,-16.67455837781138,-12.146519858742266,0.0112,-0.9837,-0.145,-0.1058
330319.0,286.811419,1.0,2.07,-0.75,-9.03,1.19,-24.5,32.38,-118.12,-58.44,93.62,0.048970727160142946,-1.237942508374088,0.5950594634074271,-162.15571301144445,-13.96890425008599,-11.040782220655421,-0.0123,-0.9879,-0.1216,-0.0962
330356.0,286.839306,1.0,1.77,1.55,-9.34,1.19,-24.5,32.38,-113.25,-35.06,90.31,0.266014149777979,0.4177522220336414,0.1876209661991446,-164.70021747025422,-9.92457255015729,-10.05110359058591,-0.0499,-0.9911,-0.0865,-0.0876
330389.0,286.876714,1.0,1.81,2.78,-9.94,-0.25,-26.37,29.87,-69.87,-33.69,67.19,0.375320997184055,1.2181393574258554,-0.5944735284926246,-165.49550626988113,-7.545576216405149,-9.51055493545105,-0.0691,-0.992,-0.0658,-0.0829
330426.0,286.938361,1.0,1.42,2.84,-9.61,-1.0,-29.06,27.37,-45.0,-35.63,43.81,0.15053549448184178,1.0726486585401527,-0.2561957168056139,-166.05072408085044,-5.273072468222583,-8.395611151395808,-0.0855,-0.9926,-0.046,-0.0732
