TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1257689.0,1031.087233,1.0,0.61,3.1,-9.3,-0.56,-30.69,28.87,1.19,-0.69,0.5,-0.05429115442062965,-0.042264040148195736,-0.015130196148867014,-159.8633643903993,-6.305717608092856,-4.928956774809122,-0.1602,-0.9846,-0.055,-0.043,0
1257689.0,1031.087233,1.0,0.61,3.1,-9.3,-0.56,-30.69,28.87,1.19,-0.69,0.5,-0.05429115442062965,-0.042264040148195736,-0.015130196148867014,-159.8633643903993,-6.305717608092856,-4.928956774809122,-0.1602,-0.9846,-0.055,-0.043,0
1257723.0,1031.090849,1.0,0.46,3.07,-9.18,-1.25,-31.37,28.87,-0.94,0.63,-0.75,-0.19297469770064846,-0.013076146149016754,0.11791996038958352,-159.8633643903993,-6.317194167065647,-4.928956774809122,-0.1601,-0.9846,-0.0551,-0.043,0
1257723.0,1031.090849,1.0,0.46,3.07,-9.18,-1.25,-31.37,28.87,-0.94,0.63,-0.75,-0.19297469770064846,-0.013076146149016754,0.11791996038958352,-159.8633643903993,-6.317194167065647,-4.928956774809122,-0.1601,-0.9846,-0.0551,-0.043,0
1257760.0,1031.163306,1.0,0.39,3.08,-9.26,-1.25,-31.37,28.87,0.56,-2.0,-0.94,-0.26326541257002634,-0.028075596526895508,0.043658497216441106,-159.8633643903993,-6.351624225020216,-4.89454770282183,-0.1605,-0.9846,-0.0554,-0.0427,0
1257760.0,1031.163306,1.0,0.39,3.08,-9.26,-1.25,-31.37,28.87,0.56,-2.0,-0.94,-0.26326541257002634,-0.028075596526895508,0.043658497216441106,-159.8633643903993,-6.351624225020216,-4.89454770282183,-0.1605,-0.9846,-0.0554,-0.0427,0
1257793.0,1031.16721,1.0,0.24,3.08,-9.31,-1.25,-30.25,28.06,-1.06,-1.56,-2.56,-0.3916663000696193,-0.02864263675181422,0.00532982827059314,-159.8633643903993,-6.431963264535677,-4.75691579950709,-0.1606,-0.9846,-0.0561,-0.0415,0
1257793.0,1031.16721,1.0,0.24,3.08,-9.31,-1.25,-30.25,28.06,-1.06,-1.56,-2.56,-0.3916663000696193,-0.02864263675181422,0.00532982827059314,-159.8633643903993,-6.431963264535677,-4.75691579950709,-0.1606,-0.9846,-0.0561,-0.0415,0
1257830.0,1031.232799,1.0,0.03,3.31,-9.19,-2.06,-29.87,30.5,-9.94,3.0,-4.81,-0.5680510809580867,0.22407121336941604,0.05779314082099596,-159.66766312617878,-6.523783187455053,-4.779853967883568,-0.162,-0.9843,-0.0569,-0.0417,0
1257830.0,1031.232799,1.0,0.03,3.31,-9.19,-2.06,-29.87,30.5,-9.94,3.0,-4.81,-0.5680510809580867,0.22407121336941604,0.05779314082099596,-159.66766312617878,-6.523783187455053,-4.779853967883568,-0.162,-0.9843,-0.0569,-0.0417,0
