TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
286013.0,51.193357,1.0,2.05,-0.9,-9.2,-4.56,-13.38,38.06,0.31,-3.13,1.56,-0.056848766335628895,-0.11750341709257689,0.33904939769649367,-160.73412214644492,-13.634163660769715,-12.03128766143814,0.054,-0.9859,-0.1187,-0.1048,0
286013.0,51.193357,1.0,2.05,-0.9,-9.2,-4.56,-13.38,38.06,0.31,-3.13,1.56,-0.056848766335628895,-0.11750341709257689,0.33904939769649367,-160.73412214644492,-13.634163660769715,-12.03128766143814,0.054,-0.9859,-0.1187,-0.1048,0
286050.0,51.24837,1.0,2.12,-0.97,-9.32,-4.19,-13.0,38.56,-3.44,0.5,-0.94,-0.02981702383286767,-0.19475584691416403,0.20150132310891777,-160.80272323312005,-13.634163660769715,-12.019765115233206,0.0535,-0.986,-0.1187,-0.1047,0
286050.0,51.24837,1.0,2.12,-0.97,-9.32,-4.19,-13.0,38.56,-3.44,0.5,-0.94,-0.02981702383286767,-0.19475584691416403,0.20150132310891777,-160.80272323312005,-13.634163660769715,-12.019765115233206,0.0535,-0.986,-0.1187,-0.1047,0
286085.0,51.261542,1.0,2.34,-0.79,-9.4,-4.19,-13.0,38.56,-5.81,-0.5,0.06,0.1990824136018444,-0.08361107659844841,0.09001090098718656,-160.80272323312005,-13.634163660769715,-12.0543331202622,0.0522,-0.986,-0.1187,-0.105,0
286085.0,51.261542,1.0,2.34,-0.79,-9.4,-4.19,-13.0,38.56,-5.81,-0.5,0.06,0.1990824136018444,-0.08361107659844841,0.09001090098718656,-160.80272323312005,-13.634163660769715,-12.0543331202622,0.0522,-0.986,-0.1187,-0.105,0
286117.0,51.268749,1.0,2.18,-0.83,-9.58,-4.19,-12.69,37.69,-2.81,-1.94,-0.63,0.0012950592505041256,-0.09090232246022989,-0.05283452458813187,-160.8715680310398,-13.622622983127282,-12.042810329741007,0.0508,-0.9861,-0.1186,-0.1049,0
286117.0,51.268749,1.0,2.18,-0.83,-9.58,-4.19,-12.69,37.69,-2.81,-1.94,-0.63,0.0012950592505041256,-0.09090232246022989,-0.05283452458813187,-160.8715680310398,-13.622622983127282,-12.042810329741007,0.0508,-0.9861,-0.1186,-0.1049,0
286152.0,51.271562,1.0,1.95,-0.93,-9.5,-4.19,-13.0,38.88,-4.25,0.5,-0.75,-0.22890457401910264,-0.1694988326732133,0.06825830312748415,-160.8715680310398,-13.634163660769715,-12.042810329741007,0.0496,-0.9861,-0.1187,-0.1049,0
286152.0,51.271562,1.0,1.95,-0.93,-9.5,-4.19,-13.0,38.88,-4.25,0.5,-0.75,-0.22890457401910264,-0.1694988326732133,0.06825830312748415,-160.8715680310398,-13.634163660769715,-12.042810329741007,0.0496,-0.9861,-0.1187,-0.1049,0
286189.0,51.304953,1.0,2.23,-0.65,-9.63,-4.19,-13.38,37.88,-2.06,1.69,1.69,0.06842822189235673,0.03527251645759505,-0.09922570223003468,-160.94065918134044,-13.576461659580188,-12.100425506938457,0.0485,-0.9862,-0.1182,-0.1054,0
286189.0,51.304953,1.0,2.23,-0.65,-9.63,-4.19,-13.38,37.88,-2.06,1.69,1.69,0.06842822189235673,0.03527251645759505,-0.09922570223003468,-160.94065918134044,-13.576461659580188,-12.100425506938457,0.0485,-0.9862,-0.1182,-0.1054,0
286224.0,51.320627,1.0,2.31,-0.82,-9.7,-4.19,-13.38,37.88,2.38,0.94,1.19,0.0853973890085753,-0.12489017021869903,-0.19712977223275097,-160.94065918134044,-13.51876311679545,-12.134996086138983,0.0491,-0.9862,-0.1177,-0.1057,0
286224.0,51.320627,1.0,2.31,-0.82,-9.7,-4.19,-13.38,37.88,2.38,0.94,1.19,0.0853973890085753,-0.12489017021869903,-0.19712977223275097,-160.94065918134044,-13.51876311679545,-12.134996086138983,0.0491,-0.9862,-0.1177,-0.1057,0
286259.0,51.32336,1.0,2.19,-0.9,-9.68,-4.56,-14.19,38.69,1.75,-0.69,0.19,-0.03897882466292621,-0.1687484689272709,-0.15720992502215836,-160.94065918134044,-13.51876311679545,-12.111948910357556,0.0496,-0.9862,-0.1177,-0.1055,0
286259.0,51.32336,1.0,2.19,-0.9,-9.68,-4.56,-14.19,38.69,1.75,-0.69,0.19,-0.03897882466292621,-0.1687484689272709,-0.15720992502215836,-160.94065918134044,-13.51876311679545,-12.111948910357556,0.0496,-0.9862,-0.1177,-0.1055,0
286294.0,51.361632,1.0,2.23,-0.82,-9.54,-5.0,-13.38,39.38,0.0,-1.44,1.69,0.0523198663060257,-0.11400095891137546,-0.023973907614257328,-160.94065918134044,-13.507223821905175,-12.077379068441182,0.0498,-0.9862,-0.1176,-0.1052,0
286294.0,51.361632,1.0,2.23,-0.82,-9.54,-5.0,-13.38,39.38,0.0,-1.44,1.69,0.0523198663060257,-0.11400095891137546,-0.023973907614257328,-160.94065918134044,-13.507223821905175,-12.077379068441182,0.0498,-0.9862,-0.1176,-0.1052,0
286328.0,51.420593,1.0,1.96,-0.86,-9.31,-5.0,-13.38,39.38,3.31,-4.19,-0.25,-0.1428740028147939,-0.11440180838852443,0.2555349213530498,-161.00999937311445,-13.484145644815701,-11.92758912667584,0.0503,-0.9863,-0.1174,-0.1039,0
286328.0,51.420593,1.0,1.96,-0.86,-9.31,-5.0,-13.38,39.38,3.31,-4.19,-0.25,-0.1428740028147939,-0.11440180838852443,0.2555349213530498,-161.00999937311445,-13.484145644815701,-11.92758912667584,0.0503,-0.9863,-0.1174,-0.1039,0
286363.0,51.424217,1.0,2.14,-0.92,-9.41,-3.88,-12.25,38.56,1.5,-1.19,1.19,0.009490282907159052,-0.1899060404187941,0.11449102326304406,-161.07959134463852,-13.47260676237266,-11.846941492078386,0.0509,-0.9864,-0.1173,-0.1032,0
286363.0,51.424217,1.0,2.14,-0.92,-9.41,-3.88,-12.25,38.56,1.5,-1.19,1.19,0.009490282907159052,-0.1899060404187941,0.11449102326304406,-161.07959134463852,-13.47260676237266,-11.846941492078386,0.0509,-0.9864,-0.1173,-0.1032,0
286400.0,51.439611,1.0,1.92,-0.78,-9.19,-3.88,-13.0,38.06,-1.44,-0.69,-0.12,-0.11852524800191847,-0.03947269365570233,0.3867087224738164,-161.14943788464137,-13.461068017168213,-11.812380025110386,0.0506,-0.9865,-0.1172,-0.1029,0
286400.0,51.439611,1.0,1.92,-0.78,-9.19,-3.88,-13.0,38.06,-1.44,-0.69,-0.12,-0.11852524800191847,-0.03947269365570233,0.3867087224738164,-161.14943788464137,-13.461068017168213,-11.812380025110386,0.0506,-0.9865,-0.1172,-0.1029,0
286433.0,51.477706,1.0,1.97,-0.76,-9.35,-3.88,-13.0,38.06,-1.5,0.88,-1.0,-0.09959675446106989,-0.018859837072699615,0.22172825837652255,-161.14943788464137,-13.47260676237266,-11.823900394126868,0.0502,-0.9865,-0.1173,-0.103,0
286433.0,51.477706,1.0,1.97,-0.76,-9.35,-3.88,-13.0,38.06,-1.5,0.88,-1.0,-0.09959675446106989,-0.018859837072699615,0.22172825837652255,-161.14943788464137,-13.47260676237266,-11.823900394126868,0.0502,-0.9865,-0.1173,-0.103,0
286468.0,51.535329,1.0,1.91,-0.82,-9.19,-3.88,-14.19,38.06,0.19,0.44,-0.44,-0.14066065416547552,-0.08352015392952294,0.3859367061852854,-161.14943788464137,-13.484145644815701,-11.823900394126868,0.0502,-0.9865,-0.1174,-0.103,0
286468.0,51.535329,1.0,1.91,-0.82,-9.19,-3.88,-14.19,38.06,0.19,0.44,-0.44,-0.14066065416547552,-0.08352015392952294,0.3859367061852854,-161.14943788464137,-13.484145644815701,-11.823900394126868,0.0502,-0.9865,-0.1174,-0.103,0
286502.0,51.552553,1.0,1.77,-0.94,-8.89,-3.19,-14.19,38.25,0.0,3.69,-1.5,-0.25456542745505817,-0.1993529699486592,0.6992873281549095,-161.00999937311445,-13.51876311679545,-11.881504040605066,0.0505,-0.9863,-0.1177,-0.1035,0
286502.0,51.552553,1.0,1.77,-0.94,-8.89,-3.19,-14.19,38.25,0.0,3.69,-1.5,-0.25456542745505817,-0.1993529699486592,0.6992873281549095,-161.00999937311445,-13.51876311679545,-11.881504040605066,0.0505,-0.9863,-0.1177,-0.1035,0
286537.0,51.59047,1.0,2.01,-0.89,-8.78,-3.19,-13.38,38.19,-2.69,7.75,-0.81,-0.0331557156136629,-0.21513892177896043,0.7582680483548376,-160.8715680310398,-13.541842119876778,-12.134996086138983,0.0504,-0.9861,-0.1179,-0.1057,0
286537.0,51.59047,1.0,2.01,-0.89,-8.78,-3.19,-13.38,38.19,-2.69,7.75,-0.81,-0.0331557156136629,-0.21513892177896043,0.7582680483548376,-160.8715680310398,-13.541842119876778,-12.134996086138983,0.0504,-0.9861,-0.1179,-0.1057,0
286572.0,51.643575,1.0,1.88,-0.84,-8.8,-3.19,-13.38,38.19,-2.13,8.81,-0.25,-0.1862574921663861,-0.1339221221208306,0.7718631728624281,-160.73412214644492,-13.507223821905175,-12.377021364647927,0.0502,-0.9859,-0.1176,-0.1078,0
286572.0,51.643575,1.0,1.88,-0.84,-8.8,-3.19,-13.38,38.19,-2.13,8.81,-0.25,-0.1862574921663861,-0.1339221221208306,0.7718631728624281,-160.73412214644492,-13.507223821905175,-12.377021364647927,0.0502,-0.9859,-0.1176,-0.1078,0
286609.0,51.69385,1.0,2.0,-0.88,-8.68,-3.56,-13.38,39.06,-1.81,12.13,-2.38,-0.11921637026101432,-0.20727217052007574,0.8590455326361397,-160.4621037024181,-13.553381828311744,-12.768989848771895,0.0502,-0.9855,-0.118,-0.1112,0
286609.0,51.69385,1.0,2.0,-0.88,-8.68,-3.56,-13.38,39.06,-1.81,12.13,-2.38,-0.11921637026101432,-0.20727217052007574,0.8590455326361397,-160.4621037024181,-13.553381828311744,-12.768989848771895,0.0502,-0.9855,-0.118,-0.1112,0
286642.0,51.710354,1.0,2.37,-0.85,-8.59,-4.19,-13.0,38.38,-3.06,16.06,0.56,0.19169193444595942,-0.25937058165242244,0.8610655527074904,-160.12726585571855,-13.541842119876778,-13.195714475135587,0.0504,-0.985,-0.1179,-0.1149,0
286642.0,51.710354,1.0,2.37,-0.85,-8.59,-4.19,-13.0,38.38,-3.06,16.06,0.56,0.19169193444595942,-0.25937058165242244,0.8610655527074904,-160.12726585571855,-13.541842119876778,-13.195714475135587,0.0504,-0.985,-0.1179,-0.1149,0
286676.0,51.713116,1.0,2.48,-0.8,-8.84,-4.19,-13.0,38.38,-4.56,17.94,-1.63,0.14258551042817386,-0.20580158293944495,0.5939785589534026,-159.73268910086296,-13.51876311679545,-13.888093938659914,0.0495,-0.9844,-0.1177,-0.1209,0
286676.0,51.713116,1.0,2.48,-0.8,-8.84,-4.19,-13.0,38.38,-4.56,17.94,-1.63,0.14258551042817386,-0.20580158293944495,0.5939785589534026,-159.73268910086296,-13.51876311679545,-13.888093938659914,0.0495,-0.9844,-0.1177,-0.1209,0
286711.0,51.757101,1.0,2.43,-0.86,-8.68,-5.69,-13.38,37.75,-7.13,19.62,0.56,0.02757278467019994,-0.2740846009030504,0.7561794391344847,-159.40959116439532,-13.495684664619231,-14.45391421483677,0.0488,-0.9839,-0.1175,-0.1258,0
286711.0,51.757101,1.0,2.43,-0.86,-8.68,-5.69,-13.38,37.75,-7.13,19.62,0.56,0.02757278467019994,-0.2740846009030504,0.7561794391344847,-159.40959116439532,-13.495684664619231,-14.45391421483677,0.0488,-0.9839,-0.1175,-0.1258,0
286748.0,51.813538,1.0,2.68,-0.47,-8.75,-5.0,-14.19,38.19,-11.69,23.44,0.19,0.1928935124783323,0.039199447275691024,0.6454789233211518,-158.840311807755,-13.357225465957494,-15.366907820940328,0.0466,-0.983,-0.1163,-0.1337,0
286748.0,51.813538,1.0,2.68,-0.47,-8.75,-5.0,-14.19,38.19,-11.69,23.44,0.19,0.1928935124783323,0.039199447275691024,0.6454789233211518,-158.840311807755,-13.357225465957494,-15.366907820940328,0.0466,-0.983,-0.1163,-0.1337,0
