TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
961673.0,733.617316,1.0,-1.77,3.53,-9.03,15.38,-26.5,20.56,-1.06,1.44,-0.88,0.11768805689332086,0.03163168265110938,-0.04829033253968262,-156.13951067883625,-2.4295230620087382,10.764512919793646,-0.1831,-0.9784,-0.0212,0.0938,0
961673.0,733.617316,1.0,-1.77,3.53,-9.03,15.38,-26.5,20.56,-1.06,1.44,-0.88,0.11768805689332086,0.03163168265110938,-0.04829033253968262,-156.13951067883625,-2.4295230620087382,10.764512919793646,-0.1831,-0.9784,-0.0212,0.0938,0
961710.0,733.743447,1.0,-1.76,3.52,-9.1,15.0,-26.5,20.56,-0.12,0.31,-0.06,0.1332713420632936,-0.0010642721403546496,-0.10698896945564051,-156.13951067883625,-2.4295230620087382,10.72998370230972,-0.183,-0.9784,-0.0212,0.0935,0
961710.0,733.743447,1.0,-1.76,3.52,-9.1,15.0,-26.5,20.56,-0.12,0.31,-0.06,0.1332713420632936,-0.0010642721403546496,-0.10698896945564051,-156.13951067883625,-2.4295230620087382,10.72998370230972,-0.183,-0.9784,-0.0212,0.0935,0
961744.0,733.815273,1.0,-1.84,3.32,-8.96,15.75,-27.19,20.87,1.0,1.12,-0.25,0.009580114566335556,-0.13174963067165546,0.0766885275057323,-156.19500732541923,-2.4409848060552455,10.695455461898506,-0.1828,-0.9785,-0.0213,0.0932,0
961744.0,733.815273,1.0,-1.84,3.32,-8.96,15.75,-27.19,20.87,1.0,1.12,-0.25,0.009580114566335556,-0.13174963067165546,0.0766885275057323,-156.19500732541923,-2.4409848060552455,10.695455461898506,-0.1828,-0.9785,-0.0213,0.0932,0
961779.0,733.898715,1.0,-1.8,3.33,-8.97,15.75,-27.19,20.87,1.06,1.0,0.63,0.04362068972930549,-0.12202148057691242,0.07150706351954206,-156.25063177900063,-2.4409848060552455,10.64941932234672,-0.1826,-0.9786,-0.0213,0.0928,0
961779.0,733.898715,1.0,-1.8,3.33,-8.97,15.75,-27.19,20.87,1.06,1.0,0.63,0.04362068972930549,-0.12202148057691242,0.07150706351954206,-156.25063177900063,-2.4409848060552455,10.64941932234672,-0.1826,-0.9786,-0.0213,0.0928,0
961814.0,733.909426,1.0,-1.76,3.46,-9.13,15.0,-26.5,18.87,-0.19,0.56,1.0,0.11563753981992275,-0.05739351739215426,-0.1135029193629773,-156.25063177900063,-2.4065996467302937,10.62640189942489,-0.1825,-0.9786,-0.021,0.0926,0
961814.0,733.909426,1.0,-1.76,3.46,-9.13,15.0,-26.5,18.87,-0.19,0.56,1.0,0.11563753981992275,-0.05739351739215426,-0.1135029193629773,-156.25063177900063,-2.4065996467302937,10.62640189942489,-0.1825,-0.9786,-0.021,0.0926,0
961849.0,733.91234,1.0,-1.78,3.48,-8.97,14.25,-26.5,20.37,-0.31,-0.81,0.31,0.06892168164691449,0.015008478671427072,0.022237674910311256,-156.25063177900063,-2.383676327772471,10.62640189942489,-0.1827,-0.9786,-0.0208,0.0926,0
961849.0,733.91234,1.0,-1.78,3.48,-8.97,14.25,-26.5,20.37,-0.31,-0.81,0.31,0.06892168164691449,0.015008478671427072,0.022237674910311256,-156.25063177900063,-2.383676327772471,10.62640189942489,-0.1827,-0.9786,-0.0208,0.0926,0
961884.0,733.954667,1.0,-1.81,3.5,-8.92,14.25,-26.5,20.37,-0.12,0.75,-0.06,0.028824854890215024,0.052186595154445126,0.0552939052290391,-156.25063177900063,-2.3951379752687134,10.603384906468607,-0.1827,-0.9786,-0.0209,0.0924,0
961884.0,733.954667,1.0,-1.81,3.5,-8.92,14.25,-26.5,20.37,-0.12,0.75,-0.06,0.028824854890215024,0.052186595154445126,0.0552939052290391,-156.25063177900063,-2.3951379752687134,10.603384906468607,-0.1827,-0.9786,-0.0209,0.0924,0
961918.0,733.970174,1.0,-1.8,3.44,-9.07,14.69,-26.5,20.69,0.44,1.25,-0.25,0.0524984904462405,-0.05402183386713566,-0.05908998998384973,-156.25063177900063,-2.3951379752687134,10.557352206642195,-0.1825,-0.9786,-0.0209,0.092,0
961918.0,733.970174,1.0,-1.8,3.44,-9.07,14.69,-26.5,20.69,0.44,1.25,-0.25,0.0524984904462405,-0.05402183386713566,-0.05908998998384973,-156.25063177900063,-2.3951379752687134,10.557352206642195,-0.1825,-0.9786,-0.0209,0.092,0
961953.0,733.976521,1.0,-1.82,3.34,-8.91,14.25,-26.06,20.69,0.06,0.94,-0.69,-0.007728061233158098,-0.08869758690272089,0.1191233282871842,-156.30638493987288,-2.4065996467302937,10.522828803347641,-0.1825,-0.9787,-0.021,0.0917,0
961953.0,733.976521,1.0,-1.82,3.34,-8.91,14.25,-26.06,20.69,0.06,0.94,-0.69,-0.007728061233158098,-0.08869758690272089,0.1191233282871842,-156.30638493987288,-2.4065996467302937,10.522828803347641,-0.1825,-0.9787,-0.021,0.0917,0
961988.0,733.979433,1.0,-1.75,3.36,-9.04,13.88,-26.5,19.56,1.69,3.19,0.94,0.0713111371983208,-0.11305557044715098,0.005842219020804507,-156.36226771891504,-2.4065996467302937,10.442277914805903,-0.1823,-0.9788,-0.021,0.091,0
961988.0,733.979433,1.0,-1.75,3.36,-9.04,13.88,-26.5,19.56,1.69,3.19,0.94,0.0713111371983208,-0.11305557044715098,0.005842219020804507,-156.36226771891504,-2.4065996467302937,10.442277914805903,-0.1823,-0.9788,-0.021,0.091,0
962023.0,734.019631,1.0,-1.67,3.38,-9.12,13.88,-26.5,19.56,0.5,2.06,0.75,0.1472756830957529,-0.11562144842594546,-0.06009422258085095,-156.41828103776766,-2.3951379752687134,10.338720083250598,-0.1819,-0.9789,-0.0209,0.0901,0
962023.0,734.019631,1.0,-1.67,3.38,-9.12,13.88,-26.5,19.56,0.5,2.06,0.75,0.1472756830957529,-0.11562144842594546,-0.06009422258085095,-156.41828103776766,-2.3951379752687134,10.338720083250598,-0.1819,-0.9789,-0.0209,0.0901,0
962060.0,734.036265,1.0,-1.73,3.48,-9.14,14.25,-26.87,20.56,-0.25,0.37,0.56,0.09271988773635649,-0.026775433471803334,-0.12479431080296344,-156.47442582901172,-2.383676327772471,10.304202691653051,-0.1818,-0.979,-0.0208,0.0898,0
962060.0,734.036265,1.0,-1.73,3.48,-9.14,14.25,-26.87,20.56,-0.25,0.37,0.56,0.09271988773635649,-0.026775433471803334,-0.12479431080296344,-156.47442582901172,-2.383676327772471,10.304202691653051,-0.1818,-0.979,-0.0208,0.0898,0
