TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2653394.0,1136.077037,1.0,5.31,5.92,5.58,-17.5,-37.88,-13.75,-1.63,-3.06,-0.75,0.06661257513125682,-0.3425827245939388,0.09804042696410598,-38.270597450084026,-40.05852194281655,-123.0439366303148,-0.0512,-0.3278,-0.3425,-0.879,0
2653394.0,1136.077037,1.0,5.31,5.92,5.58,-17.5,-37.88,-13.75,-1.63,-3.06,-0.75,0.06661257513125682,-0.3425827245939388,0.09804042696410598,-38.270597450084026,-40.05852194281655,-123.0439366303148,-0.0512,-0.3278,-0.3425,-0.879,0
2653431.0,1136.137801,1.0,5.16,6.03,5.46,-17.5,-37.5,-13.75,-9.5,-6.19,-2.06,0.13565342223880658,-0.1094757188822344,0.17505027741963453,-38.45258771550743,-39.76593345094053,-123.11607559607697,-0.0529,-0.3293,-0.3401,-0.8793,0
2653431.0,1136.137801,1.0,5.16,6.03,5.46,-17.5,-37.5,-13.75,-9.5,-6.19,-2.06,0.13565342223880658,-0.1094757188822344,0.17505027741963453,-38.45258771550743,-39.76593345094053,-123.11607559607697,-0.0529,-0.3293,-0.3401,-0.8793,0
2653466.0,1136.156608,1.0,5.16,5.77,5.44,-17.19,-37.88,-14.19,-11.81,-12.25,1.88,0.10592915984960977,-0.25695896012231945,0.34964988865885616,-38.67110921893018,-39.42492119409256,-123.1642148543557,-0.0546,-0.3311,-0.3373,-0.8795,0
2653466.0,1136.156608,1.0,5.16,5.77,5.44,-17.19,-37.88,-14.19,-11.81,-12.25,1.88,0.10592915984960977,-0.25695896012231945,0.34964988865885616,-38.67110921893018,-39.42492119409256,-123.1642148543557,-0.0546,-0.3311,-0.3373,-0.8795,0
2653499.0,1136.205478,1.0,5.68,5.13,5.21,-17.19,-37.88,-14.19,-29.62,-32.31,-7.13,-0.4382720730963654,-0.7174516759852998,0.5862063727893396,-39.48578948035391,-38.62253627833281,-123.09201996316365,-0.0603,-0.3378,-0.3307,-0.8792,0
2653499.0,1136.205478,1.0,5.68,5.13,5.21,-17.19,-37.88,-14.19,-29.62,-32.31,-7.13,-0.4382720730963654,-0.7174516759852998,0.5862063727893396,-39.48578948035391,-38.62253627833281,-123.09201996316365,-0.0603,-0.3378,-0.3307,-0.8792,0
2653536.0,1136.266414,1.0,7.34,5.47,4.32,-17.5,-37.5,-14.19,-70.87,-109.62,-20.31,-2.0521786450448527,-0.49529771215944063,-0.09295317311514673,-41.26836056402613,-37.10820677500307,-122.541287565057,-0.0752,-0.3524,-0.3182,-0.8769,0
2653536.0,1136.266414,1.0,7.34,5.47,4.32,-17.5,-37.5,-14.19,-70.87,-109.62,-20.31,-2.0521786450448527,-0.49529771215944063,-0.09295317311514673,-41.26836056402613,-37.10820677500307,-122.541287565057,-0.0752,-0.3524,-0.3182,-0.8769,0
2653573.0,1136.283493,1.0,7.8,4.94,4.74,-19.0,-36.38,-14.56,-45.81,-272.56,-19.62,-1.1248483026071612,-1.4013802438495064,-0.41499613495644816,-48.1836233337003,-34.53100937438062,-117.78511905973166,-0.1108,-0.4082,-0.2968,-0.8562,0
2653573.0,1136.283493,1.0,7.8,4.94,4.74,-19.0,-36.38,-14.56,-45.81,-272.56,-19.62,-1.1248483026071612,-1.4013802438495064,-0.41499613495644816,-48.1836233337003,-34.53100937438062,-117.78511905973166,-0.1108,-0.4082,-0.2968,-0.8562,0
2653607.0,1136.286683,1.0,7.77,4.76,4.49,-19.0,-36.38,-14.56,-62.75,-346.44,-6.63,0.061098306741179775,-1.4613947870558543,-0.24577220926276588,-56.783819938789286,-32.09092481112806,-110.75231492282506,-0.1427,-0.4755,-0.2764,-0.8229,0
2653607.0,1136.286683,1.0,7.77,4.76,4.49,-19.0,-36.38,-14.56,-62.75,-346.44,-6.63,0.061098306741179775,-1.4613947870558543,-0.24577220926276588,-56.783819938789286,-32.09092481112806,-110.75231492282506,-0.1427,-0.4755,-0.2764,-0.8229,0
2653642.0,1136.330219,1.0,8.45,6.25,2.81,-19.75,-36.38,-12.56,-90.69,-390.81,5.0,0.24243080085980478,0.034084643865117226,-1.0699839252476036,-69.83551038215226,-26.794357072369408,-99.44105363347383,-0.1914,-0.5724,-0.2317,-0.7629,0
2653642.0,1136.330219,1.0,8.45,6.25,2.81,-19.75,-36.38,-12.56,-90.69,-390.81,5.0,0.24243080085980478,0.034084643865117226,-1.0699839252476036,-69.83551038215226,-26.794357072369408,-99.44105363347383,-0.1914,-0.5724,-0.2317,-0.7629,0
2653679.0,1136.395242,1.0,8.45,5.79,1.32,-22.37,-36.38,-8.0,-63.06,-386.0,33.94,0.7884824336246117,0.22162365994948985,-0.48889167614390416,-83.30329159943979,-20.90263293758787,-87.0703867564452,-0.2256,-0.6646,-0.1814,-0.6888,0
2653679.0,1136.395242,1.0,8.45,5.79,1.32,-22.37,-36.38,-8.0,-63.06,-386.0,33.94,0.7884824336246117,0.22162365994948985,-0.48889167614390416,-83.30329159943979,-20.90263293758787,-87.0703867564452,-0.2256,-0.6646,-0.1814,-0.6888,0
2653714.0,1136.411857,1.0,6.51,6.42,0.29,-24.37,-35.19,-2.25,-48.63,-244.0,25.37,0.5535356187624804,2.0267850054921266,0.9034853457731948,-91.30279024652515,-16.848301053200124,-79.31545721761533,-0.2446,-0.7151,-0.1465,-0.6382,0
2653714.0,1136.411857,1.0,6.51,6.42,0.29,-24.37,-35.19,-2.25,-48.63,-244.0,25.37,0.5535356187624804,2.0267850054921266,0.9034853457731948,-91.30279024652515,-16.848301053200124,-79.31545721761533,-0.2446,-0.7151,-0.1465,-0.6382,0
2653749.0,1136.462964,1.0,7.28,6.05,-1.61,-24.37,-35.19,-2.25,-12.88,-208.31,23.75,-0.203233600108303,1.2229100878790113,0.28529573599160685,-98.84027760077333,-13.414914406298774,-71.87466002619819,-0.2551,-0.7595,-0.1168,-0.5869,0
2653749.0,1136.462964,1.0,7.28,6.05,-1.61,-24.37,-35.19,-2.25,-12.88,-208.31,23.75,-0.203233600108303,1.2229100878790113,0.28529573599160685,-98.84027760077333,-13.414914406298774,-71.87466002619819,-0.2551,-0.7595,-0.1168,-0.5869,0
2653786.0,1136.481738,1.0,7.56,5.31,-3.18,-27.0,-34.75,1.37,-24.31,-244.94,17.69,-0.6215228890053357,0.21689155040457386,0.05838003277989223,-104.89590236711722,-10.868106466869213,-65.66705665174256,-0.2615,-0.7928,-0.0947,-0.5422,0
2653786.0,1136.481738,1.0,7.56,5.31,-3.18,-27.0,-34.75,1.37,-24.31,-244.94,17.69,-0.6215228890053357,0.21689155040457386,0.05838003277989223,-104.89590236711722,-10.868106466869213,-65.66705665174256,-0.2615,-0.7928,-0.0947,-0.5422,0
2653822.0,1136.541478,1.0,6.34,6.03,-3.19,-26.25,-34.0,7.88,11.19,-101.62,-15.81,-0.4258988264888819,1.3632898334290187,0.6037889764017148,-110.00958136957878,-10.166142467644526,-60.013232334612056,-0.2662,-0.8192,-0.0886,-0.5001,0
2653822.0,1136.541478,1.0,6.34,6.03,-3.19,-26.25,-34.0,7.88,11.19,-101.62,-15.81,-0.4258988264888819,1.3632898334290187,0.6037889764017148,-110.00958136957878,-10.166142467644526,-60.013232334612056,-0.2662,-0.8192,-0.0886,-0.5001,0
2653857.0,1136.55166,1.0,6.67,6.14,-4.86,-26.25,-34.0,7.88,70.69,-50.0,-18.62,-1.3216946342391176,0.7880118926921829,-0.36390851715131944,-112.11534046927386,-10.706964767003903,-57.90704734721705,-0.2622,-0.8296,-0.0933,-0.4841,0
2653857.0,1136.55166,1.0,6.67,6.14,-4.86,-26.25,-34.0,7.88,70.69,-50.0,-18.62,-1.3216946342391176,0.7880118926921829,-0.36390851715131944,-112.11534046927386,-10.706964767003903,-57.90704734721705,-0.2622,-0.8296,-0.0933,-0.4841,0
2653892.0,1136.599365,1.0,7.37,3.6,-4.59,-24.87,-33.69,10.38,44.25,-68.12,7.88,-0.02851842796828949,-1.2912843236009128,0.49661393697162914,-115.19402811606797,-11.823900394126868,-55.614685483247094,-0.2427,-0.8443,-0.103,-0.4665,0
2653892.0,1136.599365,1.0,7.37,3.6,-4.59,-24.87,-33.69,10.38,44.25,-68.12,7.88,-0.02851842796828949,-1.2912843236009128,0.49661393697162914,-115.19402811606797,-11.823900394126868,-55.614685483247094,-0.2427,-0.8443,-0.103,-0.4665,0
2653927.0,1136.61916,1.0,6.25,5.12,-4.59,-23.37,-33.69,12.88,-10.63,-42.94,-3.0,-0.4820592510513323,0.4545567965822852,0.5381011924920678,-116.59757736800643,-11.616551985135153,-54.00122182339204,-0.2443,-0.8508,-0.1012,-0.454,0
2653927.0,1136.61916,1.0,6.25,5.12,-4.59,-23.37,-33.69,12.88,-10.63,-42.94,-3.0,-0.4820592510513323,0.4545567965822852,0.5381011924920678,-116.59757736800643,-11.616551985135153,-54.00122182339204,-0.2443,-0.8508,-0.1012,-0.454,0
2653964.0,1136.661592,1.0,6.23,4.99,-4.76,-23.0,-34.0,15.38,27.31,16.0,-11.56,-0.5974398083109504,0.3143082996205231,0.5376222209805075,-116.59757736800643,-12.342442956629046,-54.09126672763835,-0.2404,-0.8508,-0.1075,-0.4547,0
2653964.0,1136.661592,1.0,6.23,4.99,-4.76,-23.0,-34.0,15.38,27.31,16.0,-11.56,-0.5974398083109504,0.3143082996205231,0.5376222209805075,-116.59757736800643,-12.342442956629046,-54.09126672763835,-0.2404,-0.8508,-0.1075,-0.4547,0
2653999.0,1136.724025,1.0,6.51,3.93,-4.95,-23.0,-34.0,15.38,21.44,26.75,-11.19,-0.635354197017807,-0.7345345843848046,0.785326150992331,-116.05449328856251,-13.334150842815472,-54.82584356552155,-0.2344,-0.8483,-0.1161,-0.4604,0
2653999.0,1136.724025,1.0,6.51,3.93,-4.95,-23.0,-34.0,15.38,21.44,26.75,-11.19,-0.635354197017807,-0.7345345843848046,0.785326150992331,-116.05449328856251,-13.334150842815472,-54.82584356552155,-0.2344,-0.8483,-0.1161,-0.4604,0
2654033.0,1136.731686,1.0,7.99,4.29,-6.55,-23.0,-33.69,15.75,-16.25,10.5,13.0,-1.298159483177552,-1.4811820369642283,-1.2055060890504414,-115.472556014324,-13.345688086437221,-55.52401793690187,-0.2336,-0.8456,-0.1162,-0.4658,0
2654033.0,1136.731686,1.0,7.99,4.29,-6.55,-23.0,-33.69,15.75,-16.25,10.5,13.0,-1.298159483177552,-1.4811820369642283,-1.2055060890504414,-115.472556014324,-13.345688086437221,-55.52401793690187,-0.2336,-0.8456,-0.1162,-0.4658,0
2654070.0,1136.750654,1.0,7.63,4.8,-5.91,-23.0,-32.88,14.88,-24.06,-46.88,13.25,-0.8501960944142817,-0.710407189849847,-0.9151729898488963,-116.24952660685352,-12.238714488577818,-54.670994009622945,-0.2379,-0.8492,-0.1066,-0.4592,0
2654070.0,1136.750654,1.0,7.63,4.8,-5.91,-23.0,-32.88,14.88,-24.06,-46.88,13.25,-0.8501960944142817,-0.710407189849847,-0.9151729898488963,-116.24952660685352,-12.238714488577818,-54.670994009622945,-0.2379,-0.8492,-0.1066,-0.4592,0
2654105.0,1136.800176,1.0,6.41,5.59,-4.77,-23.0,-32.88,14.88,-7.56,-48.63,0.75,-0.45318860121886845,0.7806845231235169,0.09715713131315695,-117.32089688772969,-11.547444362906596,-53.371911070166924,-0.2423,-0.8541,-0.1006,-0.4491,0
2654105.0,1136.800176,1.0,6.41,5.59,-4.77,-23.0,-32.88,14.88,-7.56,-48.63,0.75,-0.45318860121886845,0.7806845231235169,0.09715713131315695,-117.32089688772969,-11.547444362906596,-53.371911070166924,-0.2423,-0.8541,-0.1006,-0.4491,0
2654140.0,1136.868203,1.0,6.5,4.5,-5.16,-23.0,-33.25,15.75,14.88,-40.44,7.94,-0.4265606086500793,-0.24515561317260204,0.3788430030108252,-118.88063215220505,-11.38620958683243,-51.927193035567214,-0.2388,-0.8611,-0.0992,-0.4378,0
2654140.0,1136.868203,1.0,6.5,4.5,-5.16,-23.0,-33.25,15.75,14.88,-40.44,7.94,-0.4265606086500793,-0.24515561317260204,0.3788430030108252,-118.88063215220505,-11.38620958683243,-51.927193035567214,-0.2388,-0.8611,-0.0992,-0.4378,0
2654175.0,1136.886723,1.0,6.26,5.13,-5.44,-23.37,-34.0,15.25,-14.81,-24.69,3.0,-0.7395529683898522,0.2736227924241774,0.08675843813513673,-119.4010105824342,-10.868106466869213,-51.23993373594613,-0.2421,-0.8634,-0.0947,-0.4324,0
2654175.0,1136.886723,1.0,6.26,5.13,-5.44,-23.37,-34.0,15.25,-14.81,-24.69,3.0,-0.7395529683898522,0.2736227924241774,0.08675843813513673,-119.4010105824342,-10.868106466869213,-51.23993373594613,-0.2421,-0.8634,-0.0947,-0.4324,0
2654212.0,1136.889685,1.0,6.52,4.03,-6.58,-23.0,-33.69,15.75,1.12,-57.44,10.88,-1.1692796325405883,-1.127807549557816,-0.16373290498845883,-120.91727899971443,-10.338720083250598,-49.66917497940316,-0.242,-0.87,-0.0901,-0.42,0
2654212.0,1136.889685,1.0,6.52,4.03,-6.58,-23.0,-33.69,15.75,1.12,-57.44,10.88,-1.1692796325405883,-1.127807549557816,-0.16373290498845883,-120.91727899971443,-10.338720083250598,-49.66917497940316,-0.242,-0.87,-0.0901,-0.42,0
2654246.0,1136.930681,1.0,5.77,4.78,-5.07,-23.0,-33.69,15.75,-38.44,-47.0,12.38,-0.3695595741312808,0.2794280627623906,0.7716322535365876,-121.90087366081207,-9.269102460835224,-48.34685890896744,-0.248,-0.8742,-0.0808,-0.4095,0
2654246.0,1136.930681,1.0,5.77,4.78,-5.07,-23.0,-33.69,15.75,-38.44,-47.0,12.38,-0.3695595741312808,0.2794280627623906,0.7716322535365876,-121.90087366081207,-9.269102460835224,-48.34685890896744,-0.248,-0.8742,-0.0808,-0.4095,0
2654283.0,1136.995468,1.0,5.92,5.73,-5.88,-21.5,-33.25,18.19,9.0,-12.31,-2.13,-0.8640708901056217,0.7014533751117131,-0.25391880397010524,-122.3033398527211,-8.935735653853005,-47.682009473276445,-0.2516,-0.8759,-0.0779,-0.4042,0
2654283.0,1136.995468,1.0,5.92,5.73,-5.88,-21.5,-33.25,18.19,9.0,-12.31,-2.13,-0.8640708901056217,0.7014533751117131,-0.25391880397010524,-122.3033398527211,-8.935735653853005,-47.682009473276445,-0.2516,-0.8759,-0.0779,-0.4042,0
2654318.0,1137.01428,1.0,6.21,4.73,-6.12,-21.06,-32.5,17.0,13.0,-8.94,-4.81,-0.7146773933109075,-0.2904422162961575,-0.0825501467501546,-122.7322966604894,-9.372576979838527,-47.4440830843744,-0.2472,-0.8777,-0.0817,-0.4023,0
2654318.0,1137.01428,1.0,6.21,4.73,-6.12,-21.06,-32.5,17.0,13.0,-8.94,-4.81,-0.7146773933109075,-0.2904422162961575,-0.0825501467501546,-122.7322966604894,-9.372576979838527,-47.4440830843744,-0.2472,-0.8777,-0.0817,-0.4023,0
